,r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
0,-1527.82447,2000,19.165511,-0.21786019,-0.07884316,-0.12432618,-0.08019903,0.097771704,-0.04413082,-0.13570876,0.08469416,0.06030433,-0.11612563
1,-1415.516171,4000,42.06723,-0.21654294,-0.07274155,-0.12324028,-0.08107075,0.098357394,-0.042864494,-0.1340948,0.07893671,0.060014452999999995,-0.11666255
2,-1434.2345779999998,6000,63.593548,-0.19182445,-0.072746776,-0.12775005,-0.05467126,0.10036562,-0.04380168,-0.13386557,0.07817077,0.057069138,-0.10899275
3,-1433.287711,8000,83.728571,-0.20622052,-0.071263775,-0.12827097,-0.04207798,0.0963697,-0.054978967000000004,-0.13428237,0.07607218,0.07413584,-0.10812728
4,-1464.627753,10000,103.33836,-0.19078359,-0.06305898,-0.032700653999999996,0.0035108475,0.07246557,-0.066756114,-0.13059148,0.08717658,0.13047181,-0.052144385999999994
5,-1718.8316519999998,12000,124.305218,-0.17134322,-0.06483245,-0.025147307999999997,0.038542118,0.049036345999999995,-0.09254138,-0.12853019999999998,0.06644834,0.15206778,-0.0059706625
6,-1674.547847,14000,144.735735,-0.16121823,-0.07106724,-0.017309105,0.08311461,0.059322837999999996,-0.083266415,-0.0979939,0.06476387,0.16057834,-0.032635976000000004
7,-1698.676962,16000,164.87346200000002,-0.14312698,-0.059326496,-0.015088773,0.10523468,0.077721916,-0.09233463,-0.074073054,0.060256015999999996,0.15251888,-0.03936632
8,-1567.698085,18000,185.21713,-0.12938298,-0.07939834,-0.019047106,0.08098916,0.10281841,-0.14372857,-0.109123684,0.058063418,0.14411960000000001,-0.043872642999999996
9,-1499.36388,20000,205.269001,-0.13061444,-0.10584871,-0.02287013,0.0830135,0.09592405,-0.17483203,-0.11070787,0.055039775,0.13510196,-0.034460448
10,-1563.115508,22000,225.96990499999998,-0.1270874,-0.09658889,-0.007922523,0.10134667,0.08536111,-0.19436689999999998,-0.13343455,0.037363615,0.13889268,-0.030894049
11,-1612.221036,24000,246.32501499999998,-0.13145523,-0.08581481,-0.0032921173,0.09524312,0.073907964,-0.23441611,-0.112880856,0.049021374000000006,0.15108387,-0.012935978
12,-1590.177573,26000,267.224496,-0.10473056,-0.07854044,-0.006973976,0.10330881,0.067022346,-0.22526729,-0.10568042,0.05331592,0.16054818,-0.012755168999999998
13,-1540.842111,28000,287.80553,-0.112753466,-0.0976025,-0.0106447395,0.10082461,0.05776647,-0.23920694,-0.12897022,0.047801014,0.17173929999999998,-0.022533022000000003
14,-1567.538188,30000,308.680778,-0.1234351,-0.09853299,-0.0088865,0.09380687,0.059793795999999996,-0.25535294,-0.12917353,0.030976377000000003,0.17708212,-0.028821459
15,-1451.409657,32000,329.077756,-0.13794892,-0.09958323,-0.013226941,0.08825086,0.06619563,-0.26105106,-0.12170465,0.021821436,0.17535292,-0.035259776
16,-1505.663028,34000,349.52088599999996,-0.14619191,-0.09079939,-0.016921867,0.093408935,0.06094085,-0.26141578,-0.1229405,0.020240193,0.18048234,-0.041452598
17,-1481.195049,36000,370.37963199999996,-0.1493309,-0.09405215,-0.018773206,0.099793404,0.07041595,-0.24317692,-0.11924023,0.028409278,0.17852677,-0.05229442
18,-1483.497828,38000,391.428005,-0.14574198,-0.0966815,-0.0008834738,0.09566913,0.07083568,-0.24223094,-0.12495847,0.043495346,0.18299343,-0.048331793
19,-1358.759391,40000,412.352048,-0.15155363,-0.101926625,0.009164531,0.08657722,0.0652581,-0.24493544,-0.12750074,0.069745585,0.18244451,-0.04869417
20,-1347.2030140000002,42000,434.485413,-0.15609024,-0.11307907,0.015115393999999999,0.082415864,0.061039682000000005,-0.2485633,-0.12840451,0.07888167,0.18613283,-0.06315122
21,-1630.1284890000002,44000,456.750242,-0.15587358,-0.12028181,0.017869016,0.07990068,0.061337076,-0.24619281,-0.1104161,0.10486663,0.18699142,-0.07603984
22,-1546.503657,46000,477.62526299999996,-0.15625347,-0.116338395,0.021856051,0.08420454,0.062286515,-0.22787312,-0.10069293,0.11908802,0.18553045,-0.08796889
23,-1511.0696369999998,48000,498.76808099999994,-0.15929653,-0.11105825,0.016367678,0.09104697,0.063617356,-0.21429755,-0.10183769,0.13461813,0.18879798,-0.105680756
24,-1563.484385,50000,520.184405,-0.1713986,-0.10992921,0.012449485,0.09977697,0.06309189,-0.21409288,-0.09355844,0.14283343,0.18129818,-0.113822915
25,-1077.016883,52000,541.423466,-0.17790791,-0.11128813,0.008074867,0.10310570000000001,0.059625205,-0.2054931,-0.077123865,0.15059263,0.17484745,-0.12727796
26,-1033.634433,54000,563.7878969999999,-0.17973714,-0.10986119,0.0072414167,0.110390685,0.066290095,-0.21078558,-0.07571294,0.18879521,0.17320724,-0.13049985
27,-1540.310881,56000,586.047816,-0.16430098,-0.11558177,0.01404141,0.11238183,0.07545709,-0.21077728,-0.08429228,0.18411371,0.16946666,-0.15437295
28,-1377.4578210000002,58000,607.766801,-0.17055050000000002,-0.11005843,0.037026357,0.1029805,0.08264843,-0.21093541,-0.09108317,0.18292132,0.17842655,-0.17248985
29,-1608.008572,60000,629.736846,-0.17493826,-0.12820052,0.04957471,0.09529634,0.096432604,-0.22107631,-0.07835926,0.17363836,0.19512059,-0.18694142
30,-1794.449266,62000,650.834786,-0.17860822,-0.13195299,0.0675609,0.09888594,0.11266021400000001,-0.21096627,-0.08356161,0.1893382,0.18445124,-0.19406669
31,-1429.962575,64000,672.306732,-0.16734454,-0.13566314,0.07767693,0.08822615,0.11552474,-0.23168139,-0.089952275,0.21120657,0.15591368,-0.20735344
32,-1814.317447,66000,693.229931,-0.15483281,-0.15113838,0.08216075,0.07418751,0.114668064,-0.22077763,-0.07895614,0.20556335,0.14184369,-0.23601297
33,-1812.969482,68000,714.320594,-0.15774225,-0.15295422,0.07236224,0.055240835999999995,0.12391478,-0.19573033,-0.026711885,0.21658581,0.12063125,-0.24739629999999999
34,-1349.227406,70000,735.503508,-0.16402805,-0.1541013,0.08772577,0.056546255999999996,0.12815292,-0.18039583,-0.012582596000000001,0.23506354,0.13081844,-0.27343887
35,-1366.239748,72000,756.817766,-0.16358799,-0.16554245,0.09218324,0.062735364,0.13541244,-0.1686167,-0.019051567,0.2487935,0.15094414,-0.29027529999999996
36,-1260.028931,74000,777.763079,-0.16367406,-0.18124521,0.09141368400000001,0.067293085,0.14502405,-0.17890187,-0.022797957,0.23882468,0.14993776,-0.2950147
37,-1242.703591,76000,798.8092730000001,-0.14904602,-0.20450984,0.09120072,0.067641445,0.14864759,-0.19275783,-0.01833658,0.2100013,0.15689567,-0.33194292
38,-1350.859334,78000,819.9192469999999,-0.13035542,-0.21584257,0.0720663,0.07041871,0.14925224,-0.20589969,-0.020877648000000002,0.21631035,0.16333766,-0.32361674
39,-1265.4759210000002,80000,841.68874,-0.12925339,-0.21844889,0.057464,0.08110408,0.15651631,-0.20566717,-0.0154669145,0.21741956,0.17008121,-0.31836859999999995
40,-1390.121042,82000,863.076153,-0.11830057,-0.20779957,0.016231963000000002,0.08817778,0.16332255,-0.20250233,-0.005315792,0.23117961,0.18229201,-0.3169303
41,-1267.123816,84000,884.084556,-0.12631911,-0.19596861,-0.01406698,0.08070473,0.16368707,-0.17186235,0.010595766000000001,0.2304049,0.20447379999999998,-0.32912236
42,-1517.3429939999999,86000,904.926528,-0.119421504,-0.20535266,-0.023806842,0.08185038,0.16772333,-0.16025026,0.009680141,0.21555926,0.20636767,-0.33616823
43,-1248.433432,88000,925.874119,-0.12271603,-0.21512847,-0.03238113,0.07724436,0.1709609,-0.15420143,0.013278396999999999,0.19850044,0.20817538,-0.33854959999999995
44,-1275.071633,90000,946.2455449999999,-0.12124218,-0.24101242,-0.010299757,0.08174383,0.17216271,-0.14950025,0.015931562,0.19968529999999998,0.22390945,-0.33536243
45,-1336.00112,92000,967.4422289999999,-0.12018319,-0.24559979,-0.006549586,0.08686837,0.17269959,-0.16194560000000002,0.012440752,0.20403266,0.2439619,-0.32626274
46,-1787.541959,94000,988.798798,-0.12517527,-0.24617136,0.0030318745,0.09753183,0.18070956,-0.14769858,0.0006919411,0.22777966,0.2563978,-0.30567598
47,-1324.191581,96000,1010.4243759999999,-0.13230866,-0.22960313,-0.0061641103,0.10465394,0.18333451,-0.14296901,-0.0029081733,0.24415244,0.26472047,-0.2900475
48,-1499.026437,98000,1031.7967130000002,-0.12594505,-0.23819257,-0.0040149787,0.10926003,0.17296995,-0.15223612,-0.00885777,0.25586557,0.26842383,-0.2795725
49,-1394.668948,100000,1053.8456199999998,-0.14879961,-0.22795170000000003,-0.0014386496,0.1330287,0.16457511,-0.16783297,0.0038679141999999997,0.26321802,0.2698656,-0.26859266
50,-1390.900751,102000,1074.0563789999999,-0.15705594,-0.20966306,-0.014050382,0.13305043,0.15896723,-0.19658636,-0.019222971000000002,0.27708393,0.25911012,-0.28025570000000005
51,-1432.563276,104000,1094.383237,-0.16036321,-0.1875223,-0.011699461999999999,0.13171732,0.17008102,-0.20774053,-0.029845322999999997,0.27877998,0.2565453,-0.28414476
52,-1393.339274,106000,1114.711567,-0.17338976,-0.18092886,-0.0055756588,0.13409212,0.18441498,-0.21493484,-0.017749188,0.27591494,0.25354624,-0.28828079
53,-1172.063436,108000,1136.019253,-0.18797234,-0.17345147,0.010796995,0.14249355,0.18673277,-0.22072846,-0.007925030999999999,0.26690534,0.24129702,-0.2919675
54,-1807.0576649999998,110000,1157.373726,-0.18550949,-0.17373434,7.789690400000001e-05,0.14116706,0.18224141,-0.21683978,-0.0045844056,0.27337453,0.23238572,-0.27723595
55,-1344.910867,112000,1177.452585,-0.18156879,-0.18813229,0.0154095,0.15127046,0.15672339999999998,-0.19475417,0.008452184,0.26449087,0.22594693,-0.275907
56,-1524.584925,114000,1198.588883,-0.18961823,-0.17744848,0.012011211,0.1458305,0.15054868,-0.18804632,0.019235363000000002,0.25801435,0.23058553,-0.2550999
57,-1504.4296570000001,116000,1218.62862,-0.17929727,-0.16527550000000002,0.00012157818,0.13160071,0.1400348,-0.19401743,0.017500427,0.251867,0.21364309,-0.23573568
58,-1620.758787,118000,1238.946426,-0.13768685,-0.15093096,0.040000983,0.11882268,0.12747647,-0.20391586,-0.009500909,0.24699679,0.20618586,-0.22673835
59,-1371.719531,120000,1259.815525,-0.15873675,-0.19338591,0.060000405,0.13189608,0.13657969,-0.21139787,-0.033215128,0.2594166,0.1967816,-0.204532
60,-1765.058184,122000,1280.299777,-0.16085465,-0.19976218,0.07727407,0.11849126,0.14918381,-0.25926954,-0.06721754,0.26320225,0.18452291,-0.17661629999999998
61,-1216.387516,124000,1300.247601,-0.1718902,-0.22425956,0.11091971,0.098369315,0.18268237,-0.27033564,-0.056445445999999996,0.2669782,0.18748103,-0.1613923
62,-1244.462278,126000,1320.1533029999998,-0.15207176,-0.19753999,0.10160527400000001,0.06980689999999999,0.1806376,-0.27446532,-0.08265974400000001,0.26605472,0.16435322,-0.15204945
63,-1641.409274,128000,1340.2201890000001,-0.17707384,-0.21990737,0.08988598,0.03898644,0.16832007,-0.2795033,-0.04735406,0.27108195,0.15563829,-0.12193234
