,r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
0,-2352.365436,2000,18.488648,0.16032976,-0.21623264,0.03399998,0.10771968,0.20255204,-0.13855205,-0.067359984,-0.118470825,0.034901198,-0.18407567
1,-4628.644477000001,4000,41.228228,0.14123052,-0.20846169,0.03622129,0.09873532,0.20516452,-0.15425274,-0.10105875,-0.14548823,0.024046687,-0.19515134
2,-2062.344998,6000,60.623743999999995,0.17209192,-0.14521879,0.103033505,0.09518491,0.19735238,-0.11462561,-0.14076744,-0.13188387,-0.0019120657000000001,-0.15785263
3,-1887.573773,8000,81.92267,0.18543674,-0.17561142,0.11379961,0.10113039,0.2120984,-0.12176822,-0.1344649,-0.10046697,-0.0036309832,-0.14588739
4,-4555.763736,10000,102.77324399999999,0.22028635,-0.21246333,0.14174679999999998,0.118651345,0.20401760000000002,-0.098200165,-0.18428104,-0.067338236,-0.017331032,-0.17392181
5,-4687.59484,12000,122.2552,0.23198886,-0.18672334,0.094711676,0.12415724,0.20562737,-0.11330610000000002,-0.20045823,-0.0699629,-0.018848157,-0.19973153
6,-4703.490871,14000,141.106594,0.21148238,-0.19713937,0.08356197,0.07081473,0.22478619,-0.11892582,-0.21959813,-0.06182596,-0.04335873,-0.20872961
7,-2388.292651,16000,160.606198,0.22512299,-0.20126878,0.098055005,0.06535148,0.23573524,-0.062783934,-0.22248504,-0.065899104,-0.055184807999999995,-0.16528995
8,-2400.669963,18000,180.297705,0.23059514,-0.20492283,0.10614401,0.036158346,0.22867066,-0.06499821,-0.24473156,-0.071450725,-0.051136932999999996,-0.13955536
9,-2329.613002,20000,200.33333100000002,0.21593128,-0.21877626,0.11068605,0.08289872,0.22266632,-0.058268502,-0.24467392,-0.11640526,-0.04201365,-0.15469162
10,-4788.024357,22000,220.124044,0.19880429,-0.15938906,0.11520755,0.04808516400000001,0.21408066,-0.04527252,-0.2310916,-0.12041539,-0.045003343,-0.16938607
11,-2394.901269,24000,239.53250899999998,0.17674921,-0.06757045,0.11179688,0.035356436,0.21786264,-0.021481026,-0.23070888,-0.11398001,-0.023759225,-0.18231003
12,-2397.407301,26000,259.006336,0.16403507,-0.06605183,0.11468289999999999,0.066830315,0.2188609,-0.012652264,-0.24955879999999997,-0.09482676,-0.025275316000000003,-0.15674782
13,-4692.524915999999,28000,279.733631,0.14513193,-0.06407008,0.12284908,0.04605021,0.2247492,-0.013620417,-0.25341502,-0.058878854,-0.039711535,-0.14346755
14,-2407.123821,30000,300.489847,0.1434682,-0.052691374000000006,0.10194315,0.048011355,0.22878742,-0.005666816999999999,-0.25379070000000004,-0.05045403,-0.055707633,-0.10247166
15,-2383.875285,32000,320.674416,0.15400392,-0.08063739999999998,0.12042536599999999,0.05649248,0.23874383,-0.005805268000000001,-0.25923178,-0.034372132,-0.05513936,-0.10618378
16,-2401.501902,34000,341.228973,0.15392476,-0.14349887,0.099413276,0.09069107,0.25632694,0.0038122218,-0.25350827,-0.041437212,0.016867016999999998,-0.12732026
