,r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
0,-3433.058703,2000,15.917465,-0.04447297,-0.07005875,0.04821113,0.11421105,-0.026667476000000002,0.2823699,-0.04966831,-0.124555215,0.22325543,-0.24817668
1,-3222.921336,4000,35.225052000000005,-0.051023122000000004,-0.06841019,0.045694843,0.112672605,-0.018571092,0.27490994,-0.05142344,-0.12005845,0.22242889,-0.24738465
2,-3719.231717,6000,51.820136,-0.037574533,-0.05536929,0.0588933,0.14547445,0.004543424,0.273281,-0.06541611,-0.15259908,0.22432742,-0.24927698
3,-5490.853461,8000,66.255738,-0.049983762,-0.019219331,0.10744242,0.19445868,-0.016838176,0.27117828,-0.073299445,-0.08676384,0.20831451,-0.2779259
4,-3143.0627449999997,10000,80.26540200000001,0.08597774,-0.029223662,0.038450547,0.17049289999999998,-0.023586096,0.2799295,-0.022523208,-0.109502114,0.19756366,-0.2578109
5,-3053.882068,12000,95.660543,0.10927142,-0.02188285,0.016836086,0.14733936,0.0071663363,0.29032665,-0.016473364,-0.0913883,0.19765171,-0.22905841
6,-2403.299082,14000,111.38051899999999,0.08589875,-0.006923365999999999,-0.024598428999999998,0.1297141,0.053854205,0.29056805,-0.01390236,-0.08406414,0.17902623,-0.23088185
7,-3746.013979,16000,127.064077,0.06874166400000001,0.020826826,-0.012894389,0.08789311,0.05631013,0.29092366,-0.040292516,-0.060215782,0.18827651,-0.22482693
8,-6544.572508,18000,141.73723700000002,0.148208,0.012137125,0.01619775,0.08676941,0.022722686000000002,0.28298262,-0.030999607999999998,-0.04027431,0.18325606,-0.24255545
9,-5674.325054999999,20000,156.83646000000002,0.23631024,0.042269497999999996,0.023204502000000002,0.10689157,0.011516384,0.27142042,-0.040242873,-0.061189099999999996,0.16501278,-0.24437693
10,-6847.98748,22000,172.73145300000002,0.24927746,0.06687531599999999,0.045685392000000005,0.10360948,0.005851033,0.25786823,-0.046962786,-0.069199435,0.13369402,-0.22708532
11,-4747.512252,24000,189.26070900000002,0.27354762,0.09220581,0.10256233,0.104892254,-0.006486425,0.25021854,-0.05459412599999999,-0.09015514,0.083367586,-0.2317821
12,-3848.356475,26000,206.240317,0.28880408,0.104408845,0.11385643,0.0892529,-0.017336035,0.26122326,-0.07956066,-0.08017083,0.07076583,-0.24003400000000003
13,-3862.947711,28000,223.40135,0.29698172,0.118311755,0.09816246,0.084443234,-0.020512795,0.28848574,-0.088721864,-0.06413693,0.10902926,-0.25557983
14,-3974.2823719999997,30000,239.724344,0.29681486,0.12415842,0.10815648,0.075138815,-0.0154727325,0.30043462,-0.10173826,-0.031775795,0.10290187599999999,-0.24163401
15,-3643.1945479999995,32000,256.635512,0.30060244,0.102282494,0.08140955,0.06837643,-0.003795329,0.30267558,-0.098478265,-0.03692302,0.116600975,-0.22608751
16,-3892.421167,34000,273.857015,0.3081543,0.09586051,0.08283354,0.06683230400000001,-0.013053305,0.30073154,-0.12946601,-0.042413317,0.09530042,-0.2097835
17,-6659.797004999999,36000,291.034169,0.29217955,0.11256018,0.12151492400000001,0.054706283,0.006369692,0.30634552,-0.17427592,-0.02483137,0.08607436,-0.20629515
18,-9324.459524,38000,307.375652,0.2481714,0.14989412,0.17480534,0.05380435,0.041545264,0.29505770000000003,-0.20344414,-0.06343636,0.09469285,-0.19626826
