,r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
0,-1017.765216,2000,14.485404,0.2749968,-0.08595156,-0.22651035,-0.26430103,-0.12064109,0.27834126,0.25052708,0.025364162000000003,-0.07506882,-0.11422446
1,-1065.3043890000001,4000,33.673108,0.27815595,-0.083041295,-0.22858554,-0.26368254,-0.12270007,0.2733042,0.25111532,0.009518987,-0.08366821,-0.11037621
2,-866.020196,6000,50.770567,0.27398646,-0.08615387,-0.2237651,-0.26256666,-0.11749279,0.2761962,0.2511343,0.00036687154,-0.09302992,-0.11315292
3,-655.559934,8000,68.476997,0.28954238,-0.0913557,-0.2182777,-0.26245254,-0.11203268,0.2786509,0.2599927,-0.011014235,-0.10335349,-0.12010088
4,-516.575408,10000,88.165797,0.28217044,-0.102286965,-0.22700593,-0.2600348,-0.12171312,0.28429994,0.24218453,0.001396863,-0.07235169999999999,-0.1309843
5,-632.789561,12000,107.884973,0.27637142,-0.09598311,-0.23976871,-0.27664563,-0.13815159,0.30657429999999997,0.23515958,0.048336702999999995,-0.053216695999999994,-0.14013706
6,-520.86032,14000,124.58029099999999,0.27553895,-0.117819786,-0.24969107,-0.26314226,-0.13093643,0.31728923,0.25422332,0.029721453999999998,0.0034700115000000004,-0.15254988
7,-674.3157110000001,16000,142.362341,0.28021422,-0.118913695,-0.24932384,-0.25747302,-0.12225441,0.3338828,0.25970256,0.016433405,0.03138154,-0.16370898
8,-721.384442,18000,159.354599,0.27767959999999997,-0.11762802,-0.24676111,-0.25160718,-0.11894041,0.33909252,0.26371694,0.009948999,0.03113962,-0.1693824
9,-567.772217,20000,175.93039299999998,0.2772918,-0.11020866,-0.25049679999999996,-0.2517374,-0.116976775,0.33963764,0.26724169999999997,0.0051549594,0.036528822,-0.16761221
10,-760.711308,22000,192.397829,0.2745111,-0.10914905,-0.25523629999999997,-0.24932578,-0.115862854,0.33953884,0.26967254,-0.0028399809,0.03465097,-0.1675357
11,-666.127295,24000,209.86051099999997,0.27475202,-0.11326937,-0.26006302,-0.2486074,-0.117744766,0.32369527,0.27180833,-0.009621237,0.032473552999999995,-0.17122492
12,-620.077711,26000,227.415517,0.27572244,-0.12266615,-0.26228407,-0.24916454,-0.117117584,0.32083815,0.27300462,-0.021758952999999998,0.03405831,-0.17086221
13,-655.053909,28000,244.618156,0.2737016,-0.12921706,-0.26651615,-0.24837059,-0.11608911,0.31720529999999997,0.27606538,-0.023671169,0.034183547,-0.17118010000000003
14,-857.5769019999999,30000,263.38734500000004,0.27317482,-0.13733833,-0.2670864,-0.24653919,-0.113801345,0.31116736,0.27696225,-0.024777787000000003,0.035946086,-0.17761512
15,-676.517829,32000,280.248928,0.27403435,-0.14439508,-0.27147198,-0.24867766,-0.11341084,0.30051386,0.27499995,-0.023246942000000003,0.03859839,-0.18078375
16,-731.6557320000001,34000,299.042633,0.27032483,-0.16155612,-0.27398863,-0.24469772,-0.112714425,0.29684323,0.27693778,-0.02597888,0.03987036,-0.18416525
17,-891.043141,36000,317.463513,0.26699004,-0.17400917,-0.2727295,-0.24393742,-0.11702895,0.317322,0.27858698,-0.030696006,0.043849185,-0.17646074
18,-1045.588226,38000,335.709473,0.26595634,-0.18866695,-0.27305126,-0.24049962,-0.115510516,0.31704614,0.28284556,-0.0315953,0.04952527599999999,-0.17280924
19,-912.99051,40000,352.957902,0.26721862,-0.18721634,-0.27248222,-0.24024369999999998,-0.1269642,0.31745362,0.28474279999999996,-0.028055567000000003,0.050960753,-0.1580145
20,-972.953619,42000,370.377188,0.26809385,-0.19927983,-0.27095342,-0.23703508,-0.12431112,0.32912270000000005,0.28639495,-0.027015177999999997,0.036315124,-0.15671279999999999
21,-984.005033,44000,388.746552,0.27329278,-0.20298798,-0.27057190000000003,-0.2368594,-0.124024265,0.3371014,0.2897321,-0.026585452000000002,0.036305800000000006,-0.14997758
22,-1019.779434,46000,407.197881,0.2782048,-0.20585798,-0.26787907,-0.23787524,-0.12351473,0.34715998,0.29131353,-0.02950631,0.045396425,-0.14586323
23,-1054.199131,48000,425.202716,0.2771244,-0.20772545,-0.26743552,-0.2384116,-0.12440257,0.352462,0.29409159999999995,-0.030134302999999998,0.057223428,-0.14197266
24,-1036.9984880000002,50000,443.308716,0.28024557,-0.20140107,-0.26764497,-0.23819323,-0.1251744,0.3638946,0.29717693,-0.03298389,0.05489995,-0.14314893
25,-1011.5101619999999,52000,460.915172,0.28031817,-0.20047858,-0.27003637,-0.24110563,-0.12989041,0.36718643,0.29944932,-0.022176603,0.06193103,-0.14433657
26,-1045.303693,54000,478.024042,0.28000805,-0.21835606,-0.2738507,-0.24361369,-0.13388622,0.3754094,0.30258209999999996,-0.025198521,0.07844545,-0.14294456
27,-1046.123693,56000,494.559535,0.27740570000000003,-0.21627781,-0.2749321,-0.24670100000000003,-0.13232614,0.38139477,0.30297223,-0.019550838,0.08219534,-0.1574803
28,-1028.175657,58000,511.295708,0.2687893,-0.21401754,-0.2738775,-0.2500199,-0.13364168,0.38453028,0.29782724,-0.008629595,0.0893283,-0.15012307
29,-1025.5348470000001,60000,528.299267,0.25836292,-0.2531065,-0.27599847,-0.24500346,-0.13114034,0.3873531,0.29738447,-0.007914741,0.10463879999999999,-0.16938917
30,-1050.720945,62000,545.071477,0.26406643,-0.30838899999999997,-0.27475643,-0.23887289999999997,-0.13813637,0.37492633,0.29618505,-0.013420719,0.08350655,-0.17997313
31,-1065.083499,64000,561.921752,0.27233526,-0.30300784,-0.28830045,-0.24813952,-0.12820253,0.36951518,0.2939162,-0.0052647227,0.08285569400000001,-0.14862186
32,-1071.426729,66000,578.690995,0.27641827,-0.27566323,-0.27898946,-0.21473284,-0.12039685,0.37823516,0.31625822,-0.0034167727,0.0881525,-0.13995093
33,-1032.359792,68000,595.168853,0.27897158,-0.25869346,-0.26685664,-0.19565667,-0.12308361,0.38536220000000004,0.31978562,0.0007318159299999999,0.09207476,-0.13663901
34,-1021.7370199999999,70000,611.937006,0.27895808,-0.24209939,-0.26692733,-0.17301683,-0.118129745,0.39996806,0.33620846,-0.0012140903,0.11143657,-0.13867468
35,-1014.221517,72000,628.680467,0.2863616,-0.22247146,-0.24618690000000001,-0.16495988,-0.116048396,0.3901042,0.32995406,0.008819717,0.122313604,-0.1437021
36,-1475.2900359999999,74000,645.362917,0.26947865,-0.25486282,-0.25936770000000003,-0.15696871,-0.11208031,0.39716935,0.34856364,0.010019688,0.13206364,-0.13596456
37,-916.688693,76000,662.129057,0.26283070000000003,-0.19265799,-0.25764810000000005,-0.14867643,-0.092906125,0.40000050000000004,0.34952274,0.006564306999999999,0.13343048,-0.11436651
38,-1434.377742,78000,678.868232,0.27551192,-0.16648555,-0.26563784,-0.15748507,-0.08148471,0.3986223,0.35725419999999997,0.009991209000000001,0.15228747,-0.11620417
