,r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
0,-1794.4003469999998,2000,19.429643,0.11574773,0.10509336,0.29741746,0.15068215,0.07474432,0.0988562,-0.18247752,-0.16508599,-0.24109443,0.22910602
1,-1792.2367769999998,4000,47.818424,0.113547124,0.08112895,0.29905903,0.15774834,0.08282897,0.11254413,-0.17865343,-0.14809303,-0.22669639,0.22559027
2,-1783.955354,6000,66.10759499999999,0.11174811400000001,0.04267176599999999,0.29196700000000003,0.17281644,0.12882118,0.08170788,-0.18574125,-0.16736913,-0.26251897,0.20450929999999998
3,-1809.2871719999998,8000,84.034049,0.110665135,-0.034269515,0.26859996,0.1789447,0.1854541,0.08824675,-0.14659518,-0.16788144,-0.31188086,0.16286947
4,-1582.388123,10000,99.598136,0.13965723,-0.044676244000000004,0.25251567,0.19640261,0.20159568,0.095017344,-0.11652248,-0.16062184,-0.32601357,0.13131500000000002
5,-1354.610694,12000,117.93001100000001,0.12700775,-0.087107874,0.25501117,0.20630793,0.20932688,0.08382794,-0.11675309,-0.19178833,-0.33140913,0.12843584
6,-1556.555584,14000,137.070592,0.14373468,-0.06450709,0.25166935,0.20573923,0.20913647,0.08419908,-0.12142829599999999,-0.14373010000000003,-0.33806366,0.12585713
7,-1903.3783420000002,16000,152.095891,0.14315264,-0.05579926,0.25207287,0.20877965,0.21632238,0.08197931,-0.11605443,-0.14019051,-0.35042876,0.11517714
8,-1546.1930960000002,18000,167.131558,0.1347523,-0.0023764668,0.24030763,0.20364653,0.21328147,0.08518752,-0.096739195,-0.14784487,-0.33864440000000007,0.12533930000000001
9,-1338.853829,20000,183.484157,0.12319298,-0.031901747,0.26397982,0.18250953,0.20683594,0.117476806,-0.111486666,-0.13261470000000003,-0.34340668,0.18113813
10,-1439.030427,22000,200.952632,0.10960354,-0.050220105999999994,0.29798695,0.17054626,0.18109523,0.1535019,-0.12245559,-0.10783583,-0.3306981,0.22048138
11,-1393.472978,24000,217.718709,0.10323345,-0.004973689,0.32188463,0.19126719,0.18319601,0.17792289,-0.1652742,-0.11463063,-0.32686540000000003,0.23026225
12,-1532.542868,26000,235.723968,0.13591443,0.086505055,0.3234968,0.22383434,0.17856129,0.1825701,-0.18335685,-0.12370295,-0.34483448,0.2312164
13,-1316.415408,28000,252.511929,0.15510732,0.053296614000000006,0.2975397,0.19999532,0.18676941,0.17556083,-0.18965828,-0.10137021,-0.33544764,0.23384863
14,-833.679172,30000,271.584514,0.2040491,-0.009995037,0.35654178,0.17606658,0.110096514,0.15760489,-0.10281847,-0.06858894,-0.3872131,0.28028476
15,-958.201713,32000,295.691852,0.18863715,-0.04593136,0.38996553,0.15205936,0.10447261,0.15345715,-0.11705819,-0.04834498,-0.38829944,0.2649336
16,-619.3602980000001,34000,318.370219,0.17692721,-0.15224488,0.388176,0.1446134,0.10060897,0.18199119,-0.107438676,-0.011207769,-0.34905636,0.27683583
17,-553.82508,36000,341.791174,0.18504027,-0.17786969,0.36491048,0.13207641,0.092426404,0.25772995,-0.08416892599999999,-0.008699584,-0.24224925,0.3381192
18,-1370.768217,38000,365.442613,0.17908604,-0.27121484,0.3157736,0.12734681,0.11854063,0.1878591,-0.059602585,-0.023053503,-0.21374469,0.40053890000000003
19,-1560.513688,40000,385.191606,0.16964863,-0.32168537,0.17529981,0.10743746,0.13749687,0.113942325,-0.05949728,-0.012537582,-0.2229799,0.43720344
20,-779.017384,42000,405.63903799999997,0.15656962,-0.34639362,0.104898885,0.109022886,0.13550967,0.058973745,-0.055247106,-0.02188399,-0.29127309999999995,0.43908566
21,-630.51983,44000,424.499943,0.18026078,-0.34199208,0.12509294,0.11298205,0.13824803,0.04328278,-0.05832896,-0.06703126,-0.29762578,0.43784416
22,-520.843306,46000,441.991002,0.22562374,-0.32065925,0.12048912,0.10779878,0.13862854,0.0051674354,-0.064028926,-0.09856789,-0.34945166,0.44196647
23,-647.8583150000001,48000,463.91483099999994,0.2317123,-0.31818447,0.106512494,0.098274976,0.14069445,-0.0026184565,-0.072953165,-0.09692648,-0.37291209999999997,0.44752240000000004
24,-1071.3647369999999,50000,480.160412,0.23200637,-0.27593225,0.14004588,0.08852739,0.18878202,0.0006804877,-0.08285596,-0.076046504,-0.33562633,0.4533382
25,-745.265949,52000,496.257209,0.22749136,-0.27490276,0.17031166,0.08350081,0.18357573,0.020755636,-0.084365435,-0.06662571,-0.2918185,0.45503622
26,-547.656492,54000,514.7005740000001,0.22316332,-0.26864028,0.21964297,0.07111432,0.16664754,0.103814855,-0.09411006,-0.037092477,-0.20494589,0.46196762
27,-555.894628,56000,533.553169,0.23174421,-0.27507547,0.22913516,0.068989664,0.14054532,0.11821989999999999,-0.10053777,-0.02079209,-0.15922183,0.47557503
28,-560.9861530000001,58000,551.9032480000001,0.25939429999999997,-0.28071690000000005,0.22620891,0.057861906,0.14218591,0.13734019,-0.10505331,-0.079707846,-0.10277989,0.4689085
29,-555.8902320000001,60000,567.350697,0.2676235,-0.29240778,0.26320609999999994,0.053327367,0.14195745,0.13429065,-0.09240825,-0.07936026,-0.054637935,0.45390502
30,-909.393457,62000,582.889863,0.27033058,-0.3181005,0.2930933,0.060046453,0.1542785,0.12829325,-0.08552529,-0.08717477,-0.004414994,0.47166508
31,-1324.255804,64000,601.37623,0.26738548,-0.32080890000000006,0.3489075,0.06264152,0.15567082,0.118578896,-0.108789526,-0.13854745,0.048478365,0.47294265
32,-751.260596,66000,617.44569,0.26099658,-0.31661582,0.33382982,0.04734037,0.16049394,0.11285473,-0.14641216,-0.13569969,0.08162949,0.5028236
33,-546.091438,68000,633.144057,0.23473155,-0.31092545,0.34178448,0.00014871393999999998,0.16067222,0.13020499,-0.18065284,-0.17148978,0.14603212,0.52510417
34,-422.3815230000001,70000,649.936453,0.21749721,-0.3012878,0.33983034,-0.026753895,0.16134149,0.12496989,-0.19787616,-0.1648108,0.18110861,0.5131931
35,-547.5301139999999,72000,670.606162,0.21900932,-0.28266355,0.35912812,-0.065706976,0.14698051,0.108845174,-0.21950325,-0.14447705,0.19705214,0.49497765
36,-534.042235,74000,689.4573230000001,0.21015503,-0.2741367,0.36316726,-0.08376776400000001,0.15383911,0.10835966,-0.22289257,-0.13063543,0.22761884,0.48779553
37,-748.045611,76000,706.54294,0.19866231,-0.26075748,0.36869440000000003,-0.095363855,0.14171523,0.1149784,-0.25393328,-0.106216855,0.2541539,0.48675619999999997
38,-451.29975700000006,78000,723.9147009999999,0.19625776,-0.26360026,0.3523093,-0.11057750000000001,0.13392939,0.12512387,-0.2821298,-0.101379685,0.2754952,0.49732479999999996
39,-737.269333,80000,742.8016299999999,0.1917086,-0.25913766,0.36373990000000006,-0.10890023,0.13724943,0.13301656,-0.30448398,-0.11025171,0.2816735,0.497258
40,-491.549641,82000,760.7787030000001,0.18829018,-0.2717638,0.37577695,-0.08609428,0.13575076,0.12870604,-0.32354456,-0.12144787,0.27839994,0.4940407
41,-448.59369100000004,84000,779.383778,0.18749577,-0.2633426,0.39693022,-0.05722709,0.12542829,0.120290786,-0.34010246,-0.12663504,0.28534827,0.49062806
42,-569.710415,86000,796.4113110000001,0.18412855,-0.25666633,0.40401479999999995,-0.056838907,0.12409788,0.11525952,-0.34054855,-0.12610523,0.28961176,0.48506229999999995
43,-1680.0031600000002,88000,813.687323,0.1881638,-0.2574564,0.43436545,-0.054039422000000004,0.12077163,0.120566,-0.34511524,-0.12626201,0.29249993,0.47783327
44,-1544.911906,90000,831.2353969999999,0.18963729,-0.25455043,0.45832786,-0.044070765,0.11271495,0.12123673,-0.34530655,-0.13072221,0.2960441,0.47779340000000003
45,-608.1995870000001,92000,850.361084,0.18979584,-0.25607967,0.5245929,-0.03403993,0.123225085,0.1253,-0.3588086,-0.15348731,0.30338275,0.48199368
46,-582.81881,94000,867.986817,0.1931514,-0.26364,0.5465012,-0.02281802,0.12959707,0.13674496,-0.39982212,-0.17794979,0.3074376,0.48282406
47,-1268.781154,96000,886.010994,0.18883559,-0.26994070000000003,0.56741285,-0.017039733,0.13462766,0.15160231,-0.44247088,-0.19147386,0.30918872,0.49149024
48,-506.26731500000005,98000,905.382943,0.19339998,-0.277279,0.5958283000000001,-0.015994087,0.14521813,0.16274689,-0.44599378,-0.23202123,0.3103718,0.5049948000000001
49,-488.471163,100000,923.6151550000001,0.19366449,-0.28269133,0.6315289000000001,-0.013053992,0.1526289,0.17301027,-0.42151946,-0.24963355,0.3148019,0.5163658
50,-578.991021,102000,940.892568,0.19160338,-0.2853825,0.66247666,-0.0043941713,0.15539223,0.18542449,-0.40427276,-0.26575413,0.31528032,0.5266904
51,-1032.2355009999999,104000,958.111411,0.19371536,-0.28808543,0.685447,0.008574228,0.15382728,0.19896162,-0.38312307,-0.26468205,0.31187695,0.5336886
52,-1131.836738,106000,976.042249,0.19776207,-0.28476399999999996,0.6968715999999999,0.011223998999999998,0.14890578,0.21193896,-0.38371697,-0.26652423,0.30979174,0.54364544
53,-1340.674607,108000,993.1625050000001,0.20212616,-0.28393847,0.7088267,0.016530242,0.15291041,0.21990618,-0.38131618,-0.26994836,0.30636916,0.55201066
54,-1319.551358,110000,1009.8480599999999,0.20535293,-0.28194195,0.70098877,0.0137143,0.14275452,0.22228673,-0.37229818,-0.24599637,0.30787329999999996,0.55320543
55,-1357.833965,112000,1027.7813640000002,0.21058485,-0.2662969,0.6898161,0.008703871,0.13218015,0.22579399,-0.3822709,-0.21915543,0.31382608,0.55107856
56,-1684.599027,114000,1045.0420179999999,0.22417544,-0.2526158,0.6940876,0.0135011375,0.09325662,0.22590862,-0.38380040000000004,-0.20426917,0.3162513,0.54946685
57,-1835.2618579999998,116000,1063.7371269999999,0.23118182,-0.24705194,0.6970795,0.004297060399999999,0.06201181,0.21894410000000003,-0.36504778,-0.20892129999999998,0.31103972,0.54965466
58,-1401.5314939999998,118000,1080.918814,0.23432061,-0.24660558,0.7009781,0.028383657000000003,0.05518467,0.21077728,-0.35626078,-0.19766372,0.30214006,0.54812807
59,-1389.050158,120000,1098.6859359999999,0.23212935,-0.24396269,0.6972125,0.027856587000000002,0.07470331,0.21135789999999996,-0.34107329999999997,-0.19973068,0.30180418,0.55222434
60,-1226.137489,122000,1116.29934,0.22905207,-0.2373893,0.7029579,0.01963405,0.07935497,0.20606898,-0.31656834,-0.20137347,0.30211136,0.54892105
61,-1372.114098,124000,1133.3503269999999,0.21912867,-0.23507489999999998,0.69618493,-0.0047143,0.10917605,0.19926602,-0.3038993,-0.2040807,0.29884166,0.55653596
62,-1184.950966,126000,1149.8854119999999,0.21952003,-0.23655422,0.6623673000000001,-0.0313906,0.12028017,0.20035489,-0.29558176,-0.20967837,0.29634213,0.5528761
63,-1173.186727,128000,1166.752615,0.21153326,-0.23904733,0.6394028,-0.046343256,0.11460915,0.20738392,-0.29918754,-0.20213272,0.29226798,0.5534178000000001
64,-1618.779124,130000,1184.890308,0.21638004,-0.24084009999999997,0.63153464,-0.06375497,0.117391795,0.20957391,-0.2933886,-0.19388676,0.28363392,0.5543199000000001
65,-1276.817189,132000,1203.1419640000001,0.22687803,-0.24211660000000002,0.63093066,-0.060347202999999995,0.10563625,0.20560709,-0.3021679,-0.18555623,0.28535685,0.5581746
66,-1412.388688,134000,1220.269401,0.24299918,-0.23639674,0.66601694,-0.071173325,0.09699169999999999,0.20636205,-0.29999322,-0.16749878,0.27685073,0.5539242
67,-623.3193160000001,136000,1237.283698,0.2581873,-0.2387228,0.69092584,-0.068124995,0.08932482,0.21435651,-0.30913928,-0.15173087,0.27054770000000006,0.55896217
68,-1739.7256960000002,138000,1254.340292,0.26803404,-0.24072549,0.6956744,-0.07505637400000001,0.08477215,0.21715038,-0.33113042,-0.15480499,0.26755017,0.5643659000000001
69,-709.59459,140000,1271.605963,0.25655037,-0.23793353,0.7191847,-0.077909485,0.09187988,0.22366998,-0.3373363,-0.15857153,0.26304746,0.5618135999999999
70,-1769.723818,142000,1288.920335,0.24888653,-0.24995232,0.72746336,-0.06592332599999999,0.104618385,0.22095656,-0.33757020000000004,-0.16675998,0.2770954,0.56167704
71,-763.943578,144000,1305.1509449999999,0.24962849999999998,-0.25399902,0.6963401,-0.06653014,0.11006869,0.22014113,-0.33244267,-0.17500944,0.28510100000000005,0.5674061
72,-1620.671586,146000,1320.867986,0.24947135,-0.25473058,0.6762682,-0.06811541,0.100812495,0.21340589,-0.3321935,-0.17939381,0.27553347,0.56893736
73,-1304.4567539999998,148000,1336.182121,0.2482146,-0.24390985,0.6853113000000001,-0.03627001,0.10054668,0.20472442,-0.33918634,-0.18518794,0.26850715,0.5692919
74,-1752.747569,150000,1351.544244,0.24931258,-0.23567313,0.71550053,-0.023491966,0.11299658,0.19609872,-0.35455108,-0.18192782,0.2681018,0.5541067
75,-1226.4808990000001,152000,1366.981327,0.25014725,-0.22883402,0.7190960999999999,-0.024137285,0.099689975,0.19935706,-0.35242829999999997,-0.18136111,0.25859937,0.55036616
76,-1779.2087210000002,154000,1382.564652,0.2363134,-0.22079836,0.71860075,-0.04571811,0.10361455,0.20075901,-0.35139376,-0.18286225,0.26954353,0.55400896
77,-1817.69627,156000,1398.046566,0.23437217,-0.23112977,0.7159449999999999,-0.039087437,0.10577950000000001,0.20359565,-0.37570529999999996,-0.18445325,0.26574359999999997,0.5568791999999999
78,-1730.836448,158000,1413.4088960000001,0.23281343,-0.23758174,0.7101144,-0.026242452000000003,0.105411164,0.20130904,-0.375226,-0.18150936,0.25282267,0.5526224000000001
79,-1813.790016,160000,1428.7555380000001,0.22702698,-0.2597665,0.7190217,0.026111579,0.10567114,0.20108584,-0.37838516,-0.17795113,0.24278013,0.5569478
80,-1782.7885649999998,162000,1444.1569060000002,0.21873604,-0.27178624,0.72601074,0.02963936,0.10450822,0.2050803,-0.39008054,-0.17764504,0.23126679999999997,0.563695
81,-1743.503822,164000,1459.534501,0.21322037,-0.2738265,0.7328284,0.031000756,0.10993028,0.21316136,-0.3733789,-0.17686062,0.21552663,0.57606477
82,-1197.322013,166000,1474.875335,0.20284916,-0.27726325,0.7338379,0.05052482,0.10789923,0.22536527,-0.37424132,-0.18264699,0.20655282,0.57807153
