,r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
0,-596.156379,2000,14.752351,-0.20518845,0.28699875,0.033712488,0.16156906,-0.026341071,-0.14440562,-0.09290774,-0.26695168,-0.11784901,-0.15078424
1,-604.230933,4000,36.083003000000005,-0.21120405,0.28277022,0.038131017,0.16181399,-0.03191382,-0.14492370000000002,-0.090705715,-0.27531123,-0.10901181,-0.11707436
2,-900.996799,6000,51.512828000000006,-0.21220797,0.2833265,0.04017483,0.15956524,-0.030385988,-0.14255744,-0.08795286,-0.27499807,-0.10258002599999999,-0.11350332
3,-1097.063202,8000,69.31239000000001,-0.21343499999999999,0.28356788,0.041344985,0.15491842,-0.02581399,-0.12454424,-0.08368727599999999,-0.27029353,-0.09934215,-0.109428175
4,-1429.4972189999999,10000,87.129826,-0.21662086,0.281922,0.04360843,0.15091114,-0.011607065,-0.11764294,-0.077603586,-0.25423482,-0.09210339,-0.09961602
5,-1339.4694869999998,12000,104.29301,-0.21345699,0.27839008,0.033132188,0.16641964,0.0052545694999999995,-0.10164937,-0.084595546,-0.20917596,-0.110301346,-0.09633843
6,-161.594777,14000,120.481057,-0.21151003,0.2697324,0.016134443000000002,0.17860182,0.0064737894999999995,-0.086748354,-0.08391671,-0.080425106,-0.14266387,-0.05707114
7,-1372.360553,16000,138.357663,-0.22381246,0.2778006,-0.009160526,0.16673970000000002,0.0026291742,-0.09934211,-0.07938666,-0.04326533,-0.21313156,-0.053099337999999996
8,-459.62519699999996,18000,154.765059,-0.22391737,0.28374773,-0.11908356,0.14522715,0.029234048,-0.11770097,-0.09918771,-0.02667307,-0.43129449999999997,-0.13372369
9,-354.56885800000003,20000,171.133397,-0.20524360000000003,0.28799862,-0.065513,0.10855845,-0.009912812,-0.15930347,-0.13668486,-0.005310394300000001,-0.46054843,-0.112685785
10,-507.93966100000006,22000,187.46662800000001,-0.11640813,0.34333086,-0.032494668,0.066163175,-0.07611345,-0.18574035,-0.21411778,-0.01872839,-0.6523219,-0.14259085
11,-564.123607,24000,204.34775,-0.080147356,0.40981599999999996,-0.036143646,0.031678297,-0.11493005,-0.20025228,-0.25812253,-0.04331359,-0.75885046,-0.13743375
12,-385.883758,26000,220.754185,-0.081679516,0.42726284,0.0037255036,-0.004885561,-0.23184204,-0.16940574,-0.29160237,-0.04020886,-0.8826824000000001,-0.13604568
13,-123.75139899999999,28000,237.18700499999997,-0.107792206,0.47521564,0.005602156,0.04145558,-0.304194,-0.11816359,-0.31669182,-0.059489507000000004,-0.9180075999999999,-0.18576005
14,-102.384909,30000,256.73205,-0.27132788,0.4520467000000001,0.09410389,0.06929025,-0.40733728,-0.118529014,-0.35353047,-0.05663639,-0.8547265,-0.21959276
15,-102.859288,32000,276.561317,-0.31763732,0.53374624,0.11110479,0.07269274,-0.48558968,-0.17146865,-0.3664617,-0.10353585,-0.6863557,-0.24758032
16,-117.291196,34000,294.185165,-0.36739640000000007,0.5493964,0.09777519,0.10780604,-0.5914,-0.202956,-0.3501598,-0.09359575,-0.6679092,-0.26584494
17,-1037.6672800000001,36000,313.21898999999996,-0.40425193,0.5068799,0.1003817,0.12485867,-0.6421741,-0.21483652,-0.32335890000000006,-0.03491399,-0.6898929,-0.30375573
18,-236.829539,38000,331.404113,-0.41231638,0.48447907,0.100145586,0.14300783,-0.6748731,-0.22114270000000003,-0.3084808,-0.03906699,-0.7118868,-0.31193605
19,-113.098247,40000,349.056816,-0.42418328,0.46614754,0.11222463,0.15725286,-0.6969637,-0.20073177,-0.30318728,-0.040367357,-0.7025189000000001,-0.32241333
