,r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
0,-1777.69805,2000,13.506279999999999,-0.27009708,0.2358839,0.13764735,-0.022245927000000002,-0.07218669,-0.2895966,-0.11279310000000001,0.16580155,0.10101216,0.09881813
1,-1347.3303310000001,4000,31.000716999999998,-0.27141279999999995,0.23453203,0.13779213,-0.022549517,-0.071902156,-0.29058090000000003,-0.110399425,0.16387208,0.09968094,0.09739829
2,-1291.852407,6000,47.502228,-0.28513402,0.21376872,0.14784445,-0.035138123,-0.06234823,-0.23550561,-0.1279902,0.1443388,0.07937593,0.09260022
3,-1563.261766,8000,63.938036,-0.31496716,0.16805843,0.14267305,-0.06635011,-0.038292493999999996,-0.23287068,-0.12239332,0.09743056,0.07692114,0.11621326
4,-1841.1301219999998,10000,78.798957,-0.35046014,0.12906764,0.1489974,-0.11943128,-0.03130163,-0.24552873,-0.121785894,0.05289235,0.06478004,0.13340472
5,-1612.745136,12000,93.672579,-0.3602504,0.13485447,0.13488488,-0.04781196,-0.02735135,-0.192848,-0.13235037,0.06999017,0.061936393,0.16163464
6,-1927.3765219999998,14000,108.596321,-0.26317529999999995,0.18060657,0.13846357,0.044025663,-0.0005133029,-0.14968325,-0.13086922,0.08813789999999999,0.051045142,0.20396975
7,-1652.626139,16000,123.534878,-0.18152466,0.17490146,0.13008782,0.09342468,0.03061082,-0.12843724,-0.13878758,0.1312116,0.04554958,0.21936409
8,-1655.123614,18000,138.625649,-0.13090718,0.19494133,0.11114556,0.117718294,0.02849041,-0.12821977,-0.14501981,0.15579028,0.03998945,0.22455211
9,-1631.947526,20000,153.722744,-0.10057417,0.17515531,0.09849927,0.10911707,0.034507524,-0.11952348,-0.14702857,0.18016651,0.028467422000000003,0.2314725
10,-1625.320925,22000,168.937839,-0.1076932,0.17755248,0.108465925,0.12939733,0.059943236,-0.10825374,-0.14994983,0.17543915,0.018036827,0.2630086
11,-371.499123,24000,184.03184299999998,-0.082214825,0.18722650000000002,0.13311361,0.16722752,0.081835136,-0.09919352,-0.14857723,0.16810326,0.010894303000000001,0.28651688
12,-1213.434666,26000,201.000575,-0.046984393,0.20970492,0.14683047,0.18532024,0.09898398,-0.09465687,-0.14848088,0.16949853,0.0013412702,0.29232070000000004
13,-1200.824031,28000,216.18559900000002,-0.047202247999999995,0.19979964,0.14314167,0.16800186,0.11479660000000001,-0.0947044,-0.14769620000000003,0.17826775,0.00088877,0.29026090000000004
14,-1625.655004,30000,231.43003199999998,-0.05243166,0.23079577,0.13042724,0.13802999999999999,0.1223358,-0.10100601599999999,-0.15217178,0.16954887,0.0018372737,0.3019313
15,-1520.4076699999998,32000,246.70520699999997,-0.056626095999999994,0.23313832,0.11781272,0.11841463,0.11843517,-0.09922475,-0.14957646,0.18115222,0.0073882819999999995,0.29808286
16,-969.6311710000001,34000,262.103543,-0.050102778,0.22981304,0.10013675,0.11408225,0.10152401,-0.095016666,-0.14199355,0.19288605,0.006853884,0.2842969
17,-1489.197789,36000,277.461594,-0.034584135,0.21814355,0.09915772,0.11434993,0.091392875,-0.08240162,-0.14212966,0.19278069,0.0077257184,0.2689448
18,-1517.278598,38000,292.878357,-0.03428527,0.21403326,0.10512169999999998,0.10916402,0.10906071,-0.07056067,-0.14503968,0.18936953,0.0041198307,0.26976815
19,-909.705387,40000,308.248581,-0.05575333,0.21464732,0.108061954,0.10785676,0.12313722,-0.07779717,-0.14479646,0.18579158,-0.0006816111,0.26840633
20,-1576.2716970000001,42000,323.730938,-0.055722468,0.21218772,0.11345366,0.105464004,0.12763095,-0.09633119,-0.13564737,0.16345033,0.010275089,0.26805848
21,-522.220711,44000,339.10918599999997,-0.073242314,0.20402679,0.12224468,0.089963995,0.12470437,-0.09840483,-0.14351608,0.14222753,0.030085327000000002,0.2672213
22,-505.371881,46000,354.56394500000005,-0.07460397,0.19569278,0.13553227,0.0922419,0.122849,-0.09407352,-0.14823817,0.14119188,0.030958762,0.27097932
23,-944.075958,48000,370.021297,-0.082146786,0.18978932,0.13044228,0.10477113,0.11887516,-0.09290713,-0.14879455,0.13819186,0.02549803,0.28181472
24,-593.337728,50000,385.552722,-0.087978065,0.19150548,0.12861493,0.109413035,0.12046707400000001,-0.10072692,-0.16059820000000002,0.14811839,0.021356726,0.29199037
25,-640.347396,52000,400.992931,-0.100132965,0.1917171,0.12756254,0.11422724,0.117790826,-0.12044117,-0.1682535,0.15420926,0.019166311000000002,0.30070767
26,-618.7939,54000,416.458452,-0.09855958,0.18805972,0.12918895,0.11289534,0.11958985,-0.13600516,-0.17002718,0.15794586,0.013727103000000001,0.306483
27,-1508.70774,56000,431.91281299999997,-0.111891374,0.17283216,0.12945326,0.10992331,0.11187134,-0.14577432,-0.16716063,0.15774995,0.014955717,0.30956215
28,-508.37459400000006,58000,447.45636399999995,-0.12359103,0.16244909,0.12864494,0.09688780000000001,0.11019615,-0.14247581,-0.16339375,0.16493283,0.019494653,0.30898127
29,-1440.531107,60000,462.84203499999995,-0.12990488,0.17194276,0.12122914,0.088323995,0.10469547,-0.1340915,-0.16851288,0.17290406,0.014126765,0.3091192
30,-600.069913,62000,478.25903700000003,-0.13676223,0.17631271,0.11615248,0.087908275,0.09478245,-0.13041887,-0.16862912,0.16928142,0.014468341000000001,0.3100137
31,-1146.392069,64000,493.72041900000005,-0.13795464,0.17938817,0.11215539999999999,0.08656862,0.09119129,-0.12968434,-0.17084904,0.16330965,0.011812112,0.31341490000000005
32,-585.16176,66000,509.416317,-0.12910484,0.17726043,0.1271707,0.08419009,0.086917,-0.13307983,-0.16992566,0.16026379999999998,0.011476958999999998,0.31652004
33,-520.302573,68000,525.2675059999999,-0.12215429,0.17916447,0.11804284,0.08285416,0.08498754,-0.13426259,-0.16930036,0.14804871,0.010655881,0.31786570000000003
34,-535.434068,70000,541.085328,-0.11075283,0.18094899,0.11567551,0.08145079,0.08429441,-0.13744502,-0.16770731,0.13977258,0.010620269,0.31808034
35,-506.58300499999996,72000,556.9886,-0.09062647,0.18375534,0.117426455,0.08027484,0.08751628,-0.13973926,-0.16830942,0.13982175,0.005896033,0.31966245
36,-483.90222,74000,572.8235030000001,-0.07371993,0.18353075,0.11606157,0.0799446,0.09222996,-0.14120193,-0.16803333,0.1380813,0.0024422264999999998,0.32291153
37,-448.521336,76000,588.621995,-0.056475263,0.18524969,0.11973454,0.08083775,0.098686814,-0.14234805,-0.16550963,0.13050503,-0.0019638375,0.32643223
38,-1777.575876,78000,604.459146,-0.055099804,0.18887322,0.12801836,0.08477759,0.10178545,-0.13942824,-0.15771809,0.1265584,-0.008996826999999999,0.32573688
39,-1773.3363980000001,80000,620.541594,-0.061770822999999996,0.19632429,0.12958884,0.09055063,0.1021716,-0.13531566,-0.15519895,0.12920952,-0.015405763000000001,0.31694229999999995
40,-536.885833,82000,636.296273,-0.06342668,0.19871092,0.12931938,0.092822805,0.09708181,-0.13307598,-0.15517457,0.123370714,-0.016216781,0.3141955
41,-628.861483,84000,652.130959,-0.062796086,0.19701031,0.12788174,0.09217184,0.09379034,-0.13389437,-0.15488310000000002,0.12526737,-0.018173775,0.31567633
42,-591.298745,86000,667.9883480000001,-0.06256014,0.19061327,0.119224034,0.09334744,0.095982075,-0.13979107,-0.15420844,0.12212287,-0.019924783999999997,0.31919402
43,-461.459874,88000,683.989459,-0.055407643,0.17560242,0.11049329,0.09091862,0.10070633,-0.14195576,-0.15461498,0.12384947,-0.020751195,0.3245111
44,-446.69521100000003,90000,699.8905679999999,-0.04481233,0.1636292,0.10058500000000001,0.08902724,0.10621403,-0.13710292,-0.15407735,0.13178370000000003,-0.019344233,0.32501325
45,-406.064752,92000,715.9037969999999,-0.038008172,0.15586331,0.0967798,0.087335035,0.1133655,-0.13623093,-0.15489157,0.13723113,-0.021505202999999997,0.32435977
46,-483.73363600000005,94000,731.688667,-0.03225795,0.15008198,0.09732692,0.081118256,0.1210126,-0.13365655,-0.15164854,0.14306158,-0.022485146,0.32296652
47,-406.418383,96000,747.8037559999999,-0.030599725,0.15349625,0.09310789,0.077427,0.1268361,-0.12634656,-0.15044497,0.14830844,-0.021461392000000003,0.32341197
48,-400.50183799999996,98000,763.931121,-0.039376896,0.14367425,0.09142014400000001,0.06723626,0.12994798,-0.12374475,-0.14635694,0.15371266,-0.014048168,0.3281143
49,-373.047875,100000,779.889814,-0.04097601,0.13906829,0.08854116,0.050826415,0.1188349,-0.12438597,-0.13687573,0.15640394,-0.012839612,0.33256835
50,-566.36082,102000,795.7258559999999,-0.03559121,0.13456643,0.085892014,0.04205478,0.11872087,-0.12163229,-0.13071837,0.13022685,-0.008668484,0.33577302
51,-361.916632,104000,811.6094400000001,-0.02672768,0.13816181,0.08137538,0.034785435,0.11959159400000001,-0.11979260000000001,-0.12886587,0.12287733,-0.006935809300000001,0.34059322
52,-665.087235,106000,828.855084,-0.029282283,0.136256,0.087609984,0.024919,0.115329474,-0.12109052,-0.124255344,0.116882004,-0.005565139,0.33966127
53,-449.603437,108000,844.327163,-0.03125872,0.120371714,0.07773148,0.014804248999999998,0.11128157400000001,-0.113018155,-0.12501222,0.13989367,-0.004398524799999999,0.34191993
54,-613.69865,110000,859.7122630000001,-0.03966762,0.09893321,0.025251173999999998,0.019329106000000002,0.108388826,-0.10698562,-0.13541326,0.1380229,-0.007866868,0.35162643
55,-554.1183530000001,112000,875.245193,-0.03375865,0.08829882,-0.006516431,0.041439615,0.10856358,-0.10376631,-0.1501344,0.15221344,-0.010752385500000001,0.36090428
56,-541.0313980000001,114000,890.732516,-0.0453279,0.0708048,-0.032466814,0.08230064,0.10659675,-0.103347875,-0.16328935,0.18185484,-0.010646511,0.35925928
57,-403.426846,116000,906.2522650000001,-0.065439925,0.060959123,-0.0360782,0.10359665,0.101121604,-0.10598495,-0.1747153,0.18289176,-0.009570041999999999,0.3568716
58,-444.86464299999994,118000,921.752399,-0.09158104,0.04655597,-0.06789154,0.1101432,0.10034096,-0.103451125,-0.17640235,0.18393728,-0.0048510362,0.35782236
59,-549.172129,120000,937.1677269999999,-0.16043337,0.045494016,-0.09487754,0.16121541,0.10153715,-0.09947754,-0.16177857,0.18617217,0.0012484598,0.36132929999999996
60,-462.201805,122000,952.607709,-0.23159474,0.044050917,-0.090159595,0.21959618,0.10436665,-0.11113351,-0.17321591,0.20643137,0.00481625,0.35942364
61,-564.165858,124000,968.1714119999999,-0.28933325,0.038191445,-0.11079946,0.23026784,0.10354888400000001,-0.12365745,-0.19166505,0.22000067,0.005522050400000001,0.3644478
62,-442.71170700000005,126000,983.506484,-0.32742709999999997,0.028420333,-0.13655451,0.2499297,0.104141645,-0.1336928,-0.2117464,0.23501074,0.0069498788,0.36127177
63,-414.078603,128000,998.8214519999999,-0.36797234,0.027493177,-0.16340804,0.26585078,0.10524241599999999,-0.13495784,-0.22728918,0.24618946,0.010723866,0.35862005
64,-385.303877,130000,1014.2029679999999,-0.35854825,0.020819575,-0.17112227,0.28109193,0.10014254,-0.13558845,-0.24357329999999996,0.24861707,0.009860544,0.3587078
65,-601.494868,132000,1029.8307220000002,-0.35631090000000004,0.020158198000000002,-0.20517965,0.295741,0.08725916,-0.13278810000000002,-0.24869464,0.25210229999999995,0.013847536,0.34935236
66,-384.815718,134000,1045.38582,-0.36070004,0.033964567,-0.22976620000000003,0.34049958,0.07671557,-0.1335718,-0.26206204,0.24726096,0.015946101,0.33726966
67,-393.353453,136000,1061.104306,-0.32686567,0.036175746,-0.24442981,0.3639124,0.07075708,-0.13344835,-0.25577444,0.25132382,0.015847355,0.32774237
68,-401.134795,138000,1076.702842,-0.31727576,0.049371555,-0.25574037,0.3802127,0.06244866,-0.13285518,-0.26372135,0.2671913,0.0005638073,0.32753724
69,-369.57707400000004,140000,1092.30394,-0.29738015,0.051866587,-0.26969886,0.38134903,0.05773104,-0.10802034,-0.26543490000000003,0.25043806,-0.021765207999999998,0.3224203
70,-367.70388199999996,142000,1108.1612910000001,-0.25110668,0.04709011,-0.2852037,0.4206156,0.06075338,-0.08553853,-0.26588017,0.23935905,-0.034343734,0.31580904
71,-366.19864,144000,1123.802999,-0.2408638,0.04842629,-0.3024857,0.47661453,0.059814908,-0.084187135,-0.26324657,0.23969997,-0.045605164000000004,0.30354485
72,-396.45038900000003,146000,1139.699374,-0.24484895,0.04521168,-0.3248159,0.43652799999999997,0.062098167999999995,-0.09645110000000001,-0.26256877,0.247477,-0.05627096400000001,0.29318324
73,-380.064046,148000,1155.3860359999999,-0.24753556,0.042371918,-0.35643438,0.34157866,0.07250634,-0.10510910000000001,-0.24677172,0.24269989999999997,-0.06454883,0.29065448
74,-510.749654,150000,1171.168391,-0.25738358,0.040476974,-0.37055978,0.32766616,0.093621686,-0.13077366,-0.25021124,0.24984202,-0.060954347,0.28760955
75,-517.30491,152000,1186.7287310000002,-0.24218494,0.049948078,-0.3731842,0.33913457,0.09792847,-0.16319135,-0.25417280000000003,0.24030754,-0.06389581,0.27845475
76,-351.684211,154000,1202.3528099999999,-0.17878878,0.065865755,-0.34401506,0.34660676,0.10615651,-0.18220007,-0.27174962,0.22704598,-0.060699685999999996,0.26763576
