r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
-944.426456,2000,16.85714,0.2245069,-0.099175945,0.21082735,-0.030055126,0.19178592,-0.06625678,-0.24515373,0.24583863,0.051821247,0.23578554
-1145.334322,4000,43.364308,0.2245069,-0.099175945,0.21082735,-0.030055126,0.19178592,-0.06625678,-0.24515373,0.24583863,0.051821247,0.23578554
-1294.43347,6000,61.098104,0.22454248,-0.09927613,0.21080074,-0.03000623,0.19162574,-0.065821685,-0.24520549,0.24621882,0.05180585,0.23566279
-1199.497563,8000,78.544291,0.24254681,-0.09875677,0.23733386,-0.07403368,0.23351815,-0.099221095,-0.23878637,0.20774208,0.06666618,0.23659784
-1157.196785,10000,97.295396,0.21380998,-0.13814974,0.26562932,-0.087770365,0.24847153,-0.10218222,-0.24189308,0.20067845,0.07308581,0.21030183
-1152.025539,12000,113.947528,0.21846043,-0.09789844,0.31453544,-0.071264654,0.22890356,-0.12698951,-0.27105355,0.19203892,0.087550394,0.24920794
-1057.260743,14000,132.039386,0.19842584,-0.053282328,0.32712802,-0.058384795,0.19631732,-0.15005925,-0.29501918,0.1990975,0.10244716,0.27657327
-1221.954233,16000,150.351177,0.2028921,-0.07685236,0.27507612,-0.03334874,0.15859231,-0.14484683,-0.27702478,0.20806696,0.09062575,0.25459167
-1241.269564,18000,167.586517,0.15337288,-0.10346213,0.25110003,-0.021976782,0.1297214,-0.16143739,-0.27297795,0.26467347,0.047851562,0.21746224
-1198.882922,20000,185.131172,0.14503747,-0.085419126,0.23594268,-0.026185542,0.2084408,-0.23476247,-0.33123183,0.2959907,0.030523572,0.27691194
-1173.034691,22000,202.335499,0.15076315,-0.14191295,0.16951178,-0.088657126,0.24132355,-0.33217528,-0.3250093,0.3084442,0.016761843,0.30629635
-1146.522229,24000,219.574701,0.18093307,-0.1369476,0.14919876,-0.16136794,0.23664582,-0.4246548,-0.26468644,0.2877299,0.04370844,0.30946565
-1143.073541,26000,238.853205,0.19306178,-0.11603098,0.1624308,-0.22572654,0.22512068,-0.4958983,-0.25831518,0.29902095,0.08538047,0.3150523
-1305.691954,28000,258.400464,0.17494158,-0.109255895,0.17462529,-0.15785716,0.2209304,-0.5289897,-0.2807037,0.30794215,0.06491045,0.3191608
-1296.174426,30000,276.985449,0.1690406,-0.09125558,0.17332098,-0.1898418,0.24652775,-0.5194545,-0.3100469,0.31121102,0.12796023,0.3703525
-1190.613701,32000,294.56578,0.1726584,-0.046818692,0.153595,-0.21007809,0.25737536,-0.48912886,-0.32977834,0.31290555,0.2058322,0.39533624
-1095.053023,34000,314.121822,0.17223583,0.0034155124,0.14417318,-0.23546356,0.2826356,-0.4991739,-0.34026548,0.30917144,0.26040345,0.41462275
-1180.510791,36000,332.905144,0.16997528,0.029114012,0.13433632,-0.2679285,0.2917278,-0.5912801,-0.35597968,0.32701954,0.26483476,0.4223501
-560.017679,38000,351.70334,0.14897141,-0.0049621626,0.14953324,-0.31361988,0.28553838,-0.60154074,-0.36223873,0.32037258,0.24653825,0.4011139
-587.408245,40000,370.485252,0.19637793,-0.066659525,0.13387182,-0.34847558,0.31796575,-0.66587955,-0.35498142,0.30621028,0.17485647,0.43711624
-662.874163,42000,388.10855,0.25015873,-0.1587769,0.14378037,-0.5270303,0.3541915,-0.7303611,-0.33867925,0.34495968,0.1817774,0.48162746
-629.219032,44000,404.809438,0.26992822,-0.16077322,0.14969042,-0.54898024,0.3656651,-0.7537958,-0.3586962,0.33974963,0.20125553,0.5047139
-592.338089,46000,421.636471,0.2729292,-0.15122,0.15929905,-0.58230716,0.3750638,-0.7669927,-0.35697472,0.33298954,0.23688647,0.51613533
