,r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
0,-528.428734,2000,15.076951999999999,-0.004768147,-0.26712337,-0.017884143,-0.18703678,0.2947013,-0.13194022,0.24911404,0.040498912000000005,-0.15077744,-0.20997478
1,-297.95615899999996,4000,35.698143,-0.005649401,-0.26737618,-0.01748892,-0.19117482,0.2943711,-0.13565488,0.24768727,0.04177695,-0.15333052,-0.21097331
2,-564.895095,6000,55.09043199999999,-0.0050774417,-0.2675155,-0.018468032,-0.1925701,0.29340205,-0.13279617,0.24915002,0.043730125,-0.15085366,-0.21306463
3,-617.495125,8000,72.15696700000001,-0.0057144380000000005,-0.2659798,-0.0238575,-0.19516976,0.29524785,-0.13274716,0.25066325,0.04788973,-0.15091757,-0.21869755
4,-595.042792,10000,88.152711,0.0031008206,-0.27312917,-0.014598923,-0.18063417,0.29405627,-0.11099337,0.2463181,0.049129646,-0.12583922,-0.21201152
5,-595.370263,12000,104.515023,0.010434129,-0.27926764,-0.012858116999999999,-0.17949785,0.28319153,-0.05626291,0.2438103,0.04713229,-0.08338766,-0.21009044
6,-570.788208,14000,121.11553899999998,0.0058598025,-0.2865688,-0.00591521,-0.16076020000000002,0.27291512,-0.038972605,0.23591776,0.050409622,-0.055412985,-0.22103449999999997
7,-544.6826599999999,16000,139.163092,-0.014293908999999999,-0.27554488,-0.003910889,-0.13457583,0.24966763,-0.018205216,0.24842260000000002,0.06102281,-0.043521896,-0.24002585
8,-969.8260640000001,18000,160.426609,-0.012921055,-0.27360666,-0.0045645377,-0.124580756,0.25636002,-0.007850587,0.24894553,0.06420522,-0.042338647,-0.25217044
9,-454.366062,20000,180.69416299999997,-0.026979557999999997,-0.26835936,-0.004280963400000001,-0.11296573,0.26525134,-0.019765075,0.24436645,0.06312523,-0.044050027,-0.25538746
10,-627.305568,22000,199.758848,-0.036757994,-0.26718109999999995,-0.00838876,-0.11514585,0.26998448,-0.013033396000000001,0.24359076,0.061868157,-0.043063033,-0.25522774
11,-1439.440242,24000,218.530335,-0.029503300000000003,-0.26328316,-0.011613631000000001,-0.11823303,0.2588663,-0.010711803999999998,0.24227346,0.07104851,-0.04725848,-0.24102552
12,-707.895924,26000,238.06523700000002,-0.021772207999999998,-0.27184373,-0.021286996000000002,-0.08417481,0.24023193,-0.010069624000000001,0.2557513,0.08500269999999999,-0.05255539,-0.24110810000000002
