,r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
0,-1789.3448899999999,2000,13.721594,-0.103128456,-0.046603795,0.10472197,0.11752795,-0.34488577,0.15177749,0.04886289,-0.21461831,0.0048684324,0.21371973
1,-1792.6017399999998,4000,32.446474,-0.10290816400000001,-0.047972742,0.105850875,0.1199111,-0.35351175,0.14687108,0.049795233,-0.21536784,-0.0001897498,0.21222544
2,-1801.323148,6000,48.652687,-0.104138635,-0.049799036,0.10674611,0.1217315,-0.35508478,0.14661902,0.051618945,-0.21664858,-0.00029057029999999997,0.21394308
3,-1800.807227,8000,64.64370699999999,-0.1054114,-0.059280723,0.10641450400000001,0.121577926,-0.34822273,0.15230656,0.052861977000000004,-0.20853023,0.0061480133,0.2151538
4,-1820.0773960000001,10000,80.791256,-0.10730734,-0.068699144,0.10165067,0.11412259,-0.31598377,0.1712101,0.0525092,-0.19453555,0.030753354,0.21723042
5,-1524.014094,12000,96.955568,-0.09909252,-0.06516592,0.094818994,0.10024338,-0.28680468,0.19226655,0.04184171,-0.2978743,0.03927032,0.21868813
6,-1554.2817300000002,14000,114.516802,-0.09745151,-0.057438854000000004,0.08388856,0.08358198,-0.26525542,0.21159667,0.03216141,-0.330071,0.08070433,0.22759229999999997
7,-1534.2373109999999,16000,131.77697,-0.09949053,-0.05280695,0.07643955,0.0750933,-0.26349,0.22309123,0.02451126,-0.31188023,0.06817974,0.24650739
8,-1513.1405849999999,18000,149.216589,-0.09856027,-0.049956582,0.07458207,0.06669609,-0.24012615,0.19947723,-0.0049870983,-0.28005528,0.036797043,0.27238548
9,-1538.553292,20000,167.715157,-0.092487104,-0.05501986,0.0640617,0.06793322,-0.23727188,0.17509149999999998,-0.03175891,-0.26591364,0.05040224,0.27771324
10,-1477.148936,22000,185.471093,-0.08562976,-0.05461112,0.06681255,0.035167485,-0.24581027,0.11304938,-0.110771984,-0.24963483,0.08517519999999999,0.2756657
11,-1521.693264,24000,205.16531799999998,-0.08971536,-0.049004037,0.06698389,0.030032279,-0.23628432,0.09881601,-0.11797576,-0.25151607,0.08973132,0.2837287
12,-1504.153567,26000,223.983902,-0.08976181,-0.030988248,0.072292514,0.062267683,-0.24331614,0.12808028,-0.10827306,-0.25357842,0.099400185,0.27311993
13,-1581.97091,28000,240.46552200000002,-0.09712347,-0.03464355,0.055739965,0.075052984,-0.22180954,0.13176422,-0.095889516,-0.23260829,0.08941226,0.26964635
14,-1480.9520890000001,30000,257.100566,-0.09727108,-0.032832257000000004,0.056539837,0.09471078,-0.22942016,0.13683908,-0.08031931,-0.21687266,0.07668854,0.26490992
15,-1587.872366,32000,274.138829,-0.08704504,-0.028670843999999997,0.05903581,0.11175215,-0.23917034,0.15606318,-0.060521285999999994,-0.20845419,0.06923153,0.26436087
16,-1580.362343,34000,291.093898,-0.08342893400000001,-0.014366019499999999,0.05244,0.11671536,-0.23436348,0.16214988,-0.034313258,-0.20130175,0.07351668,0.26154134
17,-667.733013,36000,308.497902,-0.07566108,-0.011356739,0.051232442,0.11291666,-0.22623393,0.19755013,-0.08538169,-0.24528581,0.08591892,0.24224731
18,-1809.1741670000001,38000,326.166221,-0.07203503,0.021047787999999998,0.059104744,0.077556014,-0.26006752,0.2525806,-0.053191993,-0.21882482,0.102663405,0.22589499999999998
19,-1521.720319,40000,342.771539,-0.044678826,0.05683209400000001,0.05421185,0.08889835,-0.25811645,0.29035953,0.023071297,-0.14839852,0.10619958,0.23842733
20,-1516.160966,42000,360.611828,-0.04829522,0.0933371,0.040672336,0.08306015,-0.27528220000000003,0.3097429,0.062136605,-0.11644046,0.11321925,0.24519841
