,r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
0,-461.76103099999995,2000,17.532692,0.14427707,0.05327130000000001,0.09387177,0.30707276,0.18130872,-0.03276442,-0.10939392,0.15944646,0.21161853,0.2764047
1,-1334.823398,4000,38.117518,0.14191800000000002,0.05333452,0.09231333,0.30732453,0.18231505,-0.033910483,-0.104728796,0.15957198,0.21239787,0.27630305
2,-1373.197271,6000,54.932763,0.14071184,0.051900096,0.09020606,0.30600214,0.18342683,-0.03211294,-0.087570034,0.15903217,0.20968452,0.2759532
3,-1415.486876,8000,71.645921,0.14217663,0.05045497,0.08877598,0.30453459999999993,0.18289925,-0.033371992,-0.08101425,0.15906106,0.208963,0.27603614
4,-321.39018,10000,88.531596,0.13792357,0.046055547999999995,0.08823597,0.29894713,0.1738256,-0.03247222,-0.07408197,0.16089359,0.20985997,0.27379218
5,-1422.782122,12000,107.326228,0.11879518,0.044851065,0.07965087,0.30408496,0.17613252,-0.029879885,-0.076117806,0.16716167,0.21362849,0.27828857
6,-1409.957447,14000,124.266602,0.112227805,0.04207024,0.06860720000000001,0.30845964,0.17248470000000002,-0.04318904,-0.07013903,0.17102048,0.21807486,0.27775679999999997
7,-1396.503789,16000,141.023844,0.10601199,0.031325094,0.059678525,0.31355634,0.16848212,-0.051488552,-0.06512839,0.1779999,0.21770679999999998,0.2813071
8,-1425.970049,18000,159.807293,0.10839839999999999,0.029922527999999997,0.0528379,0.3138377,0.17517537,-0.05887519,-0.05752135,0.17432606,0.21811143,0.2809547
9,-1416.980079,20000,178.47693,0.12308316,0.015284747,0.055866204,0.29693127,0.15493962,-0.055089705,-0.058960818,0.16113922,0.21085165,0.28589708
10,-301.11016,22000,195.43805600000002,0.13475154,0.0046571856,0.052074015,0.27938876,0.14396426,-0.049985204000000005,-0.06178521,0.14957839,0.2051576,0.27904179999999995
11,-912.0282480000001,24000,214.981071,0.14263627,0.000393177,0.051970534000000006,0.28006512,0.14534456,-0.04551713,-0.06145797,0.14924778,0.20971099,0.27844882
12,-880.530256,26000,234.215595,0.14656416,0.0051761656,0.050761648,0.2820475,0.15220334,-0.035084274,-0.05996137,0.14781573,0.21684948,0.27987134
13,-368.709812,28000,253.98901,0.14973098,0.009802769,0.052788608,0.28487357,0.15061665,-0.03373892,-0.062405325,0.14635222,0.21679337,0.27713108
14,-1428.207686,30000,271.185207,0.14970492,0.009970537,0.05344558,0.28446198,0.15175842,-0.032561213,-0.061084043,0.14802991,0.21394646,0.27852547
15,-1427.303381,32000,288.230813,0.15119720000000003,0.012318716,0.05240736,0.28248906,0.15255009,-0.02945082,-0.06309209,0.1468604,0.21584481,0.27782694
16,-230.55192999999997,34000,305.331759,0.15255678,0.008395091,0.048670735,0.29601002,0.15376943,-0.033638686,-0.06659932,0.14422733,0.22153191,0.27816418
17,-1563.93635,36000,324.463118,0.15373209,0.014892377,0.041343372,0.30345204,0.15373307,-0.032760534,-0.0672294,0.14022797,0.23300841,0.28827122
18,-1214.188598,38000,341.753308,0.13668309,0.01590239,0.034772336,0.2913511,0.15743782,-0.02703059,-0.07366039,0.13617405,0.24696617,0.28073108
19,-598.201281,40000,359.004176,0.13942456,0.019166118,0.026841437000000003,0.2905233,0.15661992,-0.026117297,-0.07272765,0.13500541,0.25456449999999997,0.29094790000000004
20,-1424.852003,42000,376.248424,0.14635237,0.0209856,0.032911655,0.28911743,0.16536187,-0.027516745,-0.07108798,0.12954901,0.25229308,0.30189583
21,-959.5952560000001,44000,393.514821,0.14500715,0.022408642000000003,0.03463945,0.29781315,0.16805601,-0.030761648,-0.07688601,0.12624802,0.25668675,0.29868257
22,-986.2068029999999,46000,410.855791,0.14881712,0.010887015,0.039752323,0.28931347,0.16982536,-0.028715821000000002,-0.078625396,0.12237701,0.25116268,0.29832387
23,-391.474113,48000,428.104753,0.15314022,0.008864466,0.04024462,0.26297600000000004,0.17747408,-0.02293289,-0.07977204,0.119731046,0.25627849999999996,0.2980246
24,-980.413948,50000,445.342846,0.15787157,0.008526793000000001,0.042349976,0.26322442,0.18139437,-0.02849643,-0.08300906,0.12258155,0.25212917,0.2974468
25,-1417.49939,52000,462.616912,0.15739873,0.013528692,0.04899339,0.25475493,0.18508255,-0.022038132000000002,-0.08273475,0.12736307,0.24974154,0.30160588
26,-1429.208999,54000,479.975688,0.15855876,0.01937283,0.05256265,0.25138062,0.19217952,-0.02393019,-0.08025039999999999,0.13913207,0.25611886,0.30162823
27,-295.220375,56000,497.392341,0.1571888,0.02360164,0.053006925,0.24972299,0.20486487,-0.021685971000000002,-0.06803461,0.1363,0.25330335,0.30097395
28,-1430.873931,58000,515.164488,0.1544025,0.0115618175,0.05842152,0.22797953,0.20394255,-0.02369199,-0.06279209999999999,0.12772289,0.24460551,0.30170754
29,-333.30074,60000,532.593051,0.1732507,-0.00403645,0.056317437000000005,0.25466368,0.21139391,-0.02534801,-0.060244158,0.13978648,0.22898667,0.30103126
30,-454.68417800000003,62000,549.9905650000001,0.18724403,-0.035675194,0.05494145,0.28136740000000005,0.20631605,-0.03782204,-0.05613161,0.14685589999999998,0.19213717,0.30661693
31,-290.536147,64000,567.3203269999999,0.19638416,-0.03913275,0.06343578,0.28584516,0.20186627,-0.038706455,-0.05629764,0.15314168,0.18052296,0.30277568
32,-300.506628,66000,584.610056,0.20011224,-0.050885737,0.07195522,0.29344603,0.20531115,-0.057222404000000004,-0.06367912,0.15636055,0.16360539,0.30339015
33,-1524.561708,68000,601.930238,0.19546121,-0.061840516,0.082325816,0.29849175,0.19765581,-0.08127803,-0.06323514,0.15319592,0.18277465,0.29870585
34,-1485.309642,70000,619.268179,0.18448088,-0.055856455,0.085526705,0.28828892,0.19419326,-0.08659548,-0.06270222,0.16238618,0.1651817,0.29588482
35,-1085.7431060000001,72000,636.706421,0.18186599,-0.06017342,0.085768685,0.27715120000000004,0.19535212,-0.0734804,-0.058628645,0.16598438,0.16597714,0.28796694
36,-416.787537,74000,654.838809,0.19207434,-0.036962904,0.07536017,0.27953804,0.20031321,-0.09397929,-0.053139687000000005,0.1589968,0.16367821,0.3039869
37,-439.867178,76000,673.0129820000001,0.19680469,-0.0300039,0.06980668,0.28840977,0.19399112,-0.11574516,-0.046861692999999996,0.16275223,0.16788185,0.31362199999999996
38,-424.147766,78000,690.463897,0.19102529999999998,-0.033637263,0.07304942,0.29325559999999995,0.19341251,-0.15082707,-0.047814563,0.17302765,0.17186424,0.31214306
39,-406.951097,80000,709.203205,0.18402167,-0.03408625,0.071395956,0.28906795,0.19236983,-0.18675476,-0.05259386,0.17931525,0.17533152,0.31287882
40,-1173.942381,82000,726.836274,0.17444782,-0.035459742,0.07145198,0.28663597,0.19159177,-0.1972323,-0.05806191,0.18538527,0.17237581,0.31064627
41,-459.42923899999994,84000,744.115871,0.17596723,-0.04406598,0.072039984,0.30221847,0.19132075,-0.19454849999999999,-0.065475464,0.18481302,0.17049888,0.3095889
42,-468.78732599999995,86000,761.388541,0.17720272,-0.05088764,0.07571907,0.30285700000000004,0.19938773,-0.19217332,-0.07679905,0.18517333,0.16692784,0.3098112
43,-497.50926,88000,779.0521769999999,0.17605755,-0.05661768,0.08027006,0.30308664,0.20585407,-0.17980629999999997,-0.085865304,0.1792651,0.15896074,0.30905879999999997
44,-1077.93581,90000,796.463474,0.17359482,-0.05878184400000001,0.08526749,0.30589384,0.20182464,-0.16380669,-0.09856735,0.17400452,0.15021479,0.31255755
45,-1430.054027,92000,813.9227559999999,0.18150924,-0.06098785,0.08779848,0.30048087,0.20693809,-0.17202815,-0.100546755,0.1726124,0.13662545,0.32003072
46,-1428.2155400000001,94000,831.216387,0.19292384,-0.059433002,0.088677496,0.29577103,0.20773925,-0.15006319,-0.09764811,0.17577872,0.12507153,0.3208855
47,-1432.5855869999998,96000,848.5337900000001,0.1835144,-0.064737424,0.08974402,0.2979941,0.20454927,-0.14058746,-0.09200671,0.17680429,0.12830871,0.3243733
48,-190.277586,98000,865.843592,0.1589496,-0.0659519,0.089526646,0.3043133,0.20244662,-0.1370902,-0.09283434,0.16892026,0.13290215,0.3276057
49,-193.716011,100000,885.7427369999999,0.1511811,-0.06848859,0.08877624,0.29870442,0.20538399,-0.14213417,-0.09213846,0.16540284,0.14159059999999998,0.32639179999999995
50,-954.974069,102000,903.5428789999999,0.15054311,-0.058205455999999996,0.08703443,0.29360673,0.2066514,-0.14754097,-0.08980682,0.1643277,0.15119903,0.32690558
51,-1494.115282,104000,921.582183,0.14655544,-0.036724184,0.08539309,0.29448387,0.20688312,-0.14975703,-0.092152715,0.16045274,0.16341962,0.3261658
52,-204.97087199999999,106000,939.237884,0.121586345,0.00050848996,0.08066006,0.29172704,0.20181626,-0.15830475,-0.10426626,0.15930124,0.19084357,0.32193449999999996
53,-202.563664,108000,957.428657,0.14073172,0.00604916,0.07560769,0.29606950000000004,0.21254079,-0.15981145,-0.10939104,0.15379849999999998,0.20908934,0.323314
54,-194.096554,110000,976.4116970000001,0.17071018,0.010720766999999999,0.06975421,0.3044952,0.21405990000000003,-0.15977645,-0.058121834000000004,0.15098178,0.23504268,0.32561138
55,-1411.794093,112000,994.523475,0.18504748,0.016969703,0.06704827,0.2935297,0.21150376,-0.15771866,0.020071615,0.15303697,0.23523019,0.32429305
56,-1390.6472310000001,114000,1014.450712,0.18432227,0.018031375,0.06419242,0.28850493,0.21531127,-0.14594853,0.08561404,0.14597683,0.23401283,0.3243514
57,-249.85706499999998,116000,1031.737944,0.18283139999999998,0.02413243,0.061922383,0.2844354,0.21166852,-0.14137058,0.10597101,0.13337345,0.23309685,0.321919
58,-1586.6244550000001,118000,1049.335114,0.18878394,0.040829033,0.061979987,0.28168148,0.21407670000000004,-0.14284074,0.17036016,0.13538933,0.22601862,0.3077304
59,-1578.7148630000002,120000,1066.632595,0.18711402,0.044256404000000006,0.061422135999999995,0.28380412,0.20370764,-0.13742112,0.18188736,0.13528463,0.22531472,0.3031366
60,-1291.2693279999999,122000,1083.859129,0.16857265,0.030440727,0.058899402999999996,0.2812053,0.20906436,-0.13328410000000002,0.17807184,0.11608335,0.23242384,0.29227874
61,-108.43023400000001,124000,1101.967516,0.176755,0.035000853,0.07108103,0.27127352,0.21268475,-0.11760842,0.1480213,0.10405081,0.23105209,0.2936526
62,-168.82317,126000,1122.0772960000002,0.19492981,0.025020808,0.07335773,0.2532692,0.20803091,-0.109940544,0.14460978,0.10820307,0.23527458,0.2778281
63,-140.843736,128000,1141.640015,0.20475966,0.011719272,0.066778295,0.24180211,0.19651395,-0.106480934,0.15124945,0.10718053,0.23217775,0.26495904
64,-1314.583992,130000,1161.510633,0.21165672,-0.017159903,0.054824307999999995,0.23567578,0.20959757,-0.10077956,0.16051957,0.09514439,0.2703868,0.24486598
65,-1323.651507,132000,1179.087787,0.21091236,-0.00601891,0.041463643,0.26928955,0.21957943,-0.10320598,0.19966428,0.07951373,0.35310575,0.22238548
66,-1342.498042,134000,1196.629783,0.23807119,0.01868984,0.047618825,0.24729316,0.2227025,-0.08555682,0.19682536,0.08578076,0.36116729999999997,0.18419525
