,r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
0,570.556067,2000,26.331533,-0.25850567,-0.11243227,0.254447,-0.060724754000000006,-0.12564193,-0.31555396,0.16523373,0.016898034,-0.2704969,0.23740867
1,525.9962830000001,4000,64.0602,-0.26915079999999997,-0.112453185,0.26084635,-0.06403568,-0.12358117,-0.32259187,0.16228206,0.014956576000000001,-0.2697418,0.23641141
2,506.118833,6000,94.092391,-0.26736936,-0.113529384,0.26748663,-0.058070194000000006,-0.12033930400000001,-0.31853643,0.16831395,0.0073199626,-0.26886556,0.23791899
3,513.157224,8000,124.105429,-0.25254473,-0.1135652,0.2613534,-0.04799617,-0.11974477,-0.30817202,0.17659321,0.0018965102,-0.2666772,0.23993076
4,525.931009,10000,154.385882,-0.20255873,-0.10916242,0.23454906,-0.011382261000000001,-0.10017276,-0.26837867,0.20732279,0.0036626768,-0.2690926,0.24124962
5,497.83022900000003,12000,184.749217,-0.18691061,-0.10994752,0.22555943,-0.006973615,-0.08716847,-0.25926033,0.23065954,-0.015138414,-0.2687622,0.24235383
6,472.30695599999996,14000,215.09417000000002,-0.16314906,-0.10755677,0.20610783,-0.0058514527,-0.08492321,-0.23468673,0.23215677,-0.014777513999999999,-0.26504320000000003,0.24244392
7,497.78213200000005,16000,245.614636,-0.13059711,-0.104478,0.18813679,-0.0010698892,-0.08868688,-0.2167044,0.2493034,-0.014126627,-0.26141873,0.23459831
8,500.342041,18000,276.361287,-0.09564155,-0.10391846,0.18280976,-0.022888986,-0.09597019,-0.21389626,0.2658437,0.019131135,-0.25612566,0.22276029
9,514.6020679999999,20000,306.91483700000003,-0.09556939,-0.110065065,0.18695745,-0.031461502999999995,-0.07324504,-0.22606091,0.26849017,0.016846912,-0.24918254,0.22488490000000003
10,504.92777199999995,22000,337.631642,-0.09728667,-0.11822856,0.18591629999999998,-0.018999388,-0.04052538,-0.22256455,0.26807508,0.03150607,-0.24430625,0.22628779999999998
11,500.14471299999997,24000,368.00919500000003,-0.09444658,-0.12864864,0.19141036,-0.014299045,-0.035738345,-0.22595872,0.2655571,0.05705739,-0.23894404,0.22809306
12,519.1085019999999,26000,399.037614,-0.102186576,-0.13231264,0.19313635,-0.008616659,-0.050521567,-0.22039066,0.2674974,0.064736284,-0.22518857,0.24135251
13,480.14737599999995,28000,429.63538700000004,-0.09973588,-0.14486757,0.20354028,-0.018272812,-0.047369502,-0.21815658,0.26012546,0.06927042,-0.21776845,0.23770079
14,480.283439,30000,460.33694699999995,-0.10319080000000001,-0.1476344,0.21158957,-0.014710296999999999,-0.04333097,-0.21894124,0.25207615,0.06546151,-0.21220784,0.23685253
15,498.15940599999993,32000,491.29650599999997,-0.10023526,-0.15254098,0.21167335,-0.012402554,-0.044493224000000005,-0.21998571,0.24480793,0.06485385,-0.21197934,0.23059808
16,501.82615499999997,34000,522.2570440000001,-0.10575005,-0.15278207,0.22696994,-0.011097841,-0.045005742,-0.22229509,0.24844547,0.06406045,-0.2090415,0.22942723
17,553.200935,36000,553.445499,-0.10174765,-0.15781657,0.22890902,-0.0125636095,-0.039666012,-0.2253404,0.24952870000000002,0.066038474,-0.20515160000000002,0.22162831
18,504.417599,38000,584.282622,-0.10327747,-0.15737320000000002,0.22579539,-0.009979587,-0.033548947,-0.22885615,0.24492675,0.06951467,-0.20568675,0.21989429
19,525.4946219999999,40000,615.2604200000001,-0.10298946,-0.16258994,0.21349481,-0.0089755645,-0.027047334,-0.23343047,0.24300118,0.07161549,-0.20326875,0.22003330000000001
20,498.89334699999995,42000,646.060032,-0.10433348,-0.1642751,0.20602292,-0.010036172,-0.019500392,-0.23771891,0.23866718,0.07077828,-0.19873010000000002,0.21628989999999998
21,501.810646,44000,677.104954,-0.10846611,-0.16130686,0.21055599,-0.0048467214,-0.017333966,-0.24037139,0.23249768,0.06947873,-0.19361779999999998,0.21838821
22,554.864419,46000,707.79735,-0.11352477,-0.15939072,0.21187072,-0.005426153,-0.022038294,-0.23291075,0.22901003,0.066087805,-0.18765898,0.21321121
