,r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
0,-1624.270532,2000,14.748973999999999,0.11103797,-0.21901707,0.09558761,0.15426186,-0.15813494,0.23697938,-0.03574349,0.22802708,0.054403875,0.242654
1,-1815.0152739999999,4000,34.928542,0.101512924,-0.24990277,0.114460565,0.144739,-0.1364028,0.23752874,-0.07326338,0.25055707,0.05430911,0.22902788
2,-1561.917797,6000,51.166434,0.09218044,-0.28926352,0.10320716,0.14763226,-0.10183231,0.24027300000000001,-0.08921952,0.25732228,0.07756583,0.21695536
3,-1677.197852,8000,68.771611,0.07792514,-0.29281940000000006,0.10809853,0.116988294,-0.10298893,0.24775422,-0.09747147,0.25434005,0.09008144,0.20206553
4,-1600.529602,10000,84.634713,0.08203646,-0.31696758,0.12308199,0.12875831,-0.06440856,0.24611872,-0.10313787,0.26609829999999995,0.10693164,0.19536866
5,-1201.1133550000002,12000,100.52336899999999,0.13717304,-0.34065264,0.102414995,0.21555398,-0.024857773,0.21221368,-0.11171624,0.26093185,0.121949375,0.18846627
6,-1540.8153519999998,14000,118.084552,0.1765361,-0.31918824,0.092679724,0.29929970000000006,-0.022371692999999998,0.19031005,-0.13615988,0.24266124,0.14138493,0.21306098
7,-1115.9018119999998,16000,133.088177,0.19000815,-0.28295133,0.08232908,0.3674874,-0.037872955,0.19932486,-0.15558626,0.22675708,0.161638,0.22116457
8,-1318.6959869999998,18000,150.153394,0.18112558,-0.25733890000000004,0.07870374599999999,0.36219263,-0.04594218,0.18669575,-0.1502646,0.23960696,0.16695784,0.21828802
9,-1594.771219,20000,165.507464,0.18545935,-0.25743997,0.07456228,0.36336324,-0.048213672,0.17967391,-0.15024763,0.22576396,0.17127204,0.20666641
10,-1581.523716,22000,180.58600800000002,0.18979435,-0.2545831,0.080916785,0.37228449999999996,-0.049813323,0.18246426,-0.16011527,0.22173135,0.16767536,0.1974977
11,-1595.82981,24000,195.735801,0.18507524,-0.26172867,0.09359147400000001,0.38065079999999996,-0.053032573,0.17022805,-0.16162832,0.22508892,0.17366472,0.18867344
