,r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
0,-554.238663,2000,19.239194,-0.095026046,0.15741429,-0.22841385,0.019108299999999998,-0.040648676,-0.19573107,0.009572185,-0.11453063,-0.022790879,0.07624475
1,-951.1365949999999,4000,43.180456,-0.09202811,0.17492858,-0.23345655,0.0002480194,-0.03633476,-0.19023919,0.005732844,-0.101647295,-0.025555136000000003,0.07188317
2,-969.43432,6000,62.198049,-0.08921237,0.18587045,-0.23477329999999996,-0.01014579,-0.033262145,-0.1882591,-0.0036377301,-0.09590867,-0.026645127999999997,0.06929149
3,-1242.304323,8000,85.41002399999999,-0.08442448,0.17543542,-0.21737425,-0.019206473999999998,-0.041747477000000005,-0.18351462,-0.0037933159999999997,-0.08084023,-0.036053237,0.06042212
4,-1311.424082,10000,103.709907,-0.07517908,0.14185,-0.20412628,-0.0042826403,-0.043021273,-0.18330058,0.017404025,-0.07889822,-0.043513376,0.055875547000000005
5,-1384.4726660000001,12000,122.150682,-0.07032041,0.10554601,-0.21913153,0.014470278999999999,-0.039789873999999996,-0.18012165,0.02751059,-0.070259646,-0.045498487000000004,0.0684012
6,-1549.615165,14000,141.766073,-0.056021925,0.083608896,-0.18353537,0.20637116,-0.0102503775,-0.16915366,0.04036003,-0.08126387,-0.06647117400000001,0.13548888
7,-1352.9084710000002,16000,164.905329,-0.043953057000000004,0.067395434,-0.18314274,0.2852847,0.054891385,-0.15966024,0.037142523,-0.09968133,-0.06885734,0.20988382
8,-1295.892346,18000,185.32104099999998,-0.03580983,0.09675107,-0.18393698,0.33518645,0.07736473,-0.16181510000000002,0.039041948,-0.10844724,-0.080516405,0.20298818
9,-1308.831026,20000,205.037156,-0.036289543,0.09605286,-0.18531589,0.33923647,0.07198261,-0.15744407,0.04996427,-0.11003847,-0.067125514,0.21063858
10,-1316.395752,22000,229.516839,-0.036635733999999996,0.0765362,-0.18939449,0.34571284,0.07267182,-0.15583932,0.03986759,-0.11709653,-0.07342347,0.20900871
11,-1329.5450449999998,24000,252.537658,-0.034227826,0.06722794,-0.19343364,0.34513649999999996,0.07776001,-0.15376148,0.034008194,-0.11652295,-0.07044851,0.21234027
12,-823.747693,26000,273.77695,-0.031896062,0.06587852,-0.19430545,0.3444696,0.07834648,-0.15536255,0.027372027,-0.11404081,-0.07129648,0.20979992
13,-147.267337,28000,294.92194900000004,-0.031004213,0.06431764,-0.19484854,0.34505275,0.07978664,-0.157237,0.022870948999999998,-0.111756966,-0.07288632,0.20508802
14,-195.625626,30000,318.00507799999997,-0.029395515,0.05585033,-0.19323666,0.34591722,0.09260485,-0.1584766,0.029386222000000004,-0.11198257,-0.07626430000000001,0.20305073
15,-189.43374599999999,32000,340.864791,-0.029295457999999996,0.04745818,-0.19504021,0.33797485,0.09835653,-0.15944688,0.025885986,-0.10853007,-0.06298588,0.19879322
16,-782.167476,34000,366.059366,-0.03328012,0.04748566,-0.19990411,0.335903,0.096098006,-0.16626559,0.023409753999999998,-0.11022464,-0.048669863,0.20050374
17,-262.325695,36000,387.012737,-0.03417497,0.06343015,-0.19650449,0.33716497,0.10321535,-0.16512507,0.028975137999999998,-0.121643595,-0.030476045,0.19803281
18,-323.680637,38000,408.253786,-0.03513568,0.07903579,-0.195106,0.32868683,0.10451069,-0.16067147,0.037163846,-0.11312096599999999,-0.013640108,0.20168139
19,-309.7291,40000,429.97768499999995,-0.03694889,0.09085894,-0.20123702,0.33259913,0.101449884,-0.15558666,0.053106908,-0.12909433,0.003675358,0.21212335
20,-298.992081,42000,450.73286399999995,-0.040848386,0.09920386,-0.20621079,0.3392894,0.091091305,-0.15503784,0.049186815,-0.12420574,0.008901134,0.22411549
21,-330.166796,44000,471.971141,-0.039584238,0.10026898,-0.22165583,0.33046487,0.08032174,-0.14475374,0.08228350000000001,-0.09988922,0.0127990395,0.23506908
22,-359.469112,46000,493.828096,-0.041774955,0.11033242,-0.22458842,0.32159743,0.070045665,-0.14500757,0.09981267,-0.07583542,0.017691089,0.2552193
23,-364.223069,48000,515.605728,-0.04061341,0.112619296,-0.22514185,0.3227032,0.06172346,-0.14447288,0.10490039999999999,-0.049094055,0.019472355,0.27221894
24,-483.818158,50000,536.436803,-0.04726905,0.107036725,-0.21631667,0.32108554,0.04790075,-0.15462522,0.0864763,-0.05046095,0.025473332,0.29495358
