,r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
0,-1079.78317,2000,15.315029999999998,0.0647794,-0.273623,-0.19556406,-0.25416374,0.14615574,-0.13319953,0.0688726,0.20410243,-0.2861051,-0.17549777
1,-952.794644,4000,36.934401,0.0647794,-0.273623,-0.19556406,-0.25416374,0.14615574,-0.13319953,0.0688726,0.20410243,-0.2861051,-0.17549777
2,-1001.1844,6000,60.171817000000004,0.0647794,-0.273623,-0.19556406,-0.25416374,0.14615574,-0.13319953,0.0688726,0.20410243,-0.2861051,-0.17549777
3,-921.9591220000001,8000,81.298367,0.0647794,-0.273623,-0.19556406,-0.25416374,0.14615574,-0.13319953,0.0688726,0.20410243,-0.2861051,-0.17549777
4,-839.3755480000001,10000,102.36484499999999,0.0647794,-0.273623,-0.19556406,-0.25416374,0.14615574,-0.13319953,0.0688726,0.20410243,-0.2861051,-0.17549777
5,-1029.499748,12000,123.756464,0.0647794,-0.273623,-0.19556406,-0.25416374,0.14615574,-0.13319953,0.0688726,0.20410243,-0.2861051,-0.17549777
6,-831.907067,14000,142.476902,0.0647794,-0.273623,-0.19556406,-0.25416374,0.14615574,-0.13319953,0.0688726,0.20410243,-0.2861051,-0.17549777
7,-666.818854,16000,163.315069,0.0647794,-0.273623,-0.19556406,-0.25416374,0.14615574,-0.13319953,0.0688726,0.20410243,-0.2861051,-0.17549777
8,-790.113253,18000,184.46350900000002,0.0647794,-0.273623,-0.19556406,-0.25416374,0.14615574,-0.13319953,0.0688726,0.20410243,-0.2861051,-0.17549777
9,-835.367244,20000,202.65381299999999,0.0647794,-0.273623,-0.19556406,-0.25416374,0.14615574,-0.13319953,0.0688726,0.20410243,-0.2861051,-0.17549777
10,-540.4771860000001,22000,222.49457900000002,0.0647794,-0.273623,-0.19556406,-0.25416374,0.14615574,-0.13319953,0.0688726,0.20410243,-0.2861051,-0.17549777
11,-500.112408,24000,243.34515699999997,0.0647794,-0.273623,-0.19556406,-0.25416374,0.14615574,-0.13319953,0.0688726,0.20410243,-0.2861051,-0.17549777
12,-390.870213,26000,263.98571499999997,-0.21731260000000002,-0.27280158,-0.19185786,-0.5308522,0.056193615999999995,-0.29943296,-0.14373435,0.17938802,-0.2700028,-0.06585072
13,-274.026369,28000,283.665527,0.10502847,-0.279938,0.07454359,-0.30388543,0.10346949,-0.09914778,-0.30451090000000003,0.1693489,-0.3801699,0.02657589
14,-281.50676699999997,30000,303.004465,0.26127163,-0.24220237,0.11648217,-0.27072840000000004,0.11202998,-0.018735407,-0.16355391,0.05065228,-0.42883748,0.09640394
15,-285.905094,32000,325.16048,0.3993614,-0.26411122,0.12002976,-0.045420792,0.18724835,0.13357554,-0.16416293,0.03482914,-0.3853233,0.052540212999999995
16,-371.81413,34000,348.245905,0.39941743,-0.32175073,0.14985837,0.004827263,0.22553886,0.114958435,-0.19058882,0.08827656,-0.42844015,0.04574324
