,r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
0,-1804.9313370000002,2000,14.945947,-0.07685435,-0.26716116,0.16412964,-0.10982536,-0.12259781,-0.103505485,-0.22669905,0.029402986000000002,-0.19822258,-0.11494055
1,-1790.762493,4000,39.656563,-0.09336107,-0.29396197,0.16300142,-0.10872616,-0.12792228,-0.10613663,-0.22235838,-0.013232457,-0.19343498,-0.115324855
2,-1796.256539,6000,58.156296999999995,-0.08323427,-0.30687198,0.16170895,-0.104223244,-0.14564866,-0.10567696,-0.22332473,-0.029548919,-0.18526818,-0.12185442
3,-1797.733604,8000,73.489784,-0.10585649,-0.30948552,0.16055755,-0.10270361,-0.16012138,-0.101526655,-0.22559991,-0.030247168999999997,-0.1686802,-0.13693477
4,-1798.196256,10000,89.18014699999999,-0.14317742,-0.26992628,0.1587245,-0.09592774,-0.111769706,-0.09689919,-0.23789829,0.010843978999999998,-0.18189609,-0.13747658
5,-1777.2599300000002,12000,105.527065,-0.14932111,-0.25129450000000003,0.15890652,-0.08194629,-0.095463164,-0.09919617,-0.2594064,0.04034466,-0.19531848,-0.119679496
6,-1793.8139820000001,14000,125.02751200000002,-0.17338817,-0.23784521,0.1583599,-0.08015465,-0.092181355,-0.11008108400000001,-0.27854612,0.058954585,-0.24011187,-0.108545
7,-1793.017485,16000,144.748682,-0.18830083,-0.19016567,0.17241174,-0.08625095,-0.06548894,-0.10950022,-0.29455367,0.08749378,-0.2325596,-0.10507513
8,-1550.9537599999999,18000,164.77639,-0.18591642,-0.16048800000000002,0.18427767,-0.09439097,-0.025458936,-0.11626749,-0.29680959999999995,0.105603635,-0.23465739,-0.118845046
9,-1774.9841190000002,20000,185.397848,-0.17871834,-0.09254627,0.19328195,-0.09164363,0.0311176,-0.11307489,-0.33060062,0.11971135,-0.24848814,-0.112040035
10,-1622.082265,22000,205.704697,-0.19038945,-0.01008364,0.19915558,-0.10147078,0.103112705,-0.10600233,-0.32991058,0.14844148,-0.28687593,-0.08425979
11,-1546.977327,24000,225.26504100000002,-0.17702116,-0.015336401999999999,0.22009927,-0.0585361,0.14583305,-0.11125995,-0.32699659999999997,0.15636191,-0.26031142,-0.07995472
12,-1621.592102,26000,245.4767,-0.18358998,-0.005343176,0.25158337,-0.028973442999999998,0.15193844,-0.12711813,-0.28795043,0.16450617,-0.24511974,-0.11280901
13,-1541.40421,28000,263.903549,-0.1393585,0.016556194,0.2632384,0.005010628,0.18204949999999998,-0.15786217,-0.28919023,0.20448077,-0.20860851,-0.09127367
14,-1613.542675,30000,285.403208,-0.16208407,0.073718525,0.27809379,0.009586466,0.19239576,-0.16765082,-0.29073384,0.20897689999999997,-0.1656715,-0.023209358
15,-1528.374412,32000,305.842397,-0.19934502,0.103528075,0.27771723,-0.019344543999999998,0.18805629,-0.17672755,-0.30637228,0.21568038,-0.16548027,0.034338117
16,-1116.565828,34000,327.064082,-0.17940904,0.121697314,0.27361584,-0.06720923,0.18390232,-0.1822969,-0.30566543,0.20423904,-0.16715713,0.035939004
17,-1098.5986380000002,36000,348.173962,-0.17741798,0.15232816,0.27617220000000003,-0.08495622,0.18694904,-0.23837727,-0.3113906,0.19470574,-0.1732549,-0.035081856
18,-1164.99562,38000,369.462129,-0.15196459,0.16811912,0.2577274,-0.08483869599999999,0.17264423,-0.22937313,-0.3298899,0.18079206,-0.19157809,-0.04208157
19,-1207.807474,40000,387.69068500000003,-0.15196009,0.16809106,0.24589035,-0.12142757,0.18629432,-0.22090681,-0.27665722,0.20140626,-0.1612615,-0.028530406
20,-1592.565943,42000,405.74595899999997,-0.16456483,0.17055422,0.23267600000000002,-0.13775446,0.19407542,-0.22450045,-0.25645015,0.19185914,-0.16209757,-0.002999848
21,-1133.102408,44000,425.005201,-0.17898814,0.17561002,0.22587143,-0.14918457,0.18209489,-0.21933183,-0.25460285,0.17607679999999998,-0.16908738,0.0008685200999999999
22,-1512.759914,46000,443.30709900000005,-0.17313789,0.17995162,0.2572792,-0.15942359,0.19554166,-0.22566415,-0.24426420000000001,0.17187673,-0.18833789,-0.0076580076
23,-1536.364964,48000,461.845923,-0.17640513,0.17180192,0.2760355,-0.16514544,0.18814576,-0.22959585,-0.24103193,0.17939553,-0.19324064,-0.017124448
24,-1204.233559,50000,479.360254,-0.17838491,0.16042213,0.29858086,-0.16122285,0.18538521,-0.22847548,-0.232487,0.17971587,-0.15031670000000003,-0.016303625
25,-1000.483349,52000,496.91068499999994,-0.16375898,0.15677658,0.28571513,-0.15652691,0.14115024,-0.21637955,-0.20911177,0.17353643,-0.12644587,-0.036961306
26,-1557.259932,54000,519.9685969999999,-0.16413857,0.14677294,0.27235597,-0.14911975,0.11048825,-0.21305977,-0.19022542,0.17160106,-0.12303922,-0.041470617
27,-1483.723021,56000,538.931924,-0.161261,0.14288747,0.28650534,-0.14609188,0.11427094,-0.21149282,-0.17193416,0.17126296,-0.11293844,-0.04144096
28,-1483.840723,58000,556.933169,-0.22107159999999998,0.14283389999999999,0.2926159,-0.12649147,0.12281444,-0.19762470000000001,-0.17284895,0.16916886,-0.109548755,-0.043852925
29,-1524.796963,60000,574.7845179999999,-0.23578946,0.14378737,0.2856037,-0.12345882,0.14330143,-0.19213338,-0.15632614,0.15923049,-0.10519243,-0.045780808
30,-708.640291,62000,594.752583,-0.22364287,0.14907072,0.27872062,-0.12518537,0.16642092,-0.19220378,-0.13869551,0.14621514,-0.09048278,-0.043604165
31,-1552.811753,64000,615.011268,-0.20560725,0.14852555,0.27491778,-0.12730995,0.17891748,-0.18623964,-0.12620825,0.14931752,-0.073099576,-0.044757757
32,-1532.561637,66000,631.2144509999999,-0.17385092,0.14932196,0.26989332,-0.12643984,0.18034685,-0.18487215,-0.12428508,0.14602067,-0.075329736,-0.04321103
33,-936.9222570000001,68000,647.905211,-0.1284195,0.13779536,0.26998755,-0.121856384,0.17151514,-0.16951257,-0.11492019,0.14249189,-0.07535808,-0.038560666
