,r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
0,-1793.30332,2000,18.820501999999998,-0.19393528,0.13132583,0.022123747000000003,0.31174383,-0.07286160400000001,0.26789096,0.06901174,-0.2002078,-0.26538825,-0.06676009
1,-1796.6088280000001,4000,40.148848,-0.19310708,0.14199322,0.02006286,0.3124333,-0.073653795,0.26519486,0.069956265,-0.20050573,-0.26228458,-0.064581275
2,-1798.618889,6000,57.91731600000001,-0.19219427,0.14309843,0.0189734,0.31341997,-0.07547338,0.26372540000000005,0.070287675,-0.20096476,-0.2607526,-0.06470010400000001
3,-1801.812384,8000,75.472259,-0.19230981,0.14702404,0.01909944,0.31379914,-0.08035297,0.26310515,0.07044951599999999,-0.20500349,-0.26075286,-0.06866695
4,-1847.6859940000002,10000,92.610023,-0.19221458,0.1687345,0.018936576,0.31312540000000005,-0.0604883,0.25844229999999996,0.06707166,-0.2051775,-0.26169828,-0.06648011
5,-1883.4722379999998,12000,108.861704,-0.1934862,0.18037225,0.029322155,0.29066196,0.013577708,0.26126897,0.05890337,-0.16017085,-0.26989323,-0.0451068
6,-1940.727979,14000,126.230997,-0.18603699,0.17902261,0.023994006000000002,0.28324625,0.028918615,0.26663965,0.06545543,-0.15906101,-0.27113497,-0.018102299999999998
7,-1949.5740629999998,16000,144.220944,-0.18827917,0.17908521,0.02209158,0.28164229999999996,0.029255727000000002,0.266959,0.058866344,-0.15979047,-0.26876727,-0.016931325
8,-1920.424448,18000,160.697645,-0.19778879,0.17858382,0.027491637000000003,0.28614402,0.04349867599999999,0.26624602,0.06187414,-0.14558193,-0.26748390000000005,-0.02007927
9,-1720.717135,20000,177.270601,-0.19646639,0.17646046,0.025656837999999998,0.28584309999999996,0.043567699999999994,0.26979676,0.06161459,-0.14520778,-0.26652208,-0.019362545
10,-1892.0053469999998,22000,195.637532,-0.1986775,0.17457895,0.026312593,0.28712112,0.043596699999999995,0.27238527,0.05770174,-0.14237239999999998,-0.265733,-0.018379733
11,-1736.161575,24000,213.323525,-0.1946201,0.17453207,0.023175099999999997,0.29001808,0.04669404,0.27009866,0.061540022,-0.13963899,-0.26299733,-0.015582752
12,-1750.8309219999999,26000,230.69867999999997,-0.1956567,0.17313391,0.022280531,0.291627,0.044836797000000005,0.27039987,0.061314777,-0.13527973,-0.2611596,-0.008759166
13,-1684.330789,28000,251.72617999999997,-0.19350268,0.16992463,0.018763673999999998,0.29424915,0.044415157000000004,0.27098006,0.053350724,-0.13056745,-0.25833592,-0.0050323494
14,-1308.218532,30000,270.96666899999997,-0.19697723,0.170568,0.0231963,0.29944107,0.042706272999999996,0.26568037,0.0637057,-0.12872376,-0.25357443,-0.008836869
15,-1555.378085,32000,290.483723,-0.19726346,0.16928296,0.025398955,0.29451293,0.045903504000000005,0.27054079999999997,0.05269522,-0.1307449,-0.2496606,-0.007041718299999999
16,-536.2707519999999,34000,307.65360499999997,-0.20109147,0.1691697,0.02477561,0.2933022,0.048004523,0.26986247,0.043166324000000006,-0.13054173,-0.24761222,-0.007268154000000001
17,-1853.6252190000002,36000,326.901425,-0.19074693,0.17859879,0.020413011000000002,0.28437890000000005,0.056607362,0.27653834,0.05835543,-0.13144381,-0.2550877,-0.016344845
18,-1729.048066,38000,344.32396800000004,-0.18646002,0.17688496,0.017007442,0.2787355,0.05611887,0.27931806,0.052538954000000006,-0.12812299,-0.25819780000000003,-0.014645453999999999
19,-1310.907094,40000,361.73488100000003,-0.20211957,0.17647386,0.012069508,0.2737001,0.05273681,0.28042173,0.07596027,-0.12845069,-0.2578548,-0.0204628
20,-1481.554097,42000,379.10771800000003,-0.20466703,0.17883399,0.01005934,0.271443,0.052423567000000004,0.28019485,0.07756255,-0.12890868,-0.26558295,-0.03419437
21,-1534.587945,44000,396.553473,-0.20168957,0.17780796,0.007870966,0.27590087,0.049155936,0.27965635,0.073550925,-0.123135366,-0.26918587,-0.022442787999999998
22,-1576.1189359999998,46000,413.979689,-0.22927582,0.18300475,0.0031380514000000003,0.28183445,0.061455213,0.2954664,0.07241784,-0.13040516,-0.26812622,-0.014544848
23,-1574.065958,48000,432.45094000000006,-0.25458005,0.18844476,0.00585329,0.28136444,0.057846807,0.30140787,0.06638188,-0.12467802,-0.27510214,-0.025998947999999997
24,-1517.218532,50000,449.36054400000006,-0.28325298,0.1918578,0.0009191253300000001,0.27793179999999995,0.049013443,0.3040923,0.07119199,-0.111284845,-0.28548908,-0.025757723
25,-1843.588173,52000,465.338221,-0.29453190000000007,0.19459328,0.018933237,0.27921104,0.038438982999999996,0.30023095,0.07709387,-0.109934635,-0.28100407,-0.025025332
26,-1649.809986,54000,481.604371,-0.28728563,0.19651344,0.049512513,0.29054058,0.03752605,0.29920155,0.08514742,-0.10340574,-0.28310799999999997,-0.015433263000000001
27,-1532.256111,56000,497.69819,-0.29043385,0.2001987,0.06016868400000001,0.28813183,0.04477199,0.29701278,0.10701484,-0.09814202,-0.29578334,-0.01656952
28,-1567.032081,58000,513.704336,-0.29714763,0.20323251,0.06276507,0.29498184,0.04459413,0.29600933,0.12445448,-0.0956798,-0.29575324,-0.02371781
29,-1596.4326130000002,60000,529.595151,-0.30320040000000004,0.20394754,0.066654645,0.30608246,0.04554124,0.29307014,0.13825081,-0.0901819,-0.29448128,-0.027763665
30,-1538.377935,62000,545.494377,-0.31481996,0.20619053,0.06462224,0.31656718,0.047057915,0.29453635,0.15094164,-0.088367075,-0.2886984,-0.026821274
31,-1519.208957,64000,561.452932,-0.32663444,0.20896329,0.06704298,0.32824954,0.044480822999999996,0.29144704,0.15640607,-0.084928975,-0.27882140000000005,-0.02124349
