,r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
0,-1575.824251,2000,16.171609,0.11353851,-0.19197585,0.14008063,-0.13797542,0.24586949,-0.09528869400000001,0.0765812,-0.046729352,0.11006351,-0.2919644
1,-1385.764306,4000,36.277511,0.11451011,-0.19906573,0.14113732,-0.14088388,0.24103428,-0.10138689,0.06761233,-0.045588105999999996,0.11085165,-0.28891885
2,-1520.104597,6000,57.42515699999999,0.11729246,-0.19658917,0.14369546,-0.15114048,0.23592031,-0.09485637400000001,0.047838908,-0.04157626,0.11434623,-0.28487125
3,-1545.412143,8000,74.452597,0.121887095,-0.15301783,0.14702874,-0.16875395,0.22380203,-0.057940322999999995,0.028866574,-0.034039877,0.12194291,-0.28622177
4,-1611.593556,10000,89.909178,0.12902135,-0.10648587,0.15501577,-0.18078970000000003,0.22670193,-0.0033201565999999997,-0.00015803387,-0.027717032000000003,0.12518255,-0.27327707
5,-1648.318892,12000,104.755461,0.13175635,-0.17866923,0.16185287,-0.19725156,0.20387845,-0.02629624,-0.01416517,-0.028086692000000003,0.11703615,-0.24164128
6,-1625.1581039999999,14000,119.678297,0.12532638,-0.22231399999999998,0.16769381,-0.22265688,0.17188129,-0.039991654,-0.046076383,-0.029004276000000002,0.113535024,-0.24067073
7,-1594.4539439999999,16000,134.52834199999998,0.13356033,-0.21227108,0.1661217,-0.26238582,0.16288976,-0.05072612,-0.038248274,-0.014741388000000001,0.13437693,-0.27167135
8,-1536.950632,18000,149.491269,0.14609838,-0.13204643,0.16539794,-0.27508920000000003,0.17734106,-0.03619267,0.10410029999999999,0.0005039741000000001,0.15421502,-0.26496387
9,-1508.913601,20000,164.410476,0.14878659,0.02226064,0.14418316,-0.22162195,0.24145661,-0.028284693,0.22344667,0.0140413605,0.15579914,-0.25738195
10,-1535.184804,22000,179.320754,0.14796682,0.030171005,0.14593144,-0.21635106,0.24633318,-0.02445271,0.23189436,0.013016985,0.15842389,-0.26231977
11,-1514.98721,24000,194.423924,0.1497781,0.023748865,0.13778782,-0.22231108,0.24803269,-0.022535903,0.23305324,0.014325045,0.16215710000000003,-0.27043083
12,-1537.5291300000001,26000,209.330896,0.15156263,0.038173913999999996,0.13005175,-0.22298418,0.24697076,-0.019147099999999997,0.23344709,0.019458879,0.16274141,-0.27213165
13,-1560.7029810000001,28000,224.22129900000002,0.15643975,0.041946147,0.13420941,-0.22539571,0.24436225,-0.01862108,0.233947,0.027460843,0.16412957,-0.27265573
14,-1563.47906,30000,239.091587,0.16032829999999998,0.049235142999999995,0.13224126,-0.21952912,0.24157408,-0.016437605,0.22705269,0.033423699999999994,0.16666287,-0.26760158
15,-1460.54868,32000,253.970864,0.16207272,0.052955005,0.1260091,-0.21589024,0.24230811,-0.019642703,0.22752643,0.03348153,0.17033607,-0.26211578
16,-1538.621533,34000,268.985522,0.16635948,0.05295015,0.11875231,-0.20640944,0.23969121,-0.019711516999999998,0.22124633,0.037345536,0.17238407,-0.25357622
17,-1549.5953,36000,283.968802,0.17190993,0.059227525999999996,0.12617585,-0.20437771,0.23422872,-0.014592313999999999,0.21724421,0.043876827,0.17861876,-0.25419667
18,-1496.287667,38000,298.949606,0.17582354,0.06003164,0.12373197,-0.19703829999999997,0.23135823,-0.01749324,0.21481399999999998,0.042271417,0.17896348,-0.24785286
19,-1513.901765,40000,313.966039,0.1749525,0.06352873,0.11633900000000001,-0.19736813,0.22699644,-0.011480633,0.2141326,0.045085627999999996,0.18424119,-0.24667329999999998
20,-1518.678835,42000,328.97725299999996,0.17293477,0.06918126,0.12245646,-0.19831118,0.22940214,-0.014373987,0.2129674,0.04068564,0.1832073,-0.24546492
21,-1540.625851,44000,343.95817900000003,0.16963883,0.07110411,0.1272824,-0.19478679999999998,0.22734573,-0.012938366000000001,0.21394895,0.038488645,0.18243073,-0.24010720000000002
22,-1527.653301,46000,358.990319,0.16733862,0.06826676400000001,0.12704031,-0.19566743,0.22830924,-0.014579416999999999,0.2191603,0.036196154,0.18062721,-0.23557194
23,-1542.342063,48000,373.981626,0.16650024,0.06919633,0.13101110000000002,-0.19717492,0.22700109999999998,-0.012032998999999999,0.22223775,0.035922438,0.18220128,-0.23470674
24,-1643.985109,50000,389.01320400000003,0.16573769,0.06827448,0.13541962,-0.19564725,0.22785632,-0.00908256,0.22041953,0.03585567,0.18421204,-0.23417985
25,-1645.512624,52000,404.03285,0.16451389,0.06533412,0.1340593,-0.19336015,0.22940598,-0.0026596296000000004,0.21866655,0.023491152999999997,0.18308377,-0.23102231
26,-1529.1894619999998,54000,419.08410699999996,0.16847992,0.0770385,0.13415754,-0.19664493,0.22826906,0.0014263483,0.21546051,0.02900786,0.18549575,-0.23106842
27,-1576.917607,56000,434.104007,0.1731756,0.070347756,0.12906346,-0.19821112,0.22494194,0.006933956999999999,0.21779437,0.029478007999999997,0.18902776,-0.22860996
28,-1576.349432,58000,449.152851,0.17276570000000002,0.066860795,0.1314521,-0.1996766,0.22714548,0.007731179699999999,0.2158188,0.027766421,0.19511558,-0.22925347
29,-1612.672473,60000,464.16982300000006,0.17541619,0.061500687000000005,0.13366225,-0.19725393,0.22412436,0.0101802545,0.21583936,0.025996221,0.19621797,-0.2259714
30,-1619.526065,62000,479.243915,0.16700906,0.051755518,0.13425803,-0.18721233,0.22039308,0.00855482,0.22061387,0.005982674,0.19779626,-0.22072035
31,-1585.3804519999999,64000,494.33113399999996,0.14675301,0.04609743,0.13267386,-0.18520653,0.22301954,0.0061120973,0.22302859,0.0037689677,0.19039553,-0.21653344
32,-1517.778432,66000,509.46836399999995,0.14726143,0.040830742999999996,0.13040273,-0.19267938,0.22326024,0.006286239,0.22680238,-0.0041098455,0.18868900000000002,-0.21219316
33,-1308.627484,68000,524.578529,0.13756312,0.040292025,0.129341,-0.19375599999999998,0.22635438,0.012286548999999999,0.2324449,0.0038533185,0.18000062,-0.21151584
34,-1088.016581,70000,541.3300019999999,0.1334771,0.035020046,0.12510131,-0.19636725,0.23457170000000002,0.012697413000000001,0.22297217,0.0073294983999999995,0.18213032,-0.20843528
35,-1569.495281,72000,558.086709,0.11630371,0.055455755,0.14275907,-0.20423655,0.24559109,0.005104834,0.22071151,-0.013772706499999999,0.16893406,-0.19674315
36,-1579.956646,74000,573.164361,0.14209075,0.03524993,0.14917539999999999,-0.20386003,0.24644758,0.036052596,0.21161228,0.012233837,0.17120066,-0.19073042
37,-1583.975005,76000,588.205437,0.14843905,0.03446259,0.14454189,-0.20246942,0.23987719999999998,0.037114777,0.21316352,-0.009354169,0.17154837,-0.17371477
38,-1616.135391,78000,603.288905,0.14159474,0.040492825,0.13460629999999998,-0.20136732,0.23474613,0.034404505,0.21329024,0.036642425,0.18129088,-0.16925253
39,-1584.814325,80000,618.736401,0.1454435,0.05266849999999999,0.13857239999999998,-0.20316863,0.23067574,0.020590207,0.21536727,0.0317782,0.17798026,-0.16495498
40,-1589.826126,82000,633.974788,0.15932325,0.050401807,0.13948777,-0.20307146,0.2198926,0.021304632999999996,0.22612622,0.034400776,0.19985254,-0.15761162
41,-1625.558297,84000,649.069051,0.18636045,0.025367862999999997,0.15010181,-0.19726779,0.21043159,0.049848422,0.22980839,0.0089526065,0.1717698,-0.15992361
42,-1592.844933,86000,664.1558150000001,0.17319651,0.03077047,0.15095903,-0.18527153,0.19498792,0.06494988,0.23614515,-0.009423365999999999,0.1668164,-0.13919114
43,-1602.632499,88000,679.311105,0.18390697,0.04762667,0.15936902,-0.13742597,0.17857139,0.074220434,0.25327557,-0.02355505,0.15485285,-0.12511258
44,-1560.389699,90000,694.456044,0.1711296,0.04977916,0.122447275,-0.14150567,0.22822209,0.052381705,0.28677929999999996,0.0033020909999999996,0.15898333,-0.11563982
