,r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
0,-789.258511,2000,14.309244,0.093354404,0.012892909,-0.29086435,0.08214443,-0.040176015,-0.12723011,-0.09796428,-0.21405002,0.07201703,-0.03242413
1,-716.127964,4000,34.794153,0.093354404,0.012892909,-0.29086435,0.08214443,-0.040176015,-0.12723011,-0.09796428,-0.21405002,0.07201703,-0.03242413
2,-633.068491,6000,54.010346,0.09343618,0.014281355,-0.2909723,0.08203349,-0.04003963,-0.12707433,-0.098061256,-0.21417403,0.07209629,-0.032431494
3,-1463.601642,8000,73.539598,0.09339849,0.018233057,-0.29118013,0.081816785,-0.03931781,-0.12625757,-0.09823133,-0.21413757,0.07245653,-0.032444022999999995
4,-1293.159566,10000,93.997569,0.09339817,0.018451588,-0.29118952,0.08180767,-0.039263493999999996,-0.12621455,-0.09823775,-0.21416911,0.07245603,-0.03244446
5,-1256.955298,12000,115.16756799999999,0.09339817,0.018451588,-0.29118952,0.08180767,-0.039263493999999996,-0.12621455,-0.09823775,-0.21416911,0.07245603,-0.03244446
6,-985.317391,14000,133.461824,0.09339817,0.018451588,-0.29118952,0.08180767,-0.039263493999999996,-0.12621455,-0.09823775,-0.21416911,0.07245603,-0.03244446
7,-985.225174,16000,150.473872,0.09339817,0.018451588,-0.29118952,0.08180767,-0.039263493999999996,-0.12621455,-0.09823775,-0.21416911,0.07245603,-0.03244446
8,-380.682192,18000,169.536484,0.09339817,0.018451588,-0.29118952,0.08180767,-0.039263493999999996,-0.12621455,-0.09823775,-0.21416911,0.07245603,-0.03244446
9,-466.703246,20000,191.482793,0.09339817,0.018451588,-0.29118952,0.08180767,-0.039263493999999996,-0.12621455,-0.09823775,-0.21416911,0.07245603,-0.03244446
10,-452.671583,22000,209.996441,0.09339817,0.018451588,-0.29118952,0.08180767,-0.039263493999999996,-0.12621455,-0.09823775,-0.21416911,0.07245603,-0.03244446
11,-414.98233500000003,24000,226.92470699999998,0.09339817,0.018451588,-0.29118952,0.08180767,-0.039263493999999996,-0.12621455,-0.09823775,-0.21416911,0.07245603,-0.03244446
12,-647.8990150000001,26000,247.53053500000001,0.09339817,0.018451588,-0.29118952,0.08180767,-0.039263493999999996,-0.12621455,-0.09823775,-0.21416911,0.07245603,-0.03244446
13,-563.729066,28000,265.65502799999996,0.09339817,0.018451588,-0.29118952,0.08180767,-0.039263493999999996,-0.12621455,-0.09823775,-0.21416911,0.07245603,-0.03244446
14,-660.9921870000001,30000,282.581733,0.09339817,0.018451588,-0.29118952,0.08180767,-0.039263493999999996,-0.12621455,-0.09823775,-0.21416911,0.07245603,-0.03244446
15,-445.189321,32000,299.54424900000004,0.09339817,0.018451588,-0.29118952,0.08180767,-0.039263493999999996,-0.12621455,-0.09823775,-0.21416911,0.07245603,-0.03244446
16,-399.46869,34000,316.570156,0.20791514,0.028530318,-0.19083506,0.04186575,-0.16016072,-0.03469095,-0.15589073,-0.33975479999999997,-0.04720198,-0.16776946
17,-317.89612400000004,36000,333.707881,0.23145086,0.033712868,-0.13577317,0.06766675,-0.23577768,0.030181548,-0.13977632,-0.38153452,-0.122885875,-0.21028022
18,-318.743679,38000,352.562736,0.21785042,0.02852055,-0.12018328,0.055781797,-0.24295238,0.027409775,-0.12836596,-0.3702052,-0.13030472,-0.1985777
19,-265.57002,40000,369.868258,0.22230928,0.09634898,-0.11460335599999999,-0.021942452999999997,-0.32493344,0.10313675,-0.07199524,-0.41799337,-0.20300342,-0.24369916
