,r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
0,-899.2900800000001,2000,13.425413,0.00114218,0.09255980000000001,0.08767689999999999,-0.19642931,-0.050760515,0.21559659,-0.23413977,0.15263745,0.055066265,-0.03678435
1,-1001.556162,4000,31.550423,0.0017954892999999998,0.088703535,0.08934648,-0.19641463,-0.049758475,0.21940844,-0.23417953,0.15280403,0.054215506,-0.06834935
2,-564.2845990000001,6000,46.829493,0.0038049498,0.090193726,0.091504924,-0.19629458,-0.051102642000000004,0.22025873,-0.23538925,0.15125553,0.054317295999999994,-0.08564719999999999
3,-908.742481,8000,64.040291,0.003789712,0.09194552,0.090178475,-0.1938036,-0.05306274,0.2103254,-0.2359665,0.14975677,0.053161975,-0.06816683
4,-894.2479529999999,10000,79.615131,-0.0028720946999999998,0.08179957,0.081399165,-0.18863247,-0.05498057,0.21595798,-0.23623037,0.15010753,0.04519826,0.00558756
5,-263.71472400000005,12000,95.30192199999999,-0.014580714,0.09147949,0.070255145,-0.18600397,-0.060562685,0.24024186,-0.23862818,0.15740904,0.038729966,0.06489517
6,-1127.667117,14000,112.46518,-0.018979942,0.11352449999999999,0.061957702,-0.18103647,-0.06417527,0.22428861,-0.24266329999999997,0.17259485,0.057352524,0.0619931
7,-1177.952529,16000,128.196456,-0.019236116,0.12324638,0.055641953,-0.17625144,-0.0667186,0.20290825,-0.24230246,0.17966579,0.06536086,0.10017209
8,-368.900821,18000,143.955064,-0.026573628,0.12814589999999998,0.0518283,-0.16809022,-0.06755178,0.21278052,-0.23745306,0.18443494,0.065377645,0.107944615
9,-1133.439079,20000,159.600728,-0.016796283000000002,0.12592036,0.060634725,-0.15792061,-0.07660805,0.1860914,-0.24227512,0.18733783,0.05694930000000001,0.10895163599999999
10,-1195.4457960000002,22000,175.23943799999998,-0.019825922,0.12273507,0.06421102,-0.15247422,-0.081319794,0.20075765,-0.23181190000000002,0.18802986,0.052555874,0.10844205
11,-1177.851334,24000,190.847592,-0.020018801,0.12379792,0.06338362,-0.15193817,-0.09434961,0.19543335,-0.22272934,0.19530198,0.028085234,0.11437252
12,-1070.643198,26000,206.613211,-0.022961382000000002,0.12293773,0.06429916,-0.151883,-0.10143694,0.18740588,-0.21778575,0.19313681,0.03222258,0.10596839
13,-623.6144559999999,28000,222.46398100000002,-0.028387595,0.11716558,0.056478433,-0.14452615,-0.10543632,0.19494829,-0.21103987,0.19709617,0.02888372,0.10588253
14,-602.401728,30000,238.231793,-0.026402547999999998,0.12427372,0.03934238,-0.13818488,-0.109242804,0.19863567,-0.20787896,0.19467182,0.029033186000000002,0.10767729
15,-540.5509030000001,32000,254.517486,-0.02069217,0.13062474,0.034201793,-0.13656351,-0.10098668,0.19470567,-0.21251762,0.19438744,0.029848525,0.10918196
16,-813.745282,34000,270.918944,-0.0128220655,0.1380414,0.031549316,-0.12655409,-0.09267344,0.18506816,-0.21884954,0.19593756,0.03124403,0.11589738
17,-1213.237259,36000,287.49113,-0.013994028,0.14059669,0.03649575,-0.11926753,-0.092428684,0.20108648,-0.20221455,0.19540599,0.0456547,0.111640036
18,-603.20133,38000,303.68760299999997,-0.014707721000000002,0.14646116,0.042247396,-0.10437484,-0.07780055,0.21263734,-0.20060179999999997,0.19331434,0.045526557,0.11633314
19,-247.86379,40000,319.716007,-0.009273664000000001,0.14122829,0.05098369,-0.08753479,-0.07957778,0.21391535,-0.20662768,0.1906105,0.032475516,0.12990353
