,r,l,t
0,-497.727724,5000,30.421495
1,-587.641809,10000,56.354677
2,-446.49694400000004,15000,82.397586
3,-258.644394,20000,108.450248
4,-423.377116,25000,134.532679
5,-278.45837,30000,160.593345
6,-315.09606099999996,35000,186.695251
7,-182.600583,40000,213.25093199999998
8,-292.350394,45000,239.41178100000002
9,-209.50183,50000,265.542686
10,-263.451487,55000,291.79524399999997
11,-240.63772000000003,60000,318.120635
12,-223.14344,65000,344.402773
13,-202.874073,70000,370.687255
14,-184.069377,75000,397.382919
15,-189.910011,80000,423.691584
16,-175.168901,85000,450.01173099999994
17,-222.037296,90000,476.317609
18,-188.535805,95000,502.718826
19,-815.7943389999999,100000,529.191669
20,-185.370968,105000,555.6248360000001
21,-219.49881800000003,110000,582.1035469999999
22,-194.309883,115000,608.575357
23,-228.58946699999998,120000,635.065633
24,-184.720156,125000,661.5559360000001
25,-185.449507,130000,688.0493769999999
26,-638.827216,135000,714.5247059999999
27,-212.459579,140000,741.0341179999999
28,-216.447498,145000,767.5241599999999
29,-195.541043,150000,794.018553
30,-209.91750699999997,155000,820.4962360000001
31,-225.61876600000002,160000,847.0489060000001
32,-628.7673440000001,165000,873.825575
33,-638.535847,170000,900.287433
34,-410.36066600000004,175000,926.766464
35,-184.212127,180000,953.252239
36,-179.05375,185000,979.7581449999999
37,-215.717855,190000,1006.239376
38,-183.412428,195000,1032.719151
39,-257.557548,200000,1059.307483
40,-209.585915,205000,1085.8318570000001
41,-244.243082,210000,1112.359574
42,-183.158411,215000,1138.887349
43,-188.009218,220000,1165.335449
44,-271.764639,225000,1191.83072
45,-185.51775,230000,1218.282154
46,-200.799173,235000,1244.7466980000002
47,-335.843972,240000,1271.2317859999998
48,-420.361229,245000,1297.688936
49,-209.499551,250000,1324.177564
50,-159.25852700000002,255000,1350.58814
51,-220.19439100000002,260000,1377.041209
52,-153.958203,265000,1403.524485
53,-160.20253799999998,270000,1430.078794
54,-183.715654,275000,1456.634342
55,-311.384213,280000,1483.1176460000001
56,-200.12166299999998,285000,1509.567368
57,-176.785352,290000,1536.060927
58,-157.67457,295000,1562.552927
59,-614.979446,300000,1589.079452
60,-175.518823,305000,1615.5386640000002
61,-206.398418,310000,1642.004015
62,-426.283756,315000,1668.487981
63,-184.16006000000002,320000,1695.022491
64,-159.70612,325000,1721.472198
65,-237.109812,330000,1748.1560350000002
66,-187.036227,335000,1774.653696
67,-215.31801800000002,340000,1801.1753260000003
68,-326.973229,345000,1827.6094
69,-554.8437700000001,350000,1854.100823
70,-162.212404,355000,1880.609398
71,-185.05794,360000,1907.116423
72,-198.729176,365000,1933.6670190000002
73,-155.290605,370000,1960.1672489999999
