,r,l,t
0,-246.190539,5000,44.006496000000006
1,-518.46056,10000,81.050315
2,-715.902586,15000,118.41218500000001
3,-607.316966,20000,155.854432
4,-251.79996200000002,25000,193.418133
5,-193.58487,30000,230.737688
6,-191.929605,35000,268.701648
7,-147.172228,40000,307.320514
8,-259.424357,45000,346.220853
9,-214.075273,50000,384.477785
10,-161.70138300000002,55000,422.95776900000004
11,-116.891924,60000,461.035597
12,-141.39133700000002,65000,499.914167
13,-195.449554,70000,538.4019519999999
14,-285.955128,75000,576.144714
15,-172.707469,80000,614.075241
16,-252.64297599999998,85000,652.8305790000001
17,-195.037271,90000,691.226041
18,-171.51468899999998,95000,729.290883
19,-184.708497,100000,767.4017809999999
20,-166.897526,105000,805.075954
21,-492.515862,110000,842.8758210000001
22,-504.47278600000004,115000,881.0340769999999
23,-276.782288,120000,918.960807
24,-294.724989,125000,957.6069369999999
25,-257.74396,130000,996.1031550000001
26,-190.931724,135000,1034.993166
27,-232.86078500000002,140000,1073.15099
28,-204.641697,145000,1111.269817
29,-186.42231999999998,150000,1149.570226
30,-210.912495,155000,1188.313666
31,-185.164167,160000,1226.879222
32,-241.57862599999999,165000,1265.829483
33,-190.279848,170000,1304.959323
34,-239.163835,175000,1343.8511119999998
35,-492.673242,180000,1382.8446789999998
36,-175.76549599999998,185000,1421.9177789999999
37,-196.647554,190000,1460.7533460000002
38,-169.531249,195000,1499.5090089999999
39,-177.78235,200000,1538.750101
40,-152.228897,205000,1577.4738300000001
41,-159.492497,210000,1616.19156
42,-182.602271,215000,1654.878768
43,-436.61781799999994,220000,1693.269853
44,-177.635176,225000,1731.9863010000001
45,-208.162922,230000,1770.64885
46,-154.98428,235000,1809.3490510000001
47,-193.089324,240000,1848.368389
48,-225.591479,245000,1886.9243809999998
49,-486.438875,250000,1925.502676
50,-980.407859,255000,1964.119159
51,-457.05258399999997,260000,2002.5371149999999
52,-388.896297,265000,2040.972975
53,-219.11677400000002,270000,2079.8681420000003
54,-188.951098,275000,2118.558845
55,-169.536279,280000,2157.6883399999997
56,-192.433924,285000,2196.8385120000003
57,-171.85906,290000,2235.59512
