,r,l,t
0,-159.707379,5000,28.171008
1,-271.680588,10000,54.837146999999995
2,-195.955546,15000,84.946343
3,-196.317258,20000,111.151301
4,-192.189799,25000,137.295966
5,-268.098232,30000,163.427801
6,-234.65787799999998,35000,189.79867099999998
7,-75.35962099999999,40000,216.324252
8,-116.50756399999999,45000,242.728658
9,-89.021019,50000,269.044599
10,-63.290682999999994,55000,295.423789
11,-88.991855,60000,322.159706
12,-88.343659,65000,348.735115
13,-103.116743,70000,375.245686
14,-161.82421200000002,75000,401.891817
15,-129.984655,80000,428.80282300000005
16,-62.147802,85000,455.427095
17,-77.75366,90000,483.224011
18,-93.132299,95000,511.760962
19,-83.405874,100000,542.082585
20,-53.580118999999996,105000,568.933135
21,-91.832752,110000,596.020185
22,-86.060323,115000,623.123247
23,-63.124837,120000,649.9983900000001
24,-53.769613,125000,676.832122
25,-70.688124,130000,703.669501
26,-67.82284399999999,135000,730.739191
27,-89.292436,140000,757.937191
28,-52.48874,145000,785.208208
29,-121.927553,150000,812.977929
30,-24.791694,155000,840.480622
31,-57.58954,160000,870.5581060000001
32,-56.524370999999995,165000,902.423748
33,-48.093866999999996,170000,937.5769369999999
34,-53.555014,175000,970.169799
35,-44.959559999999996,180000,1005.366577
36,-66.183447,185000,1038.7614449999999
37,-71.108558,190000,1072.7669740000001
38,-37.652409999999996,195000,1106.183271
39,-45.297625,200000,1138.071871
40,-55.354567,205000,1168.32856
41,-49.935233000000004,210000,1199.109379
42,-53.482769999999995,215000,1229.078836
43,-44.158042,220000,1261.810181
44,-56.279751,225000,1294.896518
45,-51.349298,230000,1322.451337
46,-73.448631,235000,1349.32408
47,-52.082237,240000,1376.257256
48,-57.821868,245000,1406.8388869999999
49,-81.60112,250000,1435.974492
50,-63.493026,255000,1465.35833
51,-50.345695,260000,1499.092526
52,-116.768579,265000,1526.857485
53,-43.429994,270000,1556.051259
54,-82.261717,275000,1590.3587300000002
55,-48.129536,280000,1621.391308
56,-50.458359,285000,1654.118938
57,-65.358661,290000,1684.5174260000001
58,-64.115634,295000,1715.96032
59,-78.200106,300000,1744.375715
60,-91.156276,305000,1773.1819280000002
61,-83.653403,310000,1803.5044
62,-93.247801,315000,1831.736182
63,-82.895487,320000,1862.606352
64,-73.855452,325000,1894.574813
65,-74.016452,330000,1927.865656
66,-52.138026,335000,1959.032595
67,-72.645464,340000,1993.5421440000002
68,-90.398252,345000,2026.9065039999998
69,-85.670812,350000,2060.639928
70,-54.687591000000005,355000,2093.5840980000003
71,-40.119203999999996,360000,2125.222157
72,-49.356311,365000,2156.742252
73,-37.150356,370000,2189.750571
74,-38.51034,375000,2223.083778
75,-59.603562,380000,2253.197999
76,-76.859837,385000,2283.903867
77,-32.89728,390000,2312.5602719999997
78,-37.366224,395000,2340.5502530000003
79,-40.602696,400000,2367.540093
80,-17.570742000000003,405000,2394.6842100000003
81,-25.797548000000003,410000,2421.842701
82,-58.497853000000006,415000,2448.72526
83,-87.018331,420000,2476.021979
84,-59.986470999999995,425000,2503.7872039999997
85,-32.951953,430000,2531.012994
86,-62.535582,435000,2558.0988429999998
87,-40.738577,440000,2585.37341
88,-78.462882,445000,2612.658467
89,-59.49596999999999,450000,2639.956104
90,-80.062014,455000,2667.088824
91,-70.396235,460000,2694.4787469999997
92,-63.972349,465000,2723.284512
93,-65.854837,470000,2751.9213809999997
94,-58.728326,475000,2781.342349
95,-59.947447,480000,2809.587024
96,-104.564276,485000,2838.272129
97,-75.648822,490000,2866.5875140000003
98,-74.267659,495000,2899.982891
99,-81.529167,500000,2932.639136
100,-85.47855799999999,505000,2966.12534
101,-100.014874,510000,2998.430375
102,-51.980139,515000,3030.201642
103,-88.657045,520000,3059.284246
104,-81.21977199999999,525000,3089.1307070000003
105,-94.88703199999999,530000,3121.657084
106,-87.398777,535000,3154.9794100000004
107,-93.54608,540000,3184.038166
108,-370.750234,545000,3217.523674
109,-85.333069,550000,3250.860779
110,-70.034227,555000,3284.254931
111,-82.87559300000001,560000,3316.870711
112,-98.357106,565000,3350.214151
113,-93.651903,570000,3387.0805549999995
114,-86.004997,575000,3424.738407
115,-80.39301800000001,580000,3456.140549
116,-86.38521,585000,3490.8575840000003
117,-88.85564699999999,590000,3524.9858270000004
118,-130.52803400000002,595000,3555.903992
