,r,l,t
0,-386.634997,5000,30.231675
1,-905.984548,10000,58.85688100000001
2,-287.09095,15000,90.885749
3,-467.3045,20000,122.125699
4,-71.906006,25000,154.810618
5,-60.404612,30000,185.614987
6,-422.74780300000003,35000,215.80323199999998
7,-127.14984399999999,40000,245.67810099999997
8,-118.08510700000001,45000,276.849668
9,-63.614567,50000,306.25759700000003
10,-100.928527,55000,335.51361299999996
11,-183.352229,60000,371.005829
12,-91.420654,65000,406.50597
13,-171.141373,70000,435.20001799999994
14,-116.19648400000001,75000,467.252809
15,-124.63337,80000,498.07816399999996
16,-124.15066399999999,85000,529.1956190000001
17,-105.670679,90000,559.8489099999999
18,-112.43104699999999,95000,590.532326
19,-94.268946,100000,622.193002
20,-78.956052,105000,653.193672
21,-109.93156299999998,110000,686.989357
22,-101.975944,115000,720.1989599999999
23,-76.226295,120000,754.383781
24,-79.201125,125000,786.604576
25,-78.319264,130000,817.650123
26,-97.36046400000001,135000,848.8642140000001
27,-91.70468199999999,140000,880.2158720000001
28,-102.417294,145000,912.954986
29,-80.999154,150000,948.4854300000001
30,-79.26181899999999,155000,981.025003
31,-90.80001800000001,160000,1013.766748
32,-71.749686,165000,1044.771308
33,-73.525989,170000,1077.749811
34,-78.170505,175000,1104.988249
35,-63.052675,180000,1131.238902
36,-74.59910699999999,185000,1157.51722
37,-77.172702,190000,1183.629579
38,-45.403016,195000,1209.696555
39,-49.837865,200000,1235.933229
40,-64.87356700000001,205000,1262.047707
41,-60.621936,210000,1288.180645
42,-54.004706000000006,215000,1314.2364619999998
43,-46.21239,220000,1340.3105679999999
44,-48.229942,225000,1366.374731
45,-56.758818000000005,230000,1392.445377
46,-57.595893000000004,235000,1418.540636
47,-72.528751,240000,1444.655557
48,-60.090429,245000,1470.753256
49,-54.632424,250000,1496.895704
50,-57.238409999999995,255000,1522.9805609999999
51,-51.405851,260000,1549.2812119999999
52,-60.7643,265000,1575.450218
53,-69.619824,270000,1601.702554
54,-72.42339799999999,275000,1627.797047
55,-63.305653,280000,1653.908682
56,-71.18672099999999,285000,1680.035994
57,-58.210989,290000,1706.155184
58,-53.846192,295000,1732.3075760000002
59,-64.259135,300000,1758.5533039999998
60,-60.899499,305000,1784.59763
61,-70.768298,310000,1810.9188149999998
62,-69.57638100000001,315000,1837.0813440000002
63,-74.574825,320000,1863.282679
64,-66.088165,325000,1889.350522
65,-63.158278,330000,1915.424945
66,-64.144788,335000,1941.549862
67,-74.105368,340000,1967.6460920000002
68,-78.223146,345000,1993.7227030000001
69,-79.502661,350000,2019.8206050000001
70,-72.472321,355000,2045.890632
71,-67.460902,360000,2072.026703
72,-74.06661899999999,365000,2098.174059
73,-66.179787,370000,2124.259841
74,-69.738249,375000,2150.33689
75,-74.303262,380000,2176.387539
76,-63.522465000000004,385000,2202.5048739999997
77,-66.925556,390000,2228.559683
78,-67.733597,395000,2254.618463
79,-65.355194,400000,2280.7349480000003
80,-69.126076,405000,2306.79554
81,-64.53537299999999,410000,2332.886879
82,-59.558477,415000,2358.958094
83,-55.874201,420000,2385.0275850000003
84,-58.035928000000006,425000,2411.172756
85,-53.549958999999994,430000,2437.222403
86,-51.54741,435000,2463.270032
87,-60.70101999999999,440000,2489.4824949999997
88,-52.327265999999995,445000,2515.552683
89,-38.565176,450000,2541.68206
90,-44.474482,455000,2567.868188
91,-37.017259,460000,2593.94768
92,-36.500811,465000,2620.0975989999997
93,-36.059781,470000,2646.244429
94,-32.588675,475000,2672.404352
95,-42.323639,480000,2698.604699
96,-42.321567,485000,2724.675764
97,-43.751118,490000,2750.765594
98,-50.622856,495000,2776.9119379999997
99,-52.058208,500000,2803.0478399999997
100,-49.404682,505000,2829.177206
101,-43.716503,510000,2855.411459
102,-52.841496,515000,2881.5339480000002
103,-50.007552000000004,520000,2907.642453
104,-55.282740000000004,525000,2933.731909
105,-74.91841099999999,530000,2959.8197649999997
106,-52.623943000000004,535000,2985.9694010000003
107,-65.54292099999999,540000,3012.056453
108,-49.959998999999996,545000,3038.1412960000002
109,-83.74331,550000,3064.307398
110,-229.61543799999998,555000,3090.424942
111,-103.524899,560000,3116.5395489999996
112,-72.070424,565000,3142.682949
113,-78.30680100000001,570000,3168.78715
114,-82.573674,575000,3195.3712140000002
115,-65.283767,580000,3222.093304
116,-61.396322,585000,3248.261864
117,-74.566776,590000,3274.44473
118,-76.308013,595000,3300.604659
119,-77.14171999999999,600000,3326.805645
120,-77.72124699999999,605000,3353.03467
121,-108.633806,610000,3379.561478
122,-88.262738,615000,3405.8533469999998
123,-94.288799,620000,3432.160709
124,-76.13516800000001,625000,3458.550157
125,-94.46801500000001,630000,3485.165373
126,-60.354842000000005,635000,3513.243032
127,-68.346779,640000,3540.158828
128,-78.845591,645000,3566.311229
129,-81.14092,650000,3592.248037
