,r,l,t
0,-112.32289499999999,5000,31.805324
1,-95.658496,10000,60.848723
2,-102.842473,15000,89.851096
3,-141.392759,20000,120.18021100000001
4,-121.170272,25000,151.05046000000002
5,-111.01323500000001,30000,183.42601299999998
6,-117.89228,35000,211.65235499999997
7,-106.08013899999999,40000,243.21135299999997
8,-94.414721,45000,272.355664
9,-119.008344,50000,302.34294
10,-138.830071,55000,332.79241099999996
11,-134.930619,60000,360.928609
12,-146.27881599999998,65000,389.653692
13,-116.274078,70000,418.320992
14,-133.136046,75000,446.62480199999993
15,-129.274767,80000,474.972113
16,-108.05893799999998,85000,504.54750099999995
17,-119.772116,90000,539.312461
18,-128.130067,95000,575.192625
19,-86.258797,100000,603.283631
20,-77.509249,105000,632.926175
21,-97.194749,110000,664.9774070000001
22,-73.680201,115000,694.954795
23,-73.968083,120000,726.57415
24,-70.38357099999999,125000,757.537125
25,-67.420349,130000,790.638282
26,-75.00071899999999,135000,818.499343
27,-87.695647,140000,845.1760800000001
28,-62.881639,145000,873.0403980000001
29,-75.06081400000001,150000,900.9597150000001
30,-90.409051,155000,928.445709
31,-102.29654000000001,160000,956.226562
32,-56.643425,165000,983.447644
33,-115.56976,170000,1011.2690759999999
34,-89.98349,175000,1038.785028
35,-105.50093999999999,180000,1065.971118
36,-70.497069,185000,1092.424899
37,-72.02243299999999,190000,1119.187704
38,-108.361625,195000,1145.667302
39,-68.175296,200000,1172.48372
40,-62.800332999999995,205000,1199.103656
41,-57.048193000000005,210000,1225.7209380000002
42,-71.387966,215000,1252.829451
43,-80.320233,220000,1279.75557
44,-53.226351,225000,1308.967703
45,-63.16578199999999,230000,1336.306686
46,-70.82088,235000,1364.420841
47,-76.39553199999999,240000,1398.246419
48,-84.77535,245000,1434.4211289999998
49,-84.69843900000001,250000,1465.846105
50,-96.592857,255000,1492.761756
51,-93.86505799999999,260000,1519.734183
52,-90.82579399999999,265000,1550.776438
53,-120.36875,270000,1582.902491
54,-104.278561,275000,1615.171224
55,-107.562652,280000,1648.223058
56,-78.254936,285000,1683.3506350000002
57,-75.910882,290000,1715.9468510000002
58,-79.181304,295000,1752.6635039999999
59,-90.213417,300000,1789.843626
60,-109.553931,305000,1823.6232059999998
61,-91.475521,310000,1859.06342
62,-79.336205,315000,1892.259656
63,-71.94508499999999,320000,1924.137852
64,-119.52891399999999,325000,1954.8733760000002
65,-110.252025,330000,1983.487827
66,-112.00839599999999,335000,2014.085107
67,-67.669009,340000,2044.3769260000001
68,-66.824226,345000,2076.6950850000003
69,-81.637024,350000,2107.712239
70,-86.58010300000001,355000,2139.5348489999997
71,-77.502284,360000,2171.244837
72,-77.64385899999999,365000,2202.394577
73,-93.101943,370000,2234.913071
74,-84.125884,375000,2265.9051600000003
75,-86.151409,380000,2297.2882280000003
76,-76.168319,385000,2326.882893
77,-73.17866,390000,2353.777701
78,-79.899465,395000,2381.005078
79,-66.960261,400000,2407.734172
80,-75.057234,405000,2435.801316
81,-78.24424300000001,410000,2464.016501
82,-140.492125,415000,2491.5438879999997
83,-85.142709,420000,2518.9765079999997
84,-80.377119,425000,2546.539796
85,-77.46490899999999,430000,2574.043174
86,-79.539979,435000,2602.312739
87,-74.765973,440000,2629.7711879999997
88,-112.802801,445000,2657.045062
89,-95.473011,450000,2683.7072190000004
90,-81.76082199999999,455000,2710.289949
91,-80.820215,460000,2736.9179999999997
92,-76.413949,465000,2763.472325
93,-84.529107,470000,2790.026732
94,-102.167837,475000,2816.5474710000003
95,-89.255211,480000,2843.0247879999997
96,-98.09899399999999,485000,2869.584877
97,-77.690159,490000,2897.8702710000002
98,-94.148391,495000,2925.988613
99,-94.14242800000001,500000,2953.917629
