,r,l,t
0,-214.339035,5000,28.655896999999996
1,-906.2376609999999,10000,55.15195
2,-953.331092,15000,81.455023
3,-581.031762,20000,107.681828
4,-217.70732599999997,25000,134.049261
5,-425.861757,30000,162.845762
6,-454.621521,35000,191.663153
7,-145.595069,40000,218.377004
8,-223.97654300000002,45000,245.724925
9,-81.08140300000001,50000,272.611748
10,-83.867148,55000,299.661055
11,-71.001706,60000,326.794718
12,-79.45656,65000,353.988762
13,-88.886616,70000,383.57187799999997
14,-78.67334,75000,410.26651499999997
15,-95.431986,80000,436.722288
16,-98.52423,85000,463.76045999999997
17,-103.733448,90000,490.519717
18,-108.220307,95000,520.9281589999999
19,-129.28881299999998,100000,554.3527389999999
20,-86.10857,105000,586.603592
21,-86.60288100000001,110000,617.800433
22,-86.911766,115000,648.387662
23,-93.372814,120000,676.374342
24,-82.21696999999999,125000,702.8272440000001
25,-93.19866999999999,130000,729.286878
26,-96.214706,135000,755.779666
27,-142.007345,140000,782.589923
28,-101.992807,145000,809.1923419999999
29,-92.830113,150000,836.124731
30,-85.877747,155000,862.6955220000001
31,-89.47935600000001,160000,889.319268
32,-91.672838,165000,915.9318800000001
33,-87.684425,170000,942.3755259999999
34,-97.358936,175000,968.8501449999999
35,-171.745997,180000,995.3167890000001
36,-95.04296,185000,1021.688101
37,-117.25276299999999,190000,1048.216424
38,-99.43011,195000,1076.095727
39,-108.613083,200000,1103.066902
40,-96.036363,205000,1129.831994
41,-99.063773,210000,1158.535162
42,-93.280856,215000,1191.196186
43,-97.30082800000001,220000,1223.699762
44,-88.296722,225000,1256.218869
45,-92.547762,230000,1289.19032
46,-107.722927,235000,1321.107429
47,-82.712509,240000,1353.37876
48,-116.74078999999999,245000,1385.3890720000002
49,-99.903922,250000,1417.4928869999999
50,-108.78061799999999,255000,1449.5718539999998
51,-111.997106,260000,1485.3799279999998
52,-97.237463,265000,1517.32252
53,-115.322053,270000,1545.491342
54,-82.959319,275000,1574.832877
55,-80.409412,280000,1601.310634
56,-93.916397,285000,1627.8085449999999
57,-78.60605600000001,290000,1655.364524
58,-73.764284,295000,1681.9287600000002
59,-65.804569,300000,1708.43582
60,-72.348439,305000,1735.1362800000002
61,-85.789372,310000,1761.694985
62,-98.180301,315000,1788.605482
63,-72.991893,320000,1815.757545
64,-92.05311999999999,325000,1844.2495390000001
65,-82.277109,330000,1870.7581850000001
66,-79.525981,335000,1897.39572
67,-81.217794,340000,1924.666523
68,-84.557843,345000,1952.2892510000001
69,-86.314975,350000,1979.324309
70,-91.417578,355000,2006.173965
71,-89.019818,360000,2033.100603
72,-92.989264,365000,2059.9665210000003
73,-83.268393,370000,2087.024135
74,-83.693832,375000,2113.8453649999997
75,-54.537380000000006,380000,2140.663838
76,-72.151558,385000,2167.925915
77,-49.368807000000004,390000,2195.11152
78,-774.585533,395000,2222.414965
79,-33.698003,400000,2250.755615
80,-30.853096,405000,2277.813754
81,-23.377923000000003,410000,2304.931931
82,-30.167145,415000,2332.170861
83,-39.936575,420000,2359.2040460000003
84,-44.606117,425000,2385.720452
85,-56.228722,430000,2412.144708
86,-45.237493,435000,2438.694337
87,-49.314594,440000,2465.284832
88,-55.707947,445000,2491.9670300000002
89,-54.247488,450000,2518.753721
90,-40.705217,455000,2545.388449
91,-39.142158,460000,2571.945988
92,-36.045345000000005,465000,2598.565692
93,-37.362482,470000,2625.327135
94,-42.350297999999995,475000,2652.003257
95,-45.2259,480000,2678.5581
96,-41.387873,485000,2705.525782
97,-36.456189,490000,2732.703658
98,-41.988284,495000,2759.444198
99,-43.985939,500000,2786.201897
