,r,l,t
0,-293.919111,5000,33.429819
1,-394.765026,10000,63.347634
2,-551.521539,15000,93.44112700000001
3,-761.041334,20000,121.85534399999999
4,-615.5205530000001,25000,149.665232
5,-528.642827,30000,177.676292
6,-723.985754,35000,205.77438700000002
7,-606.78246,40000,233.701545
8,-493.18163200000004,45000,261.888372
9,-641.835542,50000,290.06104700000003
10,-586.2377150000001,55000,318.31859
11,-572.362258,60000,346.52305099999995
12,-618.963138,65000,374.649041
13,-602.978609,70000,402.862613
14,-523.241314,75000,430.888801
15,-674.08402,80000,458.91016900000005
16,-572.948631,85000,487.150025
17,-588.332234,90000,515.409549
18,-554.060802,95000,544.684932
19,-591.636293,100000,573.258292
20,-606.018163,105000,601.626956
21,-497.150067,110000,629.867113
22,-509.022314,115000,658.141855
23,-438.548449,120000,686.501002
24,-581.236218,125000,714.944975
25,-506.30448099999995,130000,743.195609
26,-451.662785,135000,771.554576
27,-410.246948,140000,800.588178
28,-445.88730899999996,145000,828.954767
29,-811.028678,150000,857.2703039999999
30,-481.921792,155000,885.639551
31,-528.3268429999999,160000,914.051801
32,-694.7283719999999,165000,942.9833289999999
33,-842.974801,170000,971.711918
34,-572.196918,175000,1000.432391
35,-378.449457,180000,1028.87212
36,-626.544269,185000,1057.249413
37,-354.98111600000004,190000,1085.743764
38,-607.778629,195000,1114.73507
39,-433.07852599999995,200000,1144.206658
40,-438.15435199999996,205000,1172.761097
41,-494.253395,210000,1202.077282
42,-477.022885,215000,1230.543586
43,-472.675488,220000,1259.5572220000001
44,-567.005569,225000,1288.7971109999999
45,-620.415013,230000,1318.029117
46,-490.97312,235000,1346.8379710000002
47,-492.493708,240000,1375.496208
48,-488.405071,245000,1403.7364380000001
49,-525.0623360000001,250000,1432.148953
50,-490.149338,255000,1461.497275
51,-465.278079,260000,1492.625976
52,-423.60068099999995,265000,1519.957466
53,-494.79555700000003,270000,1546.655708
54,-449.142603,275000,1573.410382
55,-444.60765,280000,1600.412101
56,-427.993354,285000,1628.308356
57,-659.675332,290000,1654.916259
58,-489.482684,295000,1683.613827
59,-670.7917980000001,300000,1713.764127
60,-506.887266,305000,1742.148437
61,-455.237813,310000,1770.382421
62,-474.628222,315000,1798.729998
63,-540.1352400000001,320000,1827.070086
64,-613.0593200000001,325000,1855.7772969999999
65,-532.530131,330000,1884.3436600000002
66,-538.684713,335000,1912.5155920000002
67,-545.540697,340000,1940.575994
68,-550.37199,345000,1968.947323
69,-493.89010199999996,350000,1997.9733800000001
70,-497.264884,355000,2026.767818
71,-533.277288,360000,2055.262686
72,-551.243774,365000,2083.636661
73,-581.51333,370000,2111.9840329999997
74,-529.461298,375000,2140.420001
75,-536.5990519999999,380000,2168.616966
76,-694.006466,385000,2196.75691
77,-705.926112,390000,2225.199205
78,-613.7729400000001,395000,2253.651697
79,-518.425411,400000,2282.219941
80,-609.930981,405000,2310.688338
81,-562.516497,410000,2339.188835
82,-583.441787,415000,2367.449712
83,-797.733658,420000,2395.922701
84,-554.772709,425000,2425.209289
85,-574.2273759999999,430000,2454.060314
86,-506.04929000000004,435000,2482.665972
87,-541.221454,440000,2511.1469899999997
88,-535.364705,445000,2539.5948949999997
89,-557.602001,450000,2568.077866
90,-593.165779,455000,2596.351414
91,-599.957304,460000,2624.844783
92,-627.022401,465000,2653.198974
93,-626.140294,470000,2681.737936
94,-605.457083,475000,2710.447847
95,-548.255642,480000,2739.297359
96,-553.558969,485000,2767.952989
97,-839.973366,490000,2797.211048
98,-549.879312,495000,2826.045354
99,-578.6633870000001,500000,2855.118281
100,-562.072486,505000,2884.1860829999996
101,-653.4061929999999,510000,2913.1810170000003
102,-503.85416299999997,515000,2942.027273
103,-598.343562,520000,2970.891061
104,-641.790896,525000,3000.007645
105,-584.9217530000001,530000,3029.182352
106,-606.909033,535000,3057.941132
107,-531.581685,540000,3086.724988
108,-496.882326,545000,3115.5918100000004
109,-510.013094,550000,3144.344632
110,-525.119695,555000,3172.95853
111,-624.690297,560000,3201.7651530000003
112,-536.440967,565000,3230.6078030000003
113,-561.406533,570000,3260.046634
114,-533.249339,575000,3289.277453
115,-538.290809,580000,3318.3201280000003
116,-595.842138,585000,3347.30652
117,-612.5508150000001,590000,3376.1311600000004
118,-504.23272699999995,595000,3405.003027
119,-468.504687,600000,3434.087774
120,-514.076257,605000,3463.133865
121,-496.40909000000005,610000,3491.97181
122,-540.216013,615000,3520.869927
123,-556.723263,620000,3549.460692
124,-533.391481,625000,3578.267542
125,-555.191343,630000,3607.153312
126,-940.688342,635000,3636.0205130000004
127,-514.619063,640000,3664.7028200000004
128,-543.574149,645000,3693.4480009999997
129,-579.061315,650000,3722.4340060000004
130,-587.061243,655000,3751.3315090000006
131,-775.581624,660000,3780.1938840000003
132,-573.753954,665000,3809.153092
133,-734.0077190000001,670000,3838.1247770000004
134,-573.1132299999999,675000,3866.896971
135,-501.245129,680000,3895.527696
136,-681.241812,685000,3924.2298130000004
137,-546.499453,690000,3953.208362
138,-580.21885,695000,3982.1217840000004
139,-574.285282,700000,4011.118485
140,-624.728131,705000,4039.658922
141,-574.807741,710000,4068.175711
142,-548.446225,715000,4096.946940999999
143,-491.88741500000003,720000,4125.975737
144,-590.461415,725000,4154.877775
145,-521.469296,730000,4183.657561999999
146,-944.265523,735000,4212.227332
147,-536.139499,740000,4240.934503
148,-609.8873580000001,745000,4270.276004
149,-551.946291,750000,4299.293189
150,-538.549388,755000,4327.9868670000005
151,-486.742152,760000,4356.623743
152,-537.178312,765000,4385.330059000001
153,-479.51057099999997,770000,4414.00829
154,-481.866463,775000,4442.866443
155,-520.785111,780000,4472.143405
156,-495.800072,785000,4501.199622
157,-536.291302,790000,4529.832079
158,-489.32257699999997,795000,4558.555168
159,-501.05269599999997,800000,4587.213454
160,-505.92018099999996,805000,4615.892304999999
161,-561.762988,810000,4644.234146
162,-614.687449,815000,4672.532452
163,-564.287414,820000,4700.9820039999995
164,-526.8287280000001,825000,4729.832424
165,-546.606784,830000,4758.276457
166,-879.4902960000001,835000,4786.574996
167,-841.790311,840000,4814.803603
168,-521.1693230000001,845000,4843.415508
169,-517.294266,850000,4872.138606
170,-801.7982139999999,855000,4900.453788000001
171,-704.779034,860000,4928.896622
172,-646.088713,865000,4957.529047999999
173,-654.0857120000001,870000,4986.701018
174,-664.291533,875000,5015.953065
175,-586.046735,880000,5044.81028
176,-618.0268980000001,885000,5073.585958
177,-626.674568,890000,5102.717466
178,-558.574141,895000,5132.629097
179,-580.608907,900000,5161.5496570000005
180,-722.631571,905000,5190.182443
181,-552.066504,910000,5218.950431
182,-566.58211,915000,5247.684616
183,-549.105422,920000,5276.340851
184,-540.821862,925000,5305.162947999999
185,-463.86206100000004,930000,5333.701757
186,-524.496364,935000,5362.369184
187,-569.558521,940000,5391.155317
188,-572.400916,945000,5419.985536
189,-565.203379,950000,5448.784466
190,-547.6471190000001,955000,5479.608384
191,-589.594216,960000,5509.302888
192,-589.427875,965000,5537.936892000001
193,-555.807496,970000,5566.551864
194,-572.782454,975000,5595.057851
195,-559.5018349999999,980000,5623.520789
196,-550.313444,985000,5651.736089
197,-523.2946969999999,990000,5680.221194
198,-541.290267,995000,5708.922381
199,-550.4511269999999,1000000,5738.29936
