,r,l,t
0,-390.237069,5000,29.902308
1,-882.2333279999999,10000,56.164799
2,-907.4280699999999,15000,82.32169
3,-775.116618,20000,108.58003899999999
4,-663.617415,25000,134.67936799999998
5,-739.535798,30000,160.842529
6,-720.380528,35000,187.124943
7,-649.296888,40000,213.56093399999997
8,-724.823839,45000,239.95038799999998
9,-522.891823,50000,266.33693999999997
10,-595.10525,55000,292.861397
11,-735.8415570000001,60000,320.71205699999996
12,-645.112429,65000,347.57479700000005
13,-661.590537,70000,373.824592
14,-645.854853,75000,399.971962
15,-546.8400429999999,80000,426.07545999999996
16,-527.281816,85000,452.20642999999995
17,-590.137875,90000,478.36553200000003
18,-525.2819450000001,95000,504.646667
19,-504.89239299999997,100000,530.9029019999999
20,-514.162417,105000,557.266706
21,-592.4710759999999,110000,583.718488
22,-609.019665,115000,610.6754129999999
23,-476.55364000000003,120000,637.1392969999999
24,-580.3925009999999,125000,663.606532
25,-523.29877,130000,690.036167
26,-614.247304,135000,717.337944
27,-552.4899690000001,140000,744.3138339999999
28,-542.4032950000001,145000,770.940331
29,-558.163088,150000,797.492977
30,-490.99171500000006,155000,824.392339
31,-488.299167,160000,850.951042
32,-491.920106,165000,878.9786849999999
33,-657.343179,170000,905.4405720000001
34,-550.2348049999999,175000,932.155516
35,-511.63837699999993,180000,958.72473
36,-590.298149,185000,985.537709
37,-493.961654,190000,1012.229804
38,-930.044194,195000,1039.222088
39,-493.771875,200000,1066.032534
40,-486.68063,205000,1092.85484
41,-482.36062000000004,210000,1119.882727
42,-460.926615,215000,1146.578583
43,-474.04351399999996,220000,1173.2072560000001
44,-966.040342,225000,1199.856061
45,-456.393202,230000,1226.514033
46,-445.12380099999996,235000,1253.120321
47,-443.33961500000004,240000,1279.926395
48,-454.687683,245000,1306.894821
49,-600.637926,250000,1333.529204
50,-460.039042,255000,1360.194005
51,-452.26277400000004,260000,1387.2898189999999
52,-462.00128,265000,1414.220233
53,-560.746864,270000,1440.903148
54,-451.861867,275000,1467.55585
55,-508.777813,280000,1494.216263
56,-455.692578,285000,1520.889835
57,-413.214462,290000,1547.602448
58,-422.06362699999994,295000,1574.332669
59,-434.02255199999996,300000,1601.047719
60,-431.668908,305000,1627.834735
61,-665.068929,310000,1654.609274
62,-588.454813,315000,1681.3509809999998
63,-512.077171,320000,1708.060807
64,-468.437217,325000,1734.8110530000001
65,-421.57929,330000,1761.494259
66,-604.7928820000001,335000,1788.096753
67,-744.78309,340000,1814.6921399999999
68,-546.950434,345000,1841.3382370000002
69,-464.86283399999996,350000,1867.98039
70,-457.772051,355000,1894.851974
71,-488.58150599999993,360000,1921.725075
72,-536.259145,365000,1948.242027
73,-531.736799,370000,1974.852179
74,-468.11653499999994,375000,2001.646126
75,-440.71761399999997,380000,2028.396356
76,-415.645389,385000,2055.561125
77,-470.796563,390000,2082.743612
78,-525.288799,395000,2110.876603
79,-443.44269,400000,2137.92356
80,-461.252854,405000,2165.018176
81,-776.221759,410000,2192.008887
82,-512.015552,415000,2218.86296
83,-398.47294,420000,2245.770987
84,-420.16933200000005,425000,2272.764004
85,-886.219855,430000,2299.9152289999997
86,-474.07235999999995,435000,2326.771811
87,-500.43329500000004,440000,2353.537761
88,-520.1104780000001,445000,2380.547464
89,-490.116314,450000,2407.607337
90,-467.902508,455000,2434.54054
91,-489.281683,460000,2461.505024
92,-495.88038200000005,465000,2488.492377
93,-422.474904,470000,2515.504606
94,-519.781025,475000,2542.593959
95,-412.75203700000003,480000,2569.661959
96,-366.073957,485000,2597.061236
97,-385.653947,490000,2624.6537350000003
98,-447.590882,495000,2652.215421
99,-414.705827,500000,2679.462046
