r,l,t
-1108.108944,1000,8.820926
-654.970486,2000,15.121398
-1918.481698,3000,22.01655
-1587.883334,4000,28.26668
-1309.173551,5000,34.24779
-1052.235123,6000,40.151979
-1918.647212,7000,46.399223
-1598.394354,8000,52.806482
-732.409544,9000,60.429732
-1962.68475,10000,67.332569
-1025.776704,11000,73.005374
-644.610689,12000,78.840686
-199.158316,13000,85.215001
-301.585497,14000,91.298786
-174.076548,15000,97.748316
-150.548809,16000,104.111723
-228.574057,17000,110.879904
-182.471706,18000,117.615131
-424.36513,19000,124.903915
-1835.787745,20000,131.642289
-1402.418756,21000,138.888416
-571.360462,22000,145.694412
-946.924649,23000,153.412486
-1963.103538,24000,159.795871
-354.149836,25000,165.603015
-231.88941,26000,171.442202
-226.708194,27000,177.224185
-193.897674,28000,183.037448
-59.670873,29000,188.809776
-141.371165,30000,194.633792
-252.060017,31000,200.70553
-238.436198,32000,206.764232
-78.970562,33000,214.272176
-165.75963,34000,220.589662
-204.920939,35000,226.861333
-175.011162,36000,232.998188
-99.897496,37000,239.043759
-276.455969,38000,245.602181
-189.874266,39000,251.879469
-310.150425,40000,258.136483
-349.914745,41000,265.567466
-209.026786,42000,271.908352
-155.747289,43000,278.539826
-308.616849,44000,286.558682
-259.371806,45000,294.349397
-400.498777,46000,301.820055
-431.887177,47000,309.685331
-525.67436,48000,317.158203
-665.63957,49000,324.047105
-777.194286,50000,330.329824
-614.270046,51000,336.435372
-366.466477,52000,343.71411
-418.291438,53000,351.380975
-234.579906,54000,357.947726
-187.636891,55000,364.388739
-474.893464,56000,370.967659
-315.924144,57000,376.961932
-664.013455,58000,382.822895
-208.291798,59000,388.680039
-245.018641,60000,394.514719
-859.936061,61000,400.326112
-403.234757,62000,406.149303
-844.447753,63000,411.989856
-199.772033,64000,417.822294
-200.58964,65000,423.65696
-198.015823,66000,429.510213
-144.636782,67000,435.321439
-351.177965,68000,441.701243
-206.190228,69000,448.463037
-250.47484,70000,454.624688
-216.384087,71000,461.430859
-304.818807,72000,467.988534
-418.346266,73000,474.856145
-144.3177,74000,481.409844
-252.144319,75000,488.049976
-306.954043,76000,494.779324
-295.31659,77000,501.313407
-324.97289,78000,507.745121
-254.071388,79000,515.159706
-189.038625,80000,522.561473
-146.140652,81000,528.648263
-244.336458,82000,534.730801
-87.326622,83000,540.549048
-250.631072,84000,546.394058
-81.456095,85000,552.227818
-275.270528,86000,558.095343
-138.551408,87000,563.941918
-159.385396,88000,569.778611
-159.361877,89000,575.606858
-156.845013,90000,581.459069
-257.542494,91000,587.293437
-191.989705,92000,593.859898
-142.45922,93000,599.948175
-65.572365,94000,606.736329
-109.308076,95000,613.026297
-145.068387,96000,619.28188
-196.873261,97000,626.521022
-87.466865,98000,634.853478
-226.087883,99000,641.970055
-111.039204,100000,649.125181
-128.42668,101000,655.961892
-128.399457,102000,663.570906
-185.260976,103000,671.253887
-175.955652,104000,679.031176
-150.784735,105000,686.154283
-210.330298,106000,692.743442
-152.227766,107000,700.34538
-206.591572,108000,707.554172
-163.838197,109000,714.244135
-1461.338791,110000,721.192506
-366.305195,111000,727.804484
