r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
-1529.120568,2000,12.878224,0.10443542,-0.12875669,-0.048917852,0.06725242,-0.17758468,-0.20786487,0.18047693,-0.08576136,-0.11009574,-0.030918062
-1543.366363,4000,26.607545,0.10445781,-0.1270044,-0.051963855,0.04934197,-0.17249903,-0.20840807,0.16534683,-0.087907985,-0.1118064,-0.03449292
-1580.965269,6000,36.771952,0.11431481,-0.12626404,-0.052961968,0.027592702,-0.17185692,-0.21557252,0.15041073,-0.09135799,-0.114659555,-0.035192166
-1609.111104,8000,46.867827,0.11290549,-0.13004695,-0.0464538,0.060866468,-0.17094585,-0.2232709,0.16683005,-0.095613815,-0.11579005,-0.03777455
-1588.86066,10000,56.920606,0.11475076,-0.13651426,-0.023457117,0.10983616,-0.16969228,-0.22092147,0.23533691,-0.10019608,-0.12089152,-0.026166571
-1553.430314,12000,67.056666,0.12200104,-0.1461888,-0.0049092965,0.14273666,-0.15962555,-0.21576948,0.26988465,-0.09804118,-0.12789156,0.00782338
-1422.127775,14000,77.016869,0.1332159,-0.14516431,0.011276326,0.12913673,-0.155209,-0.21401085,0.28321943,-0.089969,-0.13146813,0.014651199
-1235.37419,16000,88.262226,0.14795521,-0.14794172,0.016163211,0.102695905,-0.16269311,-0.21160306,0.3003409,-0.08503787,-0.11615538,0.018217275
-1250.079494,18000,99.508925,0.14582935,-0.15449077,0.03379669,0.08370462,-0.164143,-0.2171037,0.28834245,-0.080954045,-0.085016236,0.007402169
-1118.294283,20000,109.543492,0.14997499,-0.14910485,0.05445376,0.064680144,-0.16105653,-0.22823828,0.2934898,-0.08506375,-0.08267705,0.018112555
-1109.527578,22000,120.84004,0.1658042,-0.1378837,0.05543865,0.046599098,-0.15308473,-0.22792765,0.29680085,-0.07102873,-0.080951296,0.02555634
-1516.543128,24000,132.157058,0.17508402,-0.12802963,0.046094667,0.029747054,-0.15695308,-0.25410426,0.31134123,-0.06458555,-0.075070456,0.030812351
-1287.31882,26000,142.216424,0.18021926,-0.119272426,0.045461327,0.024051152,-0.1567554,-0.2891404,0.3303354,-0.08400205,-0.066083595,0.029534131
-1137.30021,28000,152.401912,0.1863218,-0.10877208,0.047557786,0.03189195,-0.15432799,-0.29184544,0.31676763,-0.08794743,-0.06309222,0.04013421
-1589.534907,30000,162.599025,0.19374213,-0.1149231,0.060402606,0.025210043,-0.16197127,-0.29119962,0.29870725,-0.08238823,-0.07088948,0.044928446
-1120.113571,32000,172.736599,0.1918881,-0.09687697,0.061171662,0.019307462,-0.17591935,-0.28627372,0.2992392,-0.08453734,-0.06634145,0.04379127
-708.796137,34000,182.803499,0.19976446,-0.09121154,0.054770596,0.013573144,-0.16939339,-0.28050587,0.30085805,-0.06958273,-0.06153018,0.048886143
-759.686444,36000,194.184571,0.20290439,-0.1034988,0.055964854,0.0076615326,-0.17392609,-0.27675965,0.30138335,-0.05658967,-0.053716302,0.050587084
-762.291907,38000,204.265761,0.19573227,-0.1153664,0.051245827,0.0014846552,-0.19048892,-0.26722598,0.29790667,-0.054215908,-0.06378802,0.047651775
-766.913284,40000,214.311624,0.1827922,-0.11307481,0.045289412,-0.003448394,-0.19046736,-0.24804167,0.29150665,-0.06826477,-0.07450124,0.04304075
-833.794664,42000,224.307517,0.17028545,-0.10858059,0.03675428,-0.0027033098,-0.19676317,-0.23622632,0.29419634,-0.0778527,-0.07248524,0.049513116
-1126.79854,44000,234.305723,0.16378552,-0.10643169,0.024133027,0.0074051963,-0.20767401,-0.23481752,0.29505822,-0.08672085,-0.059016235,0.05069905
-926.618486,46000,244.390748,0.17088674,-0.1035706,0.023438089,0.014500683,-0.20478201,-0.22851092,0.2841641,-0.08306476,-0.050513707,0.0481923
-1118.869421,48000,254.383116,0.17345253,-0.11661828,0.04558011,0.009956176,-0.20179757,-0.22384143,0.27373064,-0.06871877,-0.04165782,0.04403492
-912.086745,50000,264.390788,0.1781185,-0.13540459,0.0664368,-0.0014471539,-0.20394653,-0.22381026,0.27156976,-0.07136063,-0.04754139,0.029310504
-1133.517099,52000,274.391311,0.19358303,-0.1473109,0.07878436,-0.0052265716,-0.216463,-0.22385028,0.25189406,-0.073415756,-0.050932333,0.02948297
-1611.781246,54000,284.404303,0.20654736,-0.16274986,0.07402041,-0.00817462,-0.23092152,-0.23051542,0.24025217,-0.07143008,-0.05534247,0.023253683
-1600.643541,56000,294.475657,0.20637801,-0.16086031,0.06956371,-0.006095914,-0.23874575,-0.2340426,0.24088104,-0.07952976,-0.052914847,0.011971327
-1599.471347,58000,304.565681,0.19734988,-0.16611327,0.05366455,-0.016558688,-0.23587678,-0.23096542,0.23795077,-0.07511076,-0.049800288,0.009969462
-956.125645,60000,314.653054,0.16402668,-0.1692171,0.045271873,-0.05289422,-0.23925821,-0.22787988,0.25334916,-0.07267621,-0.03677971,0.02380349
