r,l,t
-523.736723,5000,29.631589
-397.205185,10000,57.885244
-814.298137,15000,85.202106
-575.893985,20000,118.102895
-881.279944,25000,155.546693
-852.254343,30000,187.407822
-884.899998,35000,218.658818
-875.592243,40000,246.444421
-725.066771,45000,274.25673
-467.569871,50000,301.986939
-611.041196,55000,330.201181
-609.92518,60000,359.536831
-535.359656,65000,391.347587
-499.204346,70000,423.176097
-433.022077,75000,454.605047
-740.395396,80000,487.712792
-820.779195,85000,519.590361
-398.73785,90000,549.946812
-364.211223,95000,581.42664
-330.809659,100000,613.352892
-463.425482,105000,643.826134
-391.894988,110000,675.38673
-289.034606,115000,706.526416
-295.553953,120000,738.709334
-266.018131,125000,770.224913
-242.463505,130000,803.513927
-184.32199,135000,836.496112
-610.460654,140000,869.460954
-317.212346,145000,902.866916
-197.901194,150000,935.735322
-190.893042,155000,970.466538
-301.293386,160000,1005.940152
-191.271604,165000,1038.630834
-152.371317,170000,1069.113903
-156.595919,175000,1097.953152
-365.389448,180000,1128.622272
-170.036901,185000,1158.465918
-132.865317,190000,1186.13455
-135.132502,195000,1215.275526
-141.71185,200000,1245.64224
-164.172245,205000,1274.20755
-199.674238,210000,1303.359653
-173.542941,215000,1330.953304
-122.516442,220000,1359.328235
-189.578869,225000,1389.051257
-120.312051,230000,1422.019234
-123.170918,235000,1453.672448
-165.614593,240000,1488.188304
-149.693454,245000,1521.441491
-121.185573,250000,1554.384237
-139.619114,255000,1587.455769
-303.959284,260000,1620.994216
-179.743466,265000,1654.625389
-99.465753,270000,1687.228507
-273.443213,275000,1718.034749
-238.132969,280000,1750.797083
-165.047884,285000,1783.8342
-154.254436,290000,1818.32978
-194.888516,295000,1850.844916
-139.109655,300000,1882.733522
-180.088089,305000,1918.200886
-126.543628,310000,1952.664982
-203.872648,315000,1985.840429
-145.98,320000,2018.764589
-130.882877,325000,2056.985147
-142.874936,330000,2095.656396
-145.693082,335000,2130.79409
-155.012465,340000,2162.804375
-839.692551,345000,2195.740623
-118.33633,350000,2229.604169
-110.989664,355000,2260.589699
-147.183417,360000,2291.759664
-134.32793,365000,2322.139327
-195.69642,370000,2353.719346
-149.30589,375000,2384.896361
-175.106792,380000,2417.147867
-194.045684,385000,2450.136551
-144.855418,390000,2481.637273
-137.413112,395000,2513.917564
-135.833343,400000,2548.665405
-134.474676,405000,2583.422297
-181.977854,410000,2617.429714
-165.084919,415000,2653.503675
-150.773037,420000,2688.141953
-660.152002,425000,2718.038147
-161.141564,430000,2748.16268
-139.96076,435000,2783.394404
-137.761705,440000,2823.03191
-146.917477,445000,2858.603034
-176.172343,450000,2892.607266
-164.982282,455000,2926.447446
-192.608109,460000,2966.204348
-244.928363,465000,3005.484572
-174.032025,470000,3039.760812
-173.708188,475000,3072.689323
-240.298328,480000,3107.859155
-134.186159,485000,3140.363231
-170.844605,490000,3175.137808
-187.037962,495000,3208.48503
-169.878178,500000,3242.319966
-96.61441,505000,3277.075183
-145.594598,510000,3312.326854
-164.637634,515000,3346.681102
-134.418841,520000,3382.048531
-183.183414,525000,3416.085507
-104.886381,530000,3451.336138
-115.659327,535000,3485.580344
-109.537626,540000,3519.906297
-133.470327,545000,3554.329383
-140.616187,550000,3587.526868
-275.968955,555000,3620.828183
-156.980753,560000,3654.159675
-182.544623,565000,3685.438303
-174.780545,570000,3718.485233
-145.371207,575000,3752.766334
-218.079993,580000,3785.753893
-195.313937,585000,3818.207643
-182.443124,590000,3850.310527
-169.605738,595000,3882.601327
-161.975372,600000,3916.458002
-157.205438,605000,3950.857844
-160.787922,610000,3981.257277
-149.741204,615000,4018.088026
-213.07305,620000,4046.618722
-148.346794,625000,4075.432766
-331.979029,630000,4111.921257
-118.542295,635000,4149.880159
-135.253341,640000,4195.381453
-105.675011,645000,4238.205757
-144.593924,650000,4272.166661
-123.226264,655000,4299.945892
-532.281292,660000,4330.698508
-128.949377,665000,4361.29503
