r,l,t
-662.559053,2000,21.524771
-211.518169,4000,40.516126
-319.599053,6000,57.319758
-606.414036,8000,72.090504
-143.640544,10000,86.819521
-230.600094,12000,104.075866
-246.893913,14000,119.666625
-243.024503,16000,135.814986
-313.965976,18000,151.897354
-218.713362,20000,168.104062
-170.414567,22000,184.371245
-166.702968,24000,202.038712
-155.318445,26000,218.491265
-230.014738,28000,234.579868
-623.305635,30000,250.319204
-519.694968,32000,266.62465
-243.662636,34000,282.184807
-451.818718,36000,297.905963
-637.812982,38000,313.914777
-125.81982,40000,329.097193
-124.833718,42000,345.733192
-161.19621,44000,363.295372
-153.845287,46000,378.297809
-114.205643,48000,393.27358
-131.4153,50000,409.205348
-119.58629,52000,424.096255
-130.872304,54000,439.14259
-136.330537,56000,454.054423
-253.284411,58000,468.942816
-217.708625,60000,483.975927
-150.030813,62000,499.023904
-200.614071,64000,514.021099
-192.674106,66000,528.935351
-133.573864,68000,543.946112
-399.897998,70000,558.94004
-175.459374,72000,573.766998
-253.94554,74000,588.611881
-143.887603,76000,603.512365
-125.948335,78000,618.617305
-234.174602,80000,633.599826
-395.030034,82000,648.696288
-131.323787,84000,663.552139
-151.170824,86000,678.360741
-335.237067,88000,693.208621
-131.213927,90000,708.094453
-131.417051,92000,723.135731
-133.938678,94000,738.082654
-142.513124,96000,755.22914
-125.148973,98000,770.37422
-115.692985,100000,785.602006
-138.982141,102000,800.852279
-400.787234,104000,816.196522
-257.824113,106000,831.415553
-452.25799,108000,846.565286
-434.011485,110000,861.711049
-676.705346,112000,877.087704
-252.595347,114000,892.142384
-299.193099,116000,907.330652
-327.551661,118000,922.55029
-277.614716,120000,937.770213
-404.355668,122000,953.093784
-337.826768,124000,968.234608
-346.259334,126000,983.552162
-233.220304,128000,999.166183
-231.951946,130000,1014.552284
-287.702303,132000,1030.01712
-162.200912,134000,1045.261274
-153.420193,136000,1060.441989
-259.207023,138000,1075.548209
-272.656043,140000,1090.502466
-243.791122,142000,1105.72617
-691.780428,144000,1120.711429
-215.038863,146000,1135.796678
-159.539861,148000,1150.720057
-185.038925,150000,1165.923613
-198.51564,152000,1182.523243
-169.733114,154000,1197.725411
-144.441547,156000,1212.964277
-220.85095,158000,1228.066674
-196.503335,160000,1243.118922
-151.413519,162000,1256.853563
-166.413526,164000,1269.082222
-129.364357,166000,1280.36499
-186.209186,168000,1291.521672
-163.039774,170000,1302.611331
-186.822723,172000,1313.876487
-88.134709,174000,1325.136638
-160.083513,176000,1337.523213
-141.807274,178000,1348.821156
-98.664369,180000,1360.065195
-83.65642,182000,1371.152135
-78.436487,184000,1385.23269
-104.523763,186000,1400.268402
-113.76147,188000,1411.967364
-112.799056,190000,1423.224613
-109.500836,192000,1434.582874
-128.141815,194000,1445.867571
-142.175293,196000,1457.098786
-167.093698,198000,1468.349638
-130.681079,200000,1480.649265
-87.695353,202000,1492.20636
-115.904957,204000,1503.687185
-75.189249,206000,1514.874225
-87.647601,208000,1527.154089
-152.736914,210000,1538.393519
-113.445326,212000,1549.748397
-434.898661,214000,1560.966173
-126.588351,216000,1572.148942
-127.90947,218000,1583.321182
-129.919403,220000,1594.99846
-221.973051,222000,1606.341308
-188.078713,224000,1617.824551
-239.21695,226000,1630.844935
-88.53751,228000,1643.049017
-125.682329,230000,1654.35626
-100.134356,232000,1665.897864
-542.310255,234000,1677.40661
-559.847226,236000,1688.932644
-69.192639,238000,1700.308476
-115.091663,240000,1712.880401
-100.950526,242000,1724.145753
-112.129261,244000,1736.550806
-104.70885,246000,1747.706595
-141.047182,248000,1758.936537
-159.732642,250000,1770.152535
-103.047342,252000,1781.232527
-69.8946,254000,1792.50998
-94.678031,256000,1803.798294
-76.705027,258000,1815.267664
-85.439378,260000,1826.628065
-65.121023,262000,1837.96599
-69.515011,264000,1850.499925
-491.27352,266000,1862.087133
-135.976811,268000,1873.515456
-100.627011,270000,1884.999091
-369.001357,272000,1896.31963
-76.448818,274000,1907.895383
-78.340931,276000,1919.957388
-516.620779,278000,1931.292945
-100.4748,280000,1942.692759
-149.487317,282000,1954.29619
-303.878689,284000,1965.641933
-212.686721,286000,1977.142385
-694.283511,288000,1991.033395
-395.398311,290000,2002.57278
-596.692101,292000,2014.161435
-628.416762,294000,2025.687732
-99.196371,296000,2038.125835
-210.279564,298000,2051.671636
-515.449592,300000,2063.484672
-675.691983,302000,2075.222721
-639.07363,304000,2087.022729
-101.932256,306000,2098.631837
-116.613738,308000,2110.018411
-131.710163,310000,2121.445012
-253.6844,312000,2134.268366
-275.052599,314000,2146.059069
-260.555086,316000,2157.780062
