,r,l,t
0,-465.70575999999994,5000,31.004125
1,-800.471466,10000,58.866082999999996
2,-696.1337530000001,15000,86.544071
3,-634.6233110000001,20000,114.36632900000001
4,-455.210677,25000,142.46031200000002
5,-293.19546099999997,30000,170.74011399999998
6,-172.70212,35000,198.905925
7,-251.57618599999998,40000,227.348042
8,-318.81241800000004,45000,256.18307799999997
9,-300.81776099999996,50000,284.364721
10,-346.15249,55000,313.612164
11,-433.293437,60000,342.347749
12,-424.568346,65000,371.305443
13,-311.303813,70000,400.17629500000004
14,-285.20108500000003,75000,429.104154
15,-344.849538,80000,457.48278200000004
16,-485.621563,85000,485.707296
17,-314.490033,90000,514.271087
18,-189.395943,95000,542.751698
19,-229.54452200000003,100000,571.198178
20,-137.906821,105000,599.197791
21,-238.39248700000002,110000,627.559726
22,-352.98370800000004,115000,655.6313190000001
23,-400.986358,120000,683.973337
24,-223.686091,125000,712.1088120000001
25,-229.272333,130000,740.327284
26,-231.50707799999998,135000,769.075434
27,-179.375562,140000,797.4420259999999
28,-284.645798,145000,825.699581
29,-224.274073,150000,854.151959
30,-230.23869,155000,882.5034929999999
31,-218.37425299999998,160000,910.6554560000001
32,-205.761084,165000,938.8725410000001
33,-155.44849299999998,170000,967.3285710000001
34,-128.997968,175000,995.731043
35,-310.32759100000004,180000,1024.449917
36,-129.331794,185000,1053.44011
37,-171.075338,190000,1081.650574
38,-143.78181,195000,1109.94176
39,-327.595213,200000,1138.396769
40,-133.281513,205000,1167.575509
41,-213.34104900000003,210000,1196.571051
42,-376.976283,215000,1224.927914
43,-378.12167200000005,220000,1253.561963
44,-202.24206999999998,225000,1282.305339
45,-137.909794,230000,1311.032049
46,-125.961859,235000,1340.252241
47,-136.292986,240000,1368.957354
48,-254.55170499999997,245000,1397.570495
49,-116.844907,250000,1426.0199460000001
50,-114.27058600000001,255000,1454.623677
51,-156.04784899999999,260000,1483.220898
52,-87.12583000000001,265000,1511.526524
53,-716.841254,270000,1540.0969220000002
54,-88.450211,275000,1568.5390109999998
55,-108.40704299999999,280000,1597.1354529999999
56,-128.621026,285000,1625.72815
57,-128.60607199999998,290000,1654.528726
58,-130.242955,295000,1683.505437
59,-127.84873400000001,300000,1712.908986
60,-94.23082600000001,305000,1742.329884
61,-126.63551299999999,310000,1771.833277
62,-213.83096099999997,315000,1801.496866
63,-138.645965,320000,1830.9425989999997
64,-128.085767,325000,1860.205254
65,-112.80371699999999,330000,1889.456602
66,-156.260753,335000,1918.678252
67,-189.344447,340000,1947.9967570000001
68,-149.44798600000001,345000,1977.087148
69,-825.629697,350000,2006.484186
70,-151.47313,355000,2035.3837429999999
71,-130.618753,360000,2064.93642
72,-131.229253,365000,2094.261222
73,-126.93855,370000,2123.4687940000003
74,-133.11556299999998,375000,2152.8362309999998
75,-106.471322,380000,2182.285222
76,-106.90706599999999,385000,2211.604908
77,-103.523738,390000,2241.517414
78,-143.45336799999998,395000,2274.692137
79,-120.646247,400000,2304.134204
80,-228.84254700000002,405000,2333.411025
81,-118.978981,410000,2362.28378
82,-98.46174,415000,2391.663881
83,-111.05646899999999,420000,2420.6244699999997
84,-101.144632,425000,2449.600304
85,-109.871156,430000,2478.641536
86,-103.91051999999999,435000,2507.4712329999998
87,-109.276688,440000,2536.4453129999997
88,-104.013377,445000,2565.952972
89,-156.589573,450000,2594.989375
90,-117.070921,455000,2624.318478
91,-90.81419100000001,460000,2653.4583420000004
92,-131.74821599999999,465000,2682.676845
93,-131.74296299999997,470000,2711.896596
94,-142.09786,475000,2740.284208
95,-130.823417,480000,2768.608271
96,-145.217132,485000,2796.972
97,-160.30389,490000,2825.2758519999998
98,-114.856045,495000,2853.396807
99,-135.271511,500000,2881.615554
100,-119.301911,505000,2909.804425
101,-136.173799,510000,2938.065166
102,-125.86186299999999,515000,2966.257044
103,-748.423822,520000,2994.405656
104,-221.340171,525000,3022.6257
105,-153.746769,530000,3051.054469
106,-135.687195,535000,3079.606738
107,-109.80157,540000,3107.738433
108,-182.390738,545000,3135.995791
109,-883.919509,550000,3164.376955
110,-388.884017,555000,3192.806942
111,-97.899467,560000,3221.053648
112,-121.64359099999999,565000,3249.322712
113,-115.387694,570000,3278.047256
114,-236.16969300000002,575000,3306.617261
115,-145.280949,580000,3335.183996
116,-141.853717,585000,3363.675722
117,-148.855346,590000,3392.144885
118,-141.930622,595000,3420.3748189999997
119,-197.298435,600000,3448.796179
120,-140.626112,605000,3477.772746
121,-132.058628,610000,3506.377219
122,-301.915364,615000,3535.0604049999997
123,-877.2837390000001,620000,3563.6212630000005
124,-241.511544,625000,3592.4398490000003
125,-252.26117299999999,630000,3621.17916
126,-369.42172999999997,635000,3649.9575210000003
127,-828.405306,640000,3678.584682
128,-311.048717,645000,3706.947854
129,-168.824106,650000,3735.4166149999996
130,-242.74698199999997,655000,3763.9828869999997
131,-238.28033599999998,660000,3792.526743
132,-155.192366,665000,3821.137885
133,-200.838885,670000,3849.691886
134,-218.939125,675000,3878.2374659999996
135,-176.71131499999998,680000,3906.806967
136,-223.21271600000003,685000,3935.5721200000003
137,-279.832306,690000,3964.2204380000003
138,-250.13113199999998,695000,3992.910213
139,-144.885999,700000,4021.459042
140,-136.987062,705000,4050.694429
141,-114.09581599999999,710000,4079.329421
142,-130.510557,715000,4108.015235
143,-557.837646,720000,4136.615992
144,-161.98523600000001,725000,4165.374487
145,-168.238297,730000,4194.005506
146,-143.836281,735000,4222.697588
147,-117.94140900000001,740000,4251.328109
148,-103.72245600000001,745000,4279.9957380000005
149,-133.512351,750000,4308.652143
150,-174.938937,755000,4337.133929
151,-162.692655,760000,4365.788342
152,-170.714727,765000,4394.490446
153,-457.083462,770000,4423.4858619999995
154,-324.968782,775000,4451.822989
155,-400.14100099999996,780000,4480.358143
156,-139.477777,785000,4508.959301
157,-130.948432,790000,4537.499573
158,-118.360229,795000,4566.112929
159,-147.51891799999999,800000,4595.98401
160,-105.842753,805000,4624.20341
161,-104.906072,810000,4652.07179
162,-249.50464900000003,815000,4680.181618
163,-109.74698500000001,820000,4708.349075
164,-97.218829,825000,4736.535954999999
165,-769.203052,830000,4764.659968
166,-140.80268999999998,835000,4792.771489
167,-193.761014,840000,4821.248384
168,-230.62249,845000,4849.54969
169,-158.32785,850000,4877.8859520000005
170,-103.211299,855000,4906.526818
171,-85.683646,860000,4935.072337
172,-91.900222,865000,4963.7126530000005
173,-126.183217,870000,4992.1297859999995
174,-197.107076,875000,5020.766338
175,-102.989319,880000,5049.049638
176,-205.296602,885000,5082.236713
177,-180.673797,890000,5110.553439
178,-90.28012,895000,5138.203705
179,-129.133938,900000,5165.802219
180,-112.468222,905000,5193.43023
181,-121.624101,910000,5220.9956950000005
182,-176.90645,915000,5248.678476
183,-146.287982,920000,5276.336612
184,-98.611611,925000,5303.964833
185,-123.27824299999999,930000,5331.729686
186,-103.46579100000001,935000,5359.400477
187,-100.666379,940000,5386.924568
188,-101.25993199999999,945000,5414.4421950000005
189,-90.115257,950000,5442.333858
190,-90.281283,955000,5469.795856000001
191,-93.487154,960000,5497.313873
192,-82.527578,965000,5524.8268450000005
193,-84.392886,970000,5552.798335
194,-103.780523,975000,5580.446147
195,-237.86515099999997,980000,5608.031638
196,-120.29623400000001,985000,5635.644977
197,-102.04418299999999,990000,5663.312027
198,-114.931358,995000,5690.85823
199,-118.269244,1000000,5718.534643
