,r,l,t
0,-565.882571,5000,37.057072
1,-316.505079,10000,69.24714
2,-344.650266,15000,104.048748
3,-622.817478,20000,133.47436499999998
4,-780.389216,25000,161.743321
5,-594.835333,30000,191.737314
6,-732.611659,35000,220.055483
7,-315.353029,40000,248.56136899999998
8,-307.60594100000003,45000,277.650898
9,-294.514944,50000,306.239537
10,-264.14588,55000,334.85711499999996
11,-167.835418,60000,363.471051
12,-106.46938600000001,65000,392.044391
13,-182.39771000000002,70000,424.045754
14,-141.935248,75000,451.15112300000004
15,-149.003377,80000,481.497542
16,-87.789804,85000,508.91981699999997
17,-136.200449,90000,1127.323508
18,-304.59495899999996,95000,3833.674393
19,-170.798797,100000,6536.839145
20,-158.93267,105000,7665.12727
21,-84.206027,110000,7695.160077
22,-85.99134000000001,115000,7727.065031
23,-98.539578,120000,7754.9777349999995
24,-101.69435,125000,7785.056935
25,-332.829874,130000,7812.997361
26,-122.523048,135000,7841.2256290000005
27,-94.15203299999999,140000,7869.526401000001
28,-418.386906,145000,7896.518514
29,-104.45566600000001,150000,7923.493469
30,-89.130964,155000,7951.983983
31,-166.072334,160000,7984.094149
32,-162.734763,165000,8012.220882
33,-112.118173,170000,8040.340228
34,-138.611524,175000,8068.266167
35,-94.96538199999999,180000,8096.027440999999
36,-151.298713,185000,8124.07193
37,-224.52861299999998,190000,8152.881977
38,-120.00286000000001,195000,8181.240712999999
39,-97.919826,200000,8209.666392000001
40,-94.643107,205000,8237.549187999999
41,-123.83743999999999,210000,8265.660254
42,-111.491634,215000,8293.902953
43,-124.88150900000001,220000,8321.755249
44,-279.03864300000004,225000,8349.567429
45,-132.16766,230000,8377.45218
46,-227.07258900000002,235000,8405.20074
47,-113.08901999999999,240000,8432.937265999999
48,-273.508085,245000,8460.708074
49,-105.512098,250000,8488.517879
50,-78.803165,255000,8516.269368000001
51,-91.1231,260000,8544.345107
52,-88.56529300000001,265000,8573.325389
53,-268.30492999999996,270000,8601.822947
54,-240.480415,275000,8630.751686
55,-128.774522,280000,8659.102216
56,-116.350828,285000,8687.046849
57,-96.328649,290000,8714.90805
58,-113.99458100000001,295000,8742.771497
59,-90.06059599999999,300000,8770.758862
60,-160.535057,305000,8799.474833
61,-295.876662,310000,8827.716881
62,-304.327726,315000,8855.677043000002
63,-173.128432,320000,8884.111135
64,-115.90664699999999,325000,8912.102071
65,-87.92604200000001,330000,8939.975198
66,-293.594702,335000,8967.74748
67,-83.114972,340000,8996.215061
68,-299.15297200000003,345000,9024.097183
69,-71.868222,350000,9052.020679000001
70,-91.26301099999999,355000,9079.969846
71,-88.085325,360000,9108.248276999999
72,-495.40254500000003,365000,9136.084136
73,-84.482109,370000,9164.234233
74,-81.37980300000001,375000,9192.225948000001
75,-80.495316,380000,9220.106722
76,-84.068202,385000,9248.063079000001
77,-93.566088,390000,9275.907140000001
78,-76.273193,395000,9303.767898
79,-358.7508,400000,9331.746033
80,-91.907472,405000,9359.698612999999
81,-73.229062,410000,9387.601819
82,-87.90949,415000,9415.472466
83,-115.78948100000001,420000,9443.431168000001
84,-276.15858399999996,425000,9471.468031999999
85,-448.840392,430000,9499.943895999999
86,-450.693037,435000,9527.899878
87,-99.559881,440000,9555.782711
88,-91.862237,445000,9583.734292000001
89,-595.13048,450000,9611.733951
90,-73.158606,455000,9639.529813
91,-382.787298,460000,9667.535768000002
92,-87.553972,465000,9696.497798999999
93,-93.88319399999999,470000,9724.273675
94,-119.98265500000001,475000,9752.061074
95,-100.77855799999999,480000,9780.395297
96,-770.733618,485000,9808.228865000001
97,-187.04316699999998,490000,9836.102951
98,-165.003675,495000,9863.920956999998
99,-91.677724,500000,9891.745520999999
100,-99.704792,505000,9919.539107999999
101,-65.628341,510000,9947.35589
102,-99.149435,515000,9975.368241
103,-74.520261,520000,10003.298621
104,-176.576768,525000,10031.149237
105,-80.17179300000001,530000,10059.004278
106,-80.488197,535000,10087.304515
107,-71.920383,540000,10115.175605
108,-114.60729199999999,545000,10143.158947
109,-142.951882,550000,10171.115269
110,-115.22341200000001,555000,10199.012515999999
111,-109.776147,560000,10226.903801999999
112,-102.64443,565000,10254.788768999999
113,-101.752488,570000,10282.688202
114,-121.175974,575000,10310.584037999999
115,-97.665901,580000,10338.450698
116,-119.842995,585000,10366.245026999999
117,-91.936503,590000,10394.134649
118,-131.09030800000002,595000,10421.871539
119,-100.46579100000001,600000,10449.738198000001
120,-145.055609,605000,10477.4105
121,-89.189181,610000,10505.121325
122,-99.403435,615000,10532.993924
123,-96.233343,620000,10561.035371
124,-83.615732,625000,10588.837377
125,-91.402956,630000,10616.699544
126,-77.284304,635000,10644.577734
127,-78.147952,640000,10672.677736
128,-103.917168,645000,10700.571981000001
129,-93.920354,650000,10728.581264
130,-251.582522,655000,10756.615849
131,-90.683836,660000,10784.713623
132,-102.194367,665000,10812.734312999999
133,-81.625867,670000,10840.813212000001
134,-86.118874,675000,10869.304385
135,-312.384722,680000,10897.54128
136,-83.307994,685000,10925.5675
137,-110.07433799999998,690000,10953.493639
138,-87.088734,695000,10981.496311
139,-77.445817,700000,11009.491848
140,-78.784054,705000,11037.467402
141,-518.436532,710000,11065.851137
142,-97.33194499999999,715000,11093.798967
143,-98.246279,720000,11121.871853
144,-85.59379100000001,725000,11150.155099
145,-69.38078399999999,730000,11178.080126
146,-93.423963,735000,11205.92543
147,-78.35499200000001,740000,11233.834792
148,-86.22756899999999,745000,11261.598736
149,-86.65175500000001,750000,11289.994555
150,-77.721425,755000,11317.772481999998
151,-94.016442,760000,11345.706419
152,-95.00780999999999,765000,11373.6643
153,-112.43825700000001,770000,11401.552587999999
154,-208.010741,775000,11429.398344
155,-92.16599699999999,780000,11457.360347
156,-439.56629000000004,785000,11485.350475
157,-72.750714,790000,11513.25496
158,-96.077904,795000,11541.179973999999
159,-111.569267,800000,11569.100102
160,-234.993141,805000,11597.013329000001
161,-167.073196,810000,11625.020117
162,-127.694432,815000,11653.089136
163,-312.16270699999995,820000,11681.071144
164,-177.741007,825000,11709.028704
165,-236.47294100000002,830000,11736.991544
166,-164.262384,835000,11764.933928
167,-101.691073,840000,11792.83407
