,r,l,t
0,-286.976865,5000,32.493213
1,-455.68390199999993,10000,65.49368199999999
2,-389.47851299999996,15000,96.48670200000001
3,-628.058683,20000,124.366199
4,-79.168593,25000,155.26191599999999
5,-66.660871,30000,184.703099
6,-115.103338,35000,215.663954
7,-135.58061999999998,40000,246.64405299999999
8,-93.004233,45000,280.787737
9,-79.400712,50000,321.294061
10,-95.004607,55000,360.935394
11,-107.465488,60000,394.423188
12,-155.007451,65000,428.135053
13,-147.189768,70000,460.01986600000004
14,-106.865122,75000,488.90840099999997
15,-106.98689499999999,80000,518.946922
16,-74.240216,85000,549.981872
17,-73.781318,90000,582.874807
18,-61.266875,95000,612.193547
19,-50.24617,100000,643.1882870000001
20,-69.031581,105000,674.044488
21,-68.755276,110000,705.268514
22,-86.317511,115000,738.4093330000001
23,-72.49164,120000,769.3725099999999
24,-59.220539,125000,800.781751
25,-53.531771,130000,835.024258
26,-91.856703,135000,874.6283189999999
27,-54.053968000000005,140000,906.4402789999999
28,-67.986446,145000,934.2413449999999
29,-46.165508,150000,961.433602
30,-64.510942,155000,988.8826220000001
31,-58.604783999999995,160000,1016.10497
32,-88.688238,165000,1043.329053
33,-86.557326,170000,1070.606486
34,-67.910664,175000,1097.9214880000002
35,-130.998598,180000,1125.304877
36,-309.713035,185000,1152.683323
37,-100.411438,190000,1180.672505
38,-75.698565,195000,1209.556329
39,-67.952628,200000,1241.207817
40,-119.40155,205000,1274.4461789999998
41,-56.685192,210000,1303.21925
42,-57.161859,215000,1333.357161
43,-51.080201,220000,1362.032488
44,-78.115432,225000,1390.695458
45,-43.462913,230000,1423.740343
46,-52.773858,235000,1455.111772
47,-54.012814,240000,1484.008251
48,-41.965454,245000,1512.558547
49,-30.35238,250000,1541.381253
50,-30.178293,255000,1570.117865
51,-42.963534,260000,1602.039147
52,-34.147913,265000,1632.951933
53,-39.421407,270000,1664.387431
54,-50.972566,275000,1697.3083789999998
55,-47.109744,280000,1731.027816
56,-54.540847,285000,1762.2251170000002
57,-91.318852,290000,1790.082295
58,-61.702606,295000,1822.9090219999998
59,-45.71441,300000,1853.4731350000002
60,-58.455854,305000,1883.5197690000002
61,-42.732871,310000,1913.9977149999997
62,-37.136164,315000,1941.971055
63,-59.611974,320000,1971.6683489999998
