,r,l,t
0,-1459.598062,2000,18.279244
1,-1652.066921,4000,46.61761
2,-1821.575509,6000,66.214955
3,-1659.112521,8000,84.37341500000001
4,-1566.0708359999999,10000,101.210349
5,-1606.456588,12000,116.947221
6,-1636.710098,14000,131.904158
7,-1491.0550230000001,16000,146.870774
8,-1765.7133030000002,18000,162.878778
9,-1315.710656,20000,176.920124
10,-1678.85931,22000,192.352918
11,-1556.4550179999999,24000,206.754463
12,-1476.561307,26000,221.386593
13,-1194.88464,28000,234.98706800000002
14,-1578.865904,30000,250.130333
15,-1059.118514,32000,263.997504
16,-1712.2851170000001,34000,279.33643
17,-1201.224032,36000,293.115056
18,-1007.756044,38000,307.504553
19,-1436.077864,40000,324.03319500000003
20,-1571.2004,42000,339.457563
21,-1612.781475,44000,354.27378
22,-1324.907477,46000,370.101648
23,-1407.333406,48000,391.45817900000003
24,-1195.129163,50000,408.913319
25,-1437.539647,52000,430.51488499999994
26,-1159.539541,54000,448.654241
27,-1701.8107710000002,56000,465.85929500000003
28,-1396.250632,58000,482.83561399999996
29,-1602.849678,60000,501.623775
30,-1061.267397,62000,517.3082519999999
31,-1499.886891,64000,536.119272
32,-889.0435,66000,551.973345
33,-1472.349494,68000,569.176668
34,-1571.091629,70000,584.4493190000001
35,-1637.0846789999998,72000,600.284041
36,-1692.0656800000002,74000,615.2979339999999
37,-1470.387037,76000,630.0614429999999
38,-1638.321815,78000,644.577491
39,-1517.762224,80000,660.115459
40,-1641.5764900000001,82000,678.178428
41,-999.0753609999999,84000,693.475342
42,-1089.544609,86000,709.496716
43,-1378.616102,88000,725.785904
44,-1216.697971,90000,738.979959
45,-1253.644767,92000,756.581284
46,-1047.352683,94000,771.298863
47,-1446.034301,96000,787.1328679999999
48,-1214.334691,98000,802.5349940000001
49,-1188.386575,100000,818.684664
50,-1354.915454,102000,836.594602
51,-1136.187874,104000,854.95973
52,-1267.040652,106000,872.179751
53,-1155.901255,108000,887.9618630000001
54,-1185.085412,110000,902.777966
55,-1394.4763050000001,112000,917.805065
56,-1002.4038449999999,114000,932.7288269999999
57,-1154.717935,116000,947.8034660000001
58,-1175.8461849999999,118000,962.5841310000001
59,-1425.494926,120000,976.6107400000001
60,-1037.617459,122000,989.696875
61,-872.4071,124000,1002.753018
62,-986.267723,126000,1018.183832
63,-997.308881,128000,1031.3875560000001
64,-1708.9182289999999,130000,1044.441065
65,-1430.452522,132000,1057.710732
66,-1097.223204,134000,1071.929987
67,-1625.412274,136000,1087.310296
68,-1200.239235,138000,1100.77571
69,-1547.2216779999999,140000,1116.5867349999999
70,-965.4496230000001,142000,1130.66104
71,-776.989079,144000,1144.535439
72,-976.1482279999999,146000,1161.433283
73,-1293.6386539999999,148000,1175.540099
74,-1005.2025189999999,150000,1188.821171
75,-854.678819,152000,1201.988339
76,-1420.142017,154000,1215.2538949999998
77,-1321.0312199999998,156000,1228.590995
78,-1327.371928,158000,1241.673372
79,-1247.655002,160000,1254.9202380000002
80,-1526.088001,162000,1268.077638
81,-799.90907,164000,1281.139494
82,-1321.8733339999999,166000,1294.412341
83,-911.330591,168000,1307.612859
84,-1153.183016,170000,1320.714686
85,-1038.9845480000001,172000,1334.72656
86,-919.8784949999999,174000,1347.76245
87,-1178.436951,176000,1362.651969
