,r,l,t
0,-1798.02967,2000,75.11419699999999
1,-871.751075,4000,134.412656
2,-633.1775230000001,6000,182.91796200000002
3,-549.6078309999999,8000,231.744874
4,-550.813429,10000,280.743301
5,-594.7040480000001,12000,323.118158
6,-571.074227,14000,364.992828
7,-545.206133,16000,408.577374
8,-527.225954,18000,459.666419
9,-1634.053759,20000,510.14166900000004
10,-620.359095,22000,552.589723
11,-824.214111,24000,594.5562070000001
12,-946.8742710000001,26000,637.376599
13,-791.4123969999999,28000,681.068755
14,-1112.796073,30000,724.506657
15,-1302.254199,32000,766.436956
16,-948.3738910000001,34000,809.562445
17,-713.566099,36000,852.550311
18,-945.2510880000001,38000,895.94739
19,-645.879273,40000,937.693726
20,-524.3611860000001,42000,980.652659
21,-613.333153,44000,1030.340587
22,-684.799993,46000,1073.607732
23,-675.350205,48000,1116.289004
24,-672.5397839999999,50000,1159.150441
25,-650.921121,52000,1201.104874
26,-661.88829,54000,1243.805709
27,-730.208353,56000,1287.139783
28,-675.387561,58000,1329.437569
29,-1593.725929,60000,1373.3257199999998
30,-688.7424179999999,62000,1418.0450640000001
31,-615.714526,64000,1461.5978220000002
32,-622.4100589999999,66000,1504.780851
33,-761.249335,68000,1547.26121
34,-621.886195,70000,1590.49654
35,-1294.6759029999998,72000,1634.215467
36,-612.109917,74000,1677.2765470000002
37,-533.335007,76000,1720.2763699999998
38,-510.643766,78000,1764.2945129999998
39,-541.364082,80000,1813.0856760000001
40,-1624.548947,82000,1856.0582980000001
41,-1784.48579,84000,1899.02205
42,-1753.276807,86000,1942.6605379999999
43,-1683.039,88000,1985.433443
44,-960.332291,90000,2029.677811
45,-1125.944148,92000,2073.511372
46,-903.132638,94000,2117.524855
47,-547.5909690000001,96000,2159.999315
48,-1379.759043,98000,2203.095721
49,-562.213638,100000,2247.097516
50,-718.0911940000001,102000,2290.588254
51,-716.440095,104000,2334.173809
52,-1676.3777029999999,106000,2376.911703
53,-1396.026174,108000,2419.513909
54,-1693.617664,110000,2462.356045
55,-440.131222,112000,2506.7377579999998
56,-645.35048,114000,2558.523807
57,-1059.4162880000001,116000,2602.759743
58,-464.822405,118000,2645.975673
59,-997.9031859999999,120000,2688.767825
60,-518.452468,122000,2731.92404
61,-575.487841,124000,2774.706878
62,-447.312193,126000,2817.651676
63,-484.74836500000004,128000,2861.594959
64,-487.26877800000005,130000,2904.262764
65,-579.233932,132000,2946.481444
66,-487.67394400000006,134000,2988.7707739999996
67,-601.1787099999999,136000,3031.69903
68,-505.315608,138000,3074.396631
69,-493.65309299999996,140000,3117.3608719999997
70,-473.722834,142000,3160.59409
71,-523.0451519999999,144000,3202.922477
72,-535.364671,146000,3246.824216
73,-694.180077,148000,3289.75048
74,-510.282941,150000,3331.883273
75,-726.988598,152000,3375.595192
76,-566.694969,154000,3420.252911
77,-520.3923990000001,156000,3464.266156
78,-559.318995,158000,3507.535882
79,-1510.265032,160000,3551.0732329999996
80,-577.594216,162000,3595.0793280000003
81,-795.172243,164000,3638.1751340000005
82,-1005.2204830000001,166000,3682.001728
83,-1417.4341,168000,3725.502446
84,-804.711028,170000,3769.996646
85,-1567.5090050000001,172000,3812.187289
86,-862.4409289999999,174000,3855.7422560000005
87,-484.592774,176000,3899.221128
88,-390.158438,178000,3941.8659850000004
89,-429.993163,180000,3992.059286
90,-542.709771,182000,4034.6407600000002
91,-456.511581,184000,4077.874595
92,-491.021212,186000,4120.881796
93,-878.64487,188000,4163.039503
94,-797.988974,190000,4205.433051
95,-455.07242599999995,192000,4247.455793
96,-1312.876274,194000,4290.822843999999
97,-1040.2725039999998,196000,4334.819981000001
98,-476.79300199999994,198000,4377.899629
99,-454.26474800000005,200000,4422.385228
100,-491.81685999999996,202000,4466.214722
101,-503.65392599999996,204000,4509.561167
102,-470.844639,206000,4551.510189
103,-390.855125,208000,4594.4551409999995
104,-635.4513509999999,210000,4636.475181
105,-765.7905360000001,212000,4679.606321
106,-588.968886,214000,4722.950707
107,-461.86352300000004,216000,4765.793028
108,-962.8463230000001,218000,4808.641797
109,-493.62523,220000,4851.027676
110,-419.242825,222000,4893.523615
111,-428.68934900000005,224000,4938.253114
112,-435.40950599999996,226000,4981.618684
113,-438.404471,228000,5024.3273420000005
114,-358.15561099999996,230000,5068.090129
115,-333.086298,232000,5118.823292
116,-404.673108,234000,5168.457274
117,-383.302345,236000,5210.871328
118,-380.735306,238000,5252.032681000001
119,-531.094617,240000,5294.738286
120,-514.922621,242000,5338.76386
121,-437.596768,244000,5382.335257
122,-788.138758,246000,5425.8804740000005
123,-1205.691965,248000,5469.157732
124,-456.510476,250000,5511.338882999999
125,-362.200641,252000,5554.006239
126,-360.063337,254000,5596.390711999999
127,-409.228743,256000,5638.380317
128,-402.054038,258000,5680.985936
129,-381.471352,260000,5723.751762
130,-391.156452,262000,5766.244461
131,-402.652419,264000,5809.755520000001
132,-382.058496,266000,5853.297193
133,-365.468225,268000,5895.760799000001
134,-388.044144,270000,5937.745893
135,-373.17318900000004,272000,5981.266208
136,-434.592845,274000,6024.924643
137,-389.693315,276000,6067.72065
138,-390.820609,278000,6109.75301
139,-329.761009,280000,6152.301472
140,-313.938375,282000,6201.854883
141,-330.60503700000004,284000,6251.28944
142,-316.789723,286000,6294.795929
143,-310.70975699999997,288000,6337.750639
144,-315.643218,290000,6387.14027
145,-1615.256078,292000,6430.984420000001
146,-1397.771962,294000,6474.146137
147,-1416.5877970000001,296000,6517.952379
148,-1203.920559,298000,6560.630596
149,-414.471786,300000,6603.236707999999
150,-299.299384,302000,6645.308094
151,-1400.9794769999999,304000,6695.086411
152,-896.47874,306000,6737.257917
153,-1167.932041,308000,6780.923078
154,-385.263595,310000,6825.233703
155,-392.02793199999996,312000,6868.47187
156,-347.280168,314000,6910.880995
157,-1397.896828,316000,6953.248972
158,-284.079953,318000,6995.603521999999
159,-521.836822,320000,7045.942548
160,-372.091781,322000,7090.146198
161,-347.835438,324000,7133.9322329999995
162,-290.633885,326000,7176.464184
163,-286.537575,328000,7218.705027
164,-310.969769,330000,7260.666181999999
165,-305.628504,332000,7302.269873
166,-284.30446800000004,334000,7344.853401
167,-320.501739,336000,7387.392875
168,-422.19709000000006,338000,7430.288441
169,-296.72584900000004,340000,7472.194844
170,-292.39195,342000,7515.118463
171,-301.003388,344000,7557.616693999999
172,-335.195504,346000,7600.876187000001
173,-357.963661,348000,7644.822091
174,-295.767378,350000,7686.9687890000005
175,-343.91423399999996,352000,7730.267352
176,-220.66882900000002,354000,7774.115333
177,-238.689804,356000,7822.7829790000005
178,-213.54752000000002,358000,7864.502878
179,-230.226701,360000,7913.493098999999
180,-204.823344,362000,7956.3816560000005
181,-221.39395699999997,364000,8005.962779
182,-296.575857,366000,8048.492577
183,-258.785452,368000,8091.991754000001
184,-295.222456,370000,8135.510168000001
185,-239.531413,372000,8177.767625
186,-234.357207,374000,8220.022406999999
187,-314.91886800000003,376000,8263.064656
188,-287.062091,378000,8306.409521
189,-272.80282900000003,380000,8349.29336
190,-695.096759,382000,8393.523535
191,-626.793559,384000,8437.115063
192,-267.940447,386000,8480.511676
193,-204.82521599999998,388000,8523.584118
194,-197.371804,390000,8567.484443000001
195,-200.939248,392000,8618.399295000001
196,-204.88616000000002,394000,8662.382534999999
197,-274.725927,396000,8705.688563
198,-207.812421,398000,8749.665975
199,-253.55469700000003,400000,8792.6764
200,-210.65225299999997,402000,8835.367454000001
201,-186.301862,404000,8877.752604000001
202,-254.629381,406000,8927.827140000001
203,-241.868629,408000,8970.976196
204,-189.159764,410000,9015.499359
205,-191.11534,412000,9059.337529999999
206,-227.44040800000002,414000,9103.211582
207,-244.77428700000002,416000,9146.652772
208,-199.239958,418000,9189.718109
209,-271.081711,420000,9233.938886
210,-233.828873,422000,9277.948177
211,-248.032935,424000,9321.039299
212,-272.33257000000003,426000,9364.675240999999
213,-238.498336,428000,9407.898573999999
214,-281.183017,430000,9451.859891
215,-216.445062,432000,9494.092061
216,-235.256669,434000,9536.411284
217,-248.205627,436000,9579.514294
218,-213.310523,438000,9622.335562
219,-224.692365,440000,9665.120209
220,-221.42776600000002,442000,9708.110884
221,-231.575886,444000,9751.554117
222,-202.566134,446000,9796.298031
223,-239.292623,448000,9839.796267
224,-190.497019,450000,9882.677079000001
225,-997.963277,452000,9925.87272
226,-297.01817900000003,454000,9968.931704999999
227,-245.06973100000002,456000,10012.685895
228,-296.197796,458000,10056.885645999999
229,-279.500751,460000,10100.047073
230,-265.968722,462000,10142.783401
231,-259.50215299999996,464000,10186.279325
232,-279.26372299999997,466000,10229.447241
233,-302.072575,468000,10272.445275
234,-231.20639599999998,470000,10315.590329999999
235,-227.201563,472000,10359.01917
236,-250.820877,474000,10401.480474
237,-267.77137799999997,476000,10444.375207
238,-239.153382,478000,10486.555833
239,-236.780127,480000,10530.134104
240,-261.939566,482000,10573.479899
241,-216.541765,484000,10616.209283
242,-237.123596,486000,10659.21013
243,-241.19701600000002,488000,10702.921385
244,-251.004288,490000,10746.92533
245,-212.92607400000003,492000,10791.228884
246,-213.619581,494000,10834.431965
247,-256.045944,496000,10877.723281999999
248,-272.434492,498000,10921.205204
249,-223.24566800000002,500000,10965.312832
