,r,l,t
0,-1675.74388,2000,14.022569
1,-1680.762182,4000,27.496338
2,-1494.356356,6000,37.396997999999996
3,-1190.513903,8000,48.903517
4,-1561.967598,10000,61.509207999999994
5,-1749.2547359999999,12000,73.159972
6,-1593.921789,14000,85.35322099999999
7,-1213.919157,16000,97.299083
8,-1312.375679,18000,109.770439
9,-1037.4144919999999,20000,121.75397
10,-748.6091849999999,22000,134.817583
11,-1582.9881990000001,24000,147.62936200000001
12,-827.221769,26000,159.108159
13,-828.5831860000001,28000,171.578674
14,-1609.0531039999998,30000,182.50624
15,-1501.7920060000001,32000,194.577585
16,-907.9613410000001,34000,206.324401
17,-831.9184389999999,36000,217.796523
18,-975.6106880000001,38000,229.89752000000001
19,-1671.625624,40000,241.69770099999997
20,-1283.041692,42000,253.498507
21,-1305.805564,44000,265.351885
22,-1750.5316710000002,46000,277.140653
23,-1400.018782,48000,288.667547
24,-985.5060710000001,50000,300.92051299999997
25,-1335.146016,52000,313.06465
26,-991.750544,54000,325.731382
27,-1241.871243,56000,338.732128
28,-1412.9795960000001,58000,350.15317000000005
29,-1085.503747,60000,362.298464
30,-1418.725024,62000,376.464835
31,-1229.6865109999999,64000,388.940125
32,-682.6711240000001,66000,400.858456
33,-1059.831022,68000,414.830198
34,-940.537733,70000,427.778643
35,-937.309067,72000,439.53087800000003
36,-1289.3218880000002,74000,451.34331
37,-767.220464,76000,463.976782
38,-1282.026917,78000,475.29000199999996
39,-1349.156246,80000,487.067221
40,-1427.124297,82000,498.71289800000005
41,-1387.512355,84000,508.807475
42,-1491.618555,86000,518.797532
43,-1861.431711,88000,528.675982
44,-1334.02535,90000,540.319324
45,-952.900369,92000,551.666366
46,-995.726093,94000,561.524958
47,-1091.5227619999998,96000,571.392341
48,-1410.9798039999998,98000,581.56953
49,-965.9961490000001,100000,594.299838
50,-982.8117890000001,102000,604.684958
51,-1042.622396,104000,615.398118
52,-991.935518,106000,625.444087
53,-1380.390894,108000,637.6416889999999
54,-1199.862985,110000,650.701006
55,-782.379712,112000,662.9472450000001
56,-750.63683,114000,675.299862
57,-971.854823,116000,687.495327
58,-1153.418902,118000,699.825683
59,-748.505012,120000,711.562009
60,-1000.708587,122000,724.388796
61,-1616.664222,124000,736.979991
62,-920.370859,126000,748.8191419999999
63,-847.4237199999999,128000,760.576799
64,-1135.5192630000001,130000,772.234206
65,-995.3340460000001,132000,784.170688
66,-1015.622042,134000,796.618492
67,-1231.2461560000002,136000,809.024254
68,-1247.9390130000002,138000,820.9125809999999
69,-1161.9646810000002,140000,832.84863
70,-1446.979783,142000,844.5640480000001
71,-1345.149062,144000,857.5878339999999
72,-1013.189626,146000,870.307581
73,-1088.1748380000001,148000,881.8644800000001
74,-1149.162916,150000,892.3591880000001
75,-882.9394880000001,152000,902.4836220000001
76,-931.491157,154000,912.3992800000001
77,-1094.263757,156000,923.8541550000001
