r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
-1611.711301,2000,67.633817,0.054181818,-0.012098811,0.08591998,0.10177319,0.016340142,0.16353181,0.033282593,0.066182576,0.16961935,0.030518724
-967.087361,4000,128.308733,0.060781546,-0.028537434,0.08685699,0.10133395,0.014712435,0.16177253,0.033997126,0.06629226,0.15033016,0.03185923
-904.154658,6000,178.771758,0.059410136,-0.017746132,0.08666735,0.10161674,0.014420213,0.1557038,0.035903856,0.06504891,0.1429628,0.036756605
-1477.094075,8000,228.993629,0.05234951,-0.0066798255,0.07869786,0.09872783,0.016130378,0.14940496,0.03988168,0.062855266,0.17412424,0.030443555
-1598.776902,10000,272.023427,0.04581744,0.038969617,0.072441116,0.10046819,0.012069505,0.15398008,0.034489457,0.0615578,0.233897,0.018280387
-1599.735797,12000,315.708642,0.049361754,0.0964133,0.081582956,0.10415773,0.008460492,0.1609915,0.018386558,0.06387542,0.25365657,0.0075352923
-1723.115411,14000,359.005484,0.04625424,0.10847194,0.06867963,0.100446105,0.0018756355,0.15888914,0.031526238,0.05931601,0.2639244,-0.0069754687
-1335.447092,16000,402.744181,0.08588851,0.08398943,0.05930798,0.090665706,-0.01972957,0.15354228,0.02881487,0.048370913,0.2774015,-0.034876354
-1249.155623,18000,448.251764,0.09448653,0.07566358,0.05608963,0.09117727,-0.025050474,0.14597394,0.026489263,0.03931618,0.28798026,-0.030179448
-1640.168147,20000,492.89955,0.09986726,0.075058445,0.056862127,0.08623792,-0.025925243,0.14378321,0.029554693,0.03916997,0.2825977,-0.020717144
-864.434839,22000,537.312424,0.1329617,0.08266502,0.050702278,0.0837164,-0.043746438,0.14677826,0.016429374,0.047419313,0.29429683,-0.01544171
-1032.119779,24000,587.174639,0.12124551,0.05663315,0.05088467,0.08345755,-0.06857643,0.13484843,0.01182985,0.0556469,0.28962559,-0.00020957497
-1679.285973,26000,631.936005,0.11889501,0.04526472,0.053630937,0.08890407,-0.062172033,0.13495494,0.0054080123,0.06383378,0.29982033,0.022058003
-979.831596,28000,675.800379,0.11669951,0.056547783,0.044892535,0.08880602,-0.0713644,0.12255337,0.014678538,0.063219294,0.31371376,0.019701408
-1061.780452,30000,720.867219,0.10962447,0.10218566,0.043964617,0.08257093,-0.06957943,0.09071949,0.022483611,0.06440767,0.31673855,0.008864321
-1614.190313,32000,764.644295,0.1032513,0.117240675,0.038417574,0.09009726,-0.075138114,0.09642728,0.03818112,0.05863626,0.31357518,-0.0026908899
-1174.814515,34000,808.209793,0.09893015,0.12930667,0.03424263,0.09378655,-0.07249445,0.11473727,0.043533772,0.059279975,0.29817736,-0.009543337
-682.768841,36000,851.722027,0.098507844,0.13317274,0.034066502,0.091019824,-0.068246186,0.11906412,0.04591073,0.06587252,0.29406026,0.006887989
-1439.99283,38000,902.100081,0.095730744,0.13694061,0.045147,0.09480316,-0.060689643,0.13068238,0.03933814,0.06521036,0.29005313,0.012375737
-793.712221,40000,944.901714,0.10122201,0.15177898,0.050722364,0.09632784,-0.065581344,0.13485284,0.03913043,0.07116092,0.27865475,0.017417956
-899.044817,42000,989.258902,0.101645686,0.15794155,0.06576263,0.092160806,-0.06801043,0.13662985,0.036172763,0.082283475,0.26741403,0.02022744
-1465.675923,44000,1033.436624,0.09636143,0.17198269,0.065810084,0.09324369,-0.062059615,0.12953436,0.03700185,0.09143889,0.26171243,0.021346333
-886.739945,46000,1076.590186,0.08726832,0.18565172,0.06017683,0.087300785,-0.058767606,0.12721242,0.026650274,0.09071908,0.24809973,0.026244367
