,r,l,t
0,-1807.457973,2000,13.341191
1,-1756.37985,4000,26.429130999999998
2,-1803.331237,6000,38.546206
3,-1689.988493,8000,48.788292
4,-1713.3461670000002,10000,60.415943999999996
5,-1428.031941,12000,70.60777
6,-1704.4188120000001,14000,82.112092
7,-1625.2891539999998,16000,92.975448
8,-1363.468682,18000,103.596899
9,-1658.033858,20000,115.32840300000001
10,-1455.36039,22000,125.363897
11,-1275.3111199999998,24000,135.950826
12,-1817.7034449999999,26000,147.69368500000002
13,-1540.518449,28000,158.304679
14,-1394.769858,30000,168.783841
15,-1498.183017,32000,179.396937
16,-1649.240399,34000,190.373931
17,-1310.240426,36000,201.196868
18,-1508.463436,38000,211.54407200000003
19,-1425.2175849999999,40000,222.007411
20,-1434.059721,42000,232.50353700000002
21,-1376.140274,44000,242.900425
22,-1470.889649,46000,253.51777
23,-1510.72057,48000,264.172618
24,-1581.43533,50000,274.668296
25,-1757.363118,52000,284.473657
26,-1802.4683890000001,54000,294.28166400000003
27,-1737.545219,56000,304.58837
28,-1784.6122280000002,58000,314.842937
29,-1688.5944809999999,60000,325.572469
30,-1304.1847050000001,62000,336.388046
31,-1329.637046,64000,346.97495200000003
32,-1348.411159,66000,358.264887
33,-1647.6211,68000,369.511582
34,-1612.1386519999999,70000,379.65091
35,-1704.3195,72000,390.53601499999996
36,-1468.742482,74000,400.196471
37,-1653.2876939999999,76000,410.51193900000004
38,-1353.164113,78000,420.094362
39,-1316.772129,80000,430.225316
40,-1323.680961,82000,440.814362
41,-1565.896559,84000,451.27966399999997
42,-1602.9496880000002,86000,461.398739
43,-1684.958563,88000,471.88887400000004
44,-1531.320015,90000,482.320062
45,-1590.667228,92000,492.71777699999996
46,-1396.7903119999999,94000,502.541441
47,-1621.7465109999998,96000,512.873472
48,-1448.2026970000002,98000,523.129654
49,-1402.0976369999998,100000,532.945477
50,-1216.297318,102000,542.77818
51,-1559.104439,104000,554.06048
52,-890.403143,106000,564.085604
53,-1685.000822,108000,575.550615
54,-1670.4796199999998,110000,585.8413780000001
55,-1662.47015,112000,596.527075
56,-1430.419767,114000,606.414395
57,-1580.446752,116000,616.22718
58,-1644.604542,118000,626.534417
59,-1491.257011,120000,636.2332700000001
60,-1541.2309599999999,122000,645.831278
61,-1645.076923,124000,655.617528
62,-1640.157878,126000,665.304467
63,-1510.523363,128000,675.69294
64,-1409.311466,130000,686.5830530000001
65,-1206.178068,132000,697.1755400000001
66,-1597.593258,134000,707.667281
67,-1591.206036,136000,718.160401
68,-1431.063513,138000,728.630502
69,-1512.151709,140000,739.3587150000001
70,-1052.151419,142000,750.187609
71,-1729.6711100000002,144000,760.833073
72,-1638.457829,146000,771.411193
73,-1701.145377,148000,782.3696259999999
74,-1720.548436,150000,793.3964129999999
75,-1654.7412140000001,152000,804.730108
76,-1685.331885,154000,815.5694030000001
77,-1605.484995,156000,826.330494
78,-1801.743882,158000,836.32146
79,-1115.8794070000001,160000,847.2393490000001
80,-1559.8978710000001,162000,857.562276
81,-843.9057650000001,164000,867.755433
82,-1305.4132550000002,166000,879.7851789999999
83,-1662.1414849999999,168000,889.929462
84,-1545.645253,170000,899.854742
85,-1662.062197,172000,910.1524919999999
86,-1108.3774019999998,174000,919.92859
87,-1428.1270650000001,176000,929.800299
88,-1640.9503339999999,178000,940.003826
89,-1539.181974,180000,950.357628
90,-1753.693918,182000,961.005393
91,-1623.809867,184000,970.766513
92,-1436.433924,186000,980.5484630000001
93,-1544.548471,188000,990.952216
94,-1585.256201,190000,1001.5686199999999
95,-1583.679807,192000,1012.5375050000001
96,-1465.4095109999998,194000,1023.661352
97,-1509.696609,196000,1034.782717
98,-1504.948419,198000,1044.760119
99,-1823.396494,200000,1055.13031
100,-1657.487803,202000,1065.371644
101,-1203.281072,204000,1077.101169
102,-1684.477014,206000,1088.420247
103,-1555.419967,208000,1098.4145529999998
104,-1008.161188,210000,1108.665171
105,-1396.336933,212000,1119.741643
106,-1241.961969,214000,1130.470858
107,-1638.3381279999999,216000,1140.535159
108,-1344.110073,218000,1150.5083869999999
109,-1454.2760970000002,220000,1161.3339119999998
110,-931.397617,222000,1171.40686
111,-1406.63814,224000,1181.313526
112,-1092.7885789999998,226000,1191.268934
113,-1334.740865,228000,1201.172373
114,-1599.482623,230000,1211.081738
115,-1765.5848059999998,232000,1220.9825369999999
116,-1318.123003,234000,1232.322498
117,-1098.738316,236000,1244.124832
118,-1026.4646460000001,238000,1255.007673
