r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
-1783.641122,2000,13.040474,0.0628801,-0.17013404,0.18245302,-0.20900626,-0.051590223,-0.02621305,-0.09644373,-0.14435701,-0.10529797,0.1686028
-1775.206462,4000,27.486802,0.050747562,-0.1802137,0.18040194,-0.21183,-0.063022114,-0.025854316,-0.09570236,-0.14653414,-0.10495036,0.1685961
-1735.118439,6000,40.432028,0.056641534,-0.18717557,0.18129009,-0.2198336,-0.08992785,-0.026706964,-0.09833232,-0.14761461,-0.103366576,0.16936633
-1630.301975,8000,53.267941,0.049318437,-0.18859877,0.18719089,-0.22335154,-0.117241964,-0.033487964,-0.11196809,-0.1475946,-0.098041065,0.1736505
-1451.824824,10000,66.144117,0.042201255,-0.1512881,0.2010265,-0.19657879,-0.15587741,-0.041767035,-0.13109653,-0.149489,-0.081551634,0.18410107
-1194.036065,12000,79.100378,0.034777727,-0.14255866,0.21515663,-0.15680775,-0.18568814,-0.04450808,-0.17082758,-0.128171,-0.06967325,0.18242249
-1168.884432,14000,92.01758,0.08765851,-0.18643986,0.1852527,-0.16334584,-0.11538273,-0.03457172,-0.17389145,-0.09334995,-0.07242854,0.19893423
-1084.072465,16000,104.874451,0.09196079,-0.14752614,0.16398598,-0.19825535,-0.07365855,-0.055599563,-0.20414904,-0.04027181,-0.076235384,0.18205395
-1492.371315,18000,117.829191,0.06619911,-0.110241115,0.14918552,-0.21074075,-0.054007802,-0.018541098,-0.18144082,-0.029522164,-0.10826612,0.16419126
-1607.631409,20000,129.301792,0.11846457,-0.08571502,0.16606532,-0.21995747,-0.035517067,-0.0685701,-0.18719837,-0.069364965,-0.13052262,0.1874406
-1163.343949,22000,140.707536,0.14411098,-0.035877496,0.19539233,-0.14742588,-0.031952683,-0.09161578,-0.24473964,-0.11809858,-0.096808314,0.21161738
-1023.340429,24000,152.186604,0.09826577,-0.012235426,0.19563572,-0.13946189,0.08442246,-0.04122993,-0.16741109,-0.112987995,-0.07165873,0.22330523
-1104.881014,26000,165.401117,0.08786777,-0.008969416,0.20041212,-0.10513682,0.055835463,-0.038016234,-0.15599269,-0.124488786,-0.07425567,0.20644698
-937.370417,28000,176.876525,0.10994979,-0.0034904305,0.18905811,-0.12335754,0.0785864,-0.034992147,-0.1736963,-0.1411684,-0.10968536,0.1982535
-879.222906,30000,189.725508,0.09785651,-0.0020335023,0.16596608,-0.057652142,0.08049853,0.0045870673,-0.1774963,-0.12730703,-0.15370908,0.1829718
-1684.198168,32000,202.662266,0.10208013,0.0011235275,0.16916996,-0.049090564,0.055367466,0.0065116226,-0.19910991,-0.0796114,-0.1322226,0.19188063
-750.841378,34000,214.266678,0.11886322,-0.007758108,0.16223015,-0.03652563,0.08183473,-0.02981558,-0.20348053,-0.060354587,-0.101552926,0.20861469
-1172.14541,36000,227.388199,0.12226803,0.0049045524,0.17912735,-0.04236432,0.11258774,-0.009129977,-0.24442375,-0.050557632,-0.08635746,0.2310482
-1415.074183,38000,238.884603,0.15683526,-0.020147927,0.21284497,-0.09463146,0.13184413,0.01964618,-0.28057382,-0.07433629,-0.061990242,0.21963166
-938.250067,40000,250.435299,0.22287685,-0.03132565,0.22626458,-0.120830335,0.108808,0.02153068,-0.27535182,-0.074645095,-0.057077616,0.24139847
-1172.351991,42000,262.118359,0.22760415,-0.021007182,0.20708428,-0.17315225,0.05503122,0.011060602,-0.29114854,-0.10091494,-0.062472027,0.24746391
-1209.92995,44000,273.748048,0.25598565,-0.006532592,0.20597662,-0.19734465,0.03816107,0.01340816,-0.29136178,-0.12389209,-0.065602094,0.27972132
-866.586403,46000,285.369729,0.2786883,-0.007614849,0.2029815,-0.20840861,0.034051653,0.008787652,-0.28251913,-0.14212216,-0.05453909,0.2830134
-1037.475374,48000,296.970187,0.27169645,-0.00986236,0.18000259,-0.19631907,0.0154333245,0.012273239,-0.28185666,-0.16194451,-0.05643048,0.25937802
-1165.446385,50000,308.702851,0.2603789,-0.006013239,0.18381152,-0.17797425,-0.012855723,0.015803376,-0.27201724,-0.20982227,-0.06615317,0.24588856
-1158.790128,52000,320.322244,0.24132767,-0.008972219,0.19861838,-0.17061989,-0.028175931,0.008820921,-0.25843728,-0.19869019,-0.06731795,0.24273643
-940.222085,54000,331.982771,0.23258254,-0.017478405,0.20422654,-0.165262,-0.03724225,-0.017456304,-0.25976425,-0.15561533,-0.061676417,0.23608257
-958.75054,56000,343.645696,0.24073334,-0.017035255,0.19369076,-0.14650598,-0.04241209,-0.008476515,-0.2481774,-0.098435946,-0.063359775,0.23299582
-1060.232859,58000,355.312956,0.23573817,-0.018073997,0.18945734,-0.13127899,-0.056349408,0.043369163,-0.23795569,-0.07984582,-0.070601776,0.19679974
-730.538102,60000,366.997498,0.22652951,-0.030460479,0.20685075,-0.10746741,-0.044899955,0.074705005,-0.2312287,-0.047384575,-0.065430485,0.21879068
-715.701039,62000,380.381348,0.22308059,-0.038823172,0.1974939,-0.13859311,-0.054725815,0.09286411,-0.20441559,-0.023225088,-0.08168652,0.21346542
-1295.63826,64000,393.68889,0.20236844,-0.059054565,0.20231761,-0.22079705,-0.057859726,0.118552536,-0.20517378,-0.0071812533,-0.07246357,0.24440101
-900.397204,66000,405.476318,0.24658631,-0.08759605,0.19809687,-0.27798888,-0.06068887,0.12543449,-0.22021735,0.004851196,-0.009766537,0.26629987
-1034.106728,68000,417.155572,0.24558146,-0.11425373,0.17036174,-0.3545753,-0.085049845,0.14921716,-0.21948978,-0.0033334573,0.022060456,0.24902262
-955.534252,70000,428.778149,0.24027425,-0.14320046,0.1694072,-0.3536675,-0.063075416,0.15171765,-0.18693458,0.0031422076,0.0251866,0.22469112
-788.545774,72000,440.459111,0.27094012,-0.15937048,0.14842124,-0.3668411,-0.074541464,0.1478784,-0.17555249,0.003804462,0.03932758,0.22063902
-927.99683,74000,452.142861,0.25779074,-0.19270276,0.15332715,-0.34628668,-0.08175532,0.11358065,-0.14865966,-0.009833947,0.034391645,0.21855167
-1240.849887,76000,464.083807,0.23130223,-0.21345535,0.12590371,-0.3171427,-0.09005922,0.102513894,-0.15669523,-0.027321776,0.037941176,0.20723921
-892.963385,78000,475.822127,0.20972547,-0.23341233,0.102047466,-0.27396578,-0.10210275,0.082545586,-0.13807178,-0.019642284,-0.021663496,0.19944692
-1632.592292,80000,487.517533,0.23969603,-0.27154487,0.112561375,-0.23055595,-0.08486114,0.07153133,-0.12254066,-0.0100736255,-0.03368942,0.19433637
-1582.514688,82000,499.300249,0.23560536,-0.3023981,0.12572448,-0.2420529,-0.085093215,0.047836542,-0.122469336,-0.004267183,-0.078251705,0.19830422
-1065.15124,84000,511.065495,0.22866616,-0.31125647,0.11568511,-0.22703919,-0.09530498,0.038800336,-0.13113084,0.034049228,-0.11628919,0.2299713
-1169.759599,86000,522.840559,0.2172439,-0.32836583,0.10655875,-0.22529007,-0.089929454,0.037723143,-0.10738273,0.07384638,-0.14065175,0.23966472
-832.231785,88000,534.759575,0.22092624,-0.3539418,0.079830386,-0.25966972,-0.10316464,0.06482814,-0.07584227,0.1147748,-0.14944996,0.2340016
-1235.661925,90000,546.86601,0.19991995,-0.34694174,0.09008022,-0.24503179,-0.1008279,0.06446203,-0.03252577,0.13031739,-0.15796798,0.23438849
-866.886402,92000,558.696863,0.16982321,-0.30298397,0.06762879,-0.23443903,-0.10493029,0.08614977,-0.03780965,0.13119522,-0.18671337,0.21099488
-888.759969,94000,570.459693,0.14993618,-0.29055306,0.06143229,-0.25403357,-0.109965086,0.108518474,-0.010907077,0.15000793,-0.19325715,0.17944477
-781.793437,96000,582.354209,0.1599438,-0.28412965,0.059476435,-0.27244094,-0.11250545,0.11968763,0.003236405,0.13823326,-0.19034402,0.16202283
-952.601589,98000,594.262878,0.1730791,-0.29320407,0.09084729,-0.28356975,-0.1239267,0.121791214,0.0033080135,0.12474488,-0.19222894,0.14482602
-836.543433,100000,606.088004,0.17299668,-0.30525497,0.113944106,-0.2945525,-0.11328677,0.11796973,0.004206326,0.12911652,-0.16477065,0.15294303
-1002.593378,102000,617.887363,0.16306862,-0.29050404,0.117601156,-0.27475667,-0.11441188,0.13369423,0.03414657,0.09146903,-0.15403089,0.17199032
-960.26698,104000,629.635923,0.17374703,-0.2918235,0.11525234,-0.24297628,-0.11172426,0.17080992,0.102896795,0.025417099,-0.13001981,0.1820146
-1109.398631,106000,641.455318,0.17302562,-0.2760373,0.08517395,-0.23853645,-0.108481266,0.21765031,0.14097567,-0.038642798,-0.0999396,0.16054186
-778.941302,108000,653.269099,0.21076435,-0.28035495,0.102909625,-0.22049245,-0.084164545,0.2062289,0.16283752,-0.06914776,-0.071401715,0.18395634
-1710.023978,110000,665.083955,0.224269,-0.29175326,0.09043955,-0.19068038,-0.09145043,0.22714417,0.17450163,-0.051852114,-0.08971114,0.19693542
-1276.723557,112000,676.944709,0.25771832,-0.2936428,0.09301595,-0.18699811,-0.092158936,0.22672671,0.20016325,-0.065969415,-0.101171345,0.17909044
-838.01282,114000,688.771067,0.2691437,-0.29955912,0.12926295,-0.18664819,-0.0784414,0.21712992,0.18441485,-0.0720288,-0.090375565,0.18764214
-1065.365197,116000,700.521194,0.26340574,-0.29822576,0.15001331,-0.18769097,-0.074595205,0.19073856,0.18249004,-0.09395636,-0.0868227,0.16397086
-831.820424,118000,712.348871,0.26857698,-0.3074321,0.17323464,-0.20317343,-0.06995265,0.18658997,0.20005475,-0.10606094,-0.060409244,0.15201199
-1071.864658,120000,724.123957,0.26937273,-0.3119536,0.17474048,-0.21494809,-0.070937656,0.18595722,0.2111956,-0.12557314,-0.033037063,0.1359585
-1277.56108,122000,735.964331,0.26394653,-0.3089261,0.17975333,-0.2554872,-0.081794135,0.19660488,0.2204775,-0.1689197,-0.036443032,0.13379477
-1320.413904,124000,747.791932,0.27824992,-0.2766108,0.15998188,-0.2651058,-0.10221213,0.21381325,0.20485924,-0.17141472,-0.054287598,0.1456539
-1445.303592,126000,759.795361,0.27142918,-0.26342985,0.13708514,-0.2792195,-0.10419483,0.22399655,0.20036231,-0.20358464,-0.07563491,0.14849918
