,r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
0,-1555.611612,2000,18.208346,0.050972868,-0.10111254,0.14946078,0.17787378,0.18858947,-0.2413025,-0.11857708,0.03936235,-0.037511382,-0.10865796
1,-1483.20226,4000,38.854962,0.04636615,-0.10855987,0.13793947,0.18236801,0.19750196,-0.28129724,-0.14792353,0.045535362999999995,-0.06396008,-0.09293157
2,-1645.305306,6000,58.20800799999999,0.039455194,-0.11071765,0.10827322,0.18631682,0.19045301,-0.30854723,-0.14179021,0.053509753,-0.11560706,-0.07169177
3,-1459.5966529999998,8000,75.226673,0.06482217,-0.09634208,0.10170522,0.18407622,0.18990247,-0.28700134,-0.15243213,0.049793098,-0.13371788,-0.055620882999999996
4,-1540.060831,10000,94.316781,0.09359038,-0.067289695,0.13019797,0.16812448,0.20773263,-0.24479207,-0.14083777,0.027609467999999998,-0.17625074,-0.05323283
5,-1774.709359,12000,110.81393999999999,0.08097916,-0.04399073,0.16536842,0.16131444,0.19100076,-0.12597778,-0.13723083,0.015496051,-0.16871111,-0.060549345
6,-1332.467232,14000,127.03410500000001,0.07269924,0.029365633,0.21682985,0.1751698,0.18268551,0.0023782995999999997,-0.11910502,-0.008347592,-0.13834305,-0.037865795
7,-863.2494869999999,16000,140.938291,0.10500115,0.06454359,0.20736314,0.14075461,0.14835447,0.013025455,-0.110371985,0.0035067399,-0.039035767,-0.012202045
8,-950.36471,18000,155.44833500000001,0.10181097,0.09181317,0.20421845,0.13638894,0.14189348,0.032026462,-0.10177176,-0.030530361000000002,-0.01731171,-0.054718915
9,-1116.9810009999999,20000,166.48354799999998,0.09449833,0.088885576,0.21268524,0.13233843,0.14806269,0.03039719,-0.11667069,-0.013056156999999999,-0.014139700000000002,-0.046683427
10,-764.830317,22000,177.593825,0.09678903,0.109119065,0.18522379,0.12489744,0.16738725,0.034591522,-0.12208634,-0.012176862,-0.0042501763,-0.01393063
11,-655.623296,24000,190.157638,0.083303586,0.102938555,0.18558757,0.12850176,0.12803707,0.04690259,-0.11413654,-0.03573716,-0.0033824153000000003,0.003131174
