r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
-1719.725923,2000,15.198825,-0.11577482,0.13985611,-0.021924913,-0.19630145,-0.17394266,-0.10518718,-0.08597572,-0.033418305,-0.14485611,0.025494324
-940.477437,4000,29.771233,-0.123272516,0.13265379,-0.031845324,-0.2479144,-0.30852988,-0.17100671,-0.081476755,-0.025576705,-0.1399247,0.030204218
-1129.070867,6000,44.434461,-0.13021791,0.13479258,-0.024656368,-0.24004146,-0.33324283,-0.20721516,-0.081294835,-0.02760439,-0.12827022,0.025916731
-1032.47763,8000,57.155794,-0.07816001,0.13980673,-0.0464579,-0.1999981,-0.3035151,-0.1339017,-0.053595945,-0.045755513,-0.12811302,0.02373235
-1447.18138,10000,68.783307,-0.084170505,0.13329868,-0.05373472,-0.19774905,-0.28642562,-0.099617556,-0.054835234,-0.050937045,-0.11399196,0.021906605
-1438.192746,12000,80.593257,-0.07766545,0.13334899,-0.08642795,-0.18349904,-0.26198512,-0.11902769,-0.034091353,-0.04943924,-0.10395911,0.010197248
-1632.946877,14000,92.95015,-0.08181843,0.124801695,-0.06722728,-0.19742383,-0.2718894,-0.14622739,-0.013772833,-0.06337172,-0.106600896,0.017377837
-1140.917079,16000,105.147679,-0.07227426,0.100024976,-0.061890613,-0.19944546,-0.21923365,-0.180419,-0.037718877,-0.12136006,-0.08892983,0.02088101
-1688.05823,18000,117.837822,-0.08022076,0.09182272,-0.043209173,-0.18354571,-0.21351692,-0.18037517,-0.089699954,-0.14646831,-0.09861588,0.01235557
-1735.997206,20000,130.065907,-0.090251446,0.12084721,-0.0556441,-0.19834952,-0.22266655,-0.22378002,-0.11437238,-0.15372021,-0.06908161,0.006016668
-1735.898872,22000,142.775862,-0.10253573,0.13460524,-0.0593418,-0.20578204,-0.19846432,-0.2582294,-0.12185784,-0.15166414,-0.07448448,0.014687612
-1762.848312,24000,155.386707,-0.068395495,0.12943614,-0.069619276,-0.19948132,-0.17487842,-0.28757575,-0.116641805,-0.13473755,-0.062847994,0.01984657
-778.708668,26000,167.847499,-0.039224945,0.12254011,-0.054916523,-0.18898009,-0.16699198,-0.29349783,-0.0974468,-0.116221786,-0.05521243,0.027176624
-938.15169,28000,181.464442,-0.028375644,0.11303881,-0.038837157,-0.16448876,-0.16981281,-0.29098886,-0.10018568,-0.115675166,-0.038557436,0.030057335
-1478.470054,30000,193.202312,-0.06457779,0.095950425,-0.037300058,-0.15662196,-0.20816456,-0.27508906,-0.08319324,-0.12129307,-0.040023755,0.030921064
-899.551418,32000,205.082463,-0.073775865,0.11123827,-0.02558851,-0.13738532,-0.23267661,-0.26126838,-0.06353123,-0.13445781,-0.048104715,0.023773963
-816.014539,34000,216.271061,-0.10201377,0.10994044,-0.045471597,-0.13685502,-0.25539538,-0.24837409,-0.09304366,-0.1217583,-0.06487266,0.02415375
-799.85659,36000,227.581006,-0.12021138,0.08474249,-0.048584014,-0.1531973,-0.258192,-0.256835,-0.11768654,-0.11582327,-0.057778187,0.034314368
-913.276926,38000,238.758697,-0.123047866,0.0824208,-0.021514235,-0.15337616,-0.25271994,-0.26311806,-0.11478849,-0.115768336,-0.04510213,0.047757957
-845.607047,40000,249.9564,-0.11378006,0.0821693,-0.023112994,-0.14709762,-0.24523327,-0.2733307,-0.10158064,-0.10746717,-0.08735653,0.06698288
-1410.659718,42000,261.696348,-0.12657003,0.08774691,-0.034823336,-0.1582375,-0.23362862,-0.2732498,-0.08580001,-0.102540106,-0.08444825,0.08348511
-1352.959607,44000,274.803891,-0.105738334,0.08781728,-0.04781365,-0.16205283,-0.21514148,-0.29139015,-0.08567004,-0.10228409,-0.09801115,0.09372334
-965.162998,46000,287.292452,-0.12306066,0.11751735,-0.06340502,-0.16476096,-0.22344492,-0.26573026,-0.099058464,-0.10514003,-0.108737364,0.09603405
-864.682236,48000,300.830991,-0.10752255,0.13943793,-0.08934795,-0.14980973,-0.22062823,-0.22962455,-0.11582857,-0.11852528,-0.11052615,0.08867286
-1339.241879,50000,313.469819,-0.11743194,0.15513118,-0.072517864,-0.15219826,-0.20472266,-0.20968536,-0.11576974,-0.13572001,-0.11308184,0.09125058
-1077.516929,52000,326.216857,-0.14542326,0.17162998,-0.08652362,-0.15219183,-0.17298475,-0.21641867,-0.11879661,-0.13814516,-0.08264898,0.09644715
-1140.653222,54000,338.428763,-0.14908333,0.18709502,-0.085937776,-0.15351215,-0.15361816,-0.21654375,-0.11791498,-0.14762743,-0.07448088,0.0764747
-933.607002,56000,350.572565,-0.17849371,0.20600918,-0.06717315,-0.17051157,-0.15376021,-0.22508192,-0.12453996,-0.13944598,-0.075189136,0.0591474
-953.277813,58000,363.521903,-0.18254086,0.20962927,-0.061068058,-0.1914897,-0.15424635,-0.22709204,-0.11705311,-0.1409178,-0.06672899,0.03396225
-1439.605946,60000,377.186383,-0.16008726,0.19557497,-0.048767246,-0.2209641,-0.14331718,-0.2290114,-0.10964855,-0.14991562,-0.06976728,0.027666941
-697.121205,62000,389.266422,-0.14833148,0.1787537,-0.038775735,-0.2154074,-0.13292119,-0.2434312,-0.15070401,-0.17558181,-0.06721816,0.045581028
-738.671816,64000,403.443971,-0.15986577,0.16563988,-0.04643285,-0.22562605,-0.13266821,-0.22921021,-0.19225998,-0.17800722,-0.06518744,0.04429692
-813.197027,66000,416.190184,-0.11906149,0.14282717,-0.008842109,-0.22377504,-0.12529318,-0.22184256,-0.22164442,-0.18976876,-0.06726097,0.05623541
-763.343455,68000,428.374137,-0.09454916,0.15407124,4.5123263e-05,-0.24624787,-0.11192648,-0.23057754,-0.23517089,-0.1776298,-0.07319021,0.05296729
-979.08373,70000,440.886237,-0.07642757,0.14651886,0.015535013,-0.26337916,-0.07324361,-0.25290617,-0.27309293,-0.15300174,-0.082556464,0.03162264
-1071.675297,72000,452.480444,-0.0811437,0.14322631,0.06965724,-0.2972267,-0.06339512,-0.2578971,-0.30046046,-0.14093983,-0.10301419,0.027809473
-753.531961,74000,463.741186,-0.08035137,0.15972856,0.08176937,-0.29390478,-0.05711738,-0.24867298,-0.32063147,-0.13356405,-0.11490531,0.031920634
-711.102049,76000,475.788107,-0.08324426,0.17252915,0.055691946,-0.32471302,-0.050818495,-0.2558684,-0.36742556,-0.14474207,-0.13111016,0.011038144
-851.056361,78000,487.344718,-0.110329784,0.16876906,0.043037944,-0.330003,-0.030097736,-0.23353884,-0.40708843,-0.14805101,-0.1402755,0.012877149
