r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
-1593.82489,2000,13.423974,0.12712973,0.0095309,0.19085519,-0.100183144,0.06449644,0.11966123,-0.13626267,-0.05404109,-0.034280263,-0.17197026
-1752.195581,4000,27.768459,0.11533013,-0.0012901432,0.18718697,-0.10038376,0.069030695,0.1196935,-0.12460589,-0.027204214,-0.02618701,-0.16591294
-1561.946474,6000,39.871593,0.07184061,-0.008310626,0.17700464,-0.063328005,0.071746,0.1327291,-0.12515777,-0.008136935,-0.039966956,-0.1434097
-1685.649944,8000,52.587003,0.011635149,-0.04049501,0.10738331,-0.0417075,0.09388237,0.19957002,-0.15073265,0.057694823,-0.06701364,-0.035261184
-1071.261949,10000,64.022207,-0.0016810624,0.018250443,0.037248936,-0.056983788,0.10444755,0.25972396,-0.162494,0.08330915,-0.10246256,-0.023778552
-1780.405718,12000,76.770423,0.03344257,0.04386143,0.023364766,0.022976771,0.110645525,0.26287043,-0.08928205,0.102501675,-0.06412893,-0.007216169
-693.001706,14000,88.251391,0.05124044,0.08142884,0.070695035,-0.00624756,0.071532205,0.2770565,-0.036892872,0.061297897,-0.026065618,-0.03131646
-1233.887826,16000,101.07793,-0.026891721,0.08390485,0.058401898,-0.021465583,0.11370251,0.23526286,-0.054056708,0.08376856,0.07706248,-0.05100521
-1455.137329,18000,112.732845,-0.07496506,0.0569793,0.054047387,0.010974732,0.12491162,0.24064657,-0.048739333,0.121367194,0.04845608,-0.05566791
-1374.861421,20000,124.36565,-0.0017874393,0.067988776,0.061649855,0.0049171736,0.09989962,0.14458416,-0.018905494,0.12816879,0.03117193,-0.08625776
-1042.395005,22000,135.831944,0.012544032,0.041291147,0.028218385,0.00947097,0.081710465,0.120494835,0.00822268,0.11309405,-0.0066409362,-0.061643366
-856.727923,24000,147.354014,0.0010752153,0.08763442,0.012721989,0.0054833097,0.05463847,0.14281712,0.022102723,0.10692637,0.006098864,-0.07808346
-871.630257,26000,158.932083,0.01793374,0.07994913,0.017230902,0.010085143,0.058275845,0.1272346,0.023086896,0.102428004,0.0031242284,-0.058048554
-929.058028,28000,170.546049,0.03727175,0.08455406,0.047165796,0.03199754,0.046809606,0.12541366,0.024002427,0.11137234,-0.0024267768,-0.04789107
-984.772834,30000,182.150563,0.042070024,0.049939685,0.0709355,0.0507634,0.043527022,0.17590815,0.017936898,0.12392956,0.0100912275,-0.04287783
-1477.29022,32000,193.723392,0.0710934,0.04461636,0.053987753,0.03822457,0.036307685,0.18929935,0.009091105,0.10934137,-0.0008593942,-0.03192787
-1727.036837,34000,205.345965,0.068289675,0.040069014,0.06141702,0.030749055,0.029854653,0.18784055,0.00040035526,0.10704936,0.0070135053,-0.021239495
-1225.486377,36000,216.978571,0.066803336,0.03427047,0.067311205,0.023034494,0.040906947,0.17059395,0.014145299,0.100924626,0.007081345,-0.02520842
-1210.418481,38000,228.653845,0.06801105,0.030080194,0.061602123,0.010993067,0.04022548,0.16096161,0.015242271,0.09651339,-0.0038879283,-0.019284971
-1627.993848,40000,240.298655,0.073064946,0.0439998,0.0606016,0.016431041,0.022801135,0.19482584,0.0046772873,0.06675983,-0.025473617,-0.01709148
-1231.241961,42000,251.984828,0.06969955,0.017301941,0.07128845,0.017290475,-0.0071356273,0.21664615,0.0017715322,0.05273654,-0.0408761,-0.030823885
-1550.891418,44000,263.522381,0.0633355,-0.0005540572,0.07997079,0.026918227,-0.012997025,0.22792467,0.006313666,0.08264712,-0.050677124,-0.036958296
-1753.993616,46000,274.977466,0.05204427,0.0227775,0.083281234,0.04347059,-0.031679876,0.23524162,0.011414704,0.10228209,-0.040312625,-0.03441985
-1016.307029,48000,286.516456,0.06363349,0.007347145,0.08936742,0.067536965,-0.020665862,0.24128988,0.027344743,0.10586201,-0.027496286,-0.044961073
-857.115749,50000,298.086455,0.06004642,0.018151335,0.096506625,0.081874795,-0.016859157,0.23882203,0.036143843,0.10743463,-0.0142190885,-0.03732866
-727.036878,52000,309.647865,0.048490588,0.009033125,0.09964486,0.09259864,-0.012217125,0.23839693,0.0443112,0.11511816,-0.0011348197,-0.03462396
-816.618429,54000,321.298885,0.029494332,0.0032153286,0.11271572,0.08826037,-0.026555527,0.2367419,0.047970258,0.119814016,-0.00012925515,-0.016977
-761.150746,56000,332.937697,0.013253968,-0.020171614,0.12212656,0.087062106,-0.0505499,0.22887957,0.05673924,0.12625992,-0.012128094,-0.0051933853
-897.699927,58000,344.467731,0.0039483984,-0.041535474,0.13047017,0.09115254,-0.05418268,0.22356768,0.060743395,0.12657009,-0.017714042,0.0018052269
-682.472436,60000,356.049247,-0.010283841,-0.045745213,0.13096298,0.09563199,-0.05829825,0.22162369,0.06978334,0.13326189,-0.008295577,0.002839904
-1147.648681,62000,369.098537,4.9918268e-05,-0.055353135,0.13319026,0.10172786,-0.05751816,0.21574868,0.06755243,0.13707234,-0.004450685,0.014254889
-898.170629,64000,380.794616,0.008713675,-0.003686404,0.12841427,0.11153807,-0.077695005,0.20980379,0.06793595,0.14523496,0.0014664286,0.02778422
-827.136857,66000,392.541228,0.012624904,0.009916602,0.11693864,0.11342514,-0.07683084,0.21210083,0.06653142,0.15236941,0.0059710774,0.03289302
-768.678511,68000,404.3125,0.010153616,0.038295347,0.10869136,0.117998414,-0.059101805,0.21018334,0.065155685,0.15986964,0.00961319,0.03603133
-986.257452,70000,415.912208,-0.000970107,0.066186555,0.10066875,0.1235507,-0.07680021,0.19974734,0.07028509,0.16064209,0.009762824,0.0410788
-768.262492,72000,427.545194,-0.0036786376,0.057899367,0.1027529,0.13198133,-0.07244817,0.20226806,0.07398958,0.16384992,-0.0033067917,0.041621633
-705.448662,74000,439.165243,0.001763681,0.068174444,0.097722925,0.14354514,-0.07239289,0.20734297,0.07522182,0.16299815,-0.009405602,0.041174147
-784.914731,76000,451.017019,-0.004937063,0.07304414,0.09198597,0.15960746,-0.08595408,0.21687026,0.075389065,0.16415417,0.015844874,0.039328028
-1575.767055,78000,462.743829,-0.0036209787,0.08114763,0.08127655,0.1688308,-0.0861428,0.21700314,0.06800756,0.16977938,0.006543639,0.041353144
-1012.255584,80000,474.394859,-0.0056384616,0.09226232,0.07760883,0.18324825,-0.08562947,0.2230904,0.063245036,0.17104506,-0.018761571,0.03767954
-1098.170646,82000,486.064904,-0.0016306001,0.10246212,0.08206849,0.1907218,-0.09323598,0.2239515,0.06035453,0.17216472,-0.008705311,0.039117128
-837.34138,84000,497.835065,0.0069122845,0.10098323,0.09309187,0.20021802,-0.09998339,0.22873476,0.063269615,0.17660946,-0.008169911,0.03800003
-621.476871,86000,509.556942,-0.0046708775,0.10173261,0.097642526,0.20226134,-0.105854325,0.24232966,0.06446296,0.18131678,-0.009909569,0.037457556
-827.822565,88000,522.549566,0.0102823395,0.10327399,0.095162325,0.20792174,-0.09524321,0.2397954,0.0672339,0.18482207,0.0016177149,0.03864049
-1525.865498,90000,534.113202,0.012554717,0.11767417,0.093772,0.21266057,-0.07858129,0.24733196,0.0647411,0.19188103,0.0057635107,0.036027383
-1131.86449,92000,545.716535,0.0066590193,0.116418116,0.11521695,0.21776442,-0.0814181,0.2388613,0.06310667,0.20399033,-0.0029938992,0.03399553
-1086.721909,94000,557.262347,0.012884397,0.110616505,0.1254278,0.21551117,-0.07662013,0.23320156,0.07250833,0.20127903,-0.00202308,0.027946075
-1658.795442,96000,568.76734,0.017892167,0.11280784,0.14672354,0.21898305,-0.06472579,0.23585358,0.07236873,0.20233035,0.014420562,0.032877453
-1280.005192,98000,580.37565,0.025138374,0.13820499,0.15971744,0.22706512,-0.040732846,0.24347553,0.07771825,0.20270252,0.017687945,0.028740564
-1524.403045,100000,591.931032,0.02607833,0.1346922,0.19127448,0.23143886,-0.034074508,0.25463519,0.08653551,0.20140514,0.022538785,0.021202523
-1045.873208,102000,603.53297,0.035421774,0.12888117,0.19754721,0.23697387,-0.03280059,0.27203012,0.08659103,0.20677422,0.017999869,0.023493545
-1570.502262,104000,615.144537,0.027760822,0.13275766,0.18183154,0.24299651,-0.016487332,0.27503228,0.07312582,0.20454483,0.0018076346,0.034567945
-1229.27479,106000,626.714854,0.025285292,0.125731,0.18665832,0.24500206,-0.005969402,0.27229437,0.06484671,0.21286707,-0.011247635,0.048702143
-1213.875656,108000,638.330523,0.026325803,0.12036949,0.19787021,0.23108937,-0.000102908,0.2611156,0.06239063,0.20755455,-0.029193986,0.058144543
-1039.80599,110000,649.989335,0.01962867,0.11823333,0.20728129,0.22199057,0.0003041667,0.2615599,0.0634798,0.19756256,-0.052373372,0.05725439
-1090.885458,112000,661.589243,0.0080004325,0.12195534,0.23212829,0.22514758,-0.00722607,0.26324052,0.062519796,0.20149289,-0.06433366,0.06959642
-837.762911,114000,673.197824,0.014647445,0.13299882,0.26329774,0.2343762,-0.02617518,0.27319285,0.047786012,0.208121,-0.077333,0.0855362
-951.414608,116000,684.723574,0.016351236,0.12070101,0.27062073,0.2389539,-0.01548908,0.2810117,0.044095423,0.20897694,-0.08838979,0.09041811
-640.904915,118000,696.371652,0.012990854,0.12119687,0.2777979,0.24448179,-0.019295897,0.28882468,0.038940478,0.20832023,-0.08128367,0.10945387
