,r,l,t
0,-1795.133014,2000,12.827682000000001
1,-1583.716545,4000,25.210637
2,-1787.913021,6000,38.778895
3,-1736.824175,8000,53.19064100000001
4,-1552.840422,10000,65.658984
5,-654.2432660000001,12000,79.957167
6,-876.016598,14000,92.05113100000001
7,-878.6334300000001,16000,106.57401899999999
8,-1101.433079,18000,123.337326
9,-1004.436168,20000,139.25759299999999
10,-1191.224393,22000,152.592018
11,-740.12368,24000,165.16720700000002
12,-922.051242,26000,177.94738
13,-965.350108,28000,189.917678
14,-900.826557,30000,204.155292
15,-705.609053,32000,216.40174199999998
16,-890.7392279999999,34000,228.995025
17,-853.8041519999999,36000,241.29145
18,-851.4143849999999,38000,254.598861
19,-839.101276,40000,266.769724
20,-789.440785,42000,279.045873
21,-833.306804,44000,292.4248
22,-757.4593480000001,46000,304.574648
23,-1128.152994,48000,316.720024
24,-781.965329,50000,330.86139199999997
25,-1338.978034,52000,344.29773
26,-969.165808,54000,356.27311000000003
27,-1071.91249,56000,368.846208
28,-1028.348362,58000,381.519708
29,-1547.020673,60000,394.482012
30,-1022.962643,62000,407.54740699999996
31,-1451.681093,64000,420.32174100000003
32,-1080.69273,66000,432.720636
33,-1026.8247039999999,68000,448.16198899999995
34,-814.166693,70000,464.27893
35,-1685.513052,72000,475.68457800000004
36,-1583.461851,74000,486.24627999999996
37,-848.330316,76000,496.79483700000003
38,-808.306133,78000,506.98309000000006
39,-1256.605991,80000,516.813253
40,-943.498802,82000,526.730884
41,-961.409218,84000,536.8109559999999
42,-776.1822950000001,86000,547.558575
43,-963.763924,88000,559.213851
44,-815.330235,90000,570.632062
45,-906.350257,92000,582.7999940000001
46,-1005.6022849999999,94000,594.984421
47,-1668.638206,96000,606.8149900000001
48,-1072.2557060000001,98000,618.304834
49,-976.821119,100000,629.925487
50,-1067.579318,102000,639.800054
51,-660.802018,104000,649.75665
52,-1031.891675,106000,661.118917
53,-1341.778194,108000,671.0291139999999
54,-945.4785199999999,110000,681.094709
55,-1229.84176,112000,691.615731
56,-1343.203844,114000,701.382365
57,-1362.684699,116000,711.23608
58,-971.73468,118000,722.455642
59,-1758.65163,120000,733.425107
60,-1668.548268,122000,743.50425
61,-876.0800630000001,124000,756.702238
62,-1552.844923,126000,768.315842
63,-1086.315151,128000,779.562503
64,-1673.58212,130000,789.800353
65,-762.608835,132000,801.353148
66,-1144.09527,134000,811.5158150000001
67,-981.262923,136000,823.418224
68,-789.413169,138000,833.503121
69,-1596.557816,140000,843.288544
70,-1654.862269,142000,853.131655
71,-1532.081665,144000,862.9856619999999
72,-799.8131030000001,146000,873.0943880000001
