,r,l,t
0,-1634.157201,2000,16.639117000000002
1,-1405.192984,4000,38.506316
2,-1556.887325,6000,52.663961
3,-1024.225324,8000,65.353104
4,-1424.763045,10000,79.58041700000001
5,-1583.9266380000001,12000,92.326388
6,-943.649374,14000,104.77623299999999
7,-1293.545155,16000,119.668301
8,-848.749428,18000,132.484
9,-1008.3747189999999,20000,146.657711
10,-873.2067490000001,22000,159.98648799999998
11,-768.611715,24000,172.856867
12,-1225.227328,26000,188.036239
13,-1479.7442720000001,28000,201.61670800000002
14,-557.7118,30000,215.19410699999997
15,-800.554889,32000,229.95005899999998
16,-762.4379769999999,34000,243.31759
17,-818.189844,36000,256.77564
18,-799.740348,38000,270.05417400000005
19,-821.7501440000001,40000,283.390151
20,-903.2558560000001,42000,297.16775
21,-819.543876,44000,311.348844
22,-1566.129865,46000,325.20942599999995
23,-1585.826641,48000,339.591183
24,-672.42706,50000,353.373624
25,-1486.048544,52000,367.28693799999996
26,-974.4896890000001,54000,380.81104700000003
27,-1230.976698,56000,394.24618599999997
28,-1037.747909,58000,407.837349
29,-1025.406801,60000,421.211934
30,-705.0464400000001,62000,434.7268
31,-763.60281,64000,447.71443099999993
32,-778.837871,66000,460.655887
33,-624.594017,68000,473.788812
34,-931.081798,70000,487.45772400000004
35,-1236.674847,72000,499.799021
36,-902.885508,74000,509.87976399999997
37,-867.25595,76000,520.691109
38,-800.705977,78000,530.759438
39,-788.534812,80000,541.215509
40,-1187.367932,82000,551.5398690000001
41,-674.866708,84000,561.609019
42,-753.884025,86000,571.710391
43,-1526.229707,88000,581.747794
44,-653.1237570000001,90000,591.732031
45,-787.104592,92000,601.879798
46,-882.9381970000001,94000,611.917885
47,-890.632476,96000,622.044224
48,-660.249805,98000,632.025168
49,-693.58162,100000,641.967813
50,-866.7167929999999,102000,652.075867
51,-572.003678,104000,662.19368
52,-807.305512,106000,672.152971
53,-1060.775494,108000,682.059043
54,-600.313444,110000,691.946659
55,-537.9183370000001,112000,702.043484
56,-1033.02597,114000,713.448356
57,-995.199098,116000,723.509325
58,-901.0257310000001,118000,733.611941
59,-857.360438,120000,743.717853
60,-979.380489,122000,753.657508
61,-816.3584099999999,124000,763.653926
62,-984.5211939999999,126000,773.756325
63,-1267.137641,128000,783.880283
64,-1267.9942199999998,130000,793.9342330000001
65,-563.7704679999999,132000,804.126766
66,-1068.731655,134000,814.662001
67,-573.185661,136000,825.711176
68,-1275.1151220000002,138000,835.992874
69,-555.683584,140000,846.222727
70,-905.141535,142000,856.533251
71,-847.5107539999999,144000,866.7745199999999
72,-607.037214,146000,877.0164890000001
73,-879.7374279999999,148000,887.2564189999999
74,-1148.0765720000002,150000,897.511369
75,-774.898639,152000,907.742798
76,-633.5023620000001,154000,917.9810779999999
77,-558.302913,156000,928.231123
78,-676.466988,158000,938.455281
79,-850.196672,160000,948.5748279999999
80,-1103.999217,162000,958.788217
81,-956.532681,164000,969.125306
82,-842.228434,166000,979.466234
83,-442.55757,168000,989.675433
84,-475.034633,170000,1001.1460890000001
85,-616.332418,172000,1011.2844960000001
86,-596.1582530000001,174000,1021.6032529999999
87,-472.677992,176000,1032.041174
88,-1279.96947,178000,1042.49781
89,-1250.56369,180000,1053.013053
90,-659.3782110000001,182000,1063.501873
91,-1465.907424,184000,1073.870458
92,-1143.827809,186000,1084.128117
93,-1722.511332,188000,1094.331946
94,-727.746608,190000,1104.592773
95,-1542.884965,192000,1114.821514
96,-1026.251226,194000,1125.106326
97,-695.5490589999999,196000,1135.617347
98,-1273.854393,198000,1145.822715
99,-547.897321,200000,1156.0627550000002
100,-999.027806,202000,1166.267811
101,-757.231143,204000,1176.489945
102,-548.148978,206000,1186.7391289999998
103,-1110.577772,208000,1197.177353
104,-1265.191618,210000,1207.402144
105,-749.601811,212000,1217.717464
106,-1018.6548359999999,214000,1228.0908220000001
107,-1330.012931,216000,1238.332712
108,-1627.04386,218000,1248.43914
109,-536.1102070000001,220000,1258.569845
110,-1603.5522970000002,222000,1268.67536
111,-849.4387029999999,224000,1278.844483
112,-710.801424,226000,1289.153149
113,-536.900082,228000,1299.3586189999999
114,-499.226139,230000,1309.497287
115,-506.068563,232000,1319.582592
116,-457.181025,234000,1329.923026
117,-574.024615,236000,1340.221575
118,-463.37203,238000,1350.4521710000001
119,-489.878635,240000,1360.543732
120,-785.228282,242000,1370.6519449999998
121,-466.04542999999995,244000,1380.789123
122,-604.8229110000001,246000,1390.8897630000001
123,-601.9756719999999,248000,1400.993163
124,-479.324625,250000,1411.1222890000001
125,-1152.483526,252000,1421.410911
126,-1725.776893,254000,1431.357764
127,-1190.12914,256000,1441.2866099999999
128,-1736.79878,258000,1451.2401300000001
129,-1731.9262899999999,260000,1461.151851
130,-1640.183576,262000,1470.993019
131,-733.7851860000001,264000,1480.820416
132,-1613.906045,266000,1490.644401
133,-1410.364605,268000,1500.5597779999998
134,-1039.0276880000001,270000,1510.548107
135,-1347.077867,272000,1520.463335
136,-662.607083,274000,1530.341268
137,-611.242751,276000,1540.160746
138,-713.08612,278000,1550.033861
139,-708.158867,280000,1560.021654
140,-935.792134,282000,1569.941169
141,-349.833277,284000,1579.771132
142,-374.801183,286000,1590.874312
143,-1314.679011,288000,1600.688487
144,-1002.110265,290000,1610.528218
145,-1478.1833880000001,292000,1620.390092
146,-390.488135,294000,1630.209175
147,-682.235947,296000,1640.0261480000001
148,-802.016383,298000,1649.9296789999999
149,-895.378183,300000,1659.829776
150,-464.71259800000007,302000,1669.692329
151,-522.029917,304000,1679.551885
152,-545.547573,306000,1689.311049
153,-1445.7667529999999,308000,1699.1255670000003
154,-1067.741209,310000,1709.009802
155,-733.307964,312000,1718.903264
156,-1678.974655,314000,1728.797932
157,-502.34179000000006,316000,1738.662097
158,-407.188597,318000,1748.5137829999999
159,-513.9021339999999,320000,1758.739034
160,-502.720887,322000,1768.751159
161,-640.3983900000001,324000,1778.646001
162,-456.952732,326000,1788.493189
163,-1565.92478,328000,1798.5131829999998
164,-397.061981,330000,1808.554266
165,-830.768433,332000,1818.471891
