,r,l,t
0,-1570.498632,2000,13.248462
1,-1148.58566,4000,27.342871000000002
2,-1363.27019,6000,38.693961
3,-1059.039906,8000,49.775983000000004
4,-1326.653168,10000,60.717888
5,-1067.0394529999999,12000,71.696265
6,-721.899856,14000,83.741713
7,-921.443155,16000,95.67809799999999
8,-1072.776283,18000,105.823314
9,-847.915922,20000,115.53961899999999
10,-1158.338303,22000,126.380602
11,-1039.302421,24000,138.75040900000002
12,-999.6468060000001,26000,148.329157
13,-913.353628,28000,158.105651
14,-1601.679472,30000,167.743269
15,-1166.466536,32000,178.103348
16,-1416.720492,34000,191.94591599999998
17,-1219.838006,36000,207.441577
18,-1149.494807,38000,219.182134
19,-1015.0769849999999,40000,230.70922400000003
20,-851.898947,42000,240.78750499999998
21,-957.090566,44000,250.637108
22,-858.147827,46000,260.631011
23,-1150.571882,48000,270.39624100000003
24,-1277.551319,50000,280.80175099999997
25,-1246.894616,52000,292.670498
26,-1019.6662650000001,54000,306.221604
27,-817.686592,56000,319.605021
28,-793.387693,58000,332.17891299999997
29,-865.789759,60000,344.676868
30,-1002.6822050000001,62000,359.51206099999996
31,-801.1422349999999,64000,374.243604
32,-900.960917,66000,386.84754100000004
33,-832.851868,68000,400.904727
34,-1342.4416449999999,70000,412.952195
35,-1137.181285,72000,428.710084
36,-906.9204779999999,74000,442.13442699999996
37,-729.803366,76000,456.764174
38,-938.189341,78000,469.80722000000003
39,-1024.366681,80000,481.87840800000004
40,-741.1025490000001,82000,492.345709
41,-760.215256,84000,502.879383
42,-967.205988,86000,513.778661
43,-973.0138,88000,525.2644799999999
44,-931.356243,90000,536.334565
45,-866.9459449999999,92000,547.829093
46,-908.523335,94000,560.026893
47,-860.5655,96000,572.220732
48,-818.65337,98000,583.38037
49,-1443.079289,100000,593.3287889999999
50,-884.120258,102000,604.063159
51,-870.1320460000001,104000,614.725962
52,-1143.253892,106000,625.7902339999999
53,-808.473124,108000,636.2856879999999
54,-1366.646964,110000,647.762413
55,-815.7304730000001,112000,658.423503
56,-636.135945,114000,668.396121
57,-786.394239,116000,681.315979
58,-1299.013756,118000,692.96547
59,-831.524523,120000,705.735864
60,-687.3285639999999,122000,717.023027
61,-908.94045,124000,728.515183
62,-954.164483,126000,739.3136559999999
63,-885.3239460000001,128000,750.037308
64,-1270.900533,130000,760.4463
65,-912.550454,132000,771.186296
66,-986.01435,134000,781.980866
67,-1170.5603310000001,136000,792.791525
68,-1578.512745,138000,803.710763
69,-914.9486699999999,140000,814.7728089999999
