r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
-1392.513015,2000,13.801178,0.115781546,-0.07434925,0.14559138,-0.15478416,-0.14105405,-0.033393946,-0.10158422,-0.017343672,0.07198552,-0.039064996
-1659.594394,4000,29.226268,0.11752447,-0.07328528,0.15018533,-0.15491875,-0.14192629,-0.035244018,-0.10451352,-0.026863769,0.072627544,-0.05429197
-1556.232162,6000,41.687316,0.116571315,-0.07693881,0.1583588,-0.16480131,-0.14997868,-0.034832373,-0.109140374,-0.023027495,0.07681886,-0.047821343
-1557.45262,8000,55.079073,0.11199843,-0.07923383,0.15161908,-0.16653942,-0.15346046,-0.033053886,-0.09986898,-0.008452942,0.07950756,0.021434596
-1565.372113,10000,69.917574,0.11780446,-0.08137489,0.14212324,-0.14622974,-0.1549784,-0.017940806,-0.08371611,0.025345799,0.082613684,0.09946558
-936.362101,12000,82.88267,0.10755046,-0.081281066,0.12709346,-0.11504425,-0.15475608,0.011523428,-0.08850953,0.03308479,0.071223974,0.11505519
-558.588628,14000,96.831519,0.09811097,-0.08058621,0.12171158,-0.10959293,-0.16107431,0.01790896,-0.09771436,0.040477842,0.06787878,0.11459436
-720.853324,16000,111.35695,0.0991629,-0.079579905,0.123555355,-0.10926589,-0.1763062,-0.0014787138,-0.10180286,0.051503077,0.06827654,0.10071912
-1513.703902,18000,124.113522,0.102001,-0.076377586,0.12860921,-0.0910016,-0.18560632,-0.009255575,-0.1025136,0.062278777,0.07721987,0.094397806
-1613.510859,20000,137.68085,0.09684761,-0.06791084,0.12611975,-0.08948178,-0.16990109,-0.001969317,-0.10832605,0.063540384,0.09072665,0.101255715
-1477.796649,22000,152.575065,0.09048202,-0.054757107,0.113937415,-0.10053919,-0.17074965,-0.0012589233,-0.10769156,0.06438139,0.11081302,0.10054157
-872.173019,24000,167.808984,0.08546201,-0.053986475,0.109690055,-0.10281481,-0.16436079,-0.0012519839,-0.09588608,0.0572868,0.11931074,0.10169491
-772.8312,26000,180.041355,0.09107012,-0.0548436,0.112204164,-0.09229702,-0.17558405,0.0050762044,-0.10246238,0.05273767,0.12176839,0.10718908
-1137.487436,28000,193.183911,0.0899901,-0.045656696,0.12528048,-0.088198125,-0.16222706,0.015964251,-0.09364331,0.04504474,0.10161971,0.0994936
-391.851271,30000,206.678896,0.09656461,-0.04069919,0.13214979,-0.09265977,-0.16187875,0.009441853,-0.0873804,0.04260591,0.124072,0.10035319
-628.724561,32000,220.56581,0.09758221,-0.04370788,0.11068982,-0.09605737,-0.16134526,0.011276573,-0.09032466,0.031444795,0.15293142,0.11286469
-874.118655,34000,233.502176,0.07772942,-0.047950275,0.09771897,-0.104185015,-0.16208507,0.01164119,-0.09997249,0.020749612,0.15995921,0.11764119
-1501.17395,36000,246.696394,0.087118745,-0.050820593,0.09642902,-0.11467267,-0.14919116,0.0101490645,-0.11686059,0.009186591,0.17002259,0.117109805
-908.506574,38000,258.566194,0.0876596,-0.038712654,0.09636185,-0.12393034,-0.13218358,0.01696221,-0.14200799,0.008214078,0.1722474,0.12487935
-1356.092141,40000,270.703303,0.07363688,-0.045452666,0.10343075,-0.14129892,-0.1314252,0.009482917,-0.15165652,-0.00275723,0.15617813,0.12810217
-550.6655,42000,282.822972,0.056279868,-0.046384733,0.11191076,-0.15007484,-0.121744476,0.00049995614,-0.1667003,-0.023878587,0.17032434,0.1286797
-594.613022,44000,295.328897,0.039093804,-0.04691508,0.10964443,-0.16132441,-0.10150805,0.0082280375,-0.15463836,-0.03480932,0.17357445,0.1294219
-597.944386,46000,307.028773,0.030738553,-0.05491767,0.12205099,-0.16954657,-0.102211036,0.0010890207,-0.1513174,-0.024102066,0.18066217,0.13629995
-566.364764,48000,319.866593,0.023350477,-0.05931203,0.13340285,-0.17715089,-0.10695979,-0.013218484,-0.1351736,-0.021145532,0.18386792,0.14378901
-1442.055582,50000,332.30336,0.006649137,-0.044795886,0.14558539,-0.18727937,-0.102914974,-0.018287482,-0.13049857,-0.01017633,0.1916519,0.13446298
-515.091756,52000,344.075549,-0.006057098,-0.037962396,0.14703834,-0.18372644,-0.09705336,-0.020149542,-0.12318697,-0.006010339,0.19929224,0.13406014
-1433.120359,54000,358.080384,-0.0037917895,-0.03530209,0.14514467,-0.16858065,-0.097891875,-0.026324846,-0.107903115,-0.0076099774,0.20715033,0.14108196
-1014.523769,56000,371.257586,0.008584441,-0.032114174,0.14166336,-0.15565237,-0.10803119,-0.033946015,-0.10589317,-0.0007518436,0.21277095,0.15012452
-1277.059917,58000,383.523753,0.026979234,-0.018629592,0.14571708,-0.14362174,-0.11023064,-0.03587233,-0.102257416,-0.021514067,0.2096768,0.13901208
-1192.159665,60000,395.781135,0.0112073105,-0.0002765089,0.14428826,-0.16857804,-0.09329193,-0.041385267,-0.09038029,-0.034197908,0.2197974,0.12516777
-1192.776975,62000,409.295235,-0.005462983,0.011643518,0.13553272,-0.17845945,-0.052048806,-0.029466657,-0.09117835,-0.06180729,0.2137087,0.10988286
-922.006229,64000,423.555542,-0.009991565,0.02095004,0.1215242,-0.18777844,-0.03251374,-0.010976734,-0.102731735,-0.080641374,0.2013349,0.09842895
-944.874796,66000,436.707614,-0.02907189,0.017207403,0.111424156,-0.19872127,-0.045044348,0.002495514,-0.10545783,-0.09573138,0.19597127,0.09939346
-1294.116643,68000,449.730126,-0.007537357,0.027862387,0.09834448,-0.1611223,-0.05026489,0.041592885,-0.11709526,-0.097118564,0.18103267,0.095170304
-584.659304,70000,461.999604,0.019065823,0.026430015,0.101342246,-0.15104103,-0.05996466,0.06677483,-0.12707497,-0.10426357,0.16384894,0.09604373
-1534.206958,72000,474.316056,0.008369872,0.031224603,0.11375454,-0.12715451,-0.06764105,0.05835499,-0.12108229,-0.11231848,0.1517268,0.080876224
-1378.810072,74000,486.868875,0.00337137,0.043828804,0.13707758,-0.11060971,-0.07593586,0.050059687,-0.13069595,-0.13808641,0.14658651,0.067195654
-1049.868023,76000,499.801135,0.01363124,0.04873948,0.16032635,-0.093877606,-0.098502405,0.08039739,-0.13370334,-0.14526881,0.13104354,0.051253892
-965.524513,78000,514.042646,0.035533518,0.046089835,0.19250205,-0.080574304,-0.1317393,0.08988479,-0.12313055,-0.15747683,0.098625146,0.04518973
-647.538048,80000,526.210544,0.025722967,0.050245427,0.21103793,-0.08901522,-0.16766764,0.087877594,-0.13948375,-0.15755165,0.066595644,0.04152609
-1549.417971,82000,539.093769,0.025261207,0.049784392,0.22015797,-0.096380256,-0.18521361,0.07423405,-0.14828022,-0.15134652,0.056356203,0.035994638
-1129.6088,84000,553.437028,0.029677872,0.053475425,0.20623875,-0.116424605,-0.1990136,0.07930455,-0.14231664,-0.17152973,0.057862505,0.034332417
-1252.791879,86000,566.326429,0.029077241,0.034511946,0.19900073,-0.13914487,-0.20073576,0.08720637,-0.1456779,-0.17019738,0.047769748,0.033670284
-1136.25448,88000,577.908788,0.011323998,0.026336962,0.18791136,-0.13084419,-0.21490255,0.10025254,-0.13202862,-0.18754378,0.043925364,0.04304477
-884.607507,90000,590.406969,-0.0057743676,0.015950972,0.19222799,-0.12751873,-0.21686468,0.10528543,-0.12465806,-0.20125927,0.046650104,0.05832682
-1306.492429,92000,603.508438,-0.007009112,-0.00033085636,0.19143835,-0.11821268,-0.22422233,0.09995138,-0.10627151,-0.20516846,0.05594894,0.07826932
-815.933421,94000,615.040964,0.007473229,-0.0023557127,0.20784715,-0.12665147,-0.21883826,0.094604775,-0.12642302,-0.20159568,0.06114636,0.10610677
-1100.597517,96000,626.654133,0.027002785,-0.004248409,0.20997563,-0.139724,-0.19617668,0.08347449,-0.13361356,-0.20379074,0.08359899,0.1169017
-834.496913,98000,638.213922,0.04072619,-0.00061323197,0.2156776,-0.15124778,-0.18284123,0.063957915,-0.12950748,-0.2156337,0.105376884,0.12908825
-1294.278433,100000,649.955626,0.06934443,0.009083208,0.2363461,-0.15420571,-0.17529775,0.06325573,-0.12935776,-0.22023427,0.11579312,0.13688979
-553.313814,102000,662.314495,0.06341341,0.029490292,0.24255699,-0.17337783,-0.18602103,0.04580069,-0.13551705,-0.22136196,0.1178288,0.13624689
-1241.397372,104000,677.076009,0.113935284,0.036908757,0.25420704,-0.20015283,-0.2064043,0.030195968,-0.18784744,-0.19899116,0.14145668,0.14955375
-727.795371,106000,688.710898,0.15353648,0.052270822,0.2720791,-0.22492641,-0.21124512,0.015770452,-0.20726678,-0.18401565,0.13925077,0.16921204
-832.110933,108000,701.186697,0.19095252,0.069096975,0.28524253,-0.2268949,-0.2279276,0.0064317468,-0.23069717,-0.1619757,0.10245849,0.15604377
-886.563551,110000,714.651044,0.21777354,0.07546629,0.29776758,-0.21037479,-0.24893999,0.018403035,-0.25039363,-0.17101458,0.08953884,0.12971513
-1318.06386,112000,727.186422,0.20595132,0.09621969,0.31682834,-0.2061691,-0.25389126,0.036090977,-0.24966548,-0.19287965,0.09399538,0.13563015
-1286.960879,114000,740.419946,0.2104654,0.09567324,0.32282218,-0.20380847,-0.23775916,0.025692385,-0.22961032,-0.20890434,0.11962702,0.14437096
-951.697908,116000,752.149604,0.22492197,0.09618073,0.30333668,-0.19717307,-0.26131806,0.028136903,-0.19751462,-0.24879855,0.10965139,0.15116584
-1254.183335,118000,764.040883,0.24759917,0.10687545,0.32281753,-0.15485083,-0.24906272,0.07357614,-0.19939192,-0.26461464,0.0881624,0.10576451
-1169.478696,120000,776.056113,0.25991526,0.10730509,0.3807974,-0.12810695,-0.22456127,0.08530873,-0.19926631,-0.27391353,0.068039894,0.10066735
-692.863113,122000,787.596648,0.28216338,0.12084354,0.4069344,-0.10628419,-0.24141653,0.10568336,-0.21501873,-0.31134215,0.050020956,0.096756674
-1170.102969,124000,799.295377,0.29819885,0.09483526,0.38465843,-0.11282569,-0.2256476,0.12404929,-0.1997603,-0.32808468,0.053891502,0.09356773
-496.994819,126000,812.177006,0.31918994,0.105902866,0.33366436,-0.102196716,-0.26437163,0.14290097,-0.17700171,-0.35713223,0.032332443,0.110072725
-1247.810288,128000,824.633384,0.31412074,0.10654531,0.3347204,-0.07705871,-0.2679803,0.1478423,-0.16048612,-0.36201352,0.028443623,0.10292986
-507.039701,130000,837.138292,0.3026381,0.12292062,0.32554308,-0.053061586,-0.2512473,0.16646247,-0.13949217,-0.36779067,0.0574601,0.09016207
-760.935176,132000,850.070447,0.30364347,0.12720592,0.31071284,-0.05817178,-0.23067662,0.17342414,-0.13861904,-0.35678095,0.06933605,0.09516119
-311.848046,134000,863.364593,0.32219636,0.11498551,0.320318,-0.06419175,-0.22306505,0.15924214,-0.1475332,-0.34270263,0.0705753,0.094194844
-432.065359,136000,877.630716,0.3564265,0.105700545,0.34710032,-0.08293621,-0.23131135,0.1396924,-0.16738491,-0.35833868,0.059033353,0.09252975
-404.725798,138000,889.033356,0.36090684,0.1029109,0.34580544,-0.11890121,-0.24815294,0.14301981,-0.18512745,-0.37071037,0.07287678,0.08919566
-978.10869,140000,900.505708,0.3932678,0.1035693,0.35107255,-0.114946134,-0.26189044,0.16173485,-0.20474423,-0.35067368,0.047677536,0.07142451
-1036.54982,142000,912.059541,0.45002565,0.096529245,0.37532115,-0.09446319,-0.2529374,0.18381363,-0.1963179,-0.3354412,0.036148332,0.06515452
-606.099521,144000,923.609329,0.48907286,0.09652151,0.37263057,-0.07473215,-0.26108533,0.18455595,-0.18136384,-0.30244848,0.053243183,0.05280266
-465.229439,146000,935.199704,0.5077744,0.08058907,0.3582318,-0.0784283,-0.26160735,0.15945454,-0.17478216,-0.290793,0.051170964,0.02582118
-822.379623,148000,946.805887,0.5253096,0.07092046,0.35397974,-0.11671088,-0.24754913,0.17039977,-0.1803154,-0.2658634,0.06728531,0.029789397
-246.686867,150000,958.587071,0.5267438,0.06374872,0.33915734,-0.14673519,-0.24159126,0.18217424,-0.20421486,-0.27072567,0.07109144,0.042784393
-399.185502,152000,972.830771,0.5393005,0.059739742,0.3275418,-0.14925557,-0.2213675,0.19987845,-0.22087571,-0.2586529,0.06736199,0.04830419
-238.545658,154000,985.819152,0.5481639,0.033115726,0.30983067,-0.14567149,-0.2215524,0.1995883,-0.23424974,-0.24279019,0.06927432,0.05299834
-480.699743,156000,999.02092,0.5441982,0.020057946,0.3069711,-0.14981094,-0.24041627,0.18293793,-0.23635639,-0.2431835,0.10040257,0.05916094
-393.143063,158000,1011.041893,0.53909993,0.016000086,0.32441586,-0.123012476,-0.2673547,0.16176064,-0.23719247,-0.251441,0.106218696,0.059404947
