,r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
0,-3277.864339,2000,15.685775,-0.16759095,-0.052086785,-0.23244017,-0.07780334,0.08259527,-0.17923929,0.07610189,-0.09012009,-0.108428955,0.10926322
1,-3779.269565,4000,32.372533000000004,-0.15248662,-0.053996503,-0.20441847,-0.07349672,0.07175377,-0.17948008,0.07484922599999999,-0.095623165,-0.10488592,0.10871189
2,-9222.231845999999,6000,45.591148,-0.18650389,-0.05906446,-0.17668873,-0.11076654,0.06189043,-0.1433887,0.08014833,-0.10687176,-0.037477743,0.123440884
3,-3065.3550609999998,8000,58.262462,-0.16636688,-0.068847194,-0.16614509,-0.11909808,0.06115956,-0.112800136,0.12412970000000001,-0.13425906,-0.0036799766,0.1239114
4,-2807.9356350000003,10000,71.400841,-0.015449123,-0.16211681,-0.14168516,-0.06899279999999999,0.017627541,-0.14457427,0.14933789,-0.16460976,-0.057238415,0.112919845
5,-3864.743783,12000,84.504533,-0.004339701,-0.15204072,-0.13663004,-0.051271122,-0.010389278,-0.15370712,0.14309663,-0.16395712,-0.060547017,0.118265286
6,-3331.653641,14000,96.380826,-0.02368076,-0.12859237,-0.090407,-0.03000527,-0.030479347,-0.15396945,0.19534868,-0.18212377,-0.07726282,0.114676476
7,-4165.903976,16000,107.09338500000001,-0.042131495,-0.10170439,-0.08706010000000002,-0.022968644,-0.018994652,-0.16136456,0.21932572,-0.18563247,-0.107164465,0.10601518
8,-4534.22707,18000,118.035347,-0.04481942,-0.105649315,-0.10439065,0.022163652000000002,0.0029431996000000003,-0.18628965,0.19858055,-0.15594974,-0.09282707400000001,0.08543693
9,-2404.067843,20000,130.013935,-0.017246759,-0.10903544,-0.1254282,0.017971728,-0.016941493000000002,-0.20052394,0.16951339,-0.13342182,-0.09492205,0.049301405
10,-5398.373683,22000,143.141801,-0.03341564,-0.10345619999999998,-0.10877467,0.015533271999999999,-0.01581181,-0.19478653,0.13133334,-0.12598105,-0.10099667,0.063025855
11,-1858.782318,24000,154.62766399999998,-0.0519369,-0.119727254,-0.088304885,0.041978035,0.02686309,-0.18887383,0.12370029,-0.10578257,-0.06502333,0.10464155
12,-1564.0012470000001,26000,168.77596599999998,-0.061636685999999996,-0.14362679999999997,-0.096511595,0.052911885,0.035676177999999996,-0.15245993,0.12461072,-0.09904310000000001,-0.025414912,0.12910596
13,-785.9545009999999,28000,181.815801,-0.07289731,-0.110740386,-0.077151,0.053905375,0.04036053,-0.13765012,0.11428047,-0.107289515,-0.032625799999999996,0.13903989
14,-1527.207349,30000,195.965891,-0.07800499999999999,-0.07774112400000001,-0.05992107,0.061176017,0.05334973,-0.13040695,0.10853673,-0.11748837,-0.024538856,0.122180335
15,-4927.537436,32000,208.914752,-0.07452412,-0.058334734000000006,-0.047261595999999996,0.048857067000000004,0.042807545999999995,-0.13211471,0.10820610000000001,-0.11714886,-0.02768836,0.09952583
16,-1222.680572,34000,220.94849100000002,-0.076956674,-0.04380241,-0.04324534,0.028406422999999997,0.05937857,-0.11276297,0.11260916,-0.12715596,-0.025682028,0.0825927
17,-1768.376984,36000,232.42509900000002,-0.08184052,-0.03663533,-0.04368897,0.018654326000000002,0.07353484,-0.09313375,0.114214346,-0.13936077,-0.043213848,0.0691318
18,-1072.351314,38000,245.627403,-0.09167188,-0.047021955,-0.039518847999999995,0.020085886,0.08453174,-0.082455024,0.12061068400000001,-0.13174509,-0.04204552,0.071406715
19,-867.349385,40000,258.361344,-0.11380201599999999,-0.03215865,-0.045260113,0.02980698,0.09485999,-0.06872416,0.12884602,-0.13616209,-0.04489729,0.07927543
20,-1588.701373,42000,272.210511,-0.14594226,-0.010748711000000001,-0.041439912999999995,0.042501125,0.112344265,-0.06170736,0.13731918,-0.13785721,-0.032604598,0.07481509
21,-1421.9075779999998,44000,284.177019,-0.15267377,0.00056953327,-0.028882531,0.044844247000000004,0.1196286,-0.056998216,0.14400125,-0.13429971,-0.023793353,0.064437225
22,-1568.078099,46000,297.262898,-0.15311024,-0.000641454,-0.03376177,0.045044935999999994,0.11684487,-0.038603988,0.15835117,-0.13641913,-0.03344191,0.06650745
23,-1389.989638,48000,309.738943,-0.15670255,0.0040757614,-0.03529071,0.04476287599999999,0.12459841,-0.02908893,0.1572924,-0.13617092,-0.04425532,0.051461857
