,r,l,t
0,-1711.6292210000001,2000,12.856016
1,-1777.0809920000002,4000,25.969456
2,-1586.440473,6000,36.327778
3,-1725.704059,8000,48.261464000000004
4,-1218.12412,10000,59.265521
5,-1649.804453,12000,70.730595
6,-1587.24259,14000,80.55323
7,-1548.326202,16000,90.35955799999999
8,-1276.174714,18000,100.26652800000001
9,-1813.707248,20000,110.073076
10,-1315.199806,22000,119.89564399999999
11,-1547.129699,24000,129.757452
12,-1383.310385,26000,139.553925
13,-704.009263,28000,149.362474
14,-763.881954,30000,160.907726
15,-803.33457,32000,171.80048
16,-687.939077,34000,183.451002
17,-618.34073,36000,196.340982
18,-847.1355980000001,38000,208.63118899999998
19,-796.515677,40000,220.208888
20,-938.876756,42000,233.805138
21,-686.0787849999999,44000,247.04115299999998
22,-815.337037,46000,257.012408
23,-1314.841499,48000,267.793287
24,-882.4783039999999,50000,279.115709
25,-892.3847470000001,52000,289.292032
26,-824.870182,54000,301.892319
27,-827.982581,56000,312.97795099999996
28,-800.204821,58000,322.916306
29,-842.531966,60000,333.871774
30,-741.43881,62000,344.60302
31,-819.324117,64000,354.574077
32,-855.351475,66000,365.854669
33,-888.551801,68000,376.078165
34,-805.3930280000001,70000,385.82665299999996
35,-801.766196,72000,395.543708
36,-868.6135640000001,74000,405.538048
37,-971.7276519999999,76000,415.56865600000003
38,-852.1831390000001,78000,425.19629299999997
39,-775.5957129999999,80000,434.84986200000003
40,-916.9999859999999,82000,444.576994
41,-732.909331,84000,454.20037
42,-785.70715,86000,463.851567
43,-933.0172550000001,88000,473.515185
44,-846.661406,90000,483.159408
45,-928.8455039999999,92000,493.256436
46,-762.330604,94000,503.912468
47,-805.961257,96000,513.903929
48,-580.040629,98000,523.558722
49,-770.095246,100000,534.661386
50,-744.386938,102000,544.486003
51,-724.429597,104000,554.09495
52,-752.410305,106000,563.82207
53,-729.471192,108000,573.4396389999999
54,-924.028542,110000,583.530253
55,-807.242549,112000,593.303891
56,-950.10826,114000,603.046267
57,-751.702001,116000,612.744778
58,-805.699992,118000,622.401861
59,-602.824022,120000,632.158669
60,-563.23402,122000,641.7780349999999
61,-1061.43644,124000,652.6604309999999
62,-792.131971,126000,662.25337
63,-889.159809,128000,671.867383
64,-668.812304,130000,681.475914
65,-671.2616360000001,132000,691.143051
66,-608.1449150000001,134000,700.7678639999999
67,-543.086894,136000,710.427282
68,-1005.9680599999999,138000,721.327914
69,-1200.739031,140000,730.980068
70,-1151.082681,142000,742.056342
71,-1175.690161,144000,751.7139950000001
72,-639.014905,146000,761.8663019999999
73,-1088.735064,148000,772.174241
74,-757.144834,150000,782.641517
75,-521.96857,152000,792.577084
76,-597.871251,154000,803.711217
77,-886.7521730000001,156000,813.91656
78,-657.696066,158000,823.837105
79,-522.052032,160000,833.472936
80,-668.504329,162000,843.148415
81,-693.170737,164000,852.776275
82,-849.410371,166000,862.4121369999999
83,-949.656007,168000,872.0448130000001
84,-901.608298,170000,881.746327
85,-659.256355,172000,892.3146230000001
86,-787.366239,174000,901.9284529999999
87,-575.785046,176000,911.5703609999999
88,-1491.55795,178000,921.23147
89,-1630.351601,180000,930.89006
90,-949.997679,182000,940.548677
91,-1269.0275589999999,184000,950.236736
92,-805.475735,186000,959.9365779999999
