,r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
0,-795.038338,2000,13.168847,-0.049311724,-0.1916338,-0.08028529,-0.15936601,-0.17825359,0.084452994,0.19897392,-0.033696257,0.1576636,0.18933322
1,-739.240538,4000,27.56466,-0.051559493,-0.1961448,-0.07758201,-0.15125488,-0.1794032,0.083201446,0.19776684,-0.034759656,0.16814005,0.1950283
2,-832.553443,6000,40.482731,-0.05552031,-0.1904694,-0.024416868,-0.14647372,-0.20611565,0.0756368,0.1827278,-0.038027413,0.17286842,0.19667245
3,-1041.996607,8000,51.921203,-0.0627403,-0.18546507,0.034682147,-0.1499373,-0.22841191,0.07283582,0.17637466,-0.044140942,0.18749522,0.19887322
4,-467.141945,10000,62.83689,-0.0497641,-0.16306476,0.08314756,-0.168311,-0.21409895,0.09373886,0.16736613,-0.053113908,0.1903438,0.18440738
5,-1180.362398,12000,76.169877,-0.026283056,-0.119946174,0.08094962,-0.18178432,-0.1762956,0.08196408,0.16849485,-0.08275892,0.18580925,0.17898224
6,-892.990412,14000,87.216864,-0.007492157,-0.121037625,0.090433456,-0.15723303,-0.17503984,0.09141954,0.1752133,-0.0680343,0.20027746,0.18702987
7,-1451.750062,16000,99.920426,-0.013659212,-0.13464558,0.10503734,-0.13733667,-0.19260287,0.06684603,0.18688056,-0.06535401,0.19428462,0.20410664
8,-922.64899,18000,112.188664,-0.023991326,-0.12913834,0.10960007,-0.13308895,-0.19193633,0.085454404,0.19060005,-0.041052245,0.19722861,0.20628393
9,-446.511941,20000,123.69051,-0.017662631,-0.12872507,0.11621887,-0.13576627,-0.19528534,0.08326621,0.18644692,-0.02356005,0.19949494,0.20914681
10,-913.171797,22000,136.718983,-0.01406241,-0.122855455,0.11354373,-0.1320257,-0.18504222,0.090417095,0.19507885,-0.029992796,0.18701448,0.20506315
11,-958.133322,24000,148.35211,0.003070266,-0.124371365,0.1114711,-0.12153566,-0.17495103,0.10384852,0.21846284,-0.030648587,0.19362634,0.19866115
12,-1065.955339,26000,159.736413,-0.010764481,-0.12143136,0.10219749,-0.121645786,-0.16967,0.09406492,0.22607534,-0.038901635,0.19878544,0.19539881
13,-828.625044,28000,171.567258,0.000950877,-0.13343404,0.093829654,-0.107272215,-0.17891566,0.10170678,0.21979922,-0.049948666,0.20968086,0.19364867
14,-956.933005,30000,183.422725,-0.008587347,-0.14239277,0.08787448,-0.105289415,-0.18132132,0.10406034,0.22259662,-0.048898753,0.21474446,0.194476
15,-981.033589,32000,195.804784,0.003530977,-0.14717706,0.09497219,-0.09966931,-0.1729352,0.077547796,0.21527505,-0.038240783,0.2028274,0.19127798
16,-764.558421,34000,207.634793,0.023676308,-0.15666889,0.10244425,-0.101126276,-0.18697146,0.08340591,0.22269744,-0.04116008,0.1941983,0.19043963
17,-1040.114146,36000,221.811736,0.028586943,-0.16186547,0.11982692,-0.091656,-0.20487134,0.103617035,0.22633676,-0.042041153,0.18867432,0.1984051
18,-1467.965148,38000,234.916249,0.031345196,-0.17372191,0.1343568,-0.09724243,-0.20802388,0.12714082,0.2313585,-0.043092623,0.17985526,0.21818483
19,-916.360134,40000,246.420438,0.033529162,-0.18618359,0.14492348,-0.10613501,-0.18881138,0.14255375,0.24487989,-0.030348381,0.15773469,0.23183718
20,-1040.592595,42000,257.900926,0.03357278,-0.19961667,0.14498456,-0.09730102,-0.15446682,0.16733468,0.24558087,-0.013457272,0.14638446,0.23108608
21,-970.444367,44000,269.149859,0.03204721,-0.20690595,0.14181729,-0.08929188,-0.15436257,0.18422918,0.23750386,-0.016123002,0.14250454,0.23584229
22,-1173.417446,46000,280.508896,0.04637312,-0.20389555,0.1405385,-0.09825939,-0.17530437,0.17883733,0.24015258,-0.006276771,0.14822805,0.23714615
23,-389.926146,48000,291.64471,0.04730412,-0.20430963,0.1397509,-0.09641846,-0.18777846,0.16823037,0.24816702,0.000300751,0.14739619,0.24156953
24,-1352.968397,50000,305.388601,0.05262142,-0.2045334,0.14280179,-0.090069346,-0.18595202,0.15240678,0.24672408,-0.001219817,0.15344396,0.23983288
25,-1264.0694,52000,321.407805,0.052302293,-0.19697851,0.13196878,-0.08464168,-0.1747425,0.14733513,0.23597278,-0.009078478,0.15947297,0.2401838
26,-1058.486525,54000,336.840054,0.04513341,-0.19876522,0.12122379,-0.088924475,-0.16297905,0.15706752,0.23725127,-0.017975241,0.18889698,0.23833892
27,-1314.189251,56000,351.942948,0.042394858,-0.20685017,0.119616814,-0.086560465,-0.15607618,0.16938658,0.25696537,-0.017673468,0.23381019,0.23303619
28,-1312.552832,58000,366.350758,0.04431813,-0.22687894,0.116550475,-0.07654621,-0.14728726,0.18546152,0.26630658,-0.00592849,0.2505655,0.21376386
29,-1474.267178,60000,380.984563,0.013579541,-0.20737322,0.123288445,-0.08794011,-0.12870538,0.18955119,0.27295303,0.013246594,0.24816647,0.19711187
30,-891.319924,62000,394.476204,-0.005117383,-0.21692234,0.1405989,-0.095697165,-0.11474634,0.17400718,0.295171,0.01720115,0.21623278,0.19355461
31,-926.917298,64000,408.078471,-0.000120977,-0.21764804,0.15136231,-0.11729359,-0.09525954,0.19497097,0.2995899,0.03944775,0.19853155,0.1900519
32,-760.221967,66000,421.820471,-0.011921109,-0.22535372,0.16323179,-0.120213866,-0.08511412,0.20206667,0.29662964,0.051184054,0.16609676,0.19072962
33,-582.453559,68000,436.563935,-0.004392751,-0.22979912,0.16073821,-0.12051419,-0.08626483,0.21645379,0.27997932,0.058203906,0.13654841,0.19822441
34,-548.433502,70000,450.049457,-0.003575214,-0.24689458,0.16285749,-0.121015236,-0.09056732,0.22335847,0.26476958,0.054742176,0.09720192,0.19670181
35,-659.526575,72000,463.33138,0.004050179,-0.25409988,0.15879533,-0.12940168,-0.0991497,0.2099821,0.24313459,0.059322804,0.07819248,0.1992921
36,-547.193812,74000,477.238819,0.005261699,-0.26009902,0.1552871,-0.16449241,-0.123886816,0.20551431,0.23438719,0.05950557,0.07450415,0.19890583
37,-413.464176,76000,490.860607,0.005507348,-0.24735288,0.16020617,-0.18871713,-0.1303581,0.19787106,0.23497425,0.047276612,0.048432253,0.20501308
38,-742.181912,78000,503.908171,0.018546747,-0.23021872,0.1645515,-0.1758583,-0.12115899,0.18459016,0.243435,0.04340659,0.053463563,0.20565417
39,-532.976267,80000,516.824316,0.021665245,-0.22764216,0.17057282,-0.18118525,-0.12281351,0.16762681,0.25632793,0.042215306,0.058524147,0.21107453
40,-952.504431,82000,530.459858,0.042016044,-0.22843367,0.18182817,-0.17416634,-0.11945566,0.15265405,0.25172135,0.0462501,0.06314764,0.21128932
41,-930.81773,84000,544.400796,0.03830046,-0.21209264,0.19220561,-0.17290974,-0.122195125,0.13863572,0.25862336,0.043172833,0.004134816,0.21410456
42,-659.320437,86000,559.076148,0.034019522,-0.20702177,0.19831514,-0.17748132,-0.12409876,0.14520428,0.2524928,0.001442576,-0.047716115,0.21149376
43,-973.06483,88000,573.21557,0.04585834,-0.21305606,0.19433337,-0.18493879,-0.13242769,0.15481742,0.25008833,-0.005370433,-0.10905662,0.2100015
44,-1298.035975,90000,586.38989,0.043383658,-0.20035179,0.20165972,-0.20216021,-0.15855908,0.14982738,0.23913477,-0.001756417,-0.16215041,0.21908823
45,-840.703238,92000,600.209465,0.041993126,-0.18759188,0.2049288,-0.2019237,-0.17128938,0.13020025,0.23152576,-0.001932224,-0.17188385,0.23663524
46,-888.707302,94000,615.083206,0.05022059,-0.1853347,0.20548226,-0.1935295,-0.20210578,0.12053183,0.23973484,-0.003426492,-0.19103205,0.23656604
47,-308.928498,96000,629.514887,0.044682976,-0.16964309,0.20354426,-0.17916764,-0.20819116,0.123193815,0.22561805,-0.033538453,-0.17572549,0.23496617
48,-273.682932,98000,644.405344,0.048882324,-0.20032556,0.2083083,-0.15440822,-0.20935859,0.14354827,0.22012196,-0.04598976,-0.16160075,0.24462388
49,-228.887831,100000,659.895155,0.054392226,-0.2126837,0.21423075,-0.106169865,-0.2745618,0.14484933,0.22070925,-0.046684872,-0.15046594,0.24783899
50,-374.495675,102000,677.193158,0.06534573,-0.2040702,0.21110478,-0.11263031,-0.32301763,0.16212033,0.23073901,-0.039883584,-0.16938739,0.26080665
51,-690.444133,104000,691.274516,0.065371364,-0.23806646,0.21242468,-0.12652077,-0.32910085,0.17881088,0.24054351,-0.026601631,-0.167456,0.2618535
52,-773.184454,106000,706.66455,0.051162444,-0.22572486,0.21150029,-0.11897433,-0.31586826,0.18768401,0.23334911,-0.03574334,-0.20562038,0.24717933
53,-594.813929,108000,720.521606,0.03587735,-0.21809897,0.20343502,-0.11197513,-0.33423725,0.17928848,0.22590564,-0.020017603,-0.1839241,0.24315263
