,r,l,t
0,-1112.127432,2000,18.663101
1,-963.7276720000001,4000,46.58538
2,-1066.11032,6000,60.907817
3,-1111.900865,8000,74.140173
4,-785.340469,10000,86.600827
5,-451.35709299999996,12000,102.43249399999999
6,-1133.2760369999999,14000,118.83291299999999
7,-1026.2986640000001,16000,131.15893799999998
8,-861.212338,18000,142.629678
9,-951.161589,20000,155.726923
10,-1099.9602289999998,22000,166.885634
11,-1191.3985050000001,24000,178.470485
12,-734.281087,26000,190.22563200000002
13,-471.747862,28000,202.50540800000002
14,-716.2617,30000,214.45382
15,-601.90129,32000,227.132527
16,-1152.340289,34000,239.21054900000001
17,-613.308075,36000,250.59233500000002
18,-638.705968,38000,261.03162000000003
19,-992.0055449999999,40000,271.896118
20,-876.5337720000001,42000,281.948863
21,-620.275295,44000,292.027975
22,-749.654818,46000,305.052992
23,-633.81418,48000,319.558117
24,-1113.529405,50000,332.463193
25,-1047.034927,52000,344.595074
26,-525.426733,54000,357.057302
27,-878.9581220000001,56000,369.888671
28,-1075.1585220000002,58000,380.30627000000004
29,-736.63874,60000,392.494809
30,-712.0506389999999,62000,405.721747
31,-1100.7089230000001,64000,418.230102
32,-1120.7729279999999,66000,431.93136
33,-1107.240505,68000,443.998394
34,-1044.873462,70000,456.14893499999994
35,-788.385479,72000,467.16430099999997
36,-1038.3689570000001,74000,477.545191
37,-1023.757018,76000,488.061518
38,-624.866772,78000,499.81167400000004
39,-527.207942,80000,512.1299339999999
40,-508.104197,82000,523.6473940000001
41,-563.026571,84000,535.100123
42,-646.292395,86000,547.131168
43,-784.588963,88000,557.5265730000001
44,-715.068634,90000,567.672129
45,-970.6960550000001,92000,577.815249
46,-484.81307300000003,94000,587.8512860000001
47,-752.2875429999999,96000,598.03747
48,-520.9687690000001,98000,608.177526
49,-298.09369300000003,100000,618.370338
50,-514.876554,102000,629.676096
51,-691.52121,104000,640.0100679999999
52,-1068.19586,106000,650.172906
53,-1132.0279,108000,661.83136
54,-240.53945699999997,110000,674.5010110000001
55,-623.029962,112000,688.966901
56,-251.057683,114000,702.023826
57,-1090.262488,116000,715.22596
58,-354.341197,118000,727.651962
59,-1043.541992,120000,740.825242
60,-450.321868,122000,753.284936
61,-626.485625,124000,765.983437
62,-327.788921,126000,778.965935
63,-246.027566,128000,791.786633
64,-253.71851800000002,130000,804.4632849999999
65,-831.089478,132000,815.691337
66,-280.876219,134000,826.026057
67,-365.763427,136000,835.997
