,r,l,t
0,-1864.019668,2000,15.605897
1,-1725.6576059999998,4000,30.334032
2,-1690.141448,6000,42.281797
3,-1696.403533,8000,53.194714000000005
4,-1454.653736,10000,63.067941000000005
5,-1730.2767170000002,12000,74.129451
6,-1827.8350879999998,14000,83.935466
7,-1804.363626,16000,93.964917
8,-1741.9916690000002,18000,104.026519
9,-1548.6539109999999,20000,114.128579
10,-1796.674411,22000,124.114325
11,-1572.939103,24000,134.293514
12,-1527.448553,26000,144.104894
13,-1664.910704,28000,154.33123899999998
14,-1649.100852,30000,164.322306
15,-1750.410161,32000,174.13611799999998
16,-1503.257776,34000,184.039779
17,-1496.4589330000001,36000,193.81624399999998
18,-1390.272739,38000,203.666273
19,-1682.6066420000002,40000,214.563098
20,-1367.4359029999998,42000,224.54803700000002
21,-1686.086876,44000,235.46896
22,-1554.093575,46000,245.32008399999998
23,-1675.0285609999999,48000,255.224456
24,-1681.206532,50000,265.016919
25,-1714.293909,52000,274.971274
26,-1538.310898,54000,284.9503
27,-1807.4467550000002,56000,295.09756400000003
28,-1395.966219,58000,305.036358
29,-1309.605755,60000,314.949268
30,-1701.636398,62000,326.243562
31,-1729.972795,64000,336.021247
32,-1287.7478859999999,66000,345.64646400000004
33,-1363.5761519999999,68000,356.511538
34,-1485.990529,70000,366.139197
35,-1339.533791,72000,376.115905
36,-1788.725841,74000,385.953352
37,-1550.540883,76000,395.984774
38,-1454.539223,78000,406.191808
39,-1573.332077,80000,416.077427
40,-1474.0049980000001,82000,426.0205
41,-1623.6036119999999,84000,435.696508
42,-1613.055488,86000,445.810986
43,-1421.275699,88000,455.691546
44,-1506.480361,90000,465.559152
45,-1441.0723970000001,92000,475.56066699999997
46,-1407.829948,94000,485.204675
47,-1266.609791,96000,495.08732599999996
48,-1292.8860140000002,98000,506.194188
49,-1287.045051,100000,515.847078
50,-1173.099177,102000,525.985927
51,-1237.038463,104000,537.035942
52,-1253.083778,106000,547.034189
53,-1366.163322,108000,556.80243
54,-1356.848657,110000,566.7929519999999
55,-1346.045521,112000,576.8232230000001
56,-1319.8526279999999,114000,586.672018
57,-1588.712775,116000,596.708741
58,-1305.792657,118000,606.746299
59,-1454.151418,120000,616.733519
60,-1510.393936,122000,626.772907
61,-1629.693614,124000,636.616443
62,-1538.276515,126000,646.8071480000001
63,-1322.2249539999998,128000,656.695209
64,-1526.169808,130000,666.57387
65,-1305.3619310000001,132000,676.295773
66,-1526.510356,134000,686.610638
67,-1150.442714,136000,696.496264
68,-1292.594562,138000,707.579427
69,-1279.21269,140000,717.4354599999999
70,-1118.5063109999999,142000,727.4966509999999
71,-1571.952731,144000,738.703394
72,-1661.06609,146000,748.844531
73,-1693.123993,148000,758.585383
74,-1064.805184,150000,768.628861
75,-1511.3962279999998,152000,779.567768
76,-1469.288098,154000,789.331417
77,-1407.375424,156000,799.470604
78,-1385.491921,158000,809.259379
79,-1406.3307539999998,160000,819.263991
80,-1288.7145779999998,162000,829.161213
81,-1270.487419,164000,838.809439
82,-1402.166002,166000,848.5560310000001
83,-1504.666719,168000,858.898056
84,-1409.572523,170000,868.905023
85,-1295.94099,172000,878.751268
86,-1749.104448,174000,889.0086140000001
87,-1601.673505,176000,899.0219519999999
88,-1427.482684,178000,908.864883
89,-1668.294674,180000,918.589817
90,-1371.703414,182000,928.2819810000001
