,r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
0,-1666.7023900000002,2000,15.959845999999999,0.21896093,0.03259591,-0.12183598400000001,0.16631244,0.20571756,0.07706080400000001,0.20921859,-0.16296951,0.29270630000000003,0.10827864
1,-1485.7127380000002,4000,36.75743,0.21186633,0.031477887,-0.12716092,0.14859046,0.19114704,0.10009799,0.1966817,-0.16229567,0.2968635,0.10269991
2,-809.22642,6000,54.37498299999999,0.23255968,-0.011752132,-0.13331403,0.15147655,0.2047591,0.12133913,0.19561066,-0.15282097,0.3193611,0.099700645
3,-1441.7695410000001,8000,71.302941,0.25483520000000004,-0.010422479,-0.13971660000000002,0.15096745,0.17262223,0.10422468,0.2050814,-0.14274059,0.26584563,0.07389565599999999
4,-1058.242651,10000,87.11296899999999,0.24295788,-0.019419415,-0.12763523,0.13520192,0.16088147,0.051555447000000004,0.17921436,-0.12451549599999999,0.28264847,0.06898254
5,-1244.513206,12000,102.935627,0.3030792,-0.016560411,-0.12574296,0.12841803,0.23529913,0.08216354,0.14754386,-0.109901175,0.1902135,0.09412795
6,-1632.802412,14000,118.746407,0.35985824,-0.022023803999999998,-0.16750576,0.12723817,0.23284765,0.092858985,0.14420348,-0.16474043,0.1924154,0.039963633
7,-1731.75164,16000,134.550202,0.37438017,-0.017279252,-0.19520834,0.08206876,0.19585665,0.08756973,0.16062732,-0.16188096,0.21615976,-0.044561777000000004
8,-1280.6977789999999,18000,150.498149,0.35147086,-0.018702298,-0.20642973,0.07367851,0.20706184,0.07994946,0.16616799,-0.13941413,0.28000662,-0.10772674
9,-1408.465797,20000,166.416952,0.35679004,-0.029767089,-0.2039545,0.065010235,0.25224602,0.014917139,0.15230782,-0.10101242,0.3291631,-0.135732
10,-1032.6001099999999,22000,182.347182,0.34765548,-0.052175152999999995,-0.18063898,0.056345097999999996,0.21316662,-0.039943665,0.12459842,-0.07168838,0.34650055,-0.20091425
11,-712.6688389999999,24000,198.258205,0.33911872,-0.016210979,-0.14704283,0.09636157,0.2506713,-0.05259343,0.100393064,-0.04439716,0.30333707,-0.25703168
12,-858.1666359999999,26000,215.395396,0.3109145,0.01965139,-0.12961246,0.12456151,0.26745635,-0.021964228,0.094421424,-0.048442032,0.28477886,-0.25371438
13,-1429.666878,28000,231.360673,0.30979446,-0.0027124262,-0.10031731,0.10771321,0.24521083,-0.031104654,0.05087885,-0.042700212,0.271049,-0.21780615
14,-754.177554,30000,248.01092799999998,0.30806214,-0.012276328999999999,-0.12693739,0.08001548,0.2378631,-0.042123735,0.07515804,-0.04811942599999999,0.24094813,-0.1857346
15,-1432.505983,32000,265.12674100000004,0.29688737,-0.02174476,-0.1477605,0.0860744,0.22055306,-0.057973772,0.026880407999999998,-0.046533696,0.25136057,-0.23496084
16,-554.1633870000001,34000,281.475103,0.30990034,-0.05605918,-0.14850235,0.100797944,0.2297085,-0.081400946,-0.005602731999999999,-0.015631322,0.2902788,-0.24465084
17,-1344.653657,36000,299.221348,0.31575879999999995,-0.053671118,-0.1587616,0.09094592,0.23208441,-0.14150478,-0.030540401000000002,-0.005796475,0.30646253,-0.25053668
18,-1586.264675,38000,314.596775,0.30344117,-0.02235726,-0.15768151,0.08851651,0.22502893,-0.21056354,-0.01541513,0.014055113999999999,0.33727315,-0.25683835
19,-729.346774,40000,329.908402,0.2791075,0.02855224,-0.18741202,0.10203504,0.23833434,-0.23716602,0.012966763999999999,0.010615571,0.36723685,-0.23222436
20,-1360.589553,42000,346.020669,0.25009474,0.045024395,-0.17813428,0.10770671,0.25441435,-0.21155618,0.028111761000000002,-0.015048718999999999,0.4060417,-0.19540009
21,-996.738116,44000,361.882438,0.22893968,0.024245802,-0.15748122,0.13653795,0.2624038,-0.17792077,0.019683264,-0.019784616,0.4310145,-0.15522885
22,-799.8243190000001,46000,377.22885,0.25490028,0.015384179,-0.19335184,0.14404720000000001,0.314209,-0.16205256,0.032187503,-0.012048453,0.43666279999999996,-0.14767331
23,-1588.551417,48000,392.53522000000004,0.26910704,0.0012078297,-0.24103795,0.13306499,0.37310040000000005,-0.16625029,0.077890426,-0.011178057,0.42503285,-0.18540801
24,-725.638617,50000,407.912698,0.26267729999999995,-0.012329251000000001,-0.22474319,0.120307766,0.39929509999999996,-0.19532607,0.06769652,0.02665732,0.44247025,-0.23228583
25,-860.956043,52000,423.28742300000005,0.24029544,-0.002382366,-0.25748038,0.16255157,0.3421165,-0.27295262,0.03408046,0.07057082,0.4779244000000001,-0.23211853
26,-565.0632870000001,54000,438.73004800000007,0.23969169999999998,-0.03634262,-0.22349283,0.20704906,0.28256935,-0.26095694,0.008198989,0.06197211,0.5016744000000001,-0.24006079999999996
27,-999.5837300000001,56000,454.081959,0.16932763,-0.046877373,-0.26365128,0.23398516,0.29190096,-0.26001072,-0.022210607,0.06365571,0.5305745,-0.22031802
28,-1412.834651,58000,469.42048600000004,0.04446758,-0.033245865,-0.22050655,0.23576889999999998,0.31273425,-0.23633271,-0.04253786,0.06291062,0.55274993,-0.23224984
29,-751.75085,60000,484.824476,0.031267904,-0.045638345,-0.19095191,0.20064674,0.32744864,-0.18099537,-0.05244018,0.08320629,0.5692233,-0.25912434
30,-613.175865,62000,501.147988,0.15122433,-0.04960601,-0.16772954,0.14380674,0.33248356,-0.123375185,-0.046016783,0.07639135,0.5788798,-0.28562468
31,-820.198853,64000,517.3223730000001,0.29454583,-0.0086335745,-0.17065006,0.111771315,0.3601728,-0.049518168,-0.089231126,0.0075079794,0.5830831,-0.22456454
32,-1144.999831,66000,533.551773,0.31100142,-0.017792396000000002,-0.15916517,0.052037317,0.39014899999999997,0.061397888,-0.09780286,0.03803859,0.5787230999999999,-0.23536201
33,-1102.2705970000002,68000,549.793509,0.28928247,-0.08474854,-0.20611215,-0.01842099,0.42885852,0.0628587,-0.08068368599999999,0.0851232,0.5787406999999999,-0.23890892
34,-1460.3360599999999,70000,567.510075,0.28418857,-0.07967039,-0.21581128,-0.16860324,0.40482867,0.07174760000000001,-0.080513,0.1542343,0.59016937,-0.25003338
35,-1352.654759,72000,583.9699049999999,0.22026788,-0.11998006,-0.24192144,-0.28019622,0.40577197,0.115262195,-0.07377732,0.19925842,0.599426,-0.23410036
36,-1094.511676,74000,600.3686230000001,0.20165113,-0.14860426,-0.25600722,-0.23884635,0.4269173,0.1466221,-0.08085622,0.22428788,0.5747318,-0.22414365
37,-1240.1739810000001,76000,616.4789969999999,0.18990019,-0.19378191,-0.2676775,-0.21008000000000002,0.45637184,0.14559665,-0.08265012,0.27141827,0.5439888,-0.19417906
38,-819.8661900000001,78000,633.195148,0.19753106,-0.21449809,-0.2640396,-0.3411875,0.45185393,0.09539743,-0.07723092,0.30775732,0.5037099,-0.17014696
39,-1269.376908,80000,649.456362,0.30937657,-0.23919725,-0.24279048,-0.37741977,0.45285654,0.059525665,-0.05725912,0.32029858,0.46274558,-0.16929758
40,-808.633317,82000,665.8071190000001,0.29545173,-0.2343312,-0.26374993,-0.49466792,0.4318366,0.08167573,-0.07383908,0.34365663,0.4290069,-0.19753908
41,-816.214177,84000,682.156145,0.23811251,-0.20123805,-0.20848079,-0.5014459,0.40758717,0.08453105,-0.09881051,0.37618938,0.3874448,-0.18937112
42,-683.535409,86000,698.618251,0.098447606,-0.13235712,-0.16429967,-0.42290896,0.36056859999999996,0.10993412,-0.13206086,0.39213744,0.3626717,-0.18672203
43,-1041.316578,88000,715.465613,0.03317411,-0.090984575,-0.067761175,-0.36777908,0.36165917,0.14280257,-0.14974678,0.37463853,0.36726946,-0.19566774
44,-1093.727792,90000,732.2131509999999,-0.01792206,-0.040673352999999995,-0.06333937,-0.30263343,0.37753204,0.16969329,-0.17940529,0.32414383,0.3764807,-0.23855448
45,-990.51456,92000,748.59968,-0.015753253999999998,-0.022245852000000003,-0.07982626599999999,-0.34570345,0.40030602,0.16948357,-0.21725087,0.2779379,0.3742876,-0.28519592
46,-670.359715,94000,765.021884,0.002440365,0.09548643,-0.06345717,-0.37489647,0.41010994,0.14002395,-0.23671125,0.29077992,0.37098990000000004,-0.3430534
47,-969.1620439999999,96000,781.442018,0.026642572000000003,0.17655374,0.026655452000000003,-0.45648623,0.40875593,0.1780722,-0.25140205,0.30615549999999997,0.37661645,-0.38731659999999996
48,-785.962001,98000,797.989057,0.056963332,0.1805465,0.029749428999999997,-0.4968101,0.40532482,0.18504533,-0.2430781,0.29861709999999997,0.39687338,-0.4208738
49,-874.4135460000001,100000,815.222137,0.041737712999999996,0.18295322,0.012131542,-0.35805690000000007,0.38686666,0.2299235,-0.2857011,0.30008190000000007,0.39092696,-0.4276848
50,-770.19246,102000,830.8697990000001,0.1289738,0.18948685,-0.035306792999999996,-0.28721690000000005,0.3741719,0.28187138,-0.33054462,0.34190688,0.36486426,-0.41114488
51,-706.913112,104000,846.81851,0.10436423,0.15962914,-0.076201685,-0.26746790000000004,0.34322125,0.3026098,-0.32080364,0.46483317,0.32814172,-0.44816262
52,-852.5325970000001,106000,862.829907,0.13322829,0.10480692,-0.12035755,-0.3811676,0.3614615,0.2704156,-0.30622464,0.45942268,0.29497868,-0.46922097
53,-883.8252349999999,108000,878.574923,0.1175075,0.06256055,-0.14374238,-0.47238654,0.37566718,0.2534771,-0.32215998,0.43491557,0.26626143,-0.49386844
54,-991.4512119999999,110000,894.705168,0.10661247,-0.003956442,-0.20718893,-0.5093994000000001,0.35269085,0.2885394,-0.35216767,0.40559778,0.23300427,-0.49169890000000005
55,-1364.829725,112000,910.522565,0.11818235,0.005036154,-0.25573328,-0.49787167,0.33656478,0.37223393,-0.3809368,0.37730490000000005,0.20834546,-0.5032778
56,-920.275003,114000,926.3058050000001,0.22124214,0.05673707,-0.3536269,-0.43209192,0.29218584,0.42057598,-0.42436785,0.35613418,0.20488349,-0.5298034
57,-1006.0002939999999,116000,942.08955,0.27838486,0.07912102,-0.4131951,-0.5009364000000001,0.28105018,0.45896214,-0.45025238,0.32502708,0.20542622,-0.529216
58,-598.558456,118000,957.9882230000001,0.35931292,0.12480365,-0.49436080000000004,-0.5349361,0.27463943,0.5186912,-0.4581854,0.30487898,0.2007118,-0.565041
59,-1063.401306,120000,976.27046,0.36982736,0.114820935,-0.5658561,-0.5292013000000001,0.28098243,0.52244836,-0.46162212,0.30468693,0.17958798,-0.60505325
60,-630.4717860000001,122000,993.173784,0.49875826,0.04763867,-0.5715885,-0.4613573,0.32761386,0.4677635,-0.48913932,0.23136407,0.18591803,-0.6273928000000001
61,-730.148684,124000,1010.824065,0.48279777,-0.04403884,-0.5538853,-0.47327912,0.331024,0.4397017,-0.5344269,0.20771793,0.19169521,-0.6683697
62,-711.849979,126000,1030.0776230000001,0.47136897,-0.10633456,-0.5634178000000001,-0.3618746,0.3055094,0.40006995,-0.5883181,0.18141614,0.20798999,-0.6909866
63,-881.0956140000001,128000,1046.4837519999999,0.4931932,-0.15469977,-0.61498326,-0.23675835,0.27591643,0.3965778,-0.6899724,0.15181035,0.19472434,-0.71709156
64,-750.45891,130000,1063.205419,0.54375696,-0.17468408,-0.6711851,-0.05993575599999999,0.28963074,0.39703608,-0.76460195,0.11461743,0.17617923,-0.7470939
65,-681.248387,132000,1080.13241,0.5608833000000001,-0.19552554,-0.67206913,0.012234308000000001,0.35337399999999997,0.39860603,-0.8902101,0.10237994,0.16068046,-0.744251
66,-903.7514769999999,134000,1098.2631039999999,0.5030609,-0.12661467,-0.72161144,-0.054759018,0.43802032,0.3799875,-1.0198034,0.08610004,0.1731016,-0.7198264
67,-600.751741,136000,1114.579314,0.50351,-0.1255521,-0.708906,-0.08589981,0.50542635,0.38530934,-1.1195478,0.0025139364999999998,0.17975473,-0.68838227
68,-930.989858,138000,1131.60107,0.5679758,-0.09596342599999999,-0.60648906,-0.13677895,0.54545313,0.38331103,-1.1978751,-0.04718228,0.14663601,-0.6765878000000001
69,-1260.098806,140000,1147.89329,0.64868665,-0.14174974,-0.40557218,-0.1651636,0.5382852,0.32143548,-1.1408831,-0.15856576,0.12913059,-0.61142653
70,-1485.3266720000001,142000,1165.436266,0.6857079,-0.24721579999999999,-0.33396548,-0.21065459,0.5216287000000001,0.302274,-1.0955198,-0.2680317,0.11089949999999998,-0.61861575
71,-1053.547444,144000,1181.56802,0.65940326,-0.20882578,-0.25953504,-0.30048653,0.5281866,0.28919962,-1.0239671000000001,-0.32520476,0.09811510000000001,-0.6496406
72,-1548.897494,146000,1197.628044,0.6250155,-0.20950511,-0.18582767,-0.34972182,0.5630153,0.21180566,-0.9613033999999999,-0.2835395,0.08719016,-0.7173925
73,-688.8979429999999,148000,1213.691023,0.7215775999999999,-0.21819989999999997,-0.17000733,-0.25882736,0.57947433,0.17283393,-0.91057736,-0.16549294,0.07064047,-0.8636089
74,-926.364051,150000,1229.664221,0.77288514,-0.24842937,-0.29692748,-0.20381258,0.57334286,0.13317624,-0.89239216,0.00829078,0.08295266,-0.9811511
75,-949.2985779999999,152000,1245.675449,0.7372571,-0.30702052,-0.30596432,-0.15725315,0.5713767,0.15263428,-0.8306809,0.012123402,0.07916039999999999,-1.0037473
