,r,l,t
0,-1726.427146,2000,21.529574
1,-1710.0418899999997,4000,39.854378999999994
2,-1549.478284,6000,56.890919999999994
3,,754000,6417.950225
4,-570.969998,756000,6433.279754
5,-492.336575,758000,6448.280140999999
6,-1108.232919,760000,6463.016746
7,-1215.4607720000001,762000,6476.808231
8,-585.275896,764000,6489.026478
9,-508.351766,766000,6500.873705
10,-617.201333,768000,6513.253974
11,-864.899207,770000,6524.6950130000005
12,-587.1192570000001,772000,6537.538966
13,-586.484155,774000,6550.768997
14,-1567.602292,776000,6563.480145
15,-1142.44594,778000,6576.443233
16,-482.90200899999996,780000,6589.48011
17,-808.109887,782000,6602.106342
18,-453.435947,784000,6613.55643
19,-435.437577,786000,6626.501626
20,-1055.824425,788000,6638.323950999999
21,-547.860142,790000,6650.192711
22,-1046.332852,792000,6662.1970200000005
23,-1762.745498,794000,6674.854475
24,-509.41765,796000,6686.609846
25,-1324.060213,798000,6698.774920000001
26,-590.49305,800000,6710.856091
27,-1674.0190810000001,802000,6722.979590999999
28,-1373.2088800000001,804000,6734.801037
29,-1459.811491,806000,6747.635328
30,-1012.158348,808000,6759.810640000001
31,-1143.648041,810000,6771.761920999999
32,-1685.8694870000002,812000,6783.036367000001
33,-1068.009659,814000,6794.7770040000005
34,-1493.534594,816000,6805.816527
35,-534.936476,818000,6817.21615
36,-1353.681346,820000,6828.532740000001
37,-760.007671,822000,6840.64529
38,-1541.714696,824000,6852.7841849999995
39,-488.322755,826000,6865.004137999999
40,-537.906421,828000,6876.929153
41,-1302.942204,830000,6889.672172
42,-1393.459838,832000,6901.738270999999
43,-1668.2238830000001,834000,6913.788081999999
44,-1058.373898,836000,6925.776909
45,-1483.81599,838000,6937.295056
46,-1561.602336,840000,6949.046618
47,-1584.9301710000002,842000,6960.058723
48,-1067.1165230000001,844000,6971.570139
49,-765.525255,846000,6983.46385
50,-1563.9132849999999,848000,6995.421635
51,-1636.639617,850000,7007.358614
52,-1084.202337,852000,7019.348597
53,-1573.025322,854000,7031.374194
54,-1147.757708,856000,7043.004192
55,-1197.770433,858000,7054.581447
56,-1202.028223,860000,7066.462503
57,-1598.217979,862000,7078.389256
58,-1564.203202,864000,7090.307827
59,-1196.798926,866000,7102.12228
60,-621.318845,868000,7113.662168000001
61,-864.9756679999999,870000,7125.484562999999
62,-756.217882,872000,7138.206495
63,-1005.0801240000001,874000,7150.943265000001
64,-1113.1739220000002,876000,7162.655581
65,-1442.833196,878000,7175.879856999999
66,-1519.771442,880000,7188.8233900000005
67,-827.727072,882000,7201.654108
68,-1204.764748,884000,7214.250738
69,-1302.0155220000001,886000,7226.354592000001
70,-1677.554895,888000,7239.228222
71,-1149.9293630000002,890000,7250.965794
72,-1183.696238,892000,7264.311879999999
73,-1650.776656,894000,7275.915381999999
74,-899.538742,896000,7288.285836
75,-614.713804,898000,7300.842285
76,-1156.861339,900000,7312.436286
77,-1489.229302,902000,7322.772839
78,-1049.310218,904000,7333.046170999999
79,-604.11962,906000,7344.323195
80,-1244.7753380000001,908000,7355.886113
81,-568.10838,910000,7367.755420999999
82,-1136.7429869999999,912000,7378.640525
83,-609.7020269999999,914000,7389.59155
84,-527.9452349999999,916000,7400.853023999999
85,-542.984213,918000,7412.3876549999995
86,-919.4645869999999,920000,7423.859190000001
87,-431.13656900000007,922000,7435.634212999999
88,-484.387962,924000,7447.420327
89,-420.118224,926000,7459.890101000001
90,-952.6119470000001,928000,7471.426520999999
91,-422.376804,930000,7483.812969
92,-525.069345,932000,7494.764225
93,-416.872094,934000,7506.360014
94,-516.8576419999999,936000,7516.709481
95,-428.784605,938000,7527.5208569999995
96,-539.258776,940000,7538.781339
97,-512.739595,942000,7549.936119
98,-999.542342,944000,7560.044017
99,-475.398203,946000,7569.99648
100,-585.741253,948000,7580.649268000001
101,-599.457058,950000,7591.807206
102,-1139.614979,952000,7602.745375
103,-1731.937977,954000,7613.09269
104,-1031.104187,956000,7623.382256
105,-1648.442751,958000,7633.938077
106,-820.124885,960000,7644.120129999999
107,-1071.956943,962000,7654.56577
108,-470.382205,964000,7664.957093000001
109,-483.68134699999996,966000,7676.111962999999
110,-450.68598,968000,7687.428344
111,-599.874278,970000,7698.877904000001
112,-1007.215909,972000,7710.657163
113,-888.5560820000001,974000,7721.941317
114,-461.53087400000004,976000,7733.323776
115,-485.47539000000006,978000,7745.17148
116,-1126.587988,980000,7756.119287
117,-973.189308,982000,7767.802705
118,-602.103426,984000,7779.152593000001
119,-1263.231625,986000,7790.185023
120,-591.0570190000001,988000,7802.144523999999
121,-746.974636,990000,7813.314579000001
122,-1094.55159,992000,7825.027683
123,-1055.089575,994000,7836.243205
124,-1156.442276,996000,7847.043234000001
125,-1182.147547,998000,7857.425555
126,-1178.869597,1000000,7867.755964
