,r,l,t
0,-1506.577599,2000,18.346532
1,-941.4032699999999,4000,36.890769
2,-1623.149122,6000,53.86493000000001
3,-1523.256477,8000,68.257632
4,-1445.87035,10000,82.69260200000001
5,-1322.421072,12000,97.09599200000001
6,-1094.3254960000002,14000,111.59389399999999
7,-1154.240565,16000,126.785053
8,-651.377015,18000,142.02424299999998
9,-744.357521,20000,158.6601
10,-1269.874698,22000,173.363945
11,-923.659259,24000,187.86981
12,-1271.7997070000001,26000,202.58438999999998
13,-861.5542029999999,28000,217.181702
14,-1305.384564,30000,231.85925
15,-1114.045656,32000,246.69192
16,-766.16223,34000,261.231792
17,-554.761378,36000,276.689995
18,-1404.414025,38000,293.923773
19,-1253.223958,40000,308.519131
20,-1160.982565,42000,323.097271
21,-667.596538,44000,337.723576
22,-1348.0636769999999,46000,352.158417
23,-824.23416,48000,366.645706
24,-808.1907309999999,50000,381.21215
25,-959.928,52000,396.246212
26,-1046.636688,54000,411.022434
27,-1350.061516,56000,425.750804
28,-1341.534428,58000,440.694774
29,-1015.008065,60000,456.63555599999995
30,-955.218699,62000,471.700813
31,-1198.18498,64000,487.91204400000004
32,-1017.78975,66000,502.40282
33,-613.04309,68000,518.615707
34,-642.858338,70000,533.815216
35,-598.947016,72000,549.501635
36,-899.491205,74000,564.342837
37,-906.924868,76000,581.3708
38,-1463.956553,78000,597.40105
39,-1169.095334,80000,613.893592
40,-994.624541,82000,630.0112839999999
41,-623.8556150000001,84000,645.849815
42,-972.5260279999999,86000,663.316617
43,-920.6533699999999,88000,678.195473
44,-791.5359269999999,90000,692.577438
45,-1211.492685,92000,706.8382650000001
46,-1057.674506,94000,721.946071
47,-754.9622410000001,96000,738.642826
48,-1128.189225,98000,754.196512
49,-761.818969,100000,769.584691
50,-1052.152187,102000,784.765474
51,-1084.66797,104000,799.832307
52,-1247.917558,106000,815.46997
53,-988.531239,108000,831.179593
54,-1011.830499,110000,848.209823
55,-972.3966109999999,112000,863.659839
56,-703.9348570000001,114000,878.941905
57,-693.885954,116000,894.055067
58,-1081.641204,118000,909.27943
59,-763.457678,120000,924.7311810000001
60,-1088.066686,122000,941.2058
61,-1091.060193,124000,956.5634630000001
62,-533.104329,126000,971.746493
63,-653.703399,128000,988.8398880000001
64,-575.6895910000001,130000,1004.175974
65,-626.515628,132000,1019.789839
66,-848.6671699999999,134000,1034.419185
67,-1234.1061869999999,136000,1049.367868
68,-955.045636,138000,1063.655116
69,-1143.838631,140000,1077.9707210000001
70,-1003.8304400000001,142000,1093.781891
71,-1284.957919,144000,1109.692425
72,-659.704993,146000,1124.7743050000001
73,-1006.3298699999999,148000,1139.108815
74,-578.946158,150000,1153.602306
75,-1163.511111,152000,1167.8743769999999
76,-710.907191,154000,1183.320091
77,-1108.949111,156000,1198.479445
78,-1016.84369,158000,1213.708556
79,-1174.3414400000001,160000,1228.836822
80,-1279.887911,162000,1243.960225
81,-659.133079,164000,1258.892807
82,-597.946639,166000,1274.036799
83,-1277.134478,168000,1289.032068
84,-816.51234,170000,1304.043502
85,-681.8307269999999,172000,1318.984864
86,-537.418128,174000,1334.002642
87,-576.228076,176000,1348.9081210000002
88,-630.960137,178000,1364.012178
89,-771.44032,180000,1378.544818
90,-875.6569470000001,182000,1392.7964539999998
91,-642.814424,184000,1407.418134
92,-796.5884639999999,186000,1422.4545859999998
93,-894.825984,188000,1438.7378119999998
94,-601.841266,190000,1453.185748
95,-1113.485027,192000,1467.808462
96,-838.011876,194000,1482.450931
97,-911.777845,196000,1499.2981630000002
98,-1.0,198000,1513.4909519999999
99,,4302000,26294.022766
100,-428.787217,4304000,26309.093553
101,-572.202893,4306000,26325.04653
102,-517.851726,4308000,26340.138481
103,-420.289841,4310000,26354.646769
104,-556.951655,4312000,26369.002728
105,-464.88981900000005,4314000,26383.392664
106,-440.776715,4316000,26397.85354
107,-471.23263,4318000,26412.437647
108,-426.007066,4320000,26428.07239
109,-476.26521399999996,4322000,26442.787655
110,-519.048417,4324000,26457.596908
111,-478.63694699999996,4326000,26472.036814
112,-476.63136399999996,4328000,26486.601951
113,-532.7961799999999,4330000,26501.276089
114,-545.685773,4332000,26515.873480000002
115,-594.27224,4334000,26530.470999
116,-565.5175230000001,4336000,26545.336787
117,-507.07429800000006,4338000,26560.307243
118,-784.003673,4340000,26575.720922
119,-487.736348,4342000,26590.673866
120,-600.595695,4344000,26605.238183
121,-475.908285,4346000,26619.6766
122,-851.605489,4348000,26634.319396000003
123,-610.662544,4350000,26648.670813999997
124,-1674.945433,4352000,26663.207212999998
125,-1230.849726,4354000,26677.925425
126,-787.052789,4356000,26692.943873
127,-476.671268,4358000,26707.679119999997
128,-509.070455,4360000,26722.702857
129,-487.096414,4362000,26737.283506
130,-521.258403,4364000,26753.407908
131,-510.00556500000005,4366000,26769.730661
132,-856.083501,4368000,26784.351619
133,-446.826045,4370000,26799.467053
134,-436.84355700000003,4372000,26815.439314
135,-575.7338,4374000,26830.601659
136,-550.91819,4376000,26846.141022000003
137,-511.42440899999997,4378000,26862.051613
138,-428.63349900000003,4380000,26878.078424
139,-584.818929,4382000,26894.844928
140,-449.814152,4384000,26910.839400999997
141,-552.3228280000001,4386000,26926.457239999996
142,-459.34226399999994,4388000,26942.083106000002
143,-641.626754,4390000,26959.092698
144,-609.127575,4392000,26973.934533999996
145,-556.398746,4394000,26988.20875
146,-575.3723650000001,4396000,27002.476710000003
147,-407.095972,4398000,27018.429463999997
148,-415.871159,4400000,27035.313254
149,-547.323966,4402000,27050.142744999997
150,-465.676665,4404000,27065.511548000002
151,-504.724879,4406000,27080.680073000003
152,-504.69456399999996,4408000,27095.818393
153,-543.238211,4410000,27111.219173
154,-1014.3423449999999,4412000,27127.673491
155,-1607.827798,4414000,27144.140613
156,-1667.1660570000001,4416000,27159.440504000002
157,-442.68233,4418000,27174.620449000002
158,-533.082951,4420000,27189.795612
159,-559.29346,4422000,27205.167814999997
160,-563.353435,4424000,27221.363174000002
161,-614.607897,4426000,27236.789509
162,-553.132892,4428000,27252.118741000002
163,-572.453683,4430000,27266.933801
164,-620.41904,4432000,27282.837411
165,-538.769087,4434000,27298.004473
166,-459.332758,4436000,27313.658472000003
167,-569.573167,4438000,27328.12858
168,-612.714843,4440000,27342.9478
169,-450.669988,4442000,27357.1664
170,-539.0079440000001,4444000,27371.756761
171,-1052.396507,4446000,27388.185748000004
172,-568.993565,4448000,27404.00973
173,-1113.2660970000002,4450000,27418.40636
174,-1144.601794,4452000,27432.721874000003
175,-979.005993,4454000,27447.203373
176,-1591.054351,4456000,27461.589022000004
177,-1210.345627,4458000,27477.010842000003
178,-1715.7959809999998,4460000,27492.127691
179,-1132.7967199999998,4462000,27507.393849
180,-965.5988269999999,4464000,27522.436416000004
181,-425.78666200000004,4466000,27537.413368
182,-420.86002199999996,4468000,27552.355762
183,-422.95387,4470000,27567.385224
184,-422.316016,4472000,27582.412933
185,-521.343069,4474000,27597.358076999997
186,-519.262401,4476000,27612.335963999998
187,-483.156313,4478000,27627.372542
188,-545.0758480000001,4480000,27642.336835000002
189,-479.584254,4482000,27657.1364
190,-517.636206,4484000,27671.704045
191,-550.8023469999999,4486000,27686.05002
192,-492.695482,4488000,27700.577683
193,-568.293282,4490000,27715.797237
194,-568.133304,4492000,27731.757429
195,-458.437049,4494000,27746.146522000003
196,-539.041236,4496000,27760.742837
197,-549.236954,4498000,27776.000376999997
