r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
-1109.924721,2000,12.968282,0.110904604,0.20415097,-0.1274888,0.16607991,0.088242,0.13395464,-0.112528555,-0.11649574,-0.030200085,0.172441
-1629.763902,4000,28.500385,0.10909148,0.20324615,-0.13132511,0.16548139,0.09106888,0.13429467,-0.11498045,-0.11931438,-0.029718172,0.17542614
-1701.096075,6000,43.690816,0.11175458,0.20122895,-0.13784058,0.16525069,0.09047926,0.13327281,-0.1197049,-0.12013221,-0.029114267,0.1752395
-1253.788209,8000,55.771329,0.108002156,0.19953372,-0.12048939,0.16250658,0.08810726,0.13473167,-0.12297945,-0.11718711,-0.031272523,0.17384164
-1646.067895,10000,67.700924,0.10595806,0.18467677,-0.13423814,0.1558491,0.082296826,0.14126793,-0.12118728,-0.10053698,-0.03355971,0.17203419
-1582.605618,12000,79.788699,0.11604549,0.22832619,-0.15039912,0.15221842,0.06970092,0.16348274,-0.1968718,-0.12569688,-0.040337093,0.1765874
-1301.830568,14000,91.895316,0.11482074,0.21488596,-0.09636497,0.122561485,0.066450775,0.11506219,-0.188296,-0.115724415,-0.024817878,0.15220222
-750.854847,16000,103.866316,0.12483,0.22271127,-0.07880803,0.15343459,0.056971718,0.12616022,-0.18692517,-0.1284062,-0.016242722,0.123187855
-921.317114,18000,117.182152,0.112333834,0.22624329,-0.07347715,0.18771899,0.028057644,0.1246824,-0.16763133,-0.1442429,-0.03247086,0.10147281
-862.30953,20000,129.188958,0.14025912,0.2231076,-0.0670399,0.17785053,0.06709211,0.11685932,-0.1727426,-0.10744994,-0.0571135,0.12688978
-760.201038,22000,141.002998,0.1735675,0.23001906,-0.0571474,0.17230433,0.050463434,0.10670075,-0.1873847,-0.095976055,-0.06576523,0.10953377
-1225.350516,24000,152.436545,0.19002944,0.23221804,-0.05213014,0.17421314,0.031673927,0.08586945,-0.21607822,-0.088228084,-0.07657808,0.115798205
-1144.646722,26000,164.036453,0.21364519,0.22480543,-0.053863216,0.15953341,0.0178234,0.12473328,-0.2368773,-0.068811886,-0.079903744,0.12863304
-1430.777473,28000,176.212536,0.22809778,0.21606466,-0.054553583,0.15530828,0.0155473165,0.11746448,-0.25154015,-0.07438166,-0.08414978,0.15856515
-1513.647748,30000,187.889284,0.24435772,0.2258059,-0.058658347,0.14098549,0.018119913,0.13139808,-0.26574445,-0.06576097,-0.085149676,0.17280467
-1038.186631,32000,199.495564,0.24839067,0.22470888,-0.040228218,0.11376801,0.02272565,0.14141214,-0.25739437,-0.079378195,-0.085445784,0.20829378
-1616.70935,34000,211.169596,0.28518796,0.22193941,-0.043626137,0.09799979,0.029563615,0.12366966,-0.24372627,-0.13252647,-0.056519613,0.1825068
-1623.525481,36000,222.815235,0.28215384,0.23524134,-0.015074121,0.11628761,0.03093392,0.12955686,-0.22750936,-0.114927724,-0.023214066,0.16855602
-1069.799798,38000,234.451304,0.3089763,0.23916724,-0.016996002,0.13166648,0.06770482,0.14622451,-0.21212174,-0.08846109,0.0074837403,0.12479946
-776.805839,40000,246.051687,0.28506762,0.23688896,-0.002667713,0.14540331,0.07563275,0.16312483,-0.21987972,-0.08541012,0.020728948,0.10390134
-1128.220987,42000,257.791466,0.26884818,0.24691558,0.0039102836,0.14634389,0.056170728,0.16768517,-0.21882308,-0.10444702,0.0025226222,0.10889454
-1323.970724,44000,269.495634,0.24954219,0.2907456,-0.00783202,0.10837161,0.0646589,0.16288675,-0.23669623,-0.10192211,-0.03794441,0.121890135
-1003.649824,46000,281.124604,0.23730986,0.2952797,-0.013561095,0.07066072,0.05961543,0.14119402,-0.24174783,-0.114825174,-0.055448283,0.13445449
-860.490378,48000,292.797904,0.23531896,0.3038488,-0.011941234,0.043798823,0.066698134,0.14087263,-0.23629037,-0.11892757,-0.07955095,0.12815616
-1079.019224,50000,304.566197,0.21519555,0.30183294,0.0021590802,0.0365831,0.07351903,0.16631705,-0.23660307,-0.120918825,-0.109039694,0.11327551
-1026.885838,52000,316.422891,0.20574857,0.29111803,0.013245465,0.036482897,0.075881936,0.1937955,-0.2421099,-0.11158996,-0.11207367,0.10267813
-602.872878,54000,328.302435,0.1950298,0.27031848,0.025955733,0.03329549,0.09615244,0.20181844,-0.2394949,-0.109068364,-0.1360934,0.12933998
-1037.932273,56000,341.810106,0.1784165,0.26011014,0.03178068,0.01896073,0.1109534,0.2049928,-0.25023806,-0.091291085,-0.16034898,0.16921228
