,r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
0,-1646.2891439999999,2000,13.202736999999999,0.031051772000000002,0.020593615,-0.16141233,0.027335687999999997,0.06259687,-0.058352213,-0.05709287,0.1403066,-0.13610202,-0.109899625
1,-1527.054828,4000,27.597821999999997,0.028558936,0.0321313,-0.15337378,0.0075249486,0.060255073,-0.05923723400000001,-0.053547475,0.13955308,-0.13430160000000002,-0.11166379
2,-1731.548917,6000,41.68237,0.00372744,0.043345638,-0.1494662,0.03138834,0.079553775,-0.059729399999999995,-0.055488978,0.13199835,-0.14132716,-0.110556565
3,-844.903572,8000,55.659383,0.0015203005,0.044479612,-0.15823554,0.0749953,0.077688366,-0.06709841,-0.06999796,0.19509725,-0.1526516,-0.12095617
4,-1173.980673,10000,69.967996,-0.013809786999999999,0.013594172,-0.21299979,0.22319055,0.06918853,-0.07975542,-0.08386516,0.2623917,-0.17758454,-0.08202403
5,-997.443874,12000,81.465088,-0.023408644,-0.013272306999999999,-0.25263688,0.34645754,0.12750849,-0.10288789999999999,-0.15840055,0.33991528,-0.18161748,-0.03796669
6,-1674.047966,14000,93.022121,0.014831065,-0.01622409,-0.23796475,0.36440766,0.17750251,-0.111836426,-0.14464664,0.3803548,-0.11910948,0.011275377
7,-1498.352261,16000,104.602845,0.09514550000000001,-0.058611218,-0.22011745,0.2856303,0.06464789,-0.040869605,-0.030464337999999997,0.36350912,-0.08775444,0.038366605
8,-1632.0258939999999,18000,116.47497800000001,0.13128568,-0.04147384,-0.20206343,0.34353447,0.028276656,-0.09196059,-0.0642077,0.4158644,-0.093339406,0.039881274
9,-1177.539252,20000,128.321997,0.043223906,-0.05438734,-0.20289977,0.41048113,0.12292698,-0.08166616,-0.13606551,0.33412495,-0.08995045,0.010310310999999999
10,-1452.312207,22000,140.071359,0.027931614,0.017282335,-0.15607174,0.3712742,0.10654298,-0.027534787,-0.13772957,0.28073940000000003,-0.07774221,-0.015485468
11,-1492.746577,24000,151.938743,-0.0029998785,0.02656573,-0.15408973,0.36664298,0.08605492,0.012482683,-0.14359798,0.22605255,-0.10828921,-0.05460632
12,-1152.410664,26000,164.548402,-0.0057282819999999995,0.029048042000000003,-0.14593723,0.3627328,0.05140191,-0.028601737999999998,-0.12007089999999998,0.21709837,-0.06696360000000001,-0.112615824
13,-1309.6127490000001,28000,177.161874,-0.02110491,0.095868416,-0.09584229400000001,0.3622258,0.04290275,-0.030697292,-0.10085403,0.26856178,-0.061450645,-0.1906525
14,-1484.168591,30000,188.997904,-0.06628564,0.11489078,-0.15691933,0.37892750000000003,0.04064154,-0.13244843,-0.07329745,0.27446467,-0.05813754,-0.20043151
15,-977.743343,32000,200.79418700000002,-0.101944245,0.11639247,-0.17754692,0.4275133,0.012105936999999999,-0.23935083,-0.12266102,0.2753598,-0.059744887,-0.19246021
16,-1084.2083300000002,34000,212.71082,-0.08353436,0.08668792,-0.15708522,0.43935466,-0.03547678,-0.28100795,-0.13267377,0.25700966,-0.07683737,-0.20022927
17,-1138.316966,36000,224.57957799999997,-0.10930931599999999,0.07168295,-0.17069769,0.3992883,-0.08403391,-0.26571209999999995,-0.15457296,0.38026643,-0.15171365,-0.24065295
18,-1098.488111,38000,237.84900299999998,-0.118720844,0.081515856,-0.07297832,0.34608415,-0.17405659,-0.30883917,-0.17649996,0.43138433,-0.11063107,-0.28746533
19,-1116.2964960000002,40000,250.38963700000002,-0.11317268,0.08741263,-0.060927946,0.37030290000000005,-0.18101594,-0.29283926,-0.19409682,0.48473770000000005,-0.07029211,-0.27364737
20,-1233.853728,42000,262.41279,-0.069058225,0.09896118,-0.13453513,0.37415440000000005,-0.18884577,-0.31689125,-0.21291178,0.43069875,-0.12417585,-0.23025337
21,-1351.313613,44000,275.56946899999997,-0.066654705,0.062133825999999996,-0.16015458,0.3810808,-0.14169435,-0.33913985,-0.18504223,0.37799770000000005,-0.13269275,-0.21145648
22,-992.1874789999999,46000,289.508548,-0.07171302,0.03523821,-0.13714883,0.34215927,-0.16851674,-0.33846286,-0.18715315,0.30730802,-0.12455947,-0.20707636
23,-1173.3887109999998,48000,303.08065899999997,-0.035648618,0.04378634,-0.09615181,0.314139,-0.13931833,-0.3859224,-0.24186006,0.21717706,-0.13746092,-0.20364848
24,-969.2645660000001,50000,315.38921600000003,0.018452473,0.021363492999999997,-0.09321705,0.31412494,-0.09762480000000001,-0.40521815,-0.2559645,0.19001542,-0.19089058,-0.19076002
25,-1187.623121,52000,327.64403500000003,0.04060251,-0.009619406,-0.10642011,0.36669263,-0.061238438,-0.43940458,-0.27105552,0.18607701,-0.19361714,-0.18556063
26,-969.499808,54000,340.38047,0.05349198,-0.0077758264,-0.103662625,0.37495768,-0.059955724,-0.46683678,-0.2946891,0.13141185,-0.18602532,-0.18786348
27,-911.07287,56000,351.827289,0.08412626,-0.036452383,-0.10040589,0.38050127,-0.09283889999999999,-0.50676394,-0.30031306,0.11912326,-0.18731058,-0.21641158
28,-755.656437,58000,363.440916,0.12312973,-0.03579666,-0.10940151,0.40541524,-0.10565206,-0.5397058000000001,-0.34359273,0.11103252,-0.19167234,-0.29492944
29,-799.725466,60000,376.391256,0.08470071,-0.048320875,-0.13930061,0.40995196,-0.11394895,-0.49509573,-0.32777253,0.06644464,-0.20546842,-0.29133302
30,-960.2771880000001,62000,387.938554,0.067259446,-0.035376575,-0.17402299,0.40781940000000005,-0.12643859,-0.4758327,-0.34390694,0.058068387,-0.24158826,-0.30077744
31,-885.756014,64000,399.83903599999996,0.03463568,-0.032181155,-0.26834422,0.36904615,-0.099577695,-0.46876097,-0.34309077,0.066324726,-0.282276,-0.30020145
32,-880.9681210000001,66000,411.936002,0.044198025,-0.019677356,-0.29839790000000005,0.39267929999999995,-0.08616829,-0.43960798,-0.33219087,0.1059631,-0.2711272,-0.3050389
33,-742.446765,68000,424.77528099999995,0.048339024,-0.009641183000000001,-0.3113304,0.38674054,-0.08256448,-0.46770835,-0.34254244,0.0970967,-0.24130447,-0.3373873
34,-957.863836,70000,437.80455599999993,0.04857658,0.0016002766,-0.33577946,0.38212305,-0.06624937,-0.47478908,-0.34257582,0.021731254,-0.2501658,-0.34475157
35,-867.8654,72000,449.302274,0.043885823,0.015107674,-0.36245170000000004,0.39189914,-0.0324013,-0.49816665,-0.32601058,-0.035212122,-0.28017756,-0.33827543
36,-753.638557,74000,460.860934,0.067195855,0.024715954,-0.31554428,0.4168219,-0.025688883,-0.5363336,-0.32239679,-0.0205024,-0.23868832,-0.30292782
37,-754.00646,76000,472.79405499999996,0.09944196,0.040315915,-0.24789809,0.43927970000000005,-0.039288275,-0.56430054,-0.36258262,0.014196193999999999,-0.16332346,-0.32047459999999994
38,-916.6811289999999,78000,485.91430199999996,0.12722726,0.052146955999999994,-0.17609936,0.44001767,-0.02105923,-0.60155123,-0.38021436,0.01744128,-0.08826362,-0.27433357
39,-859.0404710000001,80000,498.795044,0.13955909,0.06520944,-0.12913106,0.4297479,-0.01093614,-0.6036522,-0.39932638,0.06367229,-0.051476374000000005,-0.29450944
40,-799.098603,82000,510.63375999999994,0.14255372,0.053768072,-0.06803175,0.4830602,-0.016893687,-0.5569845,-0.4980209,0.12167147,0.048514172,-0.35162154
