,r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
0,-1516.762799,2000,13.779687,0.09902231,0.09098151,-0.15078095,-0.18600060000000002,-0.13392738,-0.24213602,-0.02557876,-0.03758958,0.15621579,-0.27855378
1,-1631.126081,4000,29.739125,0.09859506,0.10002454,-0.15151973,-0.16535583,-0.18807063,-0.30079559999999994,-0.015873933,-0.023590887,0.15580879,-0.33566606
2,-1131.423752,6000,44.333225,0.09589926,0.100953765,-0.15570457,-0.15671855,-0.15099855,-0.24536952,-0.011252131,-0.010084609,0.14901254,-0.30409098
3,-1108.167409,8000,57.986623,0.08339434,0.10456924,-0.15790553,-0.16598514,-0.048015747000000004,-0.18485908,-0.008030744,-0.00864776,0.13369416,-0.29532847
4,-899.157448,10000,71.695374,0.07332019,0.10125835,-0.16920008,-0.16199012,0.051290512,-0.11696743,0.008724104,0.0020391494000000002,0.11299477,-0.23190010000000003
5,-863.895331,12000,85.99105899999999,0.07112321,0.10674496,-0.15562409,-0.12803605,0.06480924,-0.08916548,-0.0033077186,-0.011776076000000002,0.13064142,-0.22731167
6,-724.476224,14000,98.635649,0.05626575,0.11353555,-0.16656724,-0.11698569,0.098405726,-0.08975069,-0.016403643,-0.0024316625,0.16357417,-0.29147008
7,-406.406358,16000,111.07881599999999,0.07885579,0.09158322,-0.1719953,-0.11997649,0.08823642,-0.08764943,-0.017305216000000002,-0.005984470699999999,0.16789705,-0.28031307
8,-620.440626,18000,124.48946699999999,0.07797591400000001,0.06873465,-0.17417164,-0.14423984,0.034537937000000005,-0.06399077,-0.029968718,0.011955179,0.15860333,-0.29650024
9,-1149.9051439999998,20000,138.19282900000002,0.090488635,0.062776335,-0.15590629,-0.14420205,0.008803855,-0.07996338,-0.02702316,0.022467745,0.16813825,-0.3276902
10,-1129.774422,22000,149.749677,0.119982265,0.06433876,-0.17708191,-0.1439457,0.012898435,-0.09105569,-0.030484015,0.04035467,0.18332125,-0.30586886
11,-1417.189306,24000,160.868062,0.12256116,0.0789471,-0.18260099999999999,-0.16957217,0.029814806,-0.085064776,-0.03349973,0.054266687,0.17439704,-0.2851931
12,-1313.559205,26000,173.08293799999998,0.12769863,0.1026126,-0.19004002,-0.20504749,0.034831595,-0.06422101,-0.05776745,0.069693014,0.18616092,-0.2911975
13,-890.256709,28000,184.960176,0.13150520000000002,0.11043023,-0.18458147,-0.19638175,0.04878653,-0.05211448,-0.07507506,0.09103449,0.18791436,-0.27782306
14,-711.099517,30000,196.69063400000002,0.1281675,0.11268787,-0.1902189,-0.23427506,0.046154667,-0.025581917000000003,-0.07864866400000001,0.097724356,0.17750967,-0.24861038
15,-785.914791,32000,210.49200699999997,0.14041416,0.12165249,-0.18728174,-0.25213969999999997,0.051924195,-0.027712554,-0.09027564,0.09783627,0.17375037,-0.25617653
16,-1048.964655,34000,223.468272,0.13805303,0.12768863,-0.18569303,-0.28278717,0.05113526,-0.029373152000000003,-0.097163305,0.10122614,0.17984481,-0.26654115
17,-1203.63158,36000,237.759042,0.16432214,0.14939225,-0.19910471,-0.26064938,0.04907893,-0.041452027999999995,-0.0682772,0.0923288,0.1846555,-0.24396208
18,-762.3155690000001,38000,250.97999500000003,0.18197036,0.14962026,-0.2289147,-0.23349153,0.039283298,-0.047853414000000004,-0.02666542,0.10365277,0.17568582,-0.2053774
19,-735.413438,40000,264.374304,0.2204708,0.14235435,-0.23596479999999997,-0.25485715,0.039628007,-0.039755538,-0.015383468999999999,0.10610961,0.16996798,-0.19654217
20,-719.083379,42000,277.43371,0.23326264,0.13770948,-0.22453515,-0.26761582,0.03473861,-0.067242734,0.019871838,0.11582160000000001,0.18444599,-0.1975532
21,-1587.306446,44000,290.738598,0.24534853,0.13506198,-0.21879908,-0.24369995,0.037648495,-0.052954298,0.020325568000000002,0.13099462,0.20484929,-0.17681724
22,-1004.3731369999999,46000,304.73044300000004,0.2537232,0.10972835,-0.20900005,-0.24422407,0.04523333,-0.024834698,0.008348781,0.14084254,0.23232327,-0.17455155
23,-1160.281441,48000,317.027029,0.27881947,0.08571121,-0.19745609,-0.23857822,0.04885724,-0.024660163,0.0018585862,0.13370146,0.25146842,-0.18061978
24,-1072.7423919999999,50000,332.521407,0.28377622,0.07357584,-0.20650943,-0.24964394,0.043819852,-0.039960366000000004,-0.0025836673999999997,0.14059815,0.25501525,-0.15571216
25,-1187.163143,52000,348.158814,0.28821820000000004,0.056503597999999995,-0.22768025,-0.25763756,0.044233166,-0.038597677000000004,0.0030759096,0.13842945,0.25377467,-0.124844335
26,-1067.9627269999999,54000,362.656161,0.30166,0.040566813,-0.24486606,-0.27158028,0.056340475,-0.059331086,0.00972195,0.13805954,0.25085604,-0.112895235
27,-939.8457210000001,56000,377.546131,0.30917877,0.03059506,-0.24580964,-0.28036809999999995,0.06007931,-0.07567164,0.018020378,0.1315424,0.24069050000000003,-0.10623322
28,-1121.8839699999999,58000,392.481781,0.32252509999999995,0.03388653,-0.24386144,-0.28598085,0.05559131,-0.09413429,0.019079434,0.13580905,0.22822735,-0.10318190599999999
29,-1127.175137,60000,406.389998,0.30951425,0.053663123,-0.22637433,-0.2849707,0.05262051,-0.118134394,0.020730048,0.14509109,0.21240494,-0.09152668
30,-968.5825980000001,62000,420.209752,0.3025113,0.064281985,-0.21250226,-0.2844413,0.035259962,-0.15016624,0.03033061,0.14437528,0.21703085,-0.07351252400000001
31,-1071.477594,64000,432.307986,0.29506370000000004,0.059510138,-0.18095514,-0.29481444,0.038066722000000004,-0.17611764,0.036565482999999996,0.15540688,0.20633872,-0.06974244
32,-1442.164034,66000,447.47236799999996,0.31184945,0.036215138,-0.16765529,-0.28131604,0.012917716999999999,-0.19262578,0.043778785,0.17761831,0.18833579,-0.04959321
33,-1230.9162390000001,68000,463.201945,0.31556103,0.024744596,-0.16463754,-0.26703530000000003,-0.0021174839,-0.21244746,0.04925143,0.19963649,0.1647475,-0.03678378
34,-769.57239,70000,478.118176,0.2980136,0.02931554,-0.17497474,-0.25665048,0.010813732,-0.23423664,0.055374872,0.20353879,0.15901199,-0.06065619
35,-1103.983704,72000,490.728737,0.2796313,0.04568733,-0.1757477,-0.25996572,0.012041784,-0.24830401,0.04717316,0.19378375,0.15832998,-0.060568508
36,-1093.6946580000001,74000,505.69970700000005,0.2543431,0.06479664,-0.17705463,-0.25938514,-0.013550807,-0.246677,0.06623188,0.20411791,0.1265398,-0.05371735
37,-1013.6771890000001,76000,520.1707759999999,0.2724598,0.056443803,-0.18158528,-0.23962708,-0.034566395,-0.252956,0.07383123,0.22104484,0.08823589,-0.059529204
38,-432.125751,78000,531.760898,0.28746423,0.050983972999999995,-0.18553753,-0.19501448,-0.047247525,-0.25455067,0.05301249,0.22251149999999997,0.023875616000000002,-0.06665746
39,-633.649895,80000,544.31148,0.27405983,0.063295685,-0.18118098,-0.16903684,-0.062005192,-0.25258943,0.07658342,0.23623207,-0.03070296,-0.10497513
40,-1057.74687,82000,558.053325,0.26818213,0.044815067,-0.18493621,-0.17569456,-0.066629164,-0.2508907,0.08430891,0.22251458,-0.051364604,-0.13171682
41,-956.546996,84000,571.05832,0.24292919999999998,0.043829112999999996,-0.16288732,-0.18138726,-0.07541274,-0.26462188,0.093308456,0.22941823,-0.039013993,-0.17700978
42,-1227.368966,86000,584.368968,0.2241513,0.059855346,-0.14403675,-0.18582515,-0.10401245,-0.26340052,0.07114484,0.2515138,-0.040842015,-0.21897301
43,-546.705077,88000,599.67835,0.21612272,0.06390105,-0.1364704,-0.18505824,-0.10835964,-0.2558812,0.055378217,0.26443872,-0.03853182,-0.2686635
44,-1097.9313300000001,90000,615.940007,0.21926834,0.065465964,-0.14302779999999998,-0.16956614,-0.12401499,-0.26405890000000004,0.04643680000000001,0.26255563,-0.04195706,-0.36499970000000004
