,r,l,t
0,-1649.453475,2000,15.694035000000001
1,-1365.445555,4000,31.203188
2,-1531.5090369999998,6000,42.112963
3,-1430.477032,8000,51.752712
4,-1506.1723769999999,10000,61.337763
5,-808.681062,12000,70.95914599999999
6,-1592.0534699999998,14000,81.91475
7,-1718.2760649999998,16000,91.48876899999999
8,-1603.161771,18000,101.384359
9,-1613.014199,20000,111.08313400000002
10,-1463.394596,22000,120.810915
11,-1640.030409,24000,130.502685
12,-1062.3613710000002,26000,140.196779
13,-1650.402869,28000,150.906614
14,-1517.370919,30000,161.436041
15,-1343.0394720000002,32000,172.922893
16,-1541.4743529999998,34000,183.684127
17,-1138.0653710000001,36000,193.823107
18,-1051.8057800000001,38000,205.816401
19,-1045.91697,40000,216.984401
20,-1012.376348,42000,229.012856
21,-1174.934156,44000,240.321353
22,-1013.221484,46000,251.613727
23,-1019.6965050000001,48000,261.91763599999996
24,-963.839966,50000,271.75834199999997
25,-1071.814604,52000,281.469677
26,-990.346686,54000,291.14190299999996
27,-985.55111,56000,301.095482
28,-1590.47278,58000,311.34961
29,-1591.484347,60000,321.092895
30,-1482.289324,62000,330.700827
31,-775.895249,64000,341.797837
32,-843.870102,66000,354.620895
33,-963.749032,68000,367.157778
34,-1129.821016,70000,379.51804300000003
35,-1152.276726,72000,390.068729
36,-966.003934,74000,402.767655
37,-893.5056199999999,76000,414.412123
38,-1282.851095,78000,426.740804
39,-1169.023265,80000,438.15492800000004
40,-1068.627134,82000,449.442809
41,-1149.682894,84000,459.73010300000004
42,-1080.7062740000001,86000,471.58835999999997
43,-1568.969736,88000,482.678876
44,-1190.61169,90000,492.84960199999995
45,-1462.96336,92000,503.872101
46,-1532.0079050000002,94000,514.6210070000001
47,-1046.376795,96000,526.020123
48,-945.693388,98000,536.636963
49,-1043.775659,100000,547.378876
50,-1346.406419,102000,557.381032
51,-1187.348798,104000,567.9244980000001
52,-856.3467880000001,106000,578.338806
53,-1565.2303279999999,108000,589.8930019999999
54,-868.1557320000001,110000,599.9493570000001
55,-942.621174,112000,610.534409
56,-951.9157640000001,114000,620.88541
57,-943.2636980000001,116000,631.835254
58,-1060.952984,118000,642.667157
59,-1282.208336,120000,652.889942
60,-1423.0422,122000,662.686953
61,-966.9081160000001,124000,672.4247740000001
62,-1541.004384,126000,682.749582
63,-883.5722789999999,128000,692.923715
64,-1074.655989,130000,702.6512650000001
65,-955.7101220000001,132000,712.358878
66,-829.249197,134000,722.040851
67,-1543.771318,136000,731.8627299999999
68,-1047.981497,138000,741.5714929999999
69,-833.869663,140000,751.177245
70,-953.144048,142000,760.874173
71,-995.647632,144000,770.689748
72,-1042.790377,146000,781.3629480000001
73,-966.4460939999999,148000,791.2476230000001
74,-1190.4867689999999,150000,801.10762
75,-1242.016157,152000,812.419274
76,-1089.001967,154000,824.2280089999999
77,-1498.717425,156000,835.373601
78,-821.357575,158000,846.9556970000001
79,-894.164636,160000,859.071235
80,-1437.119218,162000,870.7067949999999
81,-1440.947745,164000,883.008957
82,-1090.855422,166000,893.3460029999999
83,-956.348731,168000,904.28813
84,-1076.516754,170000,915.7073529999999
85,-1256.450603,172000,925.888998
86,-1132.749945,174000,936.481695
87,-1002.066951,176000,946.8463619999999
88,-1092.741728,178000,957.799951
89,-1430.674506,180000,967.949366
90,-987.986839,182000,978.307181
91,-1353.698383,184000,988.239566
92,-1013.379782,186000,998.7826960000001
93,-698.0415519999999,188000,1009.1282160000001
94,-959.895655,190000,1021.995175
95,-993.579393,192000,1034.313613
96,-1526.751371,194000,1045.112927
97,-1449.137177,196000,1054.987863
98,-844.4090630000001,198000,1064.988614
99,-1063.194327,200000,1074.685718
100,-1469.731733,202000,1084.307584
101,-900.70705,204000,1093.918191
102,-985.706243,206000,1103.457091
103,-896.070253,208000,1113.0059820000001
104,-989.044276,210000,1122.602264
105,-1540.280772,212000,1132.22218
106,-1167.380026,214000,1141.784456
107,-1038.09128,216000,1151.3451949999999
108,-1427.9649279999999,218000,1160.92182
109,-1132.998792,220000,1170.485288
110,-1537.986161,222000,1180.037035
111,-925.972848,224000,1189.590526
112,-485.08152699999994,226000,1199.1266369999998
113,-836.243392,228000,1209.932859
114,-1438.1460710000001,230000,1219.47652
115,-505.385099,232000,1229.038703
116,-1057.116694,234000,1238.5785050000002
117,-1240.896544,236000,1248.188167
118,-1684.5442719999999,238000,1257.763839
119,-1063.0283689999999,240000,1267.307529
120,-1601.965964,242000,1276.8468380000002
121,-977.5092800000001,244000,1286.407964
122,-798.16724,246000,1295.952662
123,-1156.1976359999999,248000,1305.5001320000001
124,-1135.280666,250000,1315.049524
125,-1413.494186,252000,1324.6064
126,-1328.99034,254000,1334.1597789999998
127,-734.411214,256000,1343.700424
128,-985.0396279999999,258000,1353.22846
129,-958.7085199999999,260000,1362.787738
130,-1529.702644,262000,1372.335399
131,-1564.33759,264000,1381.9038369999998
132,-1224.889697,266000,1391.450633
133,-659.589262,268000,1400.976853
134,-352.954923,270000,1410.560842
135,-705.2365440000001,272000,1421.394286
136,-794.566136,274000,1430.935401
137,-720.191215,276000,1440.4997230000001
138,-1058.014138,278000,1450.019558
139,-483.698162,280000,1459.54873
140,-621.156985,282000,1469.1057130000002
141,-1212.9521029999999,284000,1478.642155
142,-615.821592,286000,1488.199002
143,-1054.646642,288000,1497.7605199999998
144,-651.7834799999999,290000,1507.33014
145,-603.3403440000001,292000,1516.863716
146,-545.9263900000001,294000,1526.422576
147,-472.392266,296000,1535.951291
148,-1568.9253939999999,298000,1545.539367
149,-1503.1852199999998,300000,1555.103249
150,-843.7071109999999,302000,1564.646251
151,-381.57248,304000,1574.203033
152,-534.11284,306000,1583.742236
153,-1420.454113,308000,1593.270977
154,-532.621013,310000,1602.8430859999999
155,-1010.326401,312000,1612.3959830000001
156,-1549.021623,314000,1621.959504
157,-894.469476,316000,1631.527177
158,-1526.568792,318000,1641.071659
159,-919.5698070000001,320000,1650.624226
160,-534.192445,322000,1660.160996
161,-1691.280536,324000,1669.738264
162,-442.088871,326000,1679.2885820000001
163,-1312.649494,328000,1688.8249190000001
164,-1237.849027,330000,1698.365225
165,-512.242068,332000,1707.920015
166,-957.495082,334000,1717.492634
167,-1244.363347,336000,1727.031226
168,-392.61203,338000,1736.623787
169,-1588.9249710000001,340000,1746.171123
170,-1147.1905980000001,342000,1755.7169010000002
171,-1231.8469519999999,344000,1765.3572329999997
172,-1568.791347,346000,1774.953611
173,-1086.171883,348000,1784.497054
174,-1341.202363,350000,1794.0474649999999
175,-1503.6877,352000,1803.600395
176,-870.6802859999999,354000,1813.185911
177,-1183.433554,356000,1822.716534
178,-726.798956,358000,1832.256871
179,-888.406781,360000,1841.79362
180,-1302.358913,362000,1851.334075
181,-1650.444438,364000,1860.927107
182,-976.5726710000001,366000,1870.4720260000001
183,-1026.700033,368000,1880.007996
184,-746.229857,370000,1889.556503
