,r,l,t
0,-1748.5712620000002,2000,64.279168
1,-1623.472333,4000,125.26270900000002
2,-1765.5179030000002,6000,175.674024
3,-1200.15893,8000,217.72997999999998
4,-701.6875190000001,10000,266.225665
5,-851.992532,12000,315.492541
6,-1209.121183,14000,357.750253
7,-799.321206,16000,399.91562000000005
8,-1704.8069460000002,18000,441.92768499999994
9,-1346.731528,20000,484.4527
10,-815.01799,22000,526.430304
11,-1612.695229,24000,568.979338
12,-1427.174779,26000,611.48769
13,-846.45701,28000,653.681749
14,-691.188121,30000,695.943675
15,-648.610674,32000,744.8887179999999
16,-615.413169,34000,793.660052
17,-706.099776,36000,842.808749
18,-741.1883849999999,38000,885.488352
19,-912.7162900000001,40000,928.926352
20,-703.126955,42000,972.1333060000001
21,-1111.775801,44000,1014.02841
22,-919.727461,46000,1056.442934
23,-1083.823528,48000,1098.241367
24,-1272.0111980000001,50000,1141.1156429999999
25,-811.34938,52000,1183.449758
26,-896.207242,54000,1225.176059
27,-689.597536,56000,1267.372512
28,-856.867191,58000,1310.980538
29,-666.685271,60000,1354.9763460000001
30,-717.277182,62000,1398.835141
31,-744.021462,64000,1440.879042
32,-677.385575,66000,1482.93419
33,-846.6165,68000,1525.864819
34,-1036.688335,70000,1568.5648119999998
35,-796.731315,72000,1611.772603
36,-1079.01953,74000,1655.197209
37,-1236.823097,76000,1697.4533210000002
38,-1182.449654,78000,1740.4091059999998
39,-1358.1234029999998,80000,1783.500864
40,-977.987052,82000,1826.458891
41,-784.7868480000001,84000,1870.0896670000002
42,-703.350609,86000,1913.846122
43,-856.2997740000001,88000,1958.6020839999999
44,-1025.877708,90000,2002.691997
45,-990.0889380000001,92000,2045.5899
46,-914.0839599999999,94000,2088.589259
47,-927.617637,96000,2132.64415
48,-769.9720599999999,98000,2175.326305
49,-680.41017,100000,2222.253272
50,-999.255832,102000,2266.6767449999998
51,-1232.7627400000001,104000,2311.227159
52,-857.6733810000001,106000,2354.4095039999997
53,-982.567001,108000,2397.058441
54,-1029.910472,110000,2439.655079
55,-805.449282,112000,2482.34511
56,-745.457475,114000,2525.5097379999997
57,-882.3003060000001,116000,2568.663803
58,-983.751717,118000,2612.575228
59,-1267.71764,120000,2656.94787
60,-1081.30698,122000,2701.334205
61,-878.041937,124000,2745.486778
62,-1308.65752,126000,2789.085559
63,-847.928859,128000,2832.258812
64,-851.7515810000001,130000,2875.0138260000003
65,-546.116851,132000,2917.353045
66,-884.031495,134000,2966.6969510000004
67,-1077.187418,136000,3009.710679
68,-640.5616,138000,3052.2913129999997
69,-1076.2594490000001,140000,3096.063517
70,-911.675032,142000,3139.599309
71,-1478.4338599999999,144000,3183.121158
72,-646.642991,146000,3225.297654
73,-696.686328,148000,3268.048993
74,-571.276203,150000,3310.9719059999998
75,-582.0728349999999,152000,3355.3721800000003
76,-1025.948723,154000,3399.5908210000002
77,-586.448261,156000,3444.1243189999996
78,-673.772325,158000,3487.022872
79,-629.148993,160000,3530.706261
80,-768.5821940000001,162000,3573.5478369999996
81,-830.723503,164000,3616.8731420000004
82,-1194.28455,166000,3660.5749490000003
83,-893.824667,168000,3704.238186
84,-546.644021,170000,3748.077761
85,-900.1843660000001,172000,3792.0700770000003
86,-491.965587,174000,3835.4240649999997
87,-683.333746,176000,3885.577789
88,-789.9133429999999,178000,3928.854211
89,-889.0912119999999,180000,3971.2795579999997
90,-812.677768,182000,4013.9488409999994
91,-931.610334,184000,4057.5048009999996
92,-1556.755616,186000,4101.24729
93,-921.6711119999999,188000,4145.125854
94,-1176.474915,190000,4187.588179
95,-1054.978787,192000,4229.7946
96,-1020.642394,194000,4272.198345000001
97,-646.757493,196000,4314.816525
98,-718.310544,198000,4359.052771
99,-603.61504,200000,4402.6498950000005
100,-1148.261961,202000,4446.631386999999
101,-785.181022,204000,4489.792031
