,r,l,t
0,-1840.99798,2000,13.555538
1,-1610.515896,4000,28.530428000000004
2,-1812.672564,6000,42.528717
3,-1829.4103710000002,8000,55.367961
4,-1835.929925,10000,65.32475600000001
5,-1487.6001820000001,12000,75.585975
6,-1113.408941,14000,87.878062
7,-739.119313,16000,99.484364
8,-885.1586560000001,18000,111.19138400000001
9,-858.454925,20000,122.301693
10,-1092.083754,22000,135.276627
11,-1030.807979,24000,146.801122
12,-1147.570432,26000,158.056219
13,-1655.472225,28000,168.930715
14,-1675.566924,30000,180.035066
15,-1240.234467,32000,190.93503
16,-1068.59342,34000,203.189862
17,-1566.45471,36000,214.603819
18,-1090.178087,38000,224.69678900000002
19,-1057.2880699999998,40000,234.73309799999998
20,-985.405113,42000,245.93738199999999
21,-940.7819390000001,44000,256.652086
22,-955.537293,46000,269.15700400000003
23,-875.0419720000001,48000,281.343271
24,-1259.222491,50000,292.676921
25,-1001.324549,52000,303.056465
26,-905.501742,54000,313.978892
27,-963.9769210000001,56000,326.01122200000003
28,-909.152865,58000,338.370751
29,-953.637211,60000,350.775765
30,-1066.9373460000002,62000,364.007123
31,-724.402636,64000,374.565231
32,-1358.773011,66000,386.377314
33,-1016.1516730000001,68000,397.00744199999997
34,-988.8427730000001,70000,407.252781
35,-1072.264242,72000,417.539672
36,-1284.802295,74000,427.723239
37,-1405.127377,76000,437.97008
38,-1535.758394,78000,448.61962800000003
39,-1552.640758,80000,458.89545300000003
40,-1317.8303640000001,82000,469.092604
41,-1008.894236,84000,479.334624
42,-1602.2422980000001,86000,489.54066900000004
43,-1165.996027,88000,499.765043
44,-1058.679267,90000,510.01800000000003
45,-1115.815103,92000,520.196666
46,-1016.922792,94000,530.448569
47,-1017.385439,96000,541.2250690000001
48,-869.825498,98000,551.665681
49,-1346.6284640000001,100000,562.045073
50,-1071.359173,102000,572.850659
51,-931.777933,104000,583.4713320000001
52,-937.6092460000001,106000,593.723138
53,-728.856001,108000,603.7851730000001
54,-848.4213689999999,110000,613.896157
55,-1046.724388,112000,624.484235
56,-800.258717,114000,634.95207
57,-993.00279,116000,646.026835
58,-879.214326,118000,657.743195
59,-839.702593,120000,668.615487
60,-1025.3081240000001,122000,680.4545099999999
61,-884.828021,124000,692.8252150000001
62,-916.270329,126000,704.41894
63,-995.595716,128000,714.329907
64,-1145.062922,130000,724.050925
65,-1605.180925,132000,733.7500190000001
66,-1063.492649,134000,743.4674150000001
67,-1447.415677,136000,753.135145
68,-1525.963454,138000,762.83647
69,-1345.8952769999999,140000,772.5841849999999
70,-1506.781851,142000,782.295663
71,-1372.9408310000001,144000,791.9736280000001
72,-908.3138,146000,801.656538
73,-1313.095875,148000,811.370289
74,-973.5480349999999,150000,821.042771
75,-1354.159017,152000,830.751441
76,-945.103616,154000,840.449558
77,-978.169164,156000,850.187259
78,-1446.169807,158000,859.930751
79,-905.6625019999999,160000,869.6530439999999
80,-1735.2536949999999,162000,879.3534109999999
81,-942.826814,164000,889.0393349999999
82,-1040.3635880000002,166000,898.747085
83,-1218.703734,168000,908.469459
84,-1382.870434,170000,918.1419390000001
85,-1230.655777,172000,927.8568710000001
86,-1483.84359,174000,937.5315699999999
87,-1051.861748,176000,947.2019619999999
88,-938.3921449999999,178000,956.909412
89,-1224.652698,180000,966.635606
90,-953.0205689999999,182000,976.325919
91,-741.146805,184000,986.0131630000001
92,-1328.349029,186000,995.703935
93,-936.679523,188000,1005.392762
94,-871.5065390000001,190000,1015.105951
95,-950.66808,192000,1024.811493
96,-981.9969980000001,194000,1034.5007050000002
97,-791.46345,196000,1044.2134429999999
98,-869.245602,198000,1053.8986380000001
99,-940.5635589999999,200000,1063.578496
100,-696.679878,202000,1073.293055
101,-995.271393,204000,1084.202418
102,-1092.7111519999999,206000,1093.872901
103,-717.762645,208000,1103.5732480000001
104,-1197.123233,210000,1113.2622310000002
105,-697.094011,212000,1122.953082
106,-1074.4990400000002,214000,1132.6447679999999
107,-1028.184033,216000,1142.4026099999999
108,-813.454221,218000,1152.098271
109,-707.607,220000,1161.783844
110,-1060.076399,222000,1171.4832880000001
111,-1377.2977720000001,224000,1181.162366
112,-1111.165025,226000,1190.8398630000002
113,-594.091108,228000,1200.5380599999999
114,-1042.0900960000001,230000,1211.422174
115,-1088.001345,232000,1221.30025
116,-1055.652022,234000,1231.013862
117,-821.235886,236000,1240.701855
118,-872.0720980000001,238000,1250.380783
119,-994.3333859999999,240000,1260.103278
120,-1141.317443,242000,1269.8025300000002
121,-935.934922,244000,1279.492772
122,-878.551672,246000,1289.2157029999998
123,-929.122035,248000,1298.9101699999999
124,-656.504951,250000,1308.610745
125,-937.1540380000001,252000,1318.3447640000002
126,-816.635012,254000,1328.054486
127,-682.085835,256000,1337.744716
128,-1030.2208130000001,258000,1347.479251
129,-1105.196282,260000,1357.174326
130,-932.6622279999999,262000,1366.8714949999999
131,-765.3709769999999,264000,1376.5573550000001
132,-781.421191,266000,1386.284139
133,-736.726281,268000,1395.989964
134,-769.261634,270000,1405.724218
135,-591.813122,272000,1415.428374
136,-873.4970289999999,274000,1426.3469810000001
137,-783.651861,276000,1436.054855
138,-873.508488,278000,1445.777936
139,-655.3288299999999,280000,1455.484782
140,-687.2234440000001,282000,1465.205634
141,-974.950589,284000,1474.897131
142,-836.114758,286000,1484.5758119999998
143,-1060.044506,288000,1494.319684
144,-1018.824322,290000,1504.025702
145,-742.764391,292000,1513.934342
146,-910.985151,294000,1523.667476
147,-1318.1804550000002,296000,1533.364669
148,-1056.921429,298000,1543.052033
149,-991.472634,300000,1552.751704
150,-918.199914,302000,1562.475461
151,-910.970092,304000,1572.199713
152,-936.1339130000001,306000,1581.889773
153,-897.7691779999999,308000,1591.607222
154,-1410.6688359999998,310000,1601.311623
155,-886.5623019999999,312000,1611.033719
156,-1096.403881,314000,1620.742787
157,-1240.026398,316000,1630.498283
158,-1287.897138,318000,1640.2069390000001
159,-907.9557289999999,320000,1649.93185
160,-813.742246,322000,1659.6424470000002
161,-874.6533630000001,324000,1669.349667
162,-1159.613401,326000,1679.051777
163,-761.723798,328000,1688.8043129999999
164,-1248.2286550000001,330000,1698.546858
165,-1231.943149,332000,1708.28311
166,-1623.910735,334000,1717.9839579999998
167,-996.178816,336000,1727.6790420000002
168,-1225.960775,338000,1737.4144390000001
169,-1173.925104,340000,1747.1786280000001
170,-1036.347788,342000,1756.943316
171,-1107.2231869999998,344000,1766.6604350000002
172,-1327.2595939999999,346000,1776.390193
173,-1643.383032,348000,1786.0993170000002
174,-837.073956,350000,1795.8125579999999
175,-1319.841452,352000,1805.5377399999998
176,-1157.038392,354000,1815.2425510000003
177,-673.520807,356000,1824.9787239999998
178,-746.331422,358000,1834.6791329999999
179,-755.524183,360000,1844.38525
180,-646.044187,362000,1854.118043
181,-830.819976,364000,1863.8449620000001
182,-720.326466,366000,1873.557776
183,-1086.303999,368000,1883.2675769999998
184,-915.5368619999999,370000,1892.953398
185,-1054.674408,372000,1902.660054
186,-1207.892169,374000,1912.403693
187,-1061.756192,376000,1922.117245
188,-1003.0009470000001,378000,1931.8360010000001
189,-845.4027470000001,380000,1941.534877
190,-1144.447531,382000,1951.251837
191,-1210.68627,384000,1960.981959
192,-975.1827109999999,386000,1970.708398
193,-1486.896026,388000,1980.430462
194,-1060.023307,390000,1990.184098
195,-668.4497309999999,392000,1999.8976289999998
196,-1378.920807,394000,2009.615877
197,-681.768422,396000,2019.333039
198,-876.5509310000001,398000,2029.043616
199,-711.069489,400000,2038.7563940000002
200,-770.696642,402000,2048.491148
201,-1138.775826,404000,2058.208234
202,-796.296248,406000,2067.939702
203,-1234.7598480000001,408000,2077.6559629999997
204,-1205.486786,410000,2087.391278
205,-1147.598319,412000,2097.114598
206,-690.775222,414000,2106.832112
207,-639.813272,416000,2116.556434
208,-1234.05187,418000,2126.317073
209,-723.635275,420000,2136.035201
