,r,l,t
0,-1605.024973,2000.0,16.277192000000003
1,-1349.4265289999998,4000.0,34.437511
2,-943.7567429999999,6000.0,50.514203
3,-1671.06132,8000.0,66.15326
4,-1268.9281939999998,10000.0,80.494922
5,-1180.704094,12000.0,94.844633
6,-1019.1988140000001,14000.0,109.02615300000001
7,-780.537872,16000.0,122.729072
8,-738.254136,18000.0,138.946112
9,-849.7076630000001,20000.0,154.948385
10,-726.949961,22000.0,169.210014
11,-781.6165179999999,24000.0,184.922602
12,-986.6082289999999,26000.0,199.330944
13,-1005.4287009999999,28000.0,213.54113999999998
14,-1299.622701,30000.0,227.41020299999997
15,-1488.5952140000002,32000.0,241.689691
16,-1431.013907,34000.0,255.995265
17,-1448.612014,36000.0,270.40932799999996
18,-1328.2708480000001,38000.0,285.258059
19,-852.5807289999999,40000.0,299.73241
20,-966.5522300000001,42000.0,314.226429
21,-1445.792299,44000.0,329.304114
22,-1221.719246,46000.0,343.923867
23,-1414.74642,48000.0,358.962593
24,-1095.401095,50000.0,373.503124
25,-1101.174033,52000.0,388.109612
26,-910.738926,54000.0,402.749842
27,-1035.220727,56000.0,417.722421
28,-824.027051,58000.0,432.232825
29,-1646.695038,60000.0,447.152151
30,-883.9986640000001,62000.0,461.76038600000004
31,-756.84743,64000.0,476.350667
32,-926.055698,66000.0,491.07712300000003
33,-737.7873940000001,68000.0,505.76567800000004
34,-818.487339,70000.0,520.276297
35,-636.9444599999999,72000.0,535.26885
36,-940.7874640000001,74000.0,551.719866
37,-658.028062,76000.0,566.435179
38,-722.729678,78000.0,581.0803400000001
39,-755.975088,80000.0,596.227688
40,-738.578449,82000.0,610.861235
41,-712.3201,84000.0,625.57456
42,-812.322357,86000.0,640.2746089999999
43,-1017.9655539999999,88000.0,655.252352
44,-768.757915,90000.0,670.033721
45,-785.42588,92000.0,684.590967
46,-955.558875,94000.0,699.3220610000001
47,-635.781207,96000.0,713.972168
48,-754.090824,98000.0,730.463743
49,-607.338054,100000.0,745.000851
50,-796.502832,102000.0,761.022376
51,-734.752496,104000.0,775.95191
52,-634.1053929999999,106000.0,790.559896
53,-662.36065,108000.0,805.3075809999999
54,-623.321204,110000.0,820.449725
55,-672.479167,112000.0,835.348514
56,-802.8128740000001,114000.0,849.984869
57,-627.2455259999999,116000.0,864.985274
58,-654.873004,118000.0,879.5666560000001
59,-938.998642,120000.0,894.0969029999999
60,-1122.100044,122000.0,909.112618
61,-659.569804,124000.0,923.664131
62,-1488.879004,126000.0,938.4267060000001
63,-599.867537,128000.0,953.057654
64,-1481.466927,130000.0,968.7119150000001
65,-1149.304069,132000.0,983.1922369999999
66,-885.729199,134000.0,997.9722320000001
67,-680.372711,136000.0,1013.149544
68,-824.4597269999999,138000.0,1027.868748
69,-799.597983,140000.0,1042.161392
70,-816.378957,142000.0,1056.753485
71,-674.145678,144000.0,1071.786483
72,-635.666233,146000.0,1086.223982
73,-629.184625,148000.0,1100.390979
74,-616.2706009999999,150000.0,1115.1465660000001
75,-610.876368,152000.0,1129.964475
76,-977.5743160000001,154000.0,1144.737449
77,-652.3975519999999,156000.0,1159.2660130000002
78,-1028.367558,158000.0,1174.2391109999999
79,-967.576602,160000.0,1189.578469
80,-572.482,162000.0,1204.511899
81,-573.2955860000001,164000.0,1220.875683
82,-598.969739,166000.0,1235.4495470000002
83,-677.5727730000001,168000.0,1250.331566
84,-509.954841,170000.0,1265.130674
85,-569.78197,172000.0,1281.365436
86,-718.162338,174000.0,1296.086291
87,-719.68352,176000.0,1311.0389300000002
88,-582.9039280000001,178000.0,1325.6833470000001
89,-626.100422,180000.0,1340.325329
90,-976.506808,182000.0,1355.016866
91,-715.164223,184000.0,1369.5599140000002
92,-806.155307,186000.0,1384.2146619999999
93,-631.374254,188000.0,1398.912131
94,-678.7264650000001,190000.0,1413.521533
95,-675.262752,192000.0,1428.507216
96,-775.776961,194000.0,1443.538156
97,-629.607813,196000.0,1458.3156720000002
