,r,l,t
0,-1767.0643969999999,2000,13.079778
1,-1493.543231,4000,26.947885999999997
2,-1018.7854390000001,6000,38.012529
3,-1699.586716,8000,50.338302
4,-1461.243298,10000,62.966454000000006
5,-1294.2909960000002,12000,74.66994
6,-1247.87823,14000,85.139584
7,-1597.5995679999999,16000,95.32634200000001
8,-1044.064211,18000,105.403601
9,-1678.7172440000002,20000,115.514176
10,-980.943542,22000,125.46416200000002
11,-1055.8450699999999,24000,136.666014
12,-1031.027142,26000,146.634
13,-1185.159029,28000,156.604877
14,-1289.352722,30000,166.493879
15,-931.728712,32000,176.369454
16,-1324.0985779999999,34000,187.708098
17,-1488.895381,36000,197.98195900000002
18,-908.2829220000001,38000,208.027624
19,-805.675496,40000,219.239825
20,-1718.904311,42000,230.286394
21,-734.02925,44000,240.19929399999998
22,-1408.588817,46000,251.20846699999998
23,-1476.985586,48000,261.083097
24,-1269.998283,50000,270.892229
25,-872.25595,52000,280.735432
26,-1020.398047,54000,290.579148
27,-1056.632783,56000,300.419533
28,-915.4209109999999,58000,310.294816
29,-951.1957480000001,60000,320.234681
30,-766.193799,62000,330.07614
31,-765.4910769999999,64000,339.917948
32,-798.186422,66000,349.780831
33,-800.342828,68000,359.637528
34,-808.6058059999999,70000,369.49440400000003
35,-888.934991,72000,379.58928399999996
36,-775.2813679999999,74000,389.82101
37,-899.755369,76000,399.88074900000004
38,-1168.851402,78000,409.96486200000004
39,-1027.3053300000001,80000,420.008068
40,-661.986452,82000,429.907133
41,-974.8596220000001,84000,441.081887
42,-810.903518,86000,451.227758
43,-1276.222454,88000,461.344481
44,-1352.807276,90000,471.316749
45,-730.8857009999999,92000,481.24976100000003
46,-704.024418,94000,491.19521100000003
47,-763.873049,96000,501.137261
48,-745.030979,98000,511.009058
49,-868.2625130000001,100000,520.89498
50,-1239.51912,102000,530.788764
51,-900.053984,104000,540.6854480000001
52,-867.6591,106000,550.582047
53,-864.5038609999999,108000,560.7122320000001
54,-866.0729880000001,110000,571.235841
55,-738.059495,112000,581.7119190000001
56,-1126.994488,114000,592.424931
57,-964.7165470000001,116000,602.678392
58,-918.3800669999999,118000,613.2350190000001
59,-877.666332,120000,623.21452
60,-1005.435365,122000,633.1092179999999
61,-1089.4248710000002,124000,642.953562
62,-761.448139,126000,652.83253
63,-1205.979435,128000,662.714653
64,-1079.2043820000001,130000,672.600279
65,-824.376322,132000,682.463592
66,-972.8574560000001,134000,692.3652400000001
67,-1339.022012,136000,702.206643
68,-707.059451,138000,712.0675110000001
69,-1096.947523,140000,721.9616110000001
70,-820.059677,142000,731.822578
71,-783.401083,144000,741.6917940000001
72,-739.395611,146000,751.596468
73,-809.357965,148000,761.4894519999999
74,-850.4771109999999,150000,771.358557
75,-911.394165,152000,781.258761
76,-883.9338369999999,154000,791.16221
77,-1065.215954,156000,801.035309
78,-843.867648,158000,810.932212
79,-751.4823849999999,160000,820.81223
80,-989.568058,162000,830.726004
81,-920.6787220000001,164000,840.565649
82,-894.3627730000001,166000,850.456306
83,-1234.442668,168000,860.332554
84,-1382.015834,170000,870.1958099999999
85,-996.907029,172000,880.0972869999999
86,-1528.705224,174000,889.99637
87,-959.1545449999999,176000,899.889207
88,-1166.891305,178000,909.7965140000001
89,-1689.804771,180000,919.716576
90,-1393.079281,182000,929.6236140000001
91,-1433.124148,184000,939.518967
92,-1563.76317,186000,949.376067
93,-1764.1552239999999,188000,959.2336710000001
94,-1588.818902,190000,969.140643
95,-1566.0116990000001,192000,979.0068699999999
96,-1308.752076,194000,988.8949359999999
97,-807.810049,196000,998.7793740000001
98,-1622.373397,198000,1008.648282
99,-1581.294875,200000,1018.558216
100,-1615.999879,202000,1028.454757
101,-1703.5869300000002,204000,1038.347524
102,-1646.84283,206000,1048.244242
103,-1706.4681719999999,208000,1058.129103
104,-972.177568,210000,1067.995248
105,-810.2013599999999,212000,1077.876158
106,-1087.80615,214000,1087.785419
107,-1251.692841,216000,1097.618641
108,-999.0622050000001,218000,1108.046266
109,-963.1752619999999,220000,1118.4677609999999
110,-1044.576085,222000,1128.529506
111,-754.00752,224000,1138.586925
112,-1229.5962650000001,226000,1148.468695
113,-797.898451,228000,1158.347796
114,-821.0974620000001,230000,1168.218413
115,-880.3747970000001,232000,1178.059151
116,-874.265311,234000,1187.932073
117,-772.4504059999999,236000,1197.795727
118,-818.558722,238000,1207.700985
119,-709.7566730000001,240000,1217.599401
120,-724.375673,242000,1227.477069
121,-1029.084296,244000,1237.338826
122,-1059.029335,246000,1247.244296
123,-908.5894699999999,248000,1257.133339
124,-704.348475,250000,1267.021938
125,-999.3448490000001,252000,1276.8956
126,-1001.7353710000001,254000,1286.799231
127,-766.022723,256000,1296.6654529999998
128,-890.4577,258000,1306.533707
129,-1135.873896,260000,1316.3803890000002
130,-824.097162,262000,1326.260422
131,-830.141119,264000,1336.3188
132,-766.668914,266000,1346.31714
133,-752.438041,268000,1356.191164
134,-759.099351,270000,1366.063546
135,-596.676948,272000,1375.937002
136,-768.589661,274000,1387.09436
137,-1258.4538619999998,276000,1397.0008269999998
138,-1551.58986,278000,1406.904834
139,-1144.278517,280000,1416.8015050000001
140,-1231.537466,282000,1426.728014
141,-1325.472508,284000,1436.690844
142,-812.860733,286000,1447.152696
143,-1155.891697,288000,1457.200122
144,-870.263989,290000,1467.087959
145,-1155.287867,292000,1477.021502
146,-831.123592,294000,1486.906524
147,-1318.1096949999999,296000,1496.839348
148,-784.9519389999999,298000,1506.722057
149,-1533.4752939999998,300000,1516.6615570000001
150,-767.800615,302000,1526.667384
151,-773.537584,304000,1536.553136
152,-931.7392480000001,306000,1546.459445
153,-1493.870541,308000,1556.356611
154,-1149.254454,310000,1566.2451199999998
155,-1061.7683710000001,312000,1576.1816900000001
156,-1047.898628,314000,1586.11862
157,-868.707684,316000,1596.06
158,-1158.967686,318000,1605.974215
159,-1010.490493,320000,1615.895167
160,-1071.341372,322000,1625.770391
161,-1183.251273,324000,1635.668557
162,-1051.237643,326000,1645.6021349999999
163,-845.7127,328000,1655.487924
164,-1480.895487,330000,1665.392115
165,-1114.604186,332000,1675.272563
166,-1441.5406,334000,1685.1415780000002
167,-1491.616514,336000,1695.059643
168,-1254.996992,338000,1704.945052
169,-897.0240369999999,340000,1714.8466899999999
170,-1198.196375,342000,1724.746054
171,-1204.538125,344000,1734.661238
172,-1556.0398460000001,346000,1744.555999
173,-1256.32915,348000,1754.4777190000002
174,-745.782252,350000,1764.383465
175,-1157.195075,352000,1774.305485
176,-1029.3747130000002,354000,1784.1544989999998
177,-1021.028061,356000,1794.0819850000003
178,-998.8687679999999,358000,1803.95828
179,-1215.2960369999998,360000,1813.8576050000001
180,-629.168785,362000,1823.768459
181,-830.313216,364000,1833.614121
182,-763.518977,366000,1843.490618
183,-721.650762,368000,1853.4045809999998
184,-690.332506,370000,1863.3070670000002
185,-941.977348,372000,1873.202859
186,-932.16216,374000,1883.136021
187,-1007.5498240000001,376000,1894.089128
188,-792.912193,378000,1905.584652
189,-954.3624970000001,380000,1916.8585100000003
190,-1198.374744,382000,1928.799786
191,-1320.669962,384000,1939.7842239999998
192,-1243.828539,386000,1949.583016
193,-1318.091731,388000,1959.371294
194,-910.1844039999999,390000,1969.191878
195,-1255.963974,392000,1978.8796739999998
196,-1194.869295,394000,1989.569065
197,-1481.327303,396000,1999.961444
198,-1603.659442,398000,2010.06086
199,-1295.800956,400000,2020.321088
200,-820.053597,402000,2031.287996
201,-803.205705,404000,2041.8924670000001
202,-820.57059,406000,2053.379138
203,-1254.692166,408000,2066.5319010000003
204,-907.8180039999999,410000,2078.330637
205,-1198.403575,412000,2090.265718
206,-1147.88045,414000,2101.92083
207,-1115.241618,416000,2114.36045
208,-1053.819531,418000,2126.119408
209,-1089.5922,420000,2137.660758
210,-856.312255,422000,2147.8087649999998
211,-1338.609032,424000,2157.632277
212,-1375.661187,426000,2167.925084
213,-963.8846189999999,428000,2179.6058629999998
214,-1335.51946,430000,2190.327944
215,-1323.580834,432000,2200.459327
216,-983.067933,434000,2211.0098559999997
217,-1356.737765,436000,2223.603307
218,-603.760814,438000,2234.7497129999997
219,-1185.8936720000002,440000,2246.252688
220,-1462.435258,442000,2256.270723
221,-661.082751,444000,2266.220523
222,-659.9835429999999,446000,2276.31027
223,-729.296612,448000,2286.240153
224,-514.020298,450000,2296.093019
225,-1031.747888,452000,2307.149426
226,-1217.376469,454000,2316.9696280000003
227,-1267.21165,456000,2326.742958
228,-1126.148477,458000,2336.514957
229,-757.42676,460000,2346.410754
230,-809.376596,462000,2356.253317
231,-864.9982949999999,464000,2366.031871
